sample_id,corruption_mode,effective,true_dominant_mode,predicted_dominant_mode,true_bond,predicted_bond,true_angle,predicted_angle,true_torsion,predicted_torsion,true_ring,predicted_ring,true_clash,predicted_clash,true_chirality,predicted_chirality
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,torsion,True,torsion,torsion,1.3245476715439963e-08,0.01761188916862011,3.1177815884575466e-08,0.02064015157520771,0.5235987305641174,0.07764209806919098,5.9604645663569045e-09,0.013812899589538574,0.0,0.00012200554192531854,0.0,0.0002597401035018265
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,bond_angle,True,torsion,torsion,2.9802322387695312e-08,0.01752292551100254,0.0048463731072843075,0.02098122425377369,0.0588078536093235,0.07389915734529495,2.9802322387695312e-08,0.013977626338601112,0.0,0.00012310282909311354,0.0,0.0002569632779341191
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,bond_length,True,bond,torsion,0.0022222432307899,0.01754835434257984,1.833989138333436e-08,0.021073369309306145,2.384185791015625e-07,0.07304051518440247,2.9802322387695312e-08,0.014008237980306149,0.0,0.00012302900722716004,0.0,0.0002566483453847468
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,clash,True,bond,bond,0.09628193080425262,0.13188385963439941,0.028979681432247162,0.06875403970479965,0.0,0.09407185018062592,0.0,0.06100195273756981,0.0013211342738941312,0.0004773362015839666,0.0,0.0008619342697784305
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,ring,True,torsion,torsion,0.049964699894189835,0.023011738434433937,0.06398559361696243,0.024601781740784645,0.1353244185447693,0.07564586400985718,0.0580001063644886,0.0167557280510664,0.0,0.00014250952517613769,0.0,0.0002964118611998856
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,zero,False,clean,torsion,0.0,0.0174314733594656,0.0,0.02094256319105625,0.0,0.07334061712026596,0.0,0.01395233254879713,0.0,0.00012315154890529811,0.0,0.00025635238853283226
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0000,torsion,True,torsion,torsion,2.6490953430879927e-08,0.017611883580684662,1.833989138333436e-08,0.020640140399336815,0.5235986709594727,0.07764215767383575,3.5762788286319847e-08,0.013812893070280552,0.0,0.00012200554192531854,0.0,0.0002597401035018265
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0000,bond_angle,True,torsion,torsion,3.311369312086754e-08,0.017472589388489723,0.005336585454642773,0.021004030480980873,0.020786821842193604,0.07323295623064041,4.17232506322307e-08,0.013986008241772652,0.0,0.0001232534268638119,0.0,0.0002563783200457692
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0000,bond_length,True,bond,torsion,0.0022222399711608887,0.017548346891999245,1.4671912573760437e-08,0.0210733599960804,1.1920928955078125e-07,0.07304055988788605,1.7881394143159923e-08,0.014008237980306149,0.0,0.0001230291381943971,0.0,0.0002566483453847468
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0000,clash,True,bond,bond,0.3082845211029053,0.392694890499115,0.1828395426273346,0.14272548258304596,0.0,0.11331003904342651,0.1956254094839096,0.14811117947101593,0.0013211383484303951,0.0016890541883185506,0.0,0.002567894756793976
