group,method,molecule_id,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity
all,upstream,C=C(C)COc1ccc(-c2[nH]ncc2Oc2ccccc2OCC)c(O)c1,11.0,1.8902972340583801,0.0,0.12745098397135735,0.4336654841899872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.156258478391095,0.23586735501885414,0.0,5.573834016558976e-07,6.144453266188066e-07,1.0936153387319791e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8902971744537354,2.531559944152832,3.63781476020813
all,upstream,C=C(C)COc1ccc(-c2nc(N)ncc2-c2ccc(OC)cc2)c(O)c1,10.0,1.2085322141647339,0.0,0.11999999731779099,0.32305384427309036,0.012500000186264515,0.01870425743982196,0.0,0.0,0.0,0.0,0.0,3.087599574222292,0.21793952293228358,0.0,1.2092419581222202e-06,1.3461589389862638e-06,2.459967959111964e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,1.2085322141647339,1.7457815408706665,2.229764461517334
all,upstream,C=C(Cl)COc1cc(C)cc2oc(=O)cc(CC)c12,6.0,1.063525527715683,0.0,0.1428571455180645,0.30625320598483086,0.025423728860914707,0.03587392531335354,0.22727273404598236,0.0,0.0,0.0,0.0,3.0696823642015834,0.48108539124950767,0.0,7.039713523226965e-07,7.642292985110544e-07,1.396496202232811e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25925925374031067,1.0635255575180054,1.3771066665649414,1.8771429061889648
all,upstream,C=CCN1C(=O)_C(=N_n2cnnc2)c2ccccc21,3.0,1.3163415789604187,0.0,0.15625,0.713826984167099,0.019607843831181526,0.04813460446894169,0.06666667014360428,0.0,0.0,0.0,0.0,3.947856569611714,0.433014911133796,0.0,7.781845852150582e-07,8.572550598273665e-07,1.5589193935738876e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3163416385650635,1.4802178144454956,1.603865146636963
all,upstream,C=CCn1c(O)c(C(C)=Nc2ccc(N(CC)CC)cc2)c(=O)[nH]c1=O,10.0,1.3553391695022583,0.0,0.1666666716337204,0.6712300479412079,0.005747126415371895,0.009753123857080936,0.0833333358168602,0.5,0.0,0.0,0.0,3.312398413406842,0.9259929268155247,0.0,7.941431192648452e-07,8.649129483728757e-07,1.5077405919328157e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.06666667014360428,1.3553391695022583,1.8390183448791504,1.9218711853027344
all,upstream,CC(=O)N1C(C(=O)O)Cc2c([nH]c3ccccc23)C1C,5.0,0.8551206886768341,0.0,0.1315789446234703,0.25352896749973297,0.007462686393409967,0.0008833190076984465,0.03333333507180214,0.0,0.0,0.0,0.0,3.267357304525482,0.23597803771554027,0.0,7.11183787416303e-07,8.205617518797226e-07,1.8297830024494033e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.800000011920929,0.8551206588745117,1.118215560913086,1.5302475690841675
all,upstream,CC(=O)N1CCc2c(sc(NC(=O)C3CCCCC3)c2C(N)=O)C1,6.0,1.0655446648597717,0.0,0.15306122601032257,1.8194891810417175,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,3.015692257848428,0.795433521270752,0.0,6.754413277576532e-07,7.526575416250125e-07,1.4751297499060456e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2857142984867096,1.065544605255127,1.542455792427063,1.267927885055542
all,upstream,CC(=O)N1CCc2cc(S(=O)(=O)N3CCc4ccccc4C3)ccc21,4.0,1.2400867640972137,0.0,0.1145833358168602,0.25028336979448795,0.01149425283074379,0.02487351093441248,0.0,0.0,0.0,0.0,0.0,3.261363264469801,0.1948668088298291,0.0,1.065704935854228e-06,1.1819628582543373e-06,2.286977519361244e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.06666667014360428,1.2400867938995361,2.105557680130005,1.334572196006775
all,upstream,CC(=O)N1c2ccccc2CCc2ccc([N+](=O)[O-])cc21,3.0,1.1035341322422028,0.0,0.1216216254979372,0.3332371786236763,0.0,0.0,0.029411764815449715,0.0,0.0,0.0,0.0,2.893584308527023,0.234342684969306,0.0,7.106701929160408e-07,7.750364829917089e-07,1.3641529790220375e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.1035341024398804,1.1919097900390625,2.707850933074951
all,upstream,CC(=O)NCCC(=O)Nc1nc(-c2cccs2)c(-c2cccs2)s1,9.0,1.2831260561943054,0.0,0.08536585420370102,0.1269836649298668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1868545886273045,0.11711177043616772,0.0,6.675509069964392e-07,7.56249079358895e-07,1.523867013020208e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.06666667014360428,1.2831261157989502,2.0408477783203125,2.3834915161132812
