group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement,p95_torsion_change,high_flex_p95_torsion_change
all,j0_jacobian,512,1024,7.75,1.2822943213041071,1.0111356459674425e-05,0.09741126198241545,0.24008606684123343,0.011514542289660312,0.04702430760272667,0.027098694547021296,0.012413194444444444,1.8380269750650768e-07,0.0009765625,0.0,3.1631548487728383,0.22216859567722902,0.0,0.00043926788779662107,0.0010729661414911745,0.03884711489081383,0.734375,0.00047385273557959406,0.0017005016167672693,0.265625,1.259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015871426801822963,-0.0818024803107236,-0.003394169324565155,-0.007374497483616649,-0.0036065756576135755,0.0,0.0,0.0,0.0,0.0,-0.0001454084522040204,-0.045166416232586756,0.5009765625,0.1462627995715593,1.2822943214414408,2.0147207297377463,2.3468854283819383,0.265625,0.734375,0.734375,0.419921875,0.0,0.185546875,0.208984375,0.004701426924296468,0.0024974314845167098,0.011178159713745112
all,upstream,512,1024,7.75,1.2822842099476475,0.0,0.11328268878423842,0.321888547151957,0.014908711614225467,0.054398805086343316,0.03070527020463487,0.012413194444444444,1.8380269750650768e-07,0.0009765625,0.0,3.163300257225042,0.2673350119098158,0.0,7.334432311351113e-07,8.094793507718023e-07,3.831395588349551e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5009765625,0.1462627995715593,1.2822842109162593,2.014716431065608,2.3468883230052597,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3133022235933823e-06,0.0,0.0
ETFlow_normal,j0_jacobian,512,1024,7.75,1.2822943213041071,1.0111356459674425e-05,0.09741126198241545,0.24008606684123343,0.011514542289660312,0.04702430760272667,0.027098694547021296,0.012413194444444444,1.8380269750650768e-07,0.0009765625,0.0,3.1631548487728383,0.22216859567722902,0.0,0.00043926788779662107,0.0010729661414911745,0.03884711489081383,0.734375,0.00047385273557959406,0.0017005016167672693,0.265625,1.259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015871426801822963,-0.0818024803107236,-0.003394169324565155,-0.007374497483616649,-0.0036065756576135755,0.0,0.0,0.0,0.0,0.0,-0.0001454084522040204,-0.045166416232586756,0.5009765625,0.1462627995715593,1.2822943214414408,2.0147207297377463,2.3468854283819383,0.265625,0.734375,0.734375,0.419921875,0.0,0.185546875,0.208984375,0.004701426924296468,0.0024974314845167098,0.011178159713745112
ETFlow_normal,upstream,512,1024,7.75,1.2822842099476475,0.0,0.11328268878423842,0.321888547151957,0.014908711614225467,0.054398805086343316,0.03070527020463487,0.012413194444444444,1.8380269750650768e-07,0.0009765625,0.0,3.163300257225042,0.2673350119098158,0.0,7.334432311351113e-07,8.094793507718023e-07,3.831395588349551e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5009765625,0.1462627995715593,1.2822842109162593,2.014716431065608,2.3468883230052597,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3133022235933823e-06,0.0,0.0
Cartesian_mild,upstream,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartesian_mild,j0_jacobian,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartesian_medium,upstream,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartesian_medium,j0_jacobian,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartesian_severe,upstream,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartesian_severe,j0_jacobian,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unseen_update_scale_0.35,upstream,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
