group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement,p95_torsion_change,high_flex_p95_torsion_change
all,A025,512,1024,7.75,1.282705741974496,0.00042153202684858115,0.022782411632761068,0.05783978627846409,0.013063820044408203,0.046100307879040514,0.022352571148076095,0.010785590277777778,1.8371645182924112e-07,0.0009765625,0.0,3.161354315348173,0.09692272535885112,0.0,0.005933590150830531,0.007002121883234569,0.0375086423009634,0.02734375,0.003416100915032416,0.006853894559753826,0.97265625,2.353515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09050027715147735,-0.26404876087349294,-0.001844891569817264,-0.008298497207302802,-0.008352699056558777,-0.0016276041666666665,-8.624567726656096e-11,0.0,0.0,0.0,-0.0019459418768690883,-0.17041228655096466,0.5009765625,0.1462627995715593,1.2827057411996066,2.015445383720362,2.348429865895014,0.97265625,0.02734375,0.02734375,1.0,0.0,0.224609375,0.771484375,0.010368886590003967,0.00701267689000815,0.01972350755240768
all,A050,512,1024,7.75,1.2827220986428074,0.000437888695159927,0.02357269448657462,0.052500908500746846,0.013093712410409353,0.04443864592196434,0.02225106948026223,0.010785590277777778,1.8371645182924112e-07,0.0009765625,0.0,3.1628404471927394,0.0958912639771536,0.0,0.00610878559431996,0.007431653357488077,0.06319723837077618,0.02734375,0.003601167984385256,0.00730854578614526,0.97265625,2.353515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0897099942976638,-0.2693876386512102,-0.0018149992038161145,-0.009960159164378979,-0.00845420072437264,-0.0016276041666666665,-8.624567726656096e-11,0.0,0.0,0.0,-0.0004598100323026321,-0.17144374793266218,0.5009765625,0.1462627995715593,1.2827220980761922,2.015461960214452,2.348433143713919,0.97265625,0.02734375,0.02734375,1.0,0.0,0.228515625,0.76953125,0.01307889469899237,0.007520385138923301,0.020756240701302886
all,A100,512,1024,7.75,1.2827346715776002,0.0004504616299527697,0.024676180702044803,0.04557535665770446,0.009566921743953571,0.03962770325987286,0.021563132184382994,0.010785590277777778,1.8371645182924112e-07,0.0009765625,0.0,3.1630294561171084,0.0898458986040053,0.0,0.0062286449126596755,0.007737209816477908,0.11954860761761665,0.0224609375,0.003699675311409578,0.008246752511695377,0.9775390625,2.353515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08860650808219361,-0.27631319049425257,-0.005341789870271896,-0.014771101826470453,-0.009142138020251878,-0.0016276041666666665,-8.624567726656096e-11,0.0,0.0,0.0,-0.0002708011079336414,-0.1774891133058105,0.5009765625,0.1462627995715593,1.282734667751356,2.015480504524021,2.348442383816291,0.9775390625,0.0224609375,0.0224609375,0.998046875,0.001953125,0.232421875,0.767578125,0.012027711002156136,0.008248207590077071,0.028082476556301108
all,B,512,1024,7.75,1.2826960966785919,0.00041188673094438855,0.02200894403449638,0.06703388190763349,0.012743897726977593,0.05063918860466998,0.021985926239722176,0.010785590277777778,1.8365815890319936e-07,0.0009765625,0.0,3.1634396937461147,0.09889593456520869,0.0,0.005740492600592978,0.006692487644985423,0.03655156306922436,0.02734375,0.0031187082558403745,0.006386090101386799,0.97265625,2.353515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09127374474974204,-0.25485466524432354,-0.002164813887247874,-0.0037596164816733335,-0.008719343964912696,-0.0016276041666666665,-1.4453860330831958e-10,0.0,0.0,0.0,0.00013943652107266218,-0.16843907734460709,0.5009765625,0.1462627995715593,1.2826960971869994,2.015435685945704,2.3484265704537393,0.97265625,0.02734375,0.02734375,1.0,0.0,0.2265625,0.771484375,0.010028739215340464,0.006662139913532883,0.017118779243901372
all,C,512,1024,7.75,1.2825956640854201,0.00031145413777267095,0.04550811544231692,0.12063756850682239,0.013639342156238854,0.05158392660948863,0.02406372757104691,0.011518012152777778,1.8371645182924112e-07,0.0009765625,0.0,3.1646298063895166,0.13973787981791003,0.0,0.004281037493166065,0.004980745785770985,0.036551112309098244,0.2275390625,0.0023138827732651635,0.004866902617720825,0.7724609375,0.70751953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0677745733419215,-0.20125097864513464,-0.0012693694579866133,-0.0028148784768546875,-0.00664154263358796,-0.0008951822916666666,-8.624567726656096e-11,0.0,0.0,0.0,0.001329549164474531,-0.12759713209190574,0.5009765625,0.1462627995715593,1.2825956614833558,2.015255112626619,2.3480464560052496,0.7724609375,0.2275390625,0.2275390625,0.87890625,0.0,0.21484375,0.66015625,0.009437573864124716,0.00570908555528149,0.015860093664377926
all,D1,512,1024,7.75,1.282695535230232,0.0004113252825845848,0.02171296057076688,0.06829773482229484,0.012576128500768391,0.0517500569176903,0.021874227913940558,0.010785590277777778,1.8371645182924112e-07,0.0009765625,0.0,3.1629789124551397,0.09891416391470172,0.0,0.00574821643838988,0.006701365893521771,0.036551112309098244,0.02734375,0.0031384351956234013,0.0064112237591871235,0.97265625,2.353515625,0.0,0.0,0.5133830250124447,0.009966869105255682,0.0,0.0,0.0,0.0,0.0,0.0,-0.09156972821347154,-0.2535908123296622,-0.0023325831134570763,-0.0026487481686530145,-0.008831042290694313,-0.0016276041666666665,-8.624567726656096e-11,0.0,0.0,0.0,-0.0003213447699020144,-0.16842084799511406,0.5009765625,0.1462627995715593,1.2826955344789894,2.0154355733975535,2.348425811382185,0.97265625,0.02734375,0.02734375,1.0,0.0,0.2265625,0.771484375,0.010028739215340464,0.006814307253807783,0.01725418618880212
all,upstream,512,1024,7.75,1.2822842099476475,0.0,0.11328268878423842,0.321888547151957,0.014908711614225467,0.054398805086343316,0.03070527020463487,0.012413194444444444,1.8380269750650768e-07,0.0009765625,0.0,3.163300257225042,0.2673350119098158,0.0,7.334432311351113e-07,8.094793507718023e-07,3.831395588349551e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5009765625,0.1462627995715593,1.2822842109162593,2.014716431065608,2.3468883230052597,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3133022235933823e-06,0.0,0.0
ETFlow_normal,A025,512,1024,7.75,1.282705741974496,0.00042153202684858115,0.022782411632761068,0.05783978627846409,0.013063820044408203,0.046100307879040514,0.022352571148076095,0.010785590277777778,1.8371645182924112e-07,0.0009765625,0.0,3.161354315348173,0.09692272535885112,0.0,0.005933590150830531,0.007002121883234569,0.0375086423009634,0.02734375,0.003416100915032416,0.006853894559753826,0.97265625,2.353515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09050027715147735,-0.26404876087349294,-0.001844891569817264,-0.008298497207302802,-0.008352699056558777,-0.0016276041666666665,-8.624567726656096e-11,0.0,0.0,0.0,-0.0019459418768690883,-0.17041228655096466,0.5009765625,0.1462627995715593,1.2827057411996066,2.015445383720362,2.348429865895014,0.97265625,0.02734375,0.02734375,1.0,0.0,0.224609375,0.771484375,0.010368886590003967,0.00701267689000815,0.01972350755240768
ETFlow_normal,A050,512,1024,7.75,1.2827220986428074,0.000437888695159927,0.02357269448657462,0.052500908500746846,0.013093712410409353,0.04443864592196434,0.02225106948026223,0.010785590277777778,1.8371645182924112e-07,0.0009765625,0.0,3.1628404471927394,0.0958912639771536,0.0,0.00610878559431996,0.007431653357488077,0.06319723837077618,0.02734375,0.003601167984385256,0.00730854578614526,0.97265625,2.353515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0897099942976638,-0.2693876386512102,-0.0018149992038161145,-0.009960159164378979,-0.00845420072437264,-0.0016276041666666665,-8.624567726656096e-11,0.0,0.0,0.0,-0.0004598100323026321,-0.17144374793266218,0.5009765625,0.1462627995715593,1.2827220980761922,2.015461960214452,2.348433143713919,0.97265625,0.02734375,0.02734375,1.0,0.0,0.228515625,0.76953125,0.01307889469899237,0.007520385138923301,0.020756240701302886
ETFlow_normal,A100,512,1024,7.75,1.2827346715776002,0.0004504616299527697,0.024676180702044803,0.04557535665770446,0.009566921743953571,0.03962770325987286,0.021563132184382994,0.010785590277777778,1.8371645182924112e-07,0.0009765625,0.0,3.1630294561171084,0.0898458986040053,0.0,0.0062286449126596755,0.007737209816477908,0.11954860761761665,0.0224609375,0.003699675311409578,0.008246752511695377,0.9775390625,2.353515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08860650808219361,-0.27631319049425257,-0.005341789870271896,-0.014771101826470453,-0.009142138020251878,-0.0016276041666666665,-8.624567726656096e-11,0.0,0.0,0.0,-0.0002708011079336414,-0.1774891133058105,0.5009765625,0.1462627995715593,1.282734667751356,2.015480504524021,2.348442383816291,0.9775390625,0.0224609375,0.0224609375,0.998046875,0.001953125,0.232421875,0.767578125,0.012027711002156136,0.008248207590077071,0.028082476556301108
