dimension,environment,comparison,bond_count,record_count,molecule_count,repaired_bonds,unchanged_bad_bonds,newly_broken_bonds,normal_unchanged_bonds,net_repaired_bonds,threshold_near_bonds
ring,non_ring,accepted,20961,700,500,1173,7106,192,12490,981,1306
ring,ring,accepted,11649,685,488,95,2311,0,9243,95,448
ring,non_ring,minimal_target,20961,700,500,5080,3199,202,12480,4878,1981
ring,ring,minimal_target,11649,685,488,1215,1191,78,9165,1137,926
ring,non_ring,raw_proposal,20961,700,500,1425,6854,640,12042,785,1403
ring,ring,raw_proposal,11649,685,488,110,2296,15,9228,95,468
aromatic,aromatic,accepted,9125,679,484,68,1457,0,7600,68,337
aromatic,non_aromatic,accepted,23485,700,500,1200,7960,192,14133,1008,1417
aromatic,aromatic,minimal_target,9125,679,484,810,715,51,7549,759,677
aromatic,non_aromatic,minimal_target,23485,700,500,5485,3675,229,14096,5256,2230
aromatic,aromatic,raw_proposal,9125,679,484,76,1449,9,7591,67,354
aromatic,non_aromatic,raw_proposal,23485,700,500,1459,7701,646,13679,813,1517
heteroatom,carbon_only,accepted,23914,700,500,1162,7790,189,14773,973,1403
heteroatom,heteroatom,accepted,8696,700,500,106,1627,3,6960,103,351
heteroatom,carbon_only,minimal_target,23914,700,500,5340,3612,227,14735,5113,2232
heteroatom,heteroatom,minimal_target,8696,700,500,955,778,53,6910,902,675
heteroatom,carbon_only,raw_proposal,23914,700,500,1406,7546,634,14328,772,1503
heteroatom,heteroatom,raw_proposal,8696,700,500,129,1604,21,6942,108,368
branch,branched,accepted,32333,700,500,1267,9290,192,21584,1075,1740
branch,unbranched,accepted,277,225,163,1,127,0,149,1,14
branch,branched,minimal_target,32333,700,500,6239,4318,280,21496,5959,2839
branch,unbranched,minimal_target,277,225,163,56,72,0,149,56,68
branch,branched,raw_proposal,32333,700,500,1534,9023,653,21123,881,1854
branch,unbranched,raw_proposal,277,225,163,1,127,2,147,-1,17
bond_type,AROMATIC,accepted,9125,679,484,68,1457,0,7600,68,337
bond_type,DOUBLE,accepted,1414,638,455,32,259,2,1121,30,58
bond_type,SINGLE,accepted,22041,700,500,1168,7701,190,12982,978,1359
bond_type,TRIPLE,accepted,30,28,20,0,0,0,30,0,0
bond_type,AROMATIC,minimal_target,9125,679,484,810,715,51,7549,759,677
bond_type,DOUBLE,minimal_target,1414,638,455,178,113,7,1116,171,105
bond_type,SINGLE,minimal_target,22041,700,500,5307,3562,222,12950,5085,2125
bond_type,TRIPLE,minimal_target,30,28,20,0,0,0,30,0,0
bond_type,AROMATIC,raw_proposal,9125,679,484,76,1449,9,7591,67,354
bond_type,DOUBLE,raw_proposal,1414,638,455,40,251,5,1118,35,59
bond_type,SINGLE,raw_proposal,22041,700,500,1419,7450,641,12531,778,1458
bond_type,TRIPLE,raw_proposal,30,28,20,0,0,0,30,0,0
flexibility,rotatable_3_5,accepted,6433,165,115,243,1814,33,4343,210,360
flexibility,rotatable_ge_6,accepted,25436,511,368,995,7399,154,16888,841,1353
flexibility,rotatable_le_2,accepted,741,24,17,30,204,5,502,25,41
flexibility,rotatable_3_5,minimal_target,6433,165,115,1228,829,44,4332,1184,609
flexibility,rotatable_ge_6,minimal_target,25436,511,368,4927,3467,232,16810,4695,2213
flexibility,rotatable_le_2,minimal_target,741,24,17,140,94,4,503,136,85
flexibility,rotatable_3_5,raw_proposal,6433,165,115,295,1762,133,4243,162,402
flexibility,rotatable_ge_6,raw_proposal,25436,511,368,1201,7193,503,16539,698,1431
flexibility,rotatable_le_2,raw_proposal,741,24,17,39,195,19,488,20,38
