sample_id,molecule_id,pilot_category,source,severity,high_flex,ring,clean_input,minimal_target_status,minimal_selected_step,minimal_stop_reason,minimal_target_sha256,minimal_reference_fallback_used,old_target_status,target_cache_path,input_bond_outlier_rate,input_bond_outlier_magnitude,input_angle_outlier_rate,input_angle_outlier_magnitude,input_severe_clash_rate,input_clash_penetration,input_ring_bond_outlier_rate,input_ring_planarity_outlier_rate,input_chirality_preserved,input_stereocenter_degenerate_rate,input_torsion_prior_outlier_score,input_total_thresholded_validity_score,input_aligned_displacement,input_mean_atom_displacement,input_max_atom_displacement,input_torsion_change,input_max_rotatable_torsion_change,old_bond_outlier_rate,old_bond_outlier_magnitude,old_angle_outlier_rate,old_angle_outlier_magnitude,old_severe_clash_rate,old_clash_penetration,old_ring_bond_outlier_rate,old_ring_planarity_outlier_rate,old_chirality_preserved,old_stereocenter_degenerate_rate,old_torsion_prior_outlier_score,old_total_thresholded_validity_score,old_aligned_displacement,old_mean_atom_displacement,old_max_atom_displacement,old_torsion_change,old_max_rotatable_torsion_change,minimal_bond_outlier_rate,minimal_bond_outlier_magnitude,minimal_angle_outlier_rate,minimal_angle_outlier_magnitude,minimal_severe_clash_rate,minimal_clash_penetration,minimal_ring_bond_outlier_rate,minimal_ring_planarity_outlier_rate,minimal_chirality_preserved,minimal_stereocenter_degenerate_rate,minimal_torsion_prior_outlier_score,minimal_total_thresholded_validity_score,minimal_aligned_displacement,minimal_mean_atom_displacement,minimal_max_atom_displacement,minimal_torsion_change,minimal_max_rotatable_torsion_change
train::Brc1ccc(-c2cn3cccnc3n2)cc1__gen0000,Brc1ccc(-c2cn3cccnc3n2)cc1,ETFlow_normal,ETFlow_formal_upstream,normal,False,True,False,minimal_validity_success,15,improvement_plateau,bc58412504aaecd691e6e50c54da84f75649f4ccbe5a9b65d94874a5df12aeb5,False,restrained_relaxation,E:\3dconformergenerationcode\4dadapter\data\ecir_mvr\medium\minimal_targets\pilot\0000.pt,0.11538461595773697,0.6035050749778748,0.024390242993831635,0.05545807629823685,0.0,0.0,0.0,0.0,1.0,0.0,1.9955386533604735,0.3045156467705965,5.052176561548549e-07,4.57080886917538e-07,9.830267799770809e-07,0.0,0.0,0.26923078298568726,0.9543256163597107,0.04878048598766327,0.12052082270383835,0.0,0.0,0.125,0.0,1.0,0.0,1.9955386533604735,0.7117228787392378,0.07425224035978317,0.06625773757696152,0.16095776855945587,0.017106294631958008,0.017106294631958008,0.0,0.0,0.024390242993831635,0.009562546387314796,0.0,0.0,0.0,0.0,1.0,0.0,1.9955386533604735,0.026780879590660334,0.007495211437344551,0.003996989224106073,0.020031025633215904,0.0016815662384033203,0.0016815662384033203
train::Brc1ccc(-c2n(-c3ccccn3)c3ccccc3[n+]2-c2ccccn2)cc1__gen0000,Brc1ccc(-c2n(-c3ccccn3)c3ccccc3[n+]2-c2ccccn2)cc1,ETFlow_normal,ETFlow_formal_upstream,normal,False,True,False,minimal_validity_success,3,all_active_violations_resolved,3f5f2f22cbf271141f49e62d628534357a0ec85bfa31f8c03ade1e4db5c98f2b,False,restrained_relaxation,E:\3dconformergenerationcode\4dadapter\data\ecir_mvr\medium\minimal_targets\pilot\0001.pt,0.1041666641831398,0.2491578310728073,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.51342417440334,0.16645612195134163,9.28958684198733e-07,8.313117518810031e-07,1.635601847738144e-06,0.0,0.0,0.2708333432674408,0.9986363053321838,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.6836993823253366,0.5204924196004868,0.14163453876972198,0.12290527671575546,0.3089648187160492,0.10065837949514389,0.18491089344024658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.51342417440334,0.0,0.002120744902640581,0.0015201297355815768,0.004874055739492178,0.0017861922970041633,0.003544449806213379
train::Brc1ccc(-c2noc(CCc3ccccc3)n2)cc1__gen0002,Brc1ccc(-c2noc(CCc3ccccc3)n2)cc1,ETFlow_normal,ETFlow_formal_upstream,normal,False,True,False,minimal_validity_success,6,all_active_violations_resolved,2e6dda2398cee697b60b38b901c6c797f29a2c45d8373f064eab5f67e937bdd8,False,restrained_relaxation,E:\3dconformergenerationcode\4dadapter\data\ecir_mvr\medium\minimal_targets\pilot\0002.pt,0.08571428805589676,0.24828585982322693,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1187529787375623,0.1477857530117035,7.120996770026977e-07,6.243307097975048e-07,1.455134793104662e-06,0.0,0.0,0.2857142984867096,0.5128417611122131,0.017543859779834747,0.1081421822309494,0.0,0.0,0.05882352963089943,0.0,1.0,0.0,3.019574020368587,0.5173276737332344,0.16288621723651886,0.1472848504781723,0.2931166887283325,0.06701286882162094,0.10726434737443924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1187529787375623,0.0,0.003153181867673993,0.0016324898460879922,0.009225399233400822,0.0006672423332929611,0.0012758895754814148
train::Brc1ccc(Nc2c3c(nc4ncnn24)CCC3)cc1__gen0000,Brc1ccc(Nc2c3c(nc4ncnn24)CCC3)cc1,ETFlow_normal,ETFlow_formal_upstream,normal,False,True,False,identity_clean,0,already_valid,b22611b3e681743558449dc440072b1a009377d3b7b3017a74414408d8145650,False,restrained_relaxation,E:\3dconformergenerationcode\4dadapter\data\ecir_mvr\medium\minimal_targets\pilot\0003.pt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.749375537412602,0.0,5.147767296875827e-07,4.691999038186623e-07,7.99680208274367e-07,0.0,0.0,0.1428571492433548,0.2679581940174103,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,1.0,0.0,3.5233829755410735,0.2598466984927654,0.1264992505311966,0.1117483451962471,0.27079832553863525,0.1130990982055664,0.16591739654541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.749375537412602,0.0,5.147767296875827e-07,4.691999038186623e-07,7.99680208274367e-07,0.0,0.0
train::Brc1ccc(OCCOCCN2CCOCC2)cc1__gen0000,Brc1ccc(OCCOCCN2CCOCC2)cc1,ETFlow_normal,ETFlow_formal_upstream,normal,True,True,False,minimal_validity_success,7,all_active_violations_resolved,3b6d9e8186571150f4359ac47fe43ca64ec4f6b537f71c5920ca8e3be209eb17,False,restrained_relaxation,E:\3dconformergenerationcode\4dadapter\data\ecir_mvr\medium\minimal_targets\pilot\0004.pt,0.125,0.21505598723888397,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2743587782062633,0.178763996809721,8.382020837416349e-07,7.805318205100775e-07,1.580998400640965e-06,0.0,0.0,0.20000000298023224,0.29216963052749634,0.0416666679084301,0.022830946370959282,0.0,0.0,0.1666666716337204,0.0,1.0,0.0,3.1415926620003343,0.48708348674699664,0.16978123784065247,0.16032005846500397,0.25651177763938904,0.08615802228450775,0.19536757469177246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2743587782062633,0.0,0.003997662104666233,0.002242637798190117,0.011669031344354153,0.0012711627641692758,0.002907872200012207
train::Brc1ccccc1-n1nnc(-c2cccnc2)n1__gen0000,Brc1ccccc1-n1nnc(-c2cccnc2)n1,ETFlow_normal,ETFlow_formal_upstream,normal,False,True,False,minimal_validity_success,3,all_active_violations_resolved,0f7399c799bf4fb111a1fe26a75b0cfac2eea7efe573e9703d9bb8fa536149d1,False,restrained_relaxation,E:\3dconformergenerationcode\4dadapter\data\ecir_mvr\medium\minimal_targets\pilot\0005.pt,0.1428571492433548,0.36435365676879883,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.352534427336404,0.2339455634355545,7.700461992499186e-07,7.077902637320221e-07,1.4354699260366033e-06,0.0,0.0,0.2857142984867096,0.5425357818603516,0.023255813866853714,0.07572660595178604,0.0,0.0,0.0,0.0,1.0,0.0,3.0059608370564312,0.4635357093065977,0.1459963321685791,0.12858428061008453,0.27077046036720276,0.14867687225341797,0.22206830978393555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.352534427336404,0.0,0.0025084465742111206,0.0019134578760713339,0.004946765024214983,0.0006833076477050781,0.0011997222900390625
train::C#CC(C)(O)CC__gen0000,C#CC(C)(O)CC,ETFlow_normal,ETFlow_formal_upstream,normal,False,False,False,minimal_validity_success,5,improvement_plateau,5518cfa07dcdf1555ed86f3130bccf71a8fc38d52c439fa74821ee2782c43fb6,False,restrained_relaxation,E:\3dconformergenerationcode\4dadapter\data\ecir_mvr\medium\minimal_targets\pilot\0006.pt,0.125,0.15828099846839905,0.07407407462596893,0.3482726812362671,0.0,0.0,0.0,0.0,1.0,0.0,2.3597114200339067,0.32571249455213547,3.5091784411633853e-07,3.1295951430365676e-07,7.152557373046875e-07,0.0,0.0,0.125,0.14703866839408875,0.07407407462596893,0.3632301688194275,0.0,0.0,0.0,0.0,1.0,0.0,2.5915115875027324,0.326641283929348,0.09494882822036743,0.07289838790893555,0.22252528369426727,0.0731089860200882,0.19138145446777344,0.0625,0.06690526008605957,0.07407407462596893,0.3369491994380951,0.0,0.0,0.0,0.0,1.0,0.0,2.3597114200339067,0.2375376895070076,0.0047549353912472725,0.003246613312512636,0.009123397059738636,0.008789509534835815,0.02224421501159668
train::C#CCOC(=O)c1ccccc1C(=O)n1nnc2ccccc21__gen0002,C#CCOC(=O)c1ccccc1C(=O)n1nnc2ccccc21,ETFlow_normal,ETFlow_formal_upstream,normal,False,True,False,minimal_validity_success,40,max_steps,268d5f3c0a22760413e0dd45917df76c60db9d043680d484e0b47192a73f31ea,False,restrained_relaxation,E:\3dconformergenerationcode\4dadapter\data\ecir_mvr\medium\minimal_targets\pilot\0007.pt,0.1111111119389534,0.14492098987102509,0.0357142873108387,0.16877034306526184,0.0,0.0,0.0625,0.0,1.0,0.0,2.857561046711401,0.28774823248386383,1.2039832881782786e-06,1.0551576679063146e-06,2.21100299313548e-06,0.0,0.0,0.2222222238779068,0.4095839262008667,0.0535714291036129,0.17784389853477478,0.0,0.0,0.0,0.0,1.0,0.0,3.4374259205450572,0.42265060916543007,0.11206817626953125,0.10342501103878021,0.18402186036109924,0.04485948756337166,0.13864672183990479,0.0,0.0,0.0357142873108387,0.12043041735887527,0.0,0.0,0.0,0.0,1.0,0.0,3.153881954896244,0.06582189165055752,0.018447691574692726,0.008314276114106178,0.06504783034324646,0.011801968328654766,0.044826626777648926
train::C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCCN)n3cc([C@@H](N)CO)nn3)CC2)nc([NH+]2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)Cc4ccc(O)cc4)nn3)CC2)n1__gen0002,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCCN)n3cc([C@@H](N)CO)nn3)CC2)nc([NH+]2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)Cc4ccc(O)cc4)nn3)CC2)n1,ETFlow_normal,ETFlow_formal_upstream,normal,True,True,False,minimal_validity_success,7,new_safety_risk,2d34aff138267a838ebeee4fee612ef6848b5247135070b47cd93acf9fac0241,False,restrained_relaxation,E:\3dconformergenerationcode\4dadapter\data\ecir_mvr\medium\minimal_targets\pilot\0008.pt,0.41496598720550537,3.019031047821045,0.16165412962436676,0.7503613233566284,0.0,2.4913291781558655e-05,0.11764705926179886,0.16666666666666666,1.0,0.0,3.6937405001096355,1.8033068488445376,8.29895554943505e-07,7.535355166510271e-07,1.5696209629822988e-06,0.0,0.0,0.1428571492433548,0.4771765470504761,0.09398496150970459,0.32250696420669556,0.0,0.0,0.0882352963089943,0.3333333333333333,1.0,0.0,3.6317285324446003,0.8583316182096798,0.2791023850440979,0.2563209533691406,0.6018418669700623,0.14329855144023895,0.3733820915222168,0.26530611515045166,1.7299615144729614,0.1541353315114975,0.702549159526825,0.0,2.462018710502889e-05,0.11764705926179886,0.16666666666666666,1.0,0.0,3.7092139918061577,1.3119074612774664,0.009280935861170292,0.008201869204640388,0.012636791914701462,0.011279449798166752,0.03535890579223633
train::C#CCOc1ccc(Cl)cc1_C=N_O__gen0001,C#CCOc1ccc(Cl)cc1_C=N_O,ETFlow_normal,ETFlow_formal_upstream,normal,False,True,False,minimal_validity_success,26,improvement_plateau,de1eb887416c09506396fd2f707c7108841f171efedb24495a0b07611c5dbf84,False,restrained_relaxation,E:\3dconformergenerationcode\4dadapter\data\ecir_mvr\medium\minimal_targets\pilot\0009.pt,0.13636364042758942,0.25038421154022217,0.125,0.43763914704322815,0.0,0.0,0.0,0.0,1.0,0.0,2.8170560957954383,0.433369480073452,6.760215569556749e-07,6.165589638840174e-07,1.1246181657043053e-06,0.0,0.0,0.27272728085517883,0.31813451647758484,0.09375,0.4586690664291382,0.0,0.0,0.0,0.0,1.0,0.0,2.6613067030591457,0.5606781765818596,0.16910666227340698,0.14670272171497345,0.3284357190132141,0.1151621863245964,0.17926359176635742,0.0,0.0,0.125,0.2767864763736725,0.0,0.0,0.0,0.0,1.0,0.0,2.8243879995690686,0.19419661909341812,0.020422084257006645,0.013017376884818077,0.041515085846185684,0.014671405777335167,0.025600554421544075
