group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement,p95_torsion_change,high_flex_p95_torsion_change
all,medium_accepted,500,700,7.732,1.322486757479608,0.0006995249427855014,0.23628072154521942,1.0073151828348637,0.030663862285204232,0.08443964915380002,0.15001018795371054,0.009966666666666667,2.5197585637215527e-07,0.002,0.0,3.1900716824487416,0.7038603984238232,0.0,0.0014950023962903175,0.0018453390182440331,0.012060188921168447,0.29,0.00025251721540735163,0.0005789471769530792,0.71,2.502,0.053062312585301696,0.06725414503831416,0.40576091265678405,0.001834332603844814,0.0,0.0,0.0,0.0,0.0,0.0,-0.0257511563077569,-0.24017376787588,-0.00046686498168855905,-0.0014941386138089,-0.003493457481265068,0.0,4.378242010716349e-09,0.0,0.0,0.0,-0.00026068112365283593,-0.09012845101489074,0.482,0.06877587428689003,1.3224867571815848,2.3769814158678053,0.01037545570358634,0.71,0.29000000000000004,0.29,0.718,0.0,0.006,0.712,0.005028987285913898,0.000979976820235606,0.0028876215219497676
all,medium_raw,500,700,7.732,1.322638967178762,0.0008517346419394016,0.2430545549020171,1.017851282337302,0.030705326707102357,0.08464873571360658,0.15112936814129352,0.010299999999999998,2.5197585637215527e-07,0.002,0.0,3.19026972450033,0.7148145062389964,0.0,0.0018359444310190156,0.0022765234691323713,0.0161008364520967,0.0,0.0003034998113571419,0.0006938633110257796,0.71,2.502,0.053062312585301696,0.06725414503831416,0.40576091265678405,0.001834332603844814,0.0,0.0,0.0,0.0,0.0,0.0,-0.018977322950959205,-0.22963766837344154,-0.0004254005597904325,-0.0012850520540023354,-0.0023742772936820983,0.0003333333333333333,4.378242010716349e-09,0.0,0.0,0.0,-6.263907206427932e-05,-0.07917434319971738,0.482,0.06877587428689003,1.3226389684304596,2.377127915740013,0.010409798983484507,0.71,0.29000000000000004,0.0,0.65,0.35,0.008,0.992,0.005135968083050102,0.0010035982195404358,0.0029981814324855794
all,upstream,500,700,7.732,1.3217872325368225,0.0,0.2620318778529763,1.2474889507107436,0.03113072726689279,0.08593378776760892,0.15350364543497563,0.009966666666666667,2.475976143614389e-07,0.002,0.0,3.1903323635723946,0.793988849438714,0.0,7.185659229378416e-07,7.91879917912297e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482,0.06884254094958306,1.3217872328907252,2.3759859224557878,0.011278490915894508,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3240843117046095e-06,0.0,0.0
ETFlow_normal,medium_accepted,300,300,7.59,1.3022523778801163,0.00016259492685397466,0.11222867858906586,0.3581739469369252,0.0156290371902287,0.05835868306903194,0.035654728213946024,0.012611111111111111,0.0,0.0,0.0,3.182969733692505,0.280256712605841,0.0,0.00032393872474794234,0.00040272143968252296,0.004859644919633865,0.47,4.543204744247002e-05,0.00011273765286508327,0.53,1.67,0.012797060074905555,0.054551314782972135,0.25649838645011186,0.0007805191019967121,0.0,0.0,0.0,0.0,0.0,0.0,-0.007318494853874048,-0.0070364945816497005,0.0,-0.00022580740437357842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009134070350379867,0.49666666666666665,0.06925439111888408,1.3022523778801163,2.3619509502251943,0.0,0.53,0.47,0.47,0.53,0.0,0.0,0.53,0.0012920299137476833,0.00016979192005237573,0.0005516767501831053
ETFlow_normal,medium_raw,300,300,7.59,1.3024763695523143,0.0003865865990519524,0.12153210437546173,0.3791323824872476,0.015745019565025966,0.05828278200487451,0.03599142856895923,0.012611111111111111,0.0,0.0,0.0,3.1832998037784863,0.2952334547435886,0.0,0.0007819559499815417,0.0009833524922335832,0.008071095682680607,0.0,0.00010982907593794759,0.0002616430216585286,0.53,1.67,0.012797060074905555,0.054551314782972135,0.25649838645011186,0.0007805191019967121,0.0,0.0,0.0,0.0,0.0,0.0,0.00198493093252182,0.013921940968672667,0.00011598237479726473,-0.0003017084685310086,0.0003367003550132116,0.0,0.0,0.0,0.0,0.0,0.00033007008598092763,0.005842671787367711,0.49666666666666665,0.06925439111888408,1.3024763695523143,2.3621836431821186,0.0,0.53,0.47,0.0,0.43,0.57,0.0033333333333333335,0.9966666666666667,0.002088310162071139,0.0002667198670678772,0.0008458971977233886
ETFlow_normal,upstream,300,300,7.59,1.3020897829532623,0.0,0.11954717344293991,0.36521044151857496,0.0156290371902287,0.05858449047340552,0.035654728213946024,0.012611111111111111,0.0,0.0,0.0,3.182969733692505,0.28939078295622084,0.0,7.106439457989685e-07,7.830320992733656e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49666666666666665,0.06925439111888408,1.3020897829532623,2.361784588098526,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4048673563138438e-06,0.0,0.0
Cartesian_mild,medium_accepted,128,134,7.71875,1.3503790083632339,0.0015732387255411595,0.45044293988030404,2.3681004717946053,0.057418310883804224,0.13912853895726585,0.34313531446969137,0.006119791666666666,1.0326006076866179e-06,0.0078125,0.0,3.168493209819485,1.4995496421890417,0.0,0.003489634699706645,0.004327725277434968,0.010101915337145329,0.015625,0.0005962356974720251,0.0013225850066191924,0.984375,3.796875,0.12603022353141569,0.09310321410885081,0.6963484954321757,0.0037220548140339815,0.0,0.0,0.0,0.0,0.0,0.0,-0.05892646452412009,-0.682682222686708,-0.0010297368135070428,-0.002094671900067624,-0.007336813549045473,0.0,1.862008502939716e-08,0.0,0.0,0.0,-0.0018333071604008065,-0.23848721991328148,0.484375,0.076340069033904,1.3503790084796492,2.355780645739287,0.0012441389990272,0.984375,0.015625,0.015625,0.984375,0.0,0.0234375,0.9609375,0.005303416424430906,0.0013376955932471889,0.004145872592926025
Cartesian_mild,medium_raw,128,134,7.71875,1.3504143376194406,0.0016085679817479104,0.45191077899653465,2.362380509264767,0.057296240571304224,0.1399616385488116,0.3484895475558005,0.006119791666666666,1.0326006076866179e-06,0.0078125,0.0,3.168493209819485,1.5050279283443084,0.0,0.003723447269294411,0.00461058265864267,0.019642608240246773,0.0,0.0006287930606418968,0.0013681890791303886,0.984375,3.796875,0.12603022353141569,0.09310321410885081,0.6963484954321757,0.0037220548140339815,0.0,0.0,0.0,0.0,0.0,0.0,-0.057458625407889485,-0.6884021852165461,-0.0011518071260070428,-0.0012615723085218633,-0.001982580462936312,0.0,1.862008502939716e-08,0.0,0.0,0.0,-0.0018333071604008065,-0.2330089337580148,0.484375,0.076340069033904,1.350414337735856,2.3558026649989188,0.0012441389990272,0.984375,0.015625,0.0,0.9765625,0.0234375,0.03125,0.96875,0.005367779266089201,0.0014684553432743985,0.004145872592926025
Cartesian_mild,upstream,128,134,7.71875,1.3488057696376927,0.0,0.5093694044044241,3.0507826944813132,0.05844804769731127,0.14122321085733347,0.35047212801873684,0.006119791666666666,1.0139805226572207e-06,0.0078125,0.0,3.170326516979886,1.7380368621023234,0.0,7.594129285415363e-07,8.382630229952781e-07,4.79215395898791e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484375,0.076340069033904,1.3488057685899548,2.3540341616608202,0.0012697136407950893,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4334479487843053e-06,0.0,0.0
Cartesian_medium,medium_accepted,87,87,8.977011494252874,1.4105557001185143,0.0023522883996196175,0.5751967543158037,2.9656639345761002,0.09103006283998832,0.1617877577570663,0.518852186271514,0.0,1.377045730899634e-06,0.011494252873563218,0.0,3.1788155016761888,1.989931809303455,0.0,0.005108753130931793,0.006260655135258861,0.01718042977154255,0.0,0.0009281990387953347,0.0021911548710181966,1.0,3.9770114942528734,0.20914337484315895,0.09623359047390263,0.713853650051972,0.005130588292443975,0.0,0.0,0.0,0.0,0.0,0.0,-0.06806525793568842,-1.0653494445756935,-0.0025400238261483184,-0.009650936221768117,-0.015979818914128446,0.0,2.2929553183373707e-08,0.0,0.0,0.0,0.0007469068209583293,-0.3553351729457774,0.41379310344827586,0.04039146322971103,1.4105557001185143,2.536667393541884,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.006781879672780633,0.0017733683343976738,0.005055183172225952
