group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement,p95_torsion_change,high_flex_p95_torsion_change
rotatable_le_2,medium_accepted,17,24,1.588235294117647,1.0761888097314274,0.0004879166098201976,0.2540405153789941,1.3166524719666033,0.037973880055634415,0.12568378258113036,0.1451612141202478,0.0,0.0,0.0,0.0,3.242246777475261,0.7977596731918097,0.0,0.0011386208428652534,0.0014203255110504308,0.007768336683511734,0.4411764705882353,0.00022554104490315213,0.0,0.5588235294117647,1.8529411764705883,0.050592947477365244,0.0723019862164031,0.4516061662751086,0.0019847840273595307,0.0,0.0,0.0,0.0,0.0,0.0,-0.02273634251426248,-0.15111860589069478,0.0,-0.00016989153535927043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06055846687077599,0.5882352941176471,0.3261437911321135,1.0761888167437386,1.5646043560084175,0.010758109829005073,0.5588235294117647,0.4411764705882353,0.4411764705882353,0.5882352941176471,0.0,0.058823529411764705,0.5294117647058824,0.0043432360980659715,0.0010178208351135243,0.0
rotatable_le_2,medium_raw,17,24,1.588235294117647,1.0763565301895142,0.0006556370679069968,0.2643789101172896,1.3788931041079409,0.038691240143688285,0.12409065878840492,0.14656177426085754,0.0,0.0,0.0,0.0,3.242246777475261,0.8253778652459218,0.0,0.001989080601454,0.002452464767403024,0.012828724458813667,0.0,0.0002971159530502251,0.0,0.5588235294117647,1.8529411764705883,0.050592947477365244,0.0723019862164031,0.4516061662751086,0.0019847840273595307,0.0,0.0,0.0,0.0,0.0,0.0,-0.012397947775966981,-0.08887797374935712,0.0007173600880538716,-0.0017630153280847212,0.0014005601406097412,0.0,0.0,0.0,0.0,0.0,0.0,-0.032940274816663825,0.5882352941176471,0.3261437911321135,1.0763565301895142,1.5645628220894758,0.011234071105718613,0.5588235294117647,0.4411764705882353,0.0,0.5294117647058824,0.47058823529411764,0.058823529411764705,0.9411764705882353,0.006053913617506622,0.0010178208351135243,0.0
rotatable_le_2,minimal_target,17,24,1.588235294117647,1.0774383702698875,0.0017374771482804243,0.10725417360663414,0.28223220784874525,0.026900931206696174,0.0365788599695353,0.07740250153138357,0.0,0.0,0.0,0.0,3.2341223776267385,0.291260373299284,0.0,0.00832625857951959,0.010003903442696704,0.05491076223552227,0.029411764705882353,0.0069440217048395425,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16952268428662243,-1.1855388700085527,-0.01107294884893824,-0.08927481414695435,-0.06775871258886422,0.0,0.0,0.0,0.0,0.0,-0.008124399848522116,-0.5670577667633017,0.5882352941176471,0.3261437911321135,1.0774383615044987,1.5662281127536999,0.01015983653419158,1.0,0.0,0.029411764705882353,1.0,0.0,0.11764705882352941,0.8823529411764706,0.02535234577953814,0.021000785380601884,0.0
rotatable_le_2,run_a_stage2b,17,24,1.588235294117647,1.0763433242545408,0.0006424311329336727,0.24842056873090126,1.280985201982891,0.03659427204333684,0.12530374294146895,0.1451612141202478,0.0,0.0,0.0,0.0,3.242246777475261,0.7817482911255759,0.0,0.0014414939568175268,0.0017952449258520093,0.010824204189702868,0.4117647058823529,0.0003070204847437494,0.0,0.5882352941176471,2.088235294117647,0.03929294495131163,0.11086857286007966,0.39176100300734534,0.0020292502304073423,0.0,0.0,0.0,0.0,0.0,0.0,-0.02835628916235531,-0.18678587587440715,-0.0013796080122975742,-0.0005499311750206878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07656984893700984,0.5882352941176471,0.3261437911321135,1.0763433260076187,1.564841982196359,0.010520744082682273,0.5882352941176471,0.4117647058823529,0.4117647058823529,0.6470588235294118,0.0,0.0,0.6470588235294118,0.006046397238969801,0.0014147400856018052,0.0
rotatable_le_2,stage_b_rescued,17,24,1.588235294117647,1.0786096032928019,0.0029087101711946376,0.20842228150543043,0.949543343802147,0.029628321473651072,0.09955848611014731,0.10464731625774328,0.0,0.0,0.0,0.0,3.2362840552971996,0.6049733767148984,0.0,0.007480036717803487,0.008202954130588998,0.03378436341881752,0.35294117647058826,0.002024628153509077,0.0,0.6470588235294118,1.2941176470588236,0.04427812944221146,0.06745997739627081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06835457638782613,-0.518227734055151,-0.008345558581983341,-0.026295188006342333,-0.04051389786250451,0.0,0.0,0.0,0.0,0.0,-0.005962722178061257,-0.2533447633476873,0.5882352941176471,0.3261437911321135,1.0786096067989575,1.5672141874537748,0.01151425194214372,0.6470588235294118,0.3529411764705882,0.35294117647058826,0.7058823529411765,0.0,0.058823529411764705,0.6470588235294118,0.02211297899484634,0.007497322559356688,0.0
rotatable_le_2,upstream,17,24,1.588235294117647,1.0757008931216072,0.0,0.27677685789325657,1.467771077857298,0.037973880055634415,0.12585367411648965,0.1451612141202478,0.0,0.0,0.0,0.0,3.242246777475261,0.8583181400625857,0.0,5.236185755313059e-07,5.846067841061727e-07,1.7603559854251216e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,0.3261437911321135,1.0757008896154516,1.5638385976062101,0.011475197861299795,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.651941413972963e-07,0.0,0.0
rotatable_3_5,medium_accepted,115,165,4.356521739130435,1.1503932259328988,0.0006592505490002425,0.23240895164401634,1.0022830054811809,0.029683423240709564,0.10517056861527913,0.16929575216187084,0.023043478260869565,0.0,0.0,0.0,3.259975268383756,0.7312949988315813,0.0,0.0014678680900601648,0.0018282381826719282,0.009305814513936639,0.30434782608695654,0.00023609594802268395,0.0,0.6956521739130435,2.4869565217391303,0.054408152786124014,0.06935112500644249,0.4377944036670353,0.0018748471766467328,0.0,0.0,0.0,0.0,0.0,0.0,-0.027125191818112914,-0.24514879679874232,-0.0002958137218071067,-0.0017835088488620545,-0.002766566885554272,0.0,0.0,0.0,0.0,0.0,-0.00034511422992763004,-0.09192064883737538,0.5826086956521739,0.12568819979610651,1.1503932287835557,2.0581512627394303,0.011097145210141721,0.6956521739130435,0.30434782608695654,0.30434782608695654,0.7130434782608696,0.0,0.017391304347826087,0.6956521739130435,0.004908172658178955,0.0010609001910779623,0.0
rotatable_3_5,medium_raw,115,165,4.356521739130435,1.1505711224739965,0.0008371470900981323,0.24225902489346007,1.015124528174815,0.02961548845810087,0.10521587505114123,0.1707053725324247,0.023043478260869565,0.0,0.0,0.0,3.259975268383756,0.7457084649513444,0.0,0.0018769292239322448,0.0023549535018189444,0.009305814513936639,0.0,0.0002882899726738169,0.0,0.6956521739130435,2.4869565217391303,0.054408152786124014,0.06935112500644249,0.4377944036670353,0.0018748471766467328,0.0,0.0,0.0,0.0,0.0,0.0,-0.017275118568669194,-0.2323072741051083,-0.0003637485044158023,-0.0017382024129999438,-0.0013569465150003847,0.0,0.0,0.0,0.0,0.0,-0.00034511422992763004,-0.07750718271761245,0.5826086956521739,0.12568819979610651,1.1505711286936118,2.0583638875380807,0.011068191168748813,0.6956521739130435,0.30434782608695654,0.0,0.6347826086956522,0.3652173913043478,0.02608695652173913,0.9739130434782609,0.004908172658178955,0.0010727778106229377,0.0
rotatable_3_5,minimal_target,115,165,4.356521739130435,1.1507691766904748,0.0010352013065763142,0.09946258522408163,0.3918889542016626,0.027018622713892358,0.0834945700233141,0.08746329095700513,0.023043478260869565,0.0,0.0,0.0,3.2584839750300327,0.35583385821209285,0.0,0.00614580911911362,0.00812963023871243,0.06428283452987671,0.05652173913043478,0.005927421444231067,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1600715582380476,-0.8555428480782606,-0.0029606142486243146,-0.02345950744082707,-0.08459902809041997,0.0,0.0,0.0,0.0,0.0,-0.0018364075836511996,-0.46738178945686387,0.5826086956521739,0.12568819979610651,1.1507691733215166,2.058408552667369,0.012301640131551286,1.0,0.0,0.05652173913043478,0.9826086956521739,0.0,0.2956521739130435,0.6869565217391305,0.021862925961613655,0.01970356125384569,0.0
rotatable_3_5,run_a_stage2b,115,165,4.356521739130435,1.1505993680461593,0.0008653926622608434,0.2262366707234279,0.9373317394081665,0.02982018563653464,0.10452908382095578,0.1677595227146926,0.023043478260869565,0.0,0.0,0.0,3.259975268383756,0.7073250631428053,0.0,0.0019220430756506778,0.0024062030190347998,0.012481106910854578,0.2782608695652174,0.00030111133692907574,0.0,0.7217391304347827,2.4956521739130433,0.05481790168332341,0.10866852225330861,0.3826459653230141,0.0023822327519630324,0.0,0.0,0.0,0.0,0.0,0.0,-0.033297472738701366,-0.3101000628717568,-0.0001590513259820316,-0.002424993643185387,-0.004302796332732491,0.0,0.0,0.0,0.0,0.0,-0.00034511422992763004,-0.11589058452615142,0.5826086956521739,0.12568819979610651,1.1505993684348852,2.0585410957751065,0.010556896144281264,0.7217391304347827,0.27826086956521734,0.2782608695652174,0.7304347826086957,0.0,0.02608695652173913,0.7043478260869566,0.006802460271865128,0.00149550117275794,0.0
rotatable_3_5,stage_b_rescued,115,165,4.356521739130435,1.1536276457102403,0.0038936703263417532,0.1824317831384099,0.6379738972633672,0.018484758516854567,0.08659251340280247,0.11766456020591051,0.023043478260869565,0.0,0.0,0.0,3.2530727445116248,0.522766182788587,0.0,0.009450156974487008,0.01041671180137843,0.05574610084295273,0.47391304347826085,0.003250446418583717,0.0,0.5260869565217391,1.0521739130434782,0.04365593196581239,0.07384114929515383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07710236032371935,-0.6094579050165561,-0.011494478445662105,-0.02036156406133871,-0.054397758841514585,0.0,0.0,0.0,0.0,0.0,-0.0072476381020593885,-0.3004494648803697,0.5826086956521739,0.12568819979610651,1.1536276441553364,2.061947626652925,0.01093229101565869,0.5260869565217391,0.4739130434782609,0.47391304347826085,0.5304347826086957,0.0,0.017391304347826087,0.5130434782608696,0.031419821921736,0.014957694988697761,0.0
rotatable_3_5,upstream,115,165,4.356521739130435,1.1497339753838984,0.0,0.2595341434621293,1.2474318022799233,0.02997923696251667,0.10695407746414118,0.1720623190474251,0.023043478260869565,0.0,0.0,0.0,3.2603203826136835,0.8232156476689567,0.0,6.771065644250524e-07,7.505711997045301e-07,4.516025683187763e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5826086956521739,0.12568819979610651,1.149733972257894,2.057135762339053,0.012031725259578746,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2805563130768857e-06,0.0,0.0
rotatable_ge_6,medium_accepted,368,511,9.070652173913043,1.3876438804132782,0.0007218860757901617,0.2366702243807199,0.9945977004447385,0.0306325584483009,0.07605593718006438,0.14420745064727153,0.006340579710144927,3.423585005056457e-07,0.002717391304347826,0.0,3.1658165493020634,0.6909493475598341,0.0,0.0015199451452704632,0.0018703168055078463,0.012060188921168447,0.27853260869565216,0.0002588950432546564,0.0007866130121645098,0.7214673913043478,2.536684782608696,0.052755811454161354,0.06636565048298192,0.3936325953261036,0.0018147215982144585,0.0,0.0,0.0,0.0,0.0,0.0,-0.02546104150014403,-0.24273303262484464,-0.0005418856327077779,-0.001464884872783169,-0.0038819933391135673,0.0,5.948698384125474e-09,0.0,0.0,0.0,-0.00024633811245853394,-0.09093439389767394,0.44565217391304346,0.039101493797953364,1.3876438787935867,2.514144126811753,0.010132250775907027,0.7214673913043478,0.2785326086956522,0.27853260869565216,0.7255434782608695,0.0,0.0,0.7255434782608695,0.005019360478036105,0.0009520436258753758,0.0028876215219497676
rotatable_ge_6,medium_raw,368,511,9.070652173913043,1.3877873464447001,0.0008653521072119474,0.2423180655333335,1.002024830594327,0.030676986680507824,0.0763994593111934,0.14522286974723733,0.006793478260869565,3.423585005056457e-07,0.002717391304347826,0.0,3.166085628176505,0.7000525976655245,0.0,0.0018160624579689718,0.0022438863608998795,0.0161008364520967,0.0,0.00030854779244355484,0.0009427490638937224,0.7214673913043478,2.536684782608696,0.052755811454161354,0.06636565048298192,0.3936325953261036,0.0018147215982144585,0.0,0.0,0.0,0.0,0.0,0.0,-0.019813200347530452,-0.23530590247525612,-0.0004974574005008553,-0.001121362741654168,-0.002866574239147746,0.00045289855072463763,5.948698384125474e-09,0.0,0.0,0.0,2.2740761982439666e-05,-0.08183114379198361,0.44565217391304346,0.039101493797953364,1.3877873462017463,2.51427864898806,0.010165973637334031,0.7214673913043478,0.2785326086956522,0.0,0.6603260869565217,0.33967391304347827,0.0,1.0,0.0050606406701263025,0.0009847706227446905,0.0029981814324855794
rotatable_ge_6,minimal_target,368,511,9.070652173913043,1.3882084697302755,0.0012864753927873528,0.09899702108004535,0.41441854325945393,0.025122822621715783,0.05056271430903112,0.0724535673532797,0.003623188405797101,3.404125080756469e-07,0.002717391304347826,0.0,3.1651747833037107,0.32187703687416297,0.0,0.006452715320678709,0.00853320337701936,0.06463588029146194,0.03940217391304348,0.005599067692737267,0.015856706791490306,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1631342448008186,-0.8229121898101291,-0.0060516214592928955,-0.026958107743816438,-0.07563587663310539,-0.002717391304347826,4.002705954126609e-09,0.0,0.0,0.0,-0.0008881041108115816,-0.4600067045833452,0.44565217391304346,0.039101493797953364,1.3882084707425826,2.514454458070838,0.011387126429168426,1.0,0.0,0.03940217391304348,0.9891304347826086,0.0,0.25,0.7336956521739131,0.022702033678069704,0.01741410887334493,0.04746323088183993
rotatable_ge_6,run_a_stage2b,368,511,9.070652173913043,1.387914719545971,0.0009927252084826646,0.23006175741877244,0.9186998596161847,0.030135887235899092,0.07527754172424193,0.14268543972613532,0.006340579710144927,3.451419991546098e-07,0.002717391304347826,0.0,3.1660671872754365,0.6631531421767533,0.0,0.0020621140573798004,0.0025503921601889253,0.013776013627648354,0.30978260869565216,0.0003391777265677646,0.0010207018738425256,0.6902173913043478,2.4972826086956523,0.06274092196722252,0.10535911490644692,0.3163469505278677,0.0023270227809511516,0.0,0.0,0.0,0.0,0.0,0.0,-0.0320695084620915,-0.3186308734533984,-0.0010385568451095858,-0.0022432803286056183,-0.00540400426024976,0.0,8.732197033089546e-09,0.0,0.0,0.0,4.299860913489531e-06,-0.11873059928075483,0.44565217391304346,0.039101493797953364,1.38791471970794,2.51455689707528,0.009707548321508195,0.6902173913043478,0.3097826086956522,0.30978260869565216,0.6956521739130435,0.0,0.0,0.6956521739130435,0.00739783524768427,0.0013241691005532628,0.004235827474622055
rotatable_ge_6,stage_b_rescued,368,511,9.070652173913043,1.3916563493827276,0.004734355045239563,0.16632554059564744,0.5204901132408691,0.016878837696782757,0.056402315201903204,0.08627224444290219,0.006340579710144927,3.818471589550862e-07,0.002717391304347826,0.0,3.1640375910099516,0.42547547401202496,0.0,0.010738455337822434,0.011793619839464644,0.055753761902451515,0.6073369565217391,0.004118872790454391,0.010519709100228047,0.39266304347826086,0.7853260869565217,0.04231109521250524,0.0817567871670927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09580572528521651,-0.7168406198287139,-0.014295606384225919,-0.021118506850944355,-0.06181719954348291,0.0,4.543735683356594e-08,0.0,0.0,0.0,-0.002025296404570512,-0.3564082674454831,0.44565217391304346,0.03816812894428554,1.3916563491802663,2.5184440227306406,0.010230958664222904,0.39266304347826086,0.6073369565217391,0.6073369565217391,0.3967391304347826,0.0,0.0,0.3967391304347826,0.03350399900227785,0.016226131701841943,0.04188893223181365
rotatable_ge_6,upstream,368,511,9.070652173913043,1.3869219943374882,0.0,0.26213126588086394,1.237330733069583,0.031174444081008678,0.07752082205284756,0.1480894439863851,0.006340579710144927,3.364098021215202e-07,0.002717391304347826,0.0,3.1660628874145225,0.781883741457508,0.0,7.405276923261076e-07,8.143640099465289e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44565217391304346,0.03919207350269932,1.3869219959571795,2.5131442728249924,0.011034018177863049,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3255301013259667e-06,0.0,0.0
ring,medium_accepted,488,685,7.694672131147541,1.3267597688865833,0.0007015736353751577,0.23618798460200674,0.9975750980684992,0.030368103742118558,0.08369708746381715,0.1536989630673264,0.01021174863387978,2.5817198398786396e-07,0.0020491803278688526,0.0,3.1938838072495015,0.7048834652561321,0.0,0.0014986297138910964,0.0018522687208849477,0.012060188921168447,0.29405737704918034,0.00025370687439560434,0.0005790272818081038,0.7059426229508197,2.480532786885246,0.05346216470743606,0.06723931693513954,0.4066075371639406,0.001832633546446679,0.0,0.0,0.0,0.0,0.0,0.0,-0.025902351616408494,-0.2432090347808343,-0.00042829448910674357,-0.0015134003705661897,-0.0035793621734273237,0.0,4.4859036995044555e-09,0.0,0.0,0.0,-0.0002670913152180696,-0.09109061258088898,0.47950819672131145,0.06777263322814567,1.3267597685812316,2.3888883235268907,0.010450847824791172,0.7059426229508197,0.29405737704918034,0.29405737704918034,0.7131147540983607,0.0,0.004098360655737705,0.7090163934426229,0.005019360478036105,0.0009847706227446905,0.002900004386901855
