group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement,p95_torsion_change,high_flex_p95_torsion_change
all,medium_accepted,500,700,7.732,1.322486757479608,0.0006995249427855014,0.23628072154521942,1.0073151828348637,0.030663862285204232,0.08443964915380002,0.15001018795371054,0.009966666666666667,2.5197585637215527e-07,0.002,0.0,3.1900716824487416,0.7038603984238232,0.0,0.0014950023962903175,0.0018453390182440331,0.012060188921168447,0.29,0.00025251721540735163,0.0005789471769530792,0.71,2.502,0.053062312585301696,0.06725414503831416,0.40576091265678405,0.001834332603844814,0.0,0.0,0.0,0.0,0.0,0.0,-0.0257511563077569,-0.24017376787588,-0.00046686498168855905,-0.0014941386138089,-0.003493457481265068,0.0,4.378242010716349e-09,0.0,0.0,0.0,-0.00026068112365283593,-0.09012845101489074,0.482,0.06877587428689003,1.3224867571815848,2.3769814158678053,0.01037545570358634,0.71,0.29000000000000004,0.29,0.718,0.0,0.006,0.712,0.005028987285913898,0.000979976820235606,0.0028876215219497676
all,medium_raw,500,700,7.732,1.322638967178762,0.0008517346419394016,0.2430545549020171,1.017851282337302,0.030705326707102357,0.08464873571360658,0.15112936814129352,0.010299999999999998,2.5197585637215527e-07,0.002,0.0,3.19026972450033,0.7148145062389964,0.0,0.0018359444310190156,0.0022765234691323713,0.0161008364520967,0.0,0.0003034998113571419,0.0006938633110257796,0.71,2.502,0.053062312585301696,0.06725414503831416,0.40576091265678405,0.001834332603844814,0.0,0.0,0.0,0.0,0.0,0.0,-0.018977322950959205,-0.22963766837344154,-0.0004254005597904325,-0.0012850520540023354,-0.0023742772936820983,0.0003333333333333333,4.378242010716349e-09,0.0,0.0,0.0,-6.263907206427932e-05,-0.07917434319971738,0.482,0.06877587428689003,1.3226389684304596,2.377127915740013,0.010409798983484507,0.71,0.29000000000000004,0.0,0.65,0.35,0.008,0.992,0.005135968083050102,0.0010035982195404358,0.0029981814324855794
all,minimal_target,500,700,7.732,1.3230312489494682,0.0012440164126455784,0.09938484401907771,0.40474240237219783,0.025619312334805727,0.057661590075773345,0.07607406754419208,0.007966666666666667,2.505436059436761e-07,0.002,0.0,3.1889801156077473,0.32864613922034097,0.0,0.006445827365119328,0.008490385357441795,0.06463588029146194,0.043,0.005720317491992318,0.011670536198536866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1626470338338986,-0.8427465483385458,-0.005511414932087064,-0.028272197691835574,-0.07742957789078354,-0.002,2.945991582237184e-09,0.0,0.0,0.0,-0.001352247964646852,-0.465342710218373,0.482,0.06877587428689003,1.3230312486216427,2.3773242040872575,0.011555736724287271,1.0,0.0,0.043,0.988,0.0,0.256,0.728,0.022515542153269046,0.018456719722598776,0.04746323088183993
all,run_a_stage2b,500,700,7.732,1.3227387612611055,0.0009515287242829799,0.22980618706345557,0.9353028936088085,0.03028286095149815,0.08370628724787184,0.14853665514290332,0.009966666666666667,2.540245113777928e-07,0.002,0.0,3.190256151997143,0.6773449190632053,0.0,0.002008796648162985,0.002491553651756021,0.013776013627648354,0.306,0.00032932911072884965,0.0007512365791480988,0.694,2.483,0.06012139608338475,0.10630760016664863,0.3341598017150536,0.0023295968075653945,0.0,0.0,0.0,0.0,0.0,0.0,-0.03222569078952074,-0.31218605710193514,-0.00084786631539464,-0.0022275005197370775,-0.004966990292072296,0.0,6.4268970163539055e-09,0.0,0.0,0.0,-7.621157525102662e-05,-0.11664393037550871,0.482,0.06877587428689003,1.3227387615293265,2.377382955670357,0.00993054697662592,0.694,0.30600000000000005,0.306,0.702,0.0,0.006,0.696,0.007379523699637502,0.001415854031802155,0.004235827474622055
all,stage_b_rescued,500,700,7.732,1.326266158170998,0.004478925634175539,0.17146126557141542,0.5620991934051272,0.017681681933812796,0.06481337059899034,0.0941172295100987,0.009966666666666667,2.810395089909434e-07,0.002,0.0,3.186972056101103,0.453955265722532,0.0,0.010331360481174641,0.011354848356603043,0.055753761902451515,0.568,0.003847930407267995,0.007742505897767842,0.432,0.864,0.0426872868295759,0.07945009892433882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0905706122815609,-0.6853897573056165,-0.013449045333079994,-0.021120417168618587,-0.05938641592487693,0.0,3.344189462950453e-08,0.0,0.0,0.0,-0.003360307471291639,-0.340033583716182,0.482,0.06808891775459051,1.326266157783568,2.3811080372333526,0.010435897076502443,0.432,0.5680000000000001,0.568,0.438,0.0,0.006,0.432,0.03317130487412214,0.016071298392489542,0.04188893223181365
all,upstream,500,700,7.732,1.3217872325368225,0.0,0.2620318778529763,1.2474889507107436,0.03113072726689279,0.08593378776760892,0.15350364543497563,0.009966666666666667,2.475976143614389e-07,0.002,0.0,3.1903323635723946,0.793988849438714,0.0,7.185659229378416e-07,7.91879917912297e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482,0.06884254094958306,1.3217872328907252,2.3759859224557878,0.011278490915894508,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3240843117046095e-06,0.0,0.0
ETFlow_normal,medium_accepted,300,300,7.59,1.3022523778801163,0.00016259492685397466,0.11222867858906586,0.3581739469369252,0.0156290371902287,0.05835868306903194,0.035654728213946024,0.012611111111111111,0.0,0.0,0.0,3.182969733692505,0.280256712605841,0.0,0.00032393872474794234,0.00040272143968252296,0.004859644919633865,0.47,4.543204744247002e-05,0.00011273765286508327,0.53,1.67,0.012797060074905555,0.054551314782972135,0.25649838645011186,0.0007805191019967121,0.0,0.0,0.0,0.0,0.0,0.0,-0.007318494853874048,-0.0070364945816497005,0.0,-0.00022580740437357842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009134070350379867,0.49666666666666665,0.06925439111888408,1.3022523778801163,2.3619509502251943,0.0,0.53,0.47,0.47,0.53,0.0,0.0,0.53,0.0012920299137476833,0.00016979192005237573,0.0005516767501831053
ETFlow_normal,medium_raw,300,300,7.59,1.3024763695523143,0.0003865865990519524,0.12153210437546173,0.3791323824872476,0.015745019565025966,0.05828278200487451,0.03599142856895923,0.012611111111111111,0.0,0.0,0.0,3.1832998037784863,0.2952334547435886,0.0,0.0007819559499815417,0.0009833524922335832,0.008071095682680607,0.0,0.00010982907593794759,0.0002616430216585286,0.53,1.67,0.012797060074905555,0.054551314782972135,0.25649838645011186,0.0007805191019967121,0.0,0.0,0.0,0.0,0.0,0.0,0.00198493093252182,0.013921940968672667,0.00011598237479726473,-0.0003017084685310086,0.0003367003550132116,0.0,0.0,0.0,0.0,0.0,0.00033007008598092763,0.005842671787367711,0.49666666666666665,0.06925439111888408,1.3024763695523143,2.3621836431821186,0.0,0.53,0.47,0.0,0.43,0.57,0.0033333333333333335,0.9966666666666667,0.002088310162071139,0.0002667198670678772,0.0008458971977233886
ETFlow_normal,minimal_target,300,300,7.59,1.3021843938032787,9.461085001627604e-05,0.00676434800028801,0.017346345339513694,0.008340677598801752,0.03658932411337143,0.0046192526444792745,0.009833333333333333,0.0,0.0,0.0,3.1845847203190663,0.04304152894012365,0.0,0.003327495397668751,0.005386567717376541,0.06463588029146194,0.013333333333333334,0.0028847198608733986,0.007067234662439054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1127828254426519,-0.3478640961790613,-0.0072883595914269485,-0.02199516636003409,-0.03103547556946675,-0.0027777777777777775,0.0,0.0,0.0,0.0,0.001614986626560683,-0.2463492540160972,0.49666666666666665,0.06925439111888408,1.3021843938032787,2.3618334233760834,0.0,1.0,0.0,0.013333333333333334,0.9866666666666667,0.0,0.42333333333333334,0.5566666666666666,0.011913091409951448,0.008387562399730089,0.026950863376259803
ETFlow_normal,run_a_stage2b,300,300,7.59,1.302201711498201,0.0001119285449385643,0.11451487789551416,0.3594566612690687,0.0156290371902287,0.0583973912418287,0.035654728213946024,0.012611111111111111,0.0,0.0,0.0,3.182969733692505,0.2828732675385244,0.0,0.00022683381556021232,0.0002841803680865951,0.00875376258045435,0.49666666666666665,2.655449510636269e-05,6.304265271561841e-05,0.5033333333333333,1.6633333333333333,0.007703514054883271,0.09865268804132939,0.1332871072134003,0.0005997415307926227,0.0,0.0,0.0,0.0,0.0,0.0,-0.005032295547425747,-0.005753780249506235,0.0,-0.00018709923157681865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00651751541769651,0.49666666666666665,0.06925439111888408,1.302201711498201,2.361894656419754,0.0,0.5033333333333333,0.4966666666666667,0.49666666666666665,0.5033333333333333,0.0,0.0033333333333333335,0.5,0.0011655246664304293,0.0001227314700372518,0.0004031538963317869
