group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement,p95_torsion_change,high_flex_p95_torsion_change
all,medium_accepted,500,700,7.732,1.3223435635864735,0.0005563310496509075,0.24553664511814713,1.042624224420637,0.029916503357701005,0.08392515595122677,0.14936376808583737,0.009466666666666667,2.6149667974095793e-07,0.002,0.0,3.1902314476444733,0.7199211898179979,0.0,0.0012186270489063418,0.0014472410086078184,0.02560428436845541,0.31,0.000274241864105079,0.000631746227882104,0.69,2.684,0.02795126048801467,0.0419189709960483,0.09717462717648595,0.0012686606604447662,0.0,0.0,0.0,0.0,0.0,0.0,-0.01649523273482919,-0.20486472629010677,-0.0012142239091917873,-0.002008631816382149,-0.00413987734913826,-0.0005,1.3899065379519015e-08,0.0,0.0,0.0,-0.0001009159279210503,-0.07406765962071608,0.482,0.06877587428689003,1.3223435632288456,2.3768462426662444,0.010288496006280184,0.69,0.31000000000000005,0.31,0.696,0.0,0.012,0.682,0.005177410918986423,0.001133070926880463,0.0033849507570266717
all,medium_raw,500,700,7.732,1.3223631249815226,0.0005758924447000027,0.2462930061928928,1.0408998531550169,0.029916503357701005,0.08394720057457015,0.14978139835223556,0.0098,2.6149667974095793e-07,0.002,0.0,3.1902314476444733,0.7210029328319059,0.0,0.001267526381461721,0.0015057651448678372,0.02560428436845541,0.0,0.0002906315466723299,0.0006697357852535788,0.69,2.684,0.02795126048801467,0.0419189709960483,0.09717462717648595,0.0012686606604447662,0.0,0.0,0.0,0.0,0.0,0.0,-0.01573887166008353,-0.20658909755572677,-0.0012142239091917873,-0.0019865871930387583,-0.0037222470827400684,-0.0001666666666666667,1.3899065379519015e-08,0.0,0.0,0.0,-0.0001009159279210503,-0.07298591660680806,0.482,0.06877587428689003,1.3223631251603365,2.376865901708603,0.010292191021144391,0.69,0.31000000000000005,0.0,0.766,0.23,0.014,0.984,0.005177410918986423,0.0011584194682654916,0.0035120637738145877
all,upstream,500,700,7.732,1.3217872325368225,0.0,0.2620318778529763,1.2474889507107436,0.03113072726689279,0.08593378776760892,0.15350364543497563,0.009966666666666667,2.475976143614389e-07,0.002,0.0,3.1903323635723946,0.793988849438714,0.0,7.185659229378416e-07,7.91879917912297e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482,0.06884254094958306,1.3217872328907252,2.3759859224557878,0.011278490915894508,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3240843117046095e-06,0.0,0.0
ETFlow_normal,medium_accepted,300,300,7.59,1.3021205506225426,3.0767669280370076e-05,0.11881909222031634,0.3635115069088837,0.015515923015773297,0.058521775756283506,0.035654728213946024,0.011777777777777778,0.0,0.0,0.0,3.182969733692505,0.2872758418941052,0.0,6.856094788389555e-05,8.093344109634396e-05,0.0038212998770177364,0.5066666666666667,2.5595934247727806e-05,5.904788558837026e-05,0.49333333333333335,1.9,0.002567661931971088,0.04014723378233612,0.016397026636792968,0.00011078484180719291,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007280812226235867,-0.001698934609691302,-0.00011311417445540428,-6.271471712201067e-05,0.0,-0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,-0.0021149410621156524,0.49666666666666665,0.06925439111888408,1.3021205506225426,2.361812885602315,0.0,0.49333333333333335,0.5066666666666666,0.5066666666666667,0.49333333333333335,0.0,0.013333333333333334,0.4766666666666667,0.0002469600702170283,9.27244193007937e-05,0.0003175020217895507
ETFlow_normal,medium_raw,300,300,7.59,1.3021381064504385,4.832349717617035e-05,0.11948636811847488,0.36419300474226474,0.015515923015773297,0.05855435023571772,0.035654728213946024,0.011777777777777778,0.0,0.0,0.0,3.182969733692505,0.2881216358704676,0.0,0.00011084652561900535,0.00013214727457731593,0.0038212998770177364,0.0,4.2747097507268945e-05,9.905062480053554e-05,0.49333333333333335,1.9,0.002567661931971088,0.04014723378233612,0.016397026636792968,0.00011078484180719291,0.0,0.0,0.0,0.0,0.0,0.0,-6.080532446503639e-05,-0.0010174367763102054,-0.00011311417445540428,-3.0140237687798313e-05,0.0,-0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,-0.001269147085753275,0.49666666666666665,0.06925439111888408,1.3021381064504385,2.361829955180486,0.0,0.49333333333333335,0.5066666666666666,0.0,0.6133333333333333,0.38,0.016666666666666666,0.98,0.0003164741254295223,0.00010833662963705147,0.000388479232788085
ETFlow_normal,upstream,300,300,7.59,1.3020897829532623,0.0,0.11954717344293991,0.36521044151857496,0.0156290371902287,0.05858449047340552,0.035654728213946024,0.012611111111111111,0.0,0.0,0.0,3.182969733692505,0.28939078295622084,0.0,7.106439457989685e-07,7.830320992733656e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49666666666666665,0.06925439111888408,1.3020897829532623,2.361784588098526,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4048673563138438e-06,0.0,0.0
Cartesian_mild,medium_accepted,128,134,7.71875,1.350233264878625,0.0014274952409323305,0.46656681259628385,2.479249473195523,0.05555152702436317,0.13677221898069547,0.34194907342316583,0.006119791666666666,1.0618628039082978e-06,0.0078125,0.0,3.1698511975832933,1.539818689617338,0.0,0.003157064282460098,0.003781106523613964,0.02463117241859436,0.0078125,0.0006183629199938423,0.0014087054385072406,0.9921875,3.90625,0.04404329467615753,0.04409220791058033,0.23548215099435765,0.003214422877022116,0.0,0.0,0.0,0.0,0.0,0.0,-0.04280259180814028,-0.5715332212857902,-0.0028965206729480997,-0.004450991876638,-0.008523054595571011,0.0,4.7882281251077075e-08,0.0,0.0,0.0,-0.00047531939659268066,-0.1982181724849852,0.484375,0.076340069033904,1.3502332646457944,2.355614388361573,0.001233889619470574,0.9921875,0.0078125,0.0078125,0.9921875,0.0,0.0234375,0.96875,0.006768862484022973,0.0014868368161842227,0.004654249548912045
Cartesian_mild,medium_raw,128,134,7.71875,1.350257365644211,0.0014515960065182298,0.4673261997522786,2.4729136708192527,0.05555152702436317,0.13662703678528487,0.34278065600665286,0.006119791666666666,1.0618628039082978e-06,0.0078125,0.0,3.1698511975832933,1.5397894132138996,0.0,0.00320828854728461,0.003842562553472817,0.02463117241859436,0.0,0.000628926152302256,0.0014183874670834484,0.9921875,3.90625,0.04404329467615753,0.04409220791058033,0.23548215099435765,0.003214422877022116,0.0,0.0,0.0,0.0,0.0,0.0,-0.042043204652145505,-0.5778690236620605,-0.0028965206729480997,-0.004596174072048598,-0.0076914720120839775,0.0,4.7882281251077075e-08,0.0,0.0,0.0,-0.00047531939659268066,-0.1982474488884236,0.484375,0.076340069033904,1.3502573654113803,2.3556428235024214,0.001233889619470574,0.9921875,0.0078125,0.0,0.9921875,0.0078125,0.0234375,0.9765625,0.006768862484022973,0.0014868368161842227,0.004654249548912045
Cartesian_mild,upstream,128,134,7.71875,1.3488057696376927,0.0,0.5093694044044241,3.0507826944813132,0.05844804769731127,0.14122321085733347,0.35047212801873684,0.006119791666666666,1.0139805226572207e-06,0.0078125,0.0,3.170326516979886,1.7380368621023234,0.0,7.594129285415363e-07,8.382630229952781e-07,4.79215395898791e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484375,0.076340069033904,1.3488057685899548,2.3540341616608202,0.0012697136407950893,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4334479487843053e-06,0.0,0.0
Cartesian_medium,medium_accepted,87,87,8.977011494252874,1.4104857133037743,0.002282301584879557,0.5867006696503738,3.0539088386228714,0.08719750674676964,0.15688788059606462,0.5162180860837301,0.0,1.4434280556401816e-06,0.011494252873563218,0.0,3.1786215433814915,2.0158053914607894,0.0,0.004982295470183779,0.005929451767654939,0.02657739631831646,0.0,0.0010509070237474944,0.0026724417255682893,1.0,3.9885057471264367,0.14227499389999557,0.03598681535443355,0.3134893248307294,0.004995991021592769,0.0,0.0,0.0,0.0,0.0,0.0,-0.05656134260111842,-0.9771045405289223,-0.006372579919367001,-0.014550813382769796,-0.018613919101912398,0.0,8.931187792392127e-08,0.0,0.0,0.0,0.0005529485262612269,-0.3294615907884429,0.41379310344827586,0.04039146322971103,1.4104857133037743,2.536571316335393,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.008313978370279074,0.001864985120482743,0.006360191106796263
Cartesian_medium,medium_raw,87,87,8.977011494252874,1.4104934995886924,0.00229008786979763,0.5869880256981685,3.053666635491382,0.08719750674676964,0.15685566312943897,0.5162180860837301,0.0,1.4434280556401816e-06,0.011494252873563218,0.0,3.1786215433814915,2.0160241423590555,0.0,0.004999035458219634,0.005949105419775193,0.02657739631831646,0.0,0.0010571591487494245,0.002685884976205577,1.0,3.9885057471264367,0.14227499389999557,0.03598681535443355,0.3134893248307294,0.004995991021592769,0.0,0.0,0.0,0.0,0.0,0.0,-0.05627398655332368,-0.9773467436604116,-0.006372579919367001,-0.01458303084939547,-0.018613919101912398,0.0,8.931187792392127e-08,0.0,0.0,0.0,0.0005529485262612269,-0.32924283989017694,0.41379310344827586,0.04039146322971103,1.4104934995886924,2.536581409388575,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.008313978370279074,0.002026260946877301,0.006360191106796263
Cartesian_medium,upstream,87,87,8.977011494252874,1.4082034117188946,0.0,0.6432620122514922,4.031013379151794,0.09357008666613664,0.17143869397883443,0.5348320051856424,0.0,1.3541161777162604e-06,0.011494252873563218,0.0,3.17806859485523,2.3452669822492327,0.0,7.539134928811631e-07,8.276996734183604e-07,2.8709398520732066e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41379310344827586,0.040774604969326105,1.4082034117188946,2.5340516868679,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3463761547427567e-06,0.0,0.0
