group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement,p95_torsion_change,high_flex_p95_torsion_change
all,medium_accepted,500,700,7.732,1.3223435635864735,0.0005563310496509075,0.24553664511814713,1.042624224420637,0.029916503357701005,0.08392515595122677,0.14936376808583737,0.009466666666666667,2.6149667974095793e-07,0.002,0.0,3.1902314476444733,0.7199211898179979,0.0,0.0012186270489063418,0.0014472410086078184,0.02560428436845541,0.31,0.000274241864105079,0.000631746227882104,0.69,2.684,0.02795126048801467,0.0419189709960483,0.09717462717648595,0.0012686606604447662,0.0,0.0,0.0,0.0,0.0,0.0,-0.01649523273482919,-0.20486472629010677,-0.0012142239091917873,-0.002008631816382149,-0.00413987734913826,-0.0005,1.3899065379519015e-08,0.0,0.0,0.0,-0.0001009159279210503,-0.07406765962071608,0.482,0.06877587428689003,1.3223435632288456,2.3768462426662444,0.010288496006280184,0.69,0.31000000000000005,0.31,0.696,0.0,0.012,0.682,0.005177410918986423,0.001133070926880463,0.0033849507570266717
all,medium_raw,500,700,7.732,1.3223631249815226,0.0005758924447000027,0.2462930061928928,1.0408998531550169,0.029916503357701005,0.08394720057457015,0.14978139835223556,0.0098,2.6149667974095793e-07,0.002,0.0,3.1902314476444733,0.7210029328319059,0.0,0.001267526381461721,0.0015057651448678372,0.02560428436845541,0.0,0.0002906315466723299,0.0006697357852535788,0.69,2.684,0.02795126048801467,0.0419189709960483,0.09717462717648595,0.0012686606604447662,0.0,0.0,0.0,0.0,0.0,0.0,-0.01573887166008353,-0.20658909755572677,-0.0012142239091917873,-0.0019865871930387583,-0.0037222470827400684,-0.0001666666666666667,1.3899065379519015e-08,0.0,0.0,0.0,-0.0001009159279210503,-0.07298591660680806,0.482,0.06877587428689003,1.3223631251603365,2.376865901708603,0.010292191021144391,0.69,0.31000000000000005,0.0,0.766,0.23,0.014,0.984,0.005177410918986423,0.0011584194682654916,0.0035120637738145877
all,minimal_target,500,700,7.732,1.3230312489494682,0.0012440164126455784,0.09938484401907771,0.40474240237219783,0.025619312334805727,0.057661590075773345,0.07607406754419208,0.007966666666666667,2.505436059436761e-07,0.002,0.0,3.1889801156077473,0.32864613922034097,0.0,0.006445827365119328,0.008490385357441795,0.06463588029146194,0.043,0.005720317491992318,0.011670536198536866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1626470338338986,-0.8427465483385458,-0.005511414932087064,-0.028272197691835574,-0.07742957789078354,-0.002,2.945991582237184e-09,0.0,0.0,0.0,-0.001352247964646852,-0.465342710218373,0.482,0.06877587428689003,1.3230312486216427,2.3773242040872575,0.011555736724287271,1.0,0.0,0.043,0.988,0.0,0.256,0.728,0.022515542153269046,0.018456719722598776,0.04746323088183993
all,run_a_stage2b,500,700,7.732,1.3227387610524892,0.0009515285156667233,0.22980618706345557,0.9353028798997403,0.03028286095149815,0.08370628708675304,0.14853665514290332,0.009966666666666667,2.540245113777928e-07,0.002,0.0,3.190256151997143,0.6773449155956585,0.0,0.002008797808736432,0.0024915544157606746,0.013776013627648354,0.306,0.000329329309784498,0.0007512365493457764,0.694,2.483,0.06012139622820541,0.10630760035477578,0.33415980206802487,0.0023295968163220097,0.0,0.0,0.0,0.0,0.0,0.0,-0.03222569078952074,-0.31218607081100347,-0.00084786631539464,-0.002227500680855883,-0.004966990292072296,0.0,6.4268970163539055e-09,0.0,0.0,0.0,-7.621157525102662e-05,-0.11664393384305549,0.482,0.06877587428689003,1.3227387612909078,2.3773829561471937,0.009930547006428241,0.694,0.30600000000000005,0.306,0.702,0.0,0.006,0.696,0.007379521185066551,0.0014158545847749336,0.004235827474622055
all,stage_b_rescued,500,700,7.732,1.3262661583311857,0.0044789257943630215,0.17146126557141542,0.5620991643329617,0.017681681933812796,0.06481336953798109,0.0941172295100987,0.009966666666666667,2.8103915974497797e-07,0.002,0.0,3.186972056101103,0.45395525818888904,0.0,0.010331359693741405,0.0113548478350624,0.055753761902451515,0.568,0.0038479298997553995,0.007742506018839777,0.432,0.864,0.04268728705123067,0.07945009775459766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0905706122815609,-0.685389786377782,-0.013449045333079994,-0.02112041822962783,-0.05938641592487693,0.0,3.344154538353905e-08,0.0,0.0,0.0,-0.003360307471291639,-0.3400335912498249,0.482,0.06808891775459051,1.3262661578208208,2.381108036279678,0.01043589667789638,0.432,0.5680000000000001,0.568,0.438,0.0,0.006,0.432,0.033171333372592926,0.016071255481801914,0.04188893223181365
all,upstream,500,700,7.732,1.3217872325368225,0.0,0.2620318778529763,1.2474889507107436,0.03113072726689279,0.08593378776760892,0.15350364543497563,0.009966666666666667,2.475976143614389e-07,0.002,0.0,3.1903323635723946,0.793988849438714,0.0,7.185659229378416e-07,7.91879917912297e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482,0.06884254094958306,1.3217872328907252,2.3759859224557878,0.011278490915894508,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3240843117046095e-06,0.0,0.0
ETFlow_normal,medium_accepted,300,300,7.59,1.3021205506225426,3.0767669280370076e-05,0.11881909222031634,0.3635115069088837,0.015515923015773297,0.058521775756283506,0.035654728213946024,0.011777777777777778,0.0,0.0,0.0,3.182969733692505,0.2872758418941052,0.0,6.856094788389555e-05,8.093344109634396e-05,0.0038212998770177364,0.5066666666666667,2.5595934247727806e-05,5.904788558837026e-05,0.49333333333333335,1.9,0.002567661931971088,0.04014723378233612,0.016397026636792968,0.00011078484180719291,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007280812226235867,-0.001698934609691302,-0.00011311417445540428,-6.271471712201067e-05,0.0,-0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,-0.0021149410621156524,0.49666666666666665,0.06925439111888408,1.3021205506225426,2.361812885602315,0.0,0.49333333333333335,0.5066666666666666,0.5066666666666667,0.49333333333333335,0.0,0.013333333333333334,0.4766666666666667,0.0002469600702170283,9.27244193007937e-05,0.0003175020217895507
ETFlow_normal,medium_raw,300,300,7.59,1.3021381064504385,4.832349717617035e-05,0.11948636811847488,0.36419300474226474,0.015515923015773297,0.05855435023571772,0.035654728213946024,0.011777777777777778,0.0,0.0,0.0,3.182969733692505,0.2881216358704676,0.0,0.00011084652561900535,0.00013214727457731593,0.0038212998770177364,0.0,4.2747097507268945e-05,9.905062480053554e-05,0.49333333333333335,1.9,0.002567661931971088,0.04014723378233612,0.016397026636792968,0.00011078484180719291,0.0,0.0,0.0,0.0,0.0,0.0,-6.080532446503639e-05,-0.0010174367763102054,-0.00011311417445540428,-3.0140237687798313e-05,0.0,-0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,-0.001269147085753275,0.49666666666666665,0.06925439111888408,1.3021381064504385,2.361829955180486,0.0,0.49333333333333335,0.5066666666666666,0.0,0.6133333333333333,0.38,0.016666666666666666,0.98,0.0003164741254295223,0.00010833662963705147,0.000388479232788085
ETFlow_normal,minimal_target,300,300,7.59,1.3021843938032787,9.461085001627604e-05,0.00676434800028801,0.017346345339513694,0.008340677598801752,0.03658932411337143,0.0046192526444792745,0.009833333333333333,0.0,0.0,0.0,3.1845847203190663,0.04304152894012365,0.0,0.003327495397668751,0.005386567717376541,0.06463588029146194,0.013333333333333334,0.0028847198608733986,0.007067234662439054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1127828254426519,-0.3478640961790613,-0.0072883595914269485,-0.02199516636003409,-0.03103547556946675,-0.0027777777777777775,0.0,0.0,0.0,0.0,0.001614986626560683,-0.2463492540160972,0.49666666666666665,0.06925439111888408,1.3021843938032787,2.3618334233760834,0.0,1.0,0.0,0.013333333333333334,0.9866666666666667,0.0,0.42333333333333334,0.5566666666666666,0.011913091409951448,0.008387562399730089,0.026950863376259803
ETFlow_normal,run_a_stage2b,300,300,7.59,1.302201711498201,0.0001119285449385643,0.11451487789551416,0.35945664438108604,0.0156290371902287,0.05839739094380548,0.035654728213946024,0.012611111111111111,0.0,0.0,0.0,3.182969733692505,0.2828732632420229,0.0,0.0002268336033447819,0.000284179913824308,0.00875376258045435,0.49666666666666665,2.655445198418723e-05,6.304275205669304e-05,0.5033333333333333,1.6633333333333333,0.007703514030048003,0.09865268815308809,0.13328710691382487,0.0005997415279004296,0.0,0.0,0.0,0.0,0.0,0.0,-0.005032295547425747,-0.005753797137488922,0.0,-0.00018709952960004254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006517519714197988,0.49666666666666665,0.06925439111888408,1.302201711498201,2.361894656419754,0.0,0.5033333333333333,0.4966666666666667,0.49666666666666665,0.5033333333333333,0.0,0.0033333333333333335,0.5,0.0011655246664304293,0.0001227314700372518,0.0004031538963317869
ETFlow_normal,stage_b_rescued,300,300,7.59,1.3023112894843023,0.00022150653103987375,0.11818530932689707,0.3585521864860008,0.01566186733233432,0.05819155117204749,0.03487232079108556,0.012611111111111111,0.0,0.0,0.0,3.1833425637384525,0.28551654297594015,0.0,0.0006207671458310434,0.0006856457989596738,0.055746082216501236,0.9366666666666666,0.00020349642688718934,8.794434989492099e-05,0.06333333333333334,0.12666666666666668,0.04377289660274983,0.07246787812560797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013618641160428524,-0.006658255032574137,3.283014210561911e-05,-0.00039293930135803144,-0.0007824074228604635,0.0,0.0,0.0,0.0,0.0,0.00037283004594740245,-0.0038742399802807388,0.49666666666666665,0.06925439111888408,1.3023112894843023,2.3620665562152863,0.0,0.06333333333333334,0.9366666666666666,0.9366666666666666,0.06333333333333334,0.0,0.0033333333333333335,0.06,0.006731116352602851,0.0018904976546764382,0.0
ETFlow_normal,upstream,300,300,7.59,1.3020897829532623,0.0,0.11954717344293991,0.36521044151857496,0.0156290371902287,0.05858449047340552,0.035654728213946024,0.012611111111111111,0.0,0.0,0.0,3.182969733692505,0.28939078295622084,0.0,7.106439457989685e-07,7.830320992733656e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49666666666666665,0.06925439111888408,1.3020897829532623,2.361784588098526,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4048673563138438e-06,0.0,0.0
