group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement,p95_torsion_change,high_flex_p95_torsion_change
all,medium_accepted,500,700,7.732,1.3225326423682273,0.000745409831404686,0.23587184931710362,1.0457353986054658,0.030008356023579836,0.08340991384159951,0.14720741479098798,0.009966666666666667,2.515770829631947e-07,0.002,0.0,3.1900071718645804,0.7093408664871874,0.0,0.0016498137329083137,0.0019521123279733956,0.013264019740745425,0.285,0.00030780031141330254,0.0006734958385641221,0.715,2.348,0.05000286126323044,0.07541144764609635,0.8981669814139605,0.002437430652149487,0.0,0.0,0.0,0.0,0.0,0.0,-0.0261600285358727,-0.2017535521052778,-0.001122371243312955,-0.002523873926009401,-0.006296230643987656,0.0,3.979468601755798e-09,0.0,0.0,0.0,-0.00032519170781378204,-0.08464798295152651,0.482,0.06877587428689003,1.3225326423346997,2.376936167240143,0.010782554131001234,0.715,0.28500000000000003,0.285,0.72,0.0,0.004,0.716,0.004464010812807827,0.001021387474611401,0.0027207492210436614
all,medium_raw,500,700,7.732,1.322897201742977,0.0011099692061543466,0.24765063888207078,1.0698724949648604,0.030058640269562602,0.08339093654661338,0.14840494702383875,0.010299999999999998,2.515770829631947e-07,0.002,0.0,3.189819737575469,0.7287303356304234,0.0,0.0024385997204808517,0.0029039332491811367,0.013264019740745425,0.0,0.0004393151015501644,0.0009652113188058138,0.715,2.348,0.05000286126323044,0.07541144764609635,0.8981669814139605,0.002437430652149487,0.0,0.0,0.0,0.0,0.0,0.0,-0.014381238970905543,-0.17761645574588328,-0.0010720869973301888,-0.0025428512209955444,-0.0050986984111368655,0.0003333333333333333,3.979468601755798e-09,0.0,0.0,0.0,-0.0005126259969252436,-0.06525851380829037,0.482,0.06877587428689003,1.322897201411426,2.377316213130951,0.010829264413565397,0.715,0.28500000000000003,0.0,0.592,0.408,0.006,0.994,0.0044891297991853174,0.0010468680746271275,0.002918996958760544
all,upstream,500,700,7.732,1.3217872325368225,0.0,0.2620318778529763,1.2474889507107436,0.03113072726689279,0.08593378776760892,0.15350364543497563,0.009966666666666667,2.475976143614389e-07,0.002,0.0,3.1903323635723946,0.793988849438714,0.0,7.185659229378416e-07,7.91879917912297e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482,0.06884254094958306,1.3217872328907252,2.3759859224557878,0.011278490915894508,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3240843117046095e-06,0.0,0.0
ETFlow_normal,medium_accepted,300,300,7.59,1.3024052211642265,0.0003154382109642029,0.10806117406114936,0.35513240538537505,0.015477451210220655,0.05807184664667299,0.034321040473878385,0.012611111111111111,0.0,0.0,0.0,3.1828532395282014,0.2737718398643715,0.0,0.0006615103722952161,0.0007905950223714816,0.005526320543140173,0.4666666666666667,0.00011856131893485629,0.00027374504803447054,0.5333333333333333,1.38,0.01928066954637567,0.06222167721639077,0.9110684365530809,0.0018860054792215427,0.0,0.0,0.0,0.0,0.0,0.0,-0.011485999381790558,-0.01007803613319993,-0.00015158598000804583,-0.0005126438267325284,-0.001333687740067641,0.0,0.0,0.0,0.0,0.0,-0.00011649416430407733,-0.01561894309184936,0.49666666666666665,0.06925439111888408,1.3024052211642265,2.362119495670001,0.0,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.0,0.0,0.5333333333333333,0.0022849469212815167,0.0004466853206395172,0.0012336969608440984
ETFlow_normal,medium_raw,300,300,7.59,1.302984741665423,0.0008949587121605873,0.12613078969841202,0.3977267695947861,0.015587299953525265,0.05794276210989362,0.035437763035297394,0.012611111111111111,0.0,0.0,0.0,3.1825408490463487,0.3036843467245157,0.0,0.0018866542897497615,0.002270847785985097,0.007833207957446575,0.0,0.00032083564129910274,0.0007317843540416409,0.5333333333333333,1.38,0.01928066954637567,0.06222167721639077,0.9110684365530809,0.0018860054792215427,0.0,0.0,0.0,0.0,0.0,0.0,0.006583616255472104,0.03251632807621112,-4.173723670343558e-05,-0.0006417283635119019,-0.00021696517864863078,0.0,0.0,0.0,0.0,0.0,-0.0004288846461565132,0.014293563768294841,0.49666666666666665,0.06925439111888408,1.302984741665423,2.3627442353963852,0.0,0.5333333333333333,0.4666666666666667,0.0,0.33,0.67,0.0,1.0,0.002796434354968369,0.0006545319309225307,0.002322381734848021
ETFlow_normal,upstream,300,300,7.59,1.3020897829532623,0.0,0.11954717344293991,0.36521044151857496,0.0156290371902287,0.05858449047340552,0.035654728213946024,0.012611111111111111,0.0,0.0,0.0,3.182969733692505,0.28939078295622084,0.0,7.106439457989685e-07,7.830320992733656e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49666666666666665,0.06925439111888408,1.3020897829532623,2.361784588098526,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4048673563138438e-06,0.0,0.0
Cartesian_mild,medium_accepted,128,134,7.71875,1.3502122631762177,0.0014064935385249555,0.4554035549517721,2.503860460361466,0.05611196926474804,0.13649660069779657,0.3355822776793502,0.006119791666666666,1.0307057891623117e-06,0.0078125,0.0,3.1698511975832933,1.5289328895331418,0.0,0.0032463628629670893,0.0038359142851014383,0.00933755747973919,0.0078125,0.0005934280776429546,0.0012590129445015918,0.9921875,3.8515625,0.10957688806229271,0.10242049312364543,0.8715628562495112,0.003395712656129035,0.0,0.0,0.0,0.0,0.0,0.0,-0.05396584945265204,-0.5469222341198474,-0.0023360784325632267,-0.004726610159536904,-0.014889850339386612,0.0,1.6725266505090985e-08,0.0,0.0,0.0,-0.00047531939659268066,-0.20910397256918145,0.484375,0.076340069033904,1.3502122635254636,2.3556441054679453,0.0012728175788652152,0.9921875,0.0078125,0.0078125,0.9921875,0.0,0.0234375,0.96875,0.0044366128509864215,0.0012194171547889707,0.003610330668743699
Cartesian_mild,medium_raw,128,134,7.71875,1.3502333618234843,0.0014275921857915819,0.45641635241918266,2.5023999034892768,0.05598989895224804,0.1367652050422521,0.3381429502624087,0.006119791666666666,1.0307057891623117e-06,0.0078125,0.0,3.1698511975832933,1.5320863011391774,0.0,0.0033977825160036446,0.004010844082586118,0.013657758943736553,0.0,0.0006167072984268884,0.0012773125017702114,0.9921875,3.8515625,0.10957688806229271,0.10242049312364543,0.8715628562495112,0.003395712656129035,0.0,0.0,0.0,0.0,0.0,0.0,-0.05295305198524147,-0.5483827909920365,-0.0024581487450632267,-0.004458005815081378,-0.012329177756328136,0.0,1.6725266505090985e-08,0.0,0.0,0.0,-0.00047531939659268066,-0.2059505609631458,0.484375,0.076340069033904,1.3502333621727303,2.3556622159667313,0.0012728175788652152,0.9921875,0.0078125,0.0,0.9765625,0.0234375,0.03125,0.96875,0.004458626522682607,0.0012449794448912142,0.003610330668743699
Cartesian_mild,upstream,128,134,7.71875,1.3488057696376927,0.0,0.5093694044044241,3.0507826944813132,0.05844804769731127,0.14122321085733347,0.35047212801873684,0.006119791666666666,1.0139805226572207e-06,0.0078125,0.0,3.170326516979886,1.7380368621023234,0.0,7.594129285415363e-07,8.382630229952781e-07,4.79215395898791e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484375,0.076340069033904,1.3488057685899548,2.3540341616608202,0.0012697136407950893,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4334479487843053e-06,0.0,0.0
Cartesian_medium,medium_accepted,87,87,8.977011494252874,1.4100749054174313,0.0018714936985366646,0.5985814648113031,3.209478886648156,0.08852061185043776,0.15739428823085866,0.5178145101700706,0.0,1.3752499074760781e-06,0.011494252873563218,0.0,3.177145357614114,2.069624761548599,0.0,0.004265924722983919,0.004995303517528649,0.020717531442642212,0.0,0.0008470367935121336,0.0019248351307543017,1.0,4.0,0.15927065360820156,0.10972442212461055,0.8345040120612616,0.004263902774840679,0.0,0.0,0.0,0.0,0.0,0.0,-0.04468054744018905,-0.8215344925036375,-0.005049474815698876,-0.01404440574797577,-0.017017495015571857,0.0,2.1133729759817835e-08,0.0,0.0,0.0,-0.0009232372411155133,-0.2756422207006334,0.41379310344827586,0.04039146322971103,1.4100749054174313,2.536188227006759,0.0,1.0,0.0,0.0,1.0,0.0,0.011494252873563218,0.9885057471264368,0.0053675694856792685,0.0015805857023224235,0.003946074843406676
