method,molecule_id,sample_id,source,severity,update_scale,rotatable_bond_count,has_ring,clean_valid,groups,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,reject_reasons,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score
upstream,Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2,val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,ETFlow_formal_upstream,normal,0.0,1,True,False,all;ETFlow_normal;rotatable_le_2;ring,1.4835084676742554,0.0,0.0833333358168602,0.10540902614593506,0.015384615398943424,0.07312533259391785,0.05000000074505806,0.0,0.0,0.0,0.0,4.8283137373023015,0.1933515416458249,0.0,2.3158226269970328e-07,2.614604284190136e-07,5.462856051963172e-07,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,Brc1cccc(-c2nnc3n2CCC3)c1,val::Brc1cccc(-c2nnc3n2CCC3)c1__gen0001,ETFlow_formal_upstream,normal,0.0,1,True,False,all;ETFlow_normal;rotatable_le_2;ring,0.9318870306015015,0.0,0.18518517911434174,0.47644683718681335,0.0,0.0,0.06666667014360428,0.0,0.0,0.0,0.0,1.9955386533604735,0.37096355855464935,0.0,3.75341102198945e-07,4.170390468516416e-07,8.344650268554688e-07,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C#CCOCOCC#CCN(CC)CC,val::C#CCOCOCC#CCN(CC)CC__gen0001,ETFlow_formal_upstream,normal,0.0,9,False,False,all;ETFlow_normal;rotatable_ge_6;non_ring,1.3468668460845947,0.0,0.09090909361839294,0.1329912692308426,0.07017543911933899,0.3330903649330139,0.0,0.0,0.0,0.0,0.0,2.89299017501101,0.27760494127869606,0.0,3.3082505979109555e-07,3.5662509390022024e-07,5.70346685435652e-07,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C(=N_Nc1nc2ccccc2[nH]1)\c1ccccc1,val::C(=N_Nc1nc2ccccc2[nH]1)\c1ccccc1__gen0000::cartesian_s1_u0.350,Cartesian_teacher_100k,normal,0.35,3,True,False,all;unseen_update_scale_0.35;rotatable_3_5;ring,0.03892087563872337,0.0,0.1875,0.8498996496200562,0.0,0.0,0.125,0.0,0.0,0.0,0.0,1.972552909034633,0.524974912405014,0.0,4.6845065071465797e-07,4.959218244948715e-07,7.152557373046875e-07,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C(=N_Nc1nc2ccccc2[nH]1)\c1ccccc1,val::C(=N_Nc1nc2ccccc2[nH]1)\c1ccccc1__gen0000::cartesian_s2_u0.350,Cartesian_teacher_100k,mild,0.35,3,True,False,all;Cartesian_mild;unseen_update_scale_0.35;rotatable_3_5;ring,0.061237119138240814,0.0,0.40625,1.7337536811828613,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,1.972552909034633,1.2771884202957153,0.0,9.55126893131819e-07,1.0362452940171352e-06,1.719260808386025e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C=CC(=O)O,val::C=CC(=O)O__gen0001::cartesian_s1_u0.350,Cartesian_teacher_100k,normal,0.35,2,False,False,all;unseen_update_scale_0.35;rotatable_le_2;non_ring,0.8550778031349182,0.0,0.5,6.182852745056152,0.20000000298023224,0.42574256658554077,0.0,0.0,0.0,0.0,0.0,2.1324506387182343,2.3521488308906555,0.0,3.083696924477408e-07,3.296361512639123e-07,4.915124804938387e-07,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C=CC(=O)O,val::C=CC(=O)O__gen0001::cartesian_s2_u0.350,Cartesian_teacher_100k,mild,0.35,2,False,False,all;Cartesian_mild;unseen_update_scale_0.35;rotatable_le_2;non_ring,0.8434585928916931,0.0,0.875,11.622156143188477,0.20000000298023224,0.6673930287361145,0.0,0.0,0.0,0.0,0.0,2.1324506387182343,4.14738729596138,0.0,5.274559953249991e-07,5.956530912953895e-07,9.272306442653644e-07,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C=CCCCCCCCCc1nc(=S)[nH][nH]1,val::C=CCCCCCCCCc1nc(=S)[nH][nH]1__gen0001,ETFlow_formal_upstream,normal,0.0,9,True,False,all;ETFlow_normal;rotatable_ge_6;ring,1.2725961208343506,0.0,0.0810810774564743,0.38946548104286194,0.014925372786819935,0.22645403444766998,0.0,0.0,0.0,0.0,0.0,3.320689378611652,0.24998632911592722,0.0,1.0046297802546178e-06,1.0630272981870803e-06,1.6858739400049672e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C=CCNC(=O)c1onc(CSc2cccc3ccccc23)c1C(=O)O,val::C=CCNC(=O)c1onc(CSc2cccc3ccccc23)c1C(=O)O__gen0001,ETFlow_formal_upstream,normal,0.0,9,True,False,all;ETFlow_normal;rotatable_ge_6;ring,0.8841422200202942,0.0,0.1818181872367859,0.5608115792274475,0.05714285746216774,0.08274798095226288,0.0,0.0,0.0,0.0,0.0,3.3806864894746003,0.3998509347438812,0.0,5.569809786720725e-07,5.87931992868107e-07,9.610960205463925e-07,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1,val::C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1__gen0000::cartesian_s1_u0.350,Cartesian_teacher_100k,mild,0.35,12,True,False,all;Cartesian_mild;unseen_update_scale_0.35;rotatable_ge_6;ring,3.0087294578552246,0.0,0.4769230782985687,1.296523928642273,0.03418803587555885,0.030862877145409584,0.3888888955116272,0.0,0.0,0.0,0.0,3.40333391292082,1.2318467111326754,0.0,8.368610906472895e-07,9.512775704934029e-07,2.0509542082436383e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
