molecule_id,source_type,rotatable_bond_count,gate_mean,gate_p50,gate_p90,gate_p95,aligned_rms_displacement,mean_atom_displacement,max_atom_displacement,upstream_bond_violation,refined_bond_violation,delta_bond_violation,upstream_angle_violation,refined_angle_violation,delta_angle_violation,upstream_torsion_circular_error,refined_torsion_circular_error,delta_torsion_circular_error,upstream_ring_invalidity,refined_ring_invalidity,delta_ring_invalidity,upstream_clash_score,refined_clash_score,delta_clash_score,upstream_chirality_error,refined_chirality_error,delta_chirality_error,upstream_aligned_RMSD,refined_aligned_RMSD,delta_aligned_RMSD,delta_internal_error_sum,repair_outcome,upstream_COV_P,refined_COV_P,delta_COV_P,upstream_COV_R,refined_COV_R,delta_COV_R,upstream_MAT_P,refined_MAT_P,delta_MAT_P,upstream_MAT_R,refined_MAT_R,delta_MAT_R,upstream_diversity,refined_diversity,delta_diversity
Brc1ccc(-c2nc3ccccc3s2)s1,upstream_etflow_formal,1.0,0.039478546008467674,0.03817343059927225,0.04236256647855044,0.04315702309831977,0.006042013177648187,0.0049218381755054,0.013072186149656773,0.018537176772952052,0.0156273688189685,-0.0029098079539835514,0.019817933440208352,0.019014996476471348,-0.0008029369637370005,0.0083393090753816,0.00704585434868925,-0.0012934547266923505,0.02186404075473545,0.01738427020609375,-0.004479770548641699,0.0,0.0,0.0,0.0,0.0,0.0,0.0121006737463176,0.013291242532432,0.0011905687861143996,-0.009485970193054602,improved,1.0,1.0,0.0,1.0,1.0,0.0,0.0121006742119789,0.013291242532432,0.0011905683204530993,0.0121006742119789,0.013291242532432,0.0011905683204530993,1.5758477449417114,1.5772252082824707,0.0013774633407592773
Brc1ccc(C2=CSC3=NCCN23)cc1,upstream_etflow_formal,1.0,0.03995544742792845,0.03865122888237238,0.043043957091867924,0.04387635691091418,0.008192482171580195,0.006250347709283233,0.01879278663545847,0.014149532653391299,0.013058412820100701,-0.0010911198332905995,0.02065361291170115,0.0197023963555693,-0.0009512165561318502,0.23630696535110468,0.23228204250335688,-0.004024922847747803,0.019324243068695,0.01757487840950485,-0.0017493646591901493,0.0,0.0,0.0,0.0,0.0,0.0,1.3344768285751343,1.3347761034965515,0.00029927492141723633,-0.0078166238963604,improved,0.0,0.0,0.0,0.0,0.0,0.0,1.3344768285751345,1.3347761631011963,0.0002993345260617897,1.2892018556594849,1.2901136875152588,0.0009118318557739258,2.127635717391968,2.129709005355835,0.0020732879638667434
Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2,upstream_etflow_formal,1.0,0.03573000617325306,0.03461533039808273,0.03860113304108381,0.039275897201150656,0.007770411670207977,0.006346849258989096,0.019926427863538265,0.0116054564714431,0.0112606482580304,-0.0003448082134127001,0.01971268374472855,0.02034585364162915,0.0006331698969006001,0.0450564920902252,0.0484590902924537,0.0034025982022285062,0.01465925015509125,0.0139909028075635,-0.0006683473475277493,0.0,0.0,0.0,0.0,0.0,0.0,1.4431542754173279,1.4431323409080505,-2.193450927734375e-05,0.003022612538188657,improved,0.0,0.0,0.0,0.0,0.0,0.0,1.4431543350219729,1.443132400512695,-2.193450927778784e-05,1.891986846923828,1.8923568725585935,0.000370025634765625,0.7208296656608582,0.7218533754348755,0.001023709774017334
Brc1cccc(-c2nnc3n2CCC3)c1,upstream_etflow_formal,1.0,0.04223975399509072,0.04135340452194214,0.04459480457007885,0.04520147889852524,0.008049679920077324,0.006061042891815305,0.02338770590722561,0.01273705344647165,0.011413563042879049,-0.0013234904035925995,0.019813525490462752,0.01955673657357685,-0.00025678891688589965,0.07160687446594236,0.07152891159057614,-7.796287536620682e-05,0.01489225169643755,0.01402877131476995,-0.0008634803816676001,0.0,0.0,0.0,0.0,0.0,0.0,0.9361361265182495,0.9341334104537964,-0.0020027160644531805,-0.002521722577512306,improved,1.0,1.0,0.0,0.5,0.5,0.0,0.9361361265182496,0.9341334104537964,-0.002002716064453236,1.5301108360290527,1.527922511100769,-0.0021883249282836914,0.3978628516197204,0.3964427709579468,-0.0014200806617736261
Brc1cccc(CSc2nnc(-c3ccncc3)o2)c1,upstream_etflow_formal,4.0,0.03680979274213314,0.03498460818082094,0.040679586678743364,0.041804388910531995,0.006579628214240074,0.006059312494471669,0.013820271007716656,0.0132849626243114,0.0107418373227119,-0.0025431253015995,0.021173745393753,0.02071272209286685,-0.00046102330088614897,0.0699948333203792,0.06825480610132215,-0.001740027219057045,0.0154030849225819,0.0117032001726329,-0.003699884749949001,0.0,0.0,0.0,0.0,0.0,0.0,0.4280876964330673,0.4284368008375168,0.0003491044044494629,-0.008444060571491694,improved,1.0,1.0,0.0,0.0869565233588218,0.0869565233588218,0.0,0.4280877113342285,0.428436815738678,0.0003491044044494629,1.7113655805587769,1.7128479480743408,0.0014823675155639648,2.982748031616211,2.9849777221679688,0.0022296905517578125
Brc1cccc(OCCSc2ncccn2)c1,upstream_etflow_formal,5.0,0.03192189568653703,0.030225103721022606,0.03524555396288634,0.036274248454719785,0.008520668838173151,0.0077837686985731125,0.015760110691189766,0.0121560301631689,0.0102478330954909,-0.0019081970676780007,0.0189743489027023,0.0194849325343966,0.0005105836316942995,0.0809668973088264,0.0818895027041435,0.0009226053953170915,0.0153667177073657,0.01179142296314235,-0.00357529474422335,0.0,0.0,0.0,0.0,0.0,0.0,0.8515903353691101,0.8525409698486328,0.0009506344795227051,-0.00405030278488996,improved,1.0,1.0,0.0,0.0666666701436042,0.0666666701436042,0.0,0.8515903353691101,0.8525409698486328,0.0009506344795227051,1.917206048965454,1.919822096824646,0.0026160478591918945,1.8235830068588257,1.8292713165283203,0.005688309669494629
C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1,cartesian_teacher_100k,26.0,0.1374991424381733,0.13881651684641838,0.14051200151443483,0.14067400470376015,0.23928016424179077,0.22273918241262436,0.34567180275917053,0.1878137364983558,0.07179021462798116,-0.11602352187037464,0.1745917424559593,0.08914218842983244,-0.08544955402612685,1.0006914287805557,0.9640902690589429,-0.03660115972161282,0.17170715332031244,0.07925677113234995,-0.0924503821879625,1.6456483990623383e-05,2.974542985612061e-05,1.3288945865497226e-05,0.125,0.125,0.0,4.405061721801758,4.4729835987091064,0.06792187690734819,-0.3305113288602113,improved,0.0,0.0,0.0,0.0,0.0,0.0,4.497063636779785,4.562902450561523,0.06583881378173828,4.473206996917725,4.547250747680664,0.07404375076293945,3.632411956787109,3.7960147857666016,0.16360282897949263
C=CCCC(=O)Nc1ccc(Br)cn1,cartesian_teacher_100k,5.0,0.0962721174582839,0.09768720902502537,0.09947793334722518,0.09952131919562818,0.14604371041059494,0.13033528625965118,0.21966931968927383,0.1479046121239662,0.0716575570404529,-0.07624705508351329,0.12714858353137964,0.05333779752254485,-0.07381078600883481,0.1228840388357639,0.0434534680098295,-0.07943057082593441,0.045405537821352454,0.02918926812708375,-0.016216269694268703,0.0,0.0,0.0,0.0,0.0,0.0,0.9475273191928864,0.9969018697738647,0.04937455058097845,-0.24570468161255118,improved,0.5,0.5,0.0,1.0,1.0,0.0,1.3473037481307983,1.402451753616333,0.05514800548553467,0.9741681218147278,1.0186387300491333,0.04447060823440552,1.5684881210327148,1.7115416526794434,0.14305353164672852
C=CC[NH+]1C(c2ccccc2)=CS_C1=C(\C#N)c1nnc2n1CCCCC2,cartesian_teacher_100k,4.0,0.1180579848587513,0.11942422203719616,0.12087447755038738,0.12108017224818468,0.17318569123744965,0.1562015861272812,0.26592864096164703,0.1544690504670143,0.06557868421077725,-0.08889036625623706,0.1189627535641193,0.0541095752269029,-0.0648531783372164,0.09017457813024515,0.0738835576921701,-0.01629102043807505,0.14888136461377138,0.058910246938467,-0.0899711176753044,0.0,0.0,0.0,0.0,0.0,0.0,1.053231418132782,1.0810591876506805,0.02782776951789867,-0.2600056827068329,improved,0.0,0.0,0.0,0.0,0.0,0.0,1.4766740798950195,1.5273771286010742,0.05070304870605469,1.344367742538452,1.3979339599609375,0.053566217422485574,1.736769199371338,1.885419487953186,0.14865028858184814
C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1,cartesian_teacher_100k,12.0,0.12116006575524807,0.12211941741406918,0.12346368879079819,0.12363513112068177,0.22678688168525696,0.2108037918806076,0.31882019340991974,0.16347710043191904,0.03962974250316615,-0.1238473579287529,0.11506382748484605,0.0468612723052501,-0.06820255517959595,0.1252976097166538,0.047048479318618705,-0.0782491303980351,0.13697794079780573,0.03404628671705715,-0.10293165408074859,0.0,0.0,0.0,0.0,0.0,0.0,2.0764272212982178,2.14933317899704,0.07290595769882202,-0.37323069758713256,improved,0.0,0.0,0.0,0.0,0.0,0.0,2.783658266067505,2.862088203430176,0.0784299373626709,2.643024682998657,2.720897436141968,0.07787275314331144,3.630803823471069,3.837234973907471,0.20643115043640226
