group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement
all,minimal_validity_target,100,130,4.95,1.2504446169920265,0.0006725580710917711,0.0754941108636558,0.30579679454327563,0.022942677102983,0.06113589665386826,0.05547822959721088,0.006166666666666667,0.0,0.0,0.0,3.1439636562879265,0.25181485702980233,0.0,0.0054435380550559385,0.00753406778594325,0.05839197710156441,0.03,0.005078139959769032,0.005662149737472646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14539853351190687,-0.6948406405502464,-0.005412379540503025,-0.042323407561052594,-0.05498464489355683,-0.0016666666666666666,0.0,0.0,0.0,0.0,-0.0032757282100666953,-0.39175323664045814,0.54,0.237912260517478,1.2504446184635163,1.852432802952826,0.008596861381083726,1.0,0.0,0.03,0.98,0.0,0.38,0.6,0.020659668603911992
all,old_ecir_4step,100,130,4.95,1.256792582795024,0.007020523874089122,0.20195777866989373,0.7791456736437976,0.01715667525306344,0.0926133150808164,0.07068086963146925,0.007833333333333333,0.0,0.0,0.0,3.139614960102163,0.5155684040689132,0.0,0.018995804882142694,0.020892976159229873,0.13316302746534348,0.0,0.007983417121286038,0.01000620836392045,1.0,4.0,0.04098978262394667,0.06443844731897115,0.0,0.0,0.0,0.0,-0.018934865705668925,-0.22149176144972443,-0.011198381390422583,-0.010845989134104457,-0.03978200485929847,0.0,0.0,0.0,0.0,0.0,-0.007624424395828997,-0.1279996896013472,0.54,0.23657892685383558,1.2567925853468478,1.8597908002696932,0.005760644990950823,1.0,0.0,0.0,0.6,0.4,0.04,0.96,0.05256803836673497
all,old_restrained_mmff_target,100,130,4.95,1.267331040482968,0.017558981562033296,0.18104716653004288,0.3933775719814003,0.02230861149961129,0.12583530525298556,0.0692596641369164,0.0125,0.0,0.0,0.0,3.262990843179719,0.41491866147516704,0.0,0.124945525880903,0.1389247789233923,0.43492452800273895,0.0,0.09305841917986982,0.06569156801328063,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03984547784551978,-0.6072598631121218,-0.006046445143874734,0.022376001038064714,-0.04120321035385132,0.004666666666666666,0.0,0.0,0.0,0.0,0.11575145868172614,-0.22864943219509345,0.53,0.22791226029396058,1.2673310405388474,1.8642675684392451,0.010758982074330561,1.0,0.0,0.0,0.49,0.51,0.32,0.68,0.18678250014781952
all,run_a_accepted,100,130,4.95,1.2502930642012506,0.000521005280315876,0.19721075085923076,0.7936501752398908,0.027657919693738223,0.10193893789430149,0.10846501110121608,0.007833333333333333,0.0,0.0,0.0,3.147576272524327,0.5650642932710664,0.0,0.0013587663616519308,0.0017018673890066794,0.01182921463623643,0.445,0.000211517290554184,0.0005044153376366012,0.555,2.065,0.03608168258331716,0.10625347937457263,0.3024390769377351,0.0016740670165745542,0.0,0.0,-0.02368189351633191,-0.20698725985363126,-0.0006971369497478008,-0.0015203663206193596,-0.0019978633895516395,0.0,0.0,0.0,0.0,0.0,0.0003368880263336549,-0.07850380039919401,0.54,0.237912260517478,1.250293067181483,1.852373805809766,0.007524595875293016,0.555,0.44499999999999995,0.445,0.56,0.0,0.03,0.53,0.007121750863734633
all,run_a_raw,100,130,4.95,1.2504282168019563,0.0006561578810214997,0.2039953434281051,0.8147996187582612,0.027657919693738223,0.10196179650374688,0.10913167772814632,0.007833333333333333,0.0,0.0,0.0,3.147576272524327,0.577808627998825,0.0,0.0016769621803541669,0.002115829159884015,0.01182921463623643,0.0,0.00026297881894834065,0.0005241689129616134,0.555,2.065,0.03608168258331716,0.10625347937457263,0.3024390769377351,0.0016740670165745542,0.0,0.0,-0.01689730094745755,-0.18583781633526086,-0.0006971369497478008,-0.0014975077111739664,-0.0013311967626214026,0.0,0.0,0.0,0.0,0.0,0.0003368880263336549,-0.06575946567143547,0.54,0.237912260517478,1.2504282179940491,1.8525253374688326,0.007491412814706564,0.555,0.44499999999999995,0.0,0.54,0.46,0.03,0.97,0.007121750863734633
all,stage_b_rescued,100,130,4.95,1.2527520203124731,0.0029799613915383817,0.14804063094779848,0.48215914107859137,0.018795149272773416,0.08695210060221142,0.07105298845097423,0.007833333333333333,0.0,0.0,0.0,3.1445655968206876,0.38799991242508014,0.0,0.008260363295707548,0.009118155647487072,0.05179675854742527,0.39,0.003239865013747476,0.004267779937945307,0.61,1.22,0.04100006906315684,0.06705385949462653,0.0,0.0,0.0,0.0,-0.07285201342776418,-0.5184782940149307,-0.009559907370712608,-0.01650720361270942,-0.03940988603979349,0.0,0.0,0.0,0.0,0.0,-0.0026737876773049174,-0.2555681812451803,0.54,0.237912260517478,1.25275202116929,1.8549025035090745,0.007493061032146215,0.61,0.39,0.39,0.61,0.0,0.03,0.58,0.03288716906681657
all,upstream,100,130,4.95,1.249772058920935,0.0,0.22089264437556266,1.000637435093522,0.02835505664348602,0.10345930421492085,0.11046287449076772,0.007833333333333333,0.0,0.0,0.0,3.1472393844979933,0.6435680936702605,0.0,6.595224209604567e-07,7.273374808391963e-07,2.6656007321435027e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.237912260517478,1.2497720551583915,1.8516681305505336,0.008329847287386656,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2613921484216915e-06
ETFlow_normal,minimal_validity_target,70,70,4.071428571428571,1.1245871544948647,-2.8044317982026507e-05,0.010401611562286105,0.021575344626658728,0.01086403424186366,0.04313025656488857,0.008577060539807592,0.0064285714285714285,0.0,0.0,0.0,3.122891943733465,0.052447678070415615,0.0,0.003252596412876788,0.005245789697097182,0.04359887167811394,0.014285714285714285,0.003147381752569345,0.0034804300970530935,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11231723853519984,-0.335334439835112,-0.007442391417654497,-0.028087224079562084,-0.03150076057229723,0.0,0.0,0.0,0.0,0.0,0.0005301810781927279,-0.2421158065038201,0.6,0.16844608645353998,1.1245871544948647,1.9864568584199462,0.0,1.0,0.0,0.014285714285714285,0.9857142857142858,0.0,0.5285714285714286,0.45714285714285713,0.010350771527737378
ETFlow_normal,old_ecir_4step,70,70,4.071428571428571,1.1292003966069648,0.004585197794118098,0.18097450594816888,0.6698643919878773,0.017287488261769925,0.07884404551171298,0.056247405734445366,0.0064285714285714285,0.0,0.0,0.0,3.1235519271076972,0.44811508074785317,0.0,0.01258969684796674,0.01393935574617769,0.06108850613236427,0.0,0.00602337158343289,0.004526932351291179,1.0,4.0,0.04013685363211802,0.05540293902158737,0.0,0.0,0.0,0.0,0.05825565585068294,0.3129546075261065,-0.0010189373977482318,0.007626564867262329,0.016169584622340544,0.0,0.0,0.0,0.0,0.0,0.0011901644524253464,0.15355159617361747,0.6,0.16654132407690797,1.1292003966069648,1.9919385983741709,0.0,1.0,0.0,0.0,0.44285714285714284,0.5571428571428572,0.02857142857142857,0.9714285714285714,0.033990519307553764
ETFlow_normal,old_restrained_mmff_target,70,70,4.071428571428571,1.136927597065057,0.012312398252210447,0.1801840499575649,0.3501797796892268,0.02469891786043133,0.11714847927879808,0.07402333122278963,0.008333333333333331,0.0,0.0,0.0,3.267243104095933,0.4040716971161254,0.0,0.12414362598210574,0.1385292963790042,0.4022693336009979,0.0,0.09703117696668155,0.0566131201173578,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05746519986007895,-0.006730004772543907,0.006392492200913174,0.04593099863434743,0.03394551011068481,0.0019047619047619043,0.0,0.0,0.0,0.0,0.1448813414406607,0.10950821254188971,0.6,0.1684460861342294,1.136927597065057,1.991263836249709,0.0,1.0,0.0,0.0,0.2714285714285714,0.7285714285714285,0.37142857142857144,0.6285714285714286,0.18693112432956696
