group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement,p95_torsion_change,high_flex_p95_torsion_change
all,run_a_accepted,100,130,4.95,1.2502930642012506,0.000521005280315876,0.19721075085923076,0.7936501898430288,0.027657919693738223,0.10193894069408999,0.10846501110121608,0.007833333333333333,0.0,0.0,0.0,3.147576272524327,0.5650642976217981,0.0,0.0013587667752173616,0.0017018678997789039,0.011828671209514141,0.445,0.00021151768316485687,0.000504415933683049,0.555,2.065,0.03608168273465708,0.10625347920693456,0.3024390900041908,0.0016740670510080235,0.0,0.0,0.0,0.0,0.0,0.0,-0.02368189351633191,-0.20698724525049328,-0.0006971369497478008,-0.0015203635208308696,-0.0019978633895516395,0.0,0.0,0.0,0.0,0.0,0.0003368880263336549,-0.07850379604846239,0.54,0.237912260517478,1.250293067181483,1.852373805809766,0.007524596005678177,0.555,0.44499999999999995,0.445,0.56,0.0,0.03,0.53,0.007121748698409647,0.001243099264684133,0.006031574384542178
all,run_b_accepted,100,130,4.95,1.2502034883294255,0.0004314294084906578,0.19876890717074275,0.8393622693046927,0.028274466544389726,0.10322926885681227,0.10921287434175611,0.007833333333333333,0.0,0.0,0.0,3.147576272524327,0.5797374659305982,0.0,0.0011272544187406197,0.0014513954554706743,0.014749734429642558,0.455,0.00017266002247197322,0.00037957445194479076,0.545,1.925,0.0349089665338397,0.10978357446379959,0.2431467907410115,0.001677007460821187,5.465561095547855e-06,2.923346544614347e-08,1.8537824658437785e-07,0.03,4.3223127632607827e-10,8.529729071293723e-08,-0.02212373720481992,-0.16127516578882933,-8.059009909629822e-05,-0.0002300353581085801,-0.0012500001490116119,0.0,0.0,0.0,0.0,0.0,0.0003368880263336549,-0.0638306277396623,0.54,0.237912260517478,1.2502034880127757,1.8522046392969786,0.007924999948590994,0.545,0.45499999999999996,0.455,0.55,0.0,0.03,0.52,0.004956129076890647,0.0009301225552917458,0.004359186516376207
all,run_b_raw,100,130,4.95,1.2504490481875836,0.0006769892666488885,0.21122524226084352,0.8808599967882037,0.028761376459151507,0.10306306564249099,0.10971287434920668,0.007833333333333333,0.0,0.0,0.0,3.147576272524327,0.6035135920102087,0.0,0.0016840012712054887,0.0021849818882765247,0.016639889683574438,0.0,0.00025696656458649156,0.0004417338993516751,0.545,1.925,0.0349089665338397,0.10978357446379959,0.2431467907410115,0.001677007460821187,5.465561095547855e-06,2.923346544614347e-08,1.8537824658437785e-07,0.03,4.3223127632607827e-10,8.529729071293723e-08,-0.009667402114719153,-0.11977743830531835,0.0004063198156654835,-0.0003962385724298656,-0.0007500001415610314,0.0,0.0,0.0,0.0,0.0,0.0003368880263336549,-0.040054501660051756,0.54,0.237912260517478,1.2504490463994444,1.8524771904572845,0.007944789323955774,0.545,0.45499999999999996,0.0,0.5,0.5,0.03,0.97,0.004956129076890647,0.0009301225552917458,0.004359186516376207
all,upstream,100,130,4.95,1.249772058920935,0.0,0.22089264437556266,1.000637435093522,0.02835505664348602,0.10345930421492085,0.11046287449076772,0.007833333333333333,0.0,0.0,0.0,3.1472393844979933,0.6435680936702605,0.0,6.595224209604567e-07,7.273374808391963e-07,2.6656007321435027e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.237912260517478,1.2497720551583915,1.8516681305505336,0.008329847287386656,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2613921484216915e-06,0.0,0.0
ETFlow_normal,run_a_accepted,70,70,4.071428571428571,1.1246996764226684,8.44776098217283e-05,0.11841230943266834,0.3474049245406474,0.018306425659518157,0.07049089770298451,0.040077821112104825,0.0064285714285714285,0.0,0.0,0.0,3.122361762655272,0.28769908319377074,0.0,0.00021535518007332095,0.0002669869415066322,0.004963457118719816,0.6142857142857143,2.902597643696936e-05,2.1498118128095355e-05,0.38571428571428573,1.3571428571428572,0.006456925194444401,0.10057139287569693,0.1502901497430035,0.0005709739336193057,0.0,0.0,0.0,0.0,0.0,0.0,-0.004306540664817606,-0.0095048599211233,0.0,-0.0007265829414661441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006864401380464967,0.6,0.16844608645353998,1.1246996764226684,1.986569631711713,0.0,0.38571428571428573,0.6142857142857143,0.6142857142857143,0.38571428571428573,0.0,0.014285714285714285,0.37142857142857144,0.0015467935998458389,0.0001645747455768287,0.0005594789981842036
ETFlow_normal,run_b_accepted,70,70,4.071428571428571,1.124756957896586,0.00014175908373934882,0.11534232494554349,0.3459252229226487,0.018306425659518157,0.0711113397065284,0.040077821112104825,0.0064285714285714285,0.0,0.0,0.0,3.122361762655272,0.2844142838030322,0.0,0.0003376684235973926,0.00042536345450473945,0.004292421042919159,0.6285714285714286,5.400864143406839e-05,4.209556749888829e-05,0.37142857142857144,1.1857142857142857,0.003998072151028152,0.11342606211879423,0.14245202159509063,0.0010412511430331506,7.475992286539882e-06,3.996898371002747e-08,2.6482606654911123e-07,0.04285714285714286,6.174732518943975e-10,1.218532724470532e-07,-0.007376525151942458,-0.010984561539122037,0.0,-0.00010614093792225634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01014920077120353,0.6,0.16844608645353998,1.124756957896586,1.9866410985322935,0.0,0.37142857142857144,0.6285714285714286,0.6285714285714286,0.37142857142857144,0.0,0.014285714285714285,0.35714285714285715,0.0018542884441558253,0.0003251969814300535,0.0006905674934387191
ETFlow_normal,run_b_raw,70,70,4.071428571428571,1.1250810782558152,0.00046587944296853885,0.1316032502534134,0.40220828636416367,0.018597970843049032,0.07091507132032088,0.04079210683703423,0.0064285714285714285,0.0,0.0,0.0,3.122361762655272,0.3157027387831892,0.0,0.0010457826154639145,0.0013570758048444987,0.004813493695110083,0.0,0.00016375410361238858,0.00012800735920401557,0.37142857142857144,1.1857142857142857,0.003998072151028152,0.11342606211879423,0.14245202159509063,0.0010412511430331506,7.475992286539882e-06,3.996898371002747e-08,2.6482606654911123e-07,0.04285714285714286,6.174732518943975e-10,1.218532724470532e-07,0.008884400155927454,0.04529850190239293,0.0002915451835308756,-0.0003024093241297773,0.0007142857249294008,0.0,0.0,0.0,0.0,0.0,0.0,0.021139254208953517,0.6,0.16844608645353998,1.1250810782558152,1.9870076313614846,0.0,0.37142857142857144,0.6285714285714286,0.0,0.3,0.7,0.014285714285714285,0.9857142857142858,0.0025111708324402566,0.0004537761211395263,0.0011080265045166008
ETFlow_normal,upstream,70,70,4.071428571428571,1.1246151988128466,0.0,0.12271885009748595,0.35690978446177074,0.018306425659518157,0.07121748064445066,0.040077821112104825,0.0064285714285714285,0.0,0.0,0.0,3.122361762655272,0.2945634845742357,0.0,6.240870137373479e-07,6.865387786904518e-07,2.6656007321435027e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.16844608645353998,1.1246151988128466,1.9864763053134085,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3657677584433257e-06,0.0,0.0
Cartesian_mild,run_a_accepted,22,22,6.318181818181818,1.484206854958426,0.001869720152833245,0.441159110177647,2.221239295872775,0.05511713950810107,0.19712182705883274,0.34435956383293326,0.01515151515151515,0.0,0.0,0.0,3.265977452433258,1.4603776094030982,0.0,0.00499881243796484,0.006362034941301689,0.014045302756130695,0.045454545454545456,0.0006379892914661799,0.0013604963632215831,0.9545454545454546,3.727272727272727,0.13413998518477788,0.12226743894544514,0.7756066071716222,0.005376900731458922,0.0,0.0,0.0,0.0,0.0,0.0,-0.08379460193894127,-0.898303134874864,-0.004845938052643429,-0.002997273960235444,-0.008838383988900618,0.0,0.0,0.0,0.0,0.0,0.0,-0.3228040261892602,0.4090909090909091,0.4090909090909091,1.484206854958426,1.484206854958426,0.0,0.9545454545454546,0.045454545454545414,0.045454545454545456,0.9545454545454546,0.0,0.045454545454545456,0.9090909090909091,0.00803917997982353,0.0014665610447991636,0.006818834203295409
Cartesian_mild,run_b_accepted,22,22,6.318181818181818,1.4836441688239574,0.0013070340183648195,0.45180814374576916,2.418749289079146,0.05945802708579735,0.2010205471359024,0.34435956383293326,0.01515151515151515,0.0,0.0,0.0,3.265977452433258,1.5257197088697767,0.0,0.0035264039886028927,0.0046306581955636,0.014293038286268711,0.045454545454545456,0.00043900187500350347,0.0010650225713933733,0.9545454545454546,3.8181818181818183,0.13831289671361446,0.09530406843193552,0.5684393358162858,0.003682283343302763,9.912517022960607e-07,5.343618719228454e-09,0.0,0.0,0.0,0.0,-0.07314556837081909,-0.700793141668493,-0.0005050504749471492,0.0009014461168342016,-0.008838383988900618,0.0,0.0,0.0,0.0,0.0,0.0,-0.25746192672258156,0.4090909090909091,0.4090909090909091,1.4836441688239574,1.4836441688239574,0.0,0.9545454545454546,0.045454545454545414,0.045454545454545456,0.9545454545454546,0.0,0.045454545454545456,0.9090909090909091,0.005692134983837604,0.0010355485894251613,0.006382596492767331
