group,method,molecules,records,torsion_prior_outlier_score,mean_torsion_change,p95_torsion_change,high_flex_torsion_change,high_flex_p95_torsion_change,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction
all,run_a_accepted,100,130,3.147576272524327,0.00021151768316485687,0.001243099264684133,0.000504415933683049,0.006031574384542178,0.0,0.0,0.0,0.0
all,run_b_accepted,100,130,3.147576272524327,0.00017266002247197322,0.0009301225552917458,0.00037957445194479076,0.004359186516376207,1.8537824658437785e-07,0.03,4.3223127632607827e-10,8.529729071293723e-08
all,run_b_raw,100,130,3.147576272524327,0.00025696656458649156,0.0009301225552917458,0.0004417338993516751,0.004359186516376207,1.8537824658437785e-07,0.03,4.3223127632607827e-10,8.529729071293723e-08
all,upstream,100,130,3.1472393844979933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETFlow_normal,run_a_accepted,70,70,3.122361762655272,2.902597643696936e-05,0.0001645747455768287,2.1498118128095355e-05,0.0005594789981842036,0.0,0.0,0.0,0.0
ETFlow_normal,run_b_accepted,70,70,3.122361762655272,5.400864143406839e-05,0.0003251969814300535,4.209556749888829e-05,0.0006905674934387191,2.6482606654911123e-07,0.04285714285714286,6.174732518943975e-10,1.218532724470532e-07
ETFlow_normal,run_b_raw,70,70,3.122361762655272,0.00016375410361238858,0.0004537761211395263,0.00012800735920401557,0.0011080265045166008,2.6482606654911123e-07,0.04285714285714286,6.174732518943975e-10,1.218532724470532e-07
ETFlow_normal,upstream,70,70,3.122361762655272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartesian_mild,run_a_accepted,22,22,3.265977452433258,0.0006379892914661799,0.0014665610447991636,0.0013604963632215831,0.006818834203295409,0.0,0.0,0.0,0.0
Cartesian_mild,run_b_accepted,22,22,3.265977452433258,0.00043900187500350347,0.0010355485894251613,0.0010650225713933733,0.006382596492767331,0.0,0.0,0.0,0.0
Cartesian_mild,run_b_raw,22,22,3.265977452433258,0.00044771990095879033,0.0010355485894251613,0.0010650225713933733,0.006382596492767331,0.0,0.0,0.0,0.0
Cartesian_mild,upstream,22,22,3.265977452433258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartesian_medium,run_a_accepted,7,7,3.11372667671764,0.0017870476170043861,0.0025907174916937944,0.00614437460899353,0.009918069839477536,0.0,0.0,0.0,0.0
Cartesian_medium,run_b_accepted,7,7,3.11372667671764,0.0010589565333378101,0.0015860181301832197,0.003861244335504515,0.006367993494495748,0.0,0.0,0.0,0.0
Cartesian_medium,run_b_raw,7,7,3.11372667671764,0.0010589565333378101,0.0015860181301832197,0.003861244335504515,0.006367993494495748,0.0,0.0,0.0,0.0
Cartesian_medium,upstream,7,7,3.11372667671764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartesian_severe,upstream,0,0,,,,,,,,,
Cartesian_severe,run_a_accepted,0,0,,,,,,,,,
Cartesian_severe,run_b_raw,0,0,,,,,,,,,
Cartesian_severe,run_b_accepted,0,0,,,,,,,,,
unseen_update_scale_0.35,run_a_accepted,30,60,3.2064101288854565,0.0006373316655299277,0.0016190244263270866,0.0016312241699779407,0.007787355850450693,0.0,0.0,0.0,0.0
unseen_update_scale_0.35,run_b_accepted,30,60,3.2064101288854565,0.00044951324489375113,0.0010685260815080254,0.0011670251823185632,0.006438753008842467,0.0,0.0,0.0,0.0
unseen_update_scale_0.35,run_b_raw,30,60,3.2064101288854565,0.00047446230685939855,0.0010685260815080254,0.0011737624930295472,0.006438753008842467,0.0,0.0,0.0,0.0
unseen_update_scale_0.35,upstream,30,60,3.205287168797677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rotatable_le_2,run_a_accepted,29,34,3.014537271596933,5.014815542381257e-05,0.00017868279828689985,0.0,0.0,0.0,0.0,0.0,0.0
rotatable_le_2,run_b_accepted,29,34,3.014537271596933,6.136404157712541e-05,0.00026845932006835927,0.0,0.0,6.006948109808067e-07,0.06896551724137931,1.3892389939578734e-09,2.770541247133942e-07
rotatable_le_2,run_b_raw,29,34,3.014537271596933,0.00012361123387155863,0.00041476488113403306,0.0,0.0,6.006948109808067e-07,0.06896551724137931,1.3892389939578734e-09,2.770541247133942e-07
rotatable_le_2,upstream,29,34,3.014537271596933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rotatable_3_5,run_a_accepted,37,47,3.2222328065073915,0.00013335227983613573,0.0005961114075034855,0.0,0.0,0.0,0.0,0.0,0.0
