subset,method,molecules,bond_violation,angle_violation,torsion_circular_error,ring_invalidity,clash_score,chirality_error,aligned_RMSD,ms_per_conformer,COV_P,COV_R,MAT_P,MAT_R,diversity
MMFF_supported,ECIR_4step_teacher,50,0.038059917306527496,0.034892631135880946,0.08757313165813685,0.03426965586841106,5.949085971224122e-07,0.0025,1.2978761361539364,67.9929270001594,,,,,
MMFF_supported,MMFF_10step,50,0.01662859506555833,0.023503595921210943,0.07068194307154045,0.015803150837309658,0.0,0.0025,1.3193626133725047,5.824519000889268,,,,,
MMFF_supported,MMFF_50step,50,0.0,0.0,0.0,0.0,0.0,0.0,1.3181000050157308,10.36973200069042,,,,,
MMFF_supported,upstream,50,0.0783109409827739,0.060698176100850106,0.10492729440098629,0.0691342040989548,3.2912967981246763e-07,0.0025,1.2787065468262881,0.0,,,,,
all,ECIR_4step_teacher,50,0.038059917306527496,0.034892631135880946,0.08757313165813685,0.03426965586841106,5.949085971224122e-07,0.0025,1.2978761361539364,67.9929270001594,0.43,0.34707246519625184,1.490739673692733,1.5212705940939486,2.102057239934802
all,MMFF_10step,50,0.01662859506555833,0.023503595921210943,0.07068194307154045,0.015803150837309658,0.0,0.0025,1.3193626133725047,5.824519000889268,0.42,0.32773913197219373,1.5163972964137793,1.546302877664566,2.160617696437985
all,MMFF_50step,50,0.0,0.0,0.0,0.0,0.0,0.0,1.3181000050157308,10.36973200069042,0.42,0.32840579859912394,1.5124384523183108,1.5425527331978082,2.0638042687741107
all,upstream,50,0.0783109409827739,0.060698176100850106,0.10492729440098629,0.0691342040989548,3.2912967981246763e-07,0.0025,1.2787065468262881,0.0,0.43,0.3477391319721937,1.4662331240996718,1.499986935146153,2.0352800135314464
ring,ECIR_4step_teacher,50,0.038059917306527496,0.034892631135880946,0.08757313165813685,0.03426965586841106,5.949085971224122e-07,0.0025,1.2978761361539364,67.9929270001594,,,,,
ring,MMFF_10step,50,0.01662859506555833,0.023503595921210943,0.07068194307154045,0.015803150837309658,0.0,0.0025,1.3193626133725047,5.824519000889268,,,,,
ring,MMFF_50step,50,0.0,0.0,0.0,0.0,0.0,0.0,1.3181000050157308,10.36973200069042,,,,,
ring,upstream,50,0.0783109409827739,0.060698176100850106,0.10492729440098629,0.0691342040989548,3.2912967981246763e-07,0.0025,1.2787065468262881,0.0,,,,,
rotatable_3_5,ECIR_4step_teacher,18,0.04175868392404583,0.03462582340257035,0.0760210953756339,0.03311463031503889,0.0,0.0,1.1545350373619132,65.25796388935608,,,,,
rotatable_3_5,MMFF_10step,18,0.017455388701313898,0.02356829487770382,0.06628223321038401,0.015638195916027244,0.0,0.0,1.1751542605666652,4.879625001194654,,,,,
rotatable_3_5,MMFF_50step,18,0.0,0.0,0.0,0.0,0.0,0.0,1.1696671141932409,8.879147223019068,,,,,
rotatable_3_5,upstream,18,0.0754028734130164,0.056278339535411864,0.08699818638463815,0.060448558147375785,0.0,0.0,1.1425834720333417,0.0,,,,,
rotatable_ge_6,ECIR_4step_teacher,17,0.05698595209704602,0.04795160336310372,0.10799678179490216,0.05317377663381836,1.7497311680070947e-06,0.007352941176470588,1.9222943730214064,63.70052352919147,,,,,
rotatable_ge_6,MMFF_10step,17,0.027651754474979553,0.03907336343956344,0.09035799015477738,0.02658949691720088,0.0,0.007352941176470588,1.95942562993835,8.163258823247709,,,,,
rotatable_ge_6,MMFF_50step,17,0.0,0.0,0.0,0.0,0.0,0.0,1.954064173733487,15.229073531158706,,,,,
rotatable_ge_6,upstream,17,0.13865798007806435,0.1009226466583855,0.14626291421625545,0.12482999265193939,9.680284700366696e-07,0.007352941176470588,1.878758035161916,0.0,,,,,
