accepted,aligned_RMSD,aligned_rms_displacement,angle_outlier_magnitude,angle_outlier_rate,angle_target_mae_rad,bond_outlier_magnitude,bond_outlier_rate,bond_target_mae,chirality_error,clash_penetration,clash_score,delta_aligned_RMSD,delta_angle_outlier_magnitude,delta_angle_outlier_rate,delta_angle_target_mae_rad,delta_bond_outlier_magnitude,delta_bond_outlier_rate,delta_bond_target_mae,delta_chirality_error,delta_clash_penetration,delta_clash_score,delta_ring_bond_outlier_rate,delta_ring_bond_target_mae,delta_ring_planarity_outlier_rate,delta_severe_clash_rate,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_torsion_reference_error,delta_total_thresholded_validity_score,gate,has_ring,input_aligned_RMSD,input_angle_outlier_magnitude,input_angle_outlier_rate,input_angle_target_mae_rad,input_bond_outlier_magnitude,input_bond_outlier_rate,input_bond_target_mae,input_chirality_error,input_clash_penetration,input_clash_score,input_ring_bond_outlier_rate,input_ring_bond_target_mae,input_ring_planarity_outlier_rate,input_severe_clash_rate,input_stereocenter_degenerate_rate,input_torsion_prior_outlier_score,input_torsion_reference_error,input_total_thresholded_validity_score,max_atom_displacement,mean_atom_displacement,raw_delta_aligned_RMSD,ring_bond_outlier_rate,ring_bond_target_mae,ring_planarity_outlier_rate,rollout_steps,rotatable_bond_count,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,torsion_reference_error,total_thresholded_validity_score,uncertainty,update_scale,validity_gain,view_cartesian_severity,view_etflow_normal,view_mixed,input_COV_P,input_COV_R,input_MAT_P,input_MAT_R,input_diversity,COV_P,COV_R,MAT_P,MAT_R,diversity,delta_COV_P,delta_COV_R,delta_MAT_P,delta_MAT_R,delta_diversity,molecules,records,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,raw_RMSD_worsened_fraction,time_schedule_mode,fixed_t,teacher_steps,trust_radius_scale,gate_threshold,phase,acceptance_mode,config_id,elapsed_seconds,explicit_time_schedule
0.96,1.278870694320649,0.0009430131561020971,0.9762488047784427,0.15586124452296646,0.06024110933765769,16.515416064653547,0.42244378527626397,0.077784488722682,0.0025,3.228844525438035e-07,3.228844525438035e-07,0.0001641386654227972,-0.01605382475478109,-0.00174594983458519,-0.00045706676319241525,-0.12859926151111722,-0.0013395197689533233,-0.0005264522600919009,0.0,-6.245227268664166e-09,-6.245227268664166e-09,-0.0025105397403240204,-0.0005076381657272577,0.0,0.0,0.0,-0.0018940203065586836,-0.0003486130747478455,-0.04175928715556438,0.06917550208047032,1.0,1.2787065556552262,0.9923026295332238,0.15760719435755163,0.060698176100850106,16.644015326164663,0.4237833050452173,0.0783109409827739,0.0025,3.2912967981246763e-07,3.2912967981246763e-07,0.29658995194360616,0.0691342040989548,0.005833333333333333,0.0,0.0,3.021418233079321,0.10492729440098629,5.292893602733859,0.0016208473545702873,0.0008447335018718149,0.00017280823551118373,0.2940794122032821,0.06862656593322754,0.005833333333333333,5.0,5.3,0.0,0.0,3.0195242127727626,0.10457868132623843,5.251134315578295,0.024561946652829646,0.05,0.041334086339320494,0.5,0.5,1.0,0.43,0.3477391319721937,1.4662331268563866,1.4999869355931879,2.035279945209622,0.43,0.3477391319721937,1.4664768793433904,1.5001921835914254,2.03604611761868,0.0,0.0,0.00024375248700381213,0.00020524799823751216,0.0007661724090577415,50,100,0.96,0.040000000000000036,0.0,1.0,0.0,0.42,0.54,0.54,legacy_full,,1,0.5,0.0,coarse,final_step,e710de99acb266b0,2.142993400004343,
0.29,1.2788516303803772,0.0006694141193293035,0.979020213666372,0.1561838251585141,0.06034295041114092,16.54898578133434,0.4233552894555032,0.0779316280502826,0.0025,3.228844525438035e-07,3.228844525438035e-07,0.000145074725151062,-0.013282415866851806,-0.001423369199037552,-0.00035522568970918655,-0.09502954483032226,-0.0004280155897140503,-0.00037931293249130247,0.0,-6.245227268664166e-09,-6.245227268664166e-09,-0.002010539770126343,-0.0003705926984548569,0.0,0.0,0.0,-0.0018940203065586836,-0.0002668181620538235,-0.030939920978398733,0.06917550563812255,1.0,1.2787065556552262,0.9923026295332238,0.15760719435755163,0.060698176100850106,16.644015326164663,0.4237833050452173,0.0783109409827739,0.0025,3.2912967981246763e-07,3.2912967981246763e-07,0.29658995194360616,0.0691342040989548,0.005833333333333333,0.0,0.0,3.021418233079321,0.10492729440098629,5.292893602733859,0.0010868036421015858,0.0006094553810544312,0.00015422880649566652,0.29457941217347977,0.06876361140049994,0.005833333333333333,5.0,5.3,0.0,0.0,3.0195242127727626,0.10466047623893246,5.26195368175546,0.024561946839094163,0.05,0.031303646402211595,0.5,0.5,1.0,0.43,0.3477391319721937,1.4662331268563866,1.4999869355931879,2.035279945209622,0.43,0.3477391319721937,1.4664287469163537,1.50015803668648,2.035845705345273,0.0,0.0,0.0001956200599670943,0.0001711010932921031,0.0005657601356507946,50,100,0.29,0.71,0.68,0.32,0.0,0.0,0.32,0.32,legacy_full,,1,0.5,0.1,coarse,final_step,1dcc5d5b598b5dc3,1.3971421000023838,
0.0,1.2787065556552262,0.0,0.9923026295332238,0.15760719435755163,0.060698176100850106,16.644015326164663,0.4237833050452173,0.0783109409827739,0.0025,3.2912967981246763e-07,3.2912967981246763e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0691755042783916,1.0,1.2787065556552262,0.9923026295332238,0.15760719435755163,0.060698176100850106,16.644015326164663,0.4237833050452173,0.0783109409827739,0.0025,3.2912967981246763e-07,3.2912967981246763e-07,0.29658995194360616,0.0691342040989548,0.005833333333333333,0.0,0.0,3.021418233079321,0.10492729440098629,5.292893602733859,0.0,0.0,0.0,0.29658995194360616,0.0691342040989548,0.005833333333333333,5.0,5.3,0.0,0.0,3.021418233079321,0.10492729440098629,5.292893602733859,0.024561946596950292,0.05,0.0,0.5,0.5,1.0,0.43,0.3477391319721937,1.4662331268563866,1.4999869355931879,2.035279945209622,0.43,0.3477391319721937,1.4662331268563866,1.4999869355931879,2.035279945209622,0.0,0.0,0.0,0.0,0.0,50,100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,legacy_full,,1,0.5,0.3,coarse,final_step,a49df918ce03c076,1.2878255999967223,
0.96,1.278870694618672,0.0009430130391410784,0.9762488071626285,0.15586124452296646,0.060241109300404785,16.51541604558006,0.42244378527626397,0.07778448880650103,0.0025,3.228844525438035e-07,3.228844525438035e-07,0.00016413896344602108,-0.0160538223705953,-0.00174594983458519,-0.0004570668004453182,-0.12859928058460354,-0.0013395197689533233,-0.0005264521762728691,0.0,-6.245227268664166e-09,-6.245227268664166e-09,-0.0025105397403240204,-0.0005076384823769331,0.0,0.0,0.0,-0.0018940203065586836,-0.00034861406194977465,-0.04175929132788951,0.06917550239712,1.0,1.2787065556552262,0.9923026295332238,0.15760719435755163,0.060698176100850106,16.644015326164663,0.4237833050452173,0.0783109409827739,0.0025,3.2912967981246763e-07,3.2912967981246763e-07,0.29658995194360616,0.0691342040989548,0.005833333333333333,0.0,0.0,3.021418233079321,0.10492729440098629,5.292893602733859,0.0016208472102152882,0.0008447333661024458,0.00017280853353440762,0.2940794122032821,0.06862656561657786,0.005833333333333333,5.0,5.3,0.0,0.0,3.0195242127727626,0.10457868033903651,5.25113431140597,0.024561946522444488,0.05,0.041334090511645626,0.5,0.5,1.0,0.43,0.3477391319721937,1.4662331268563866,1.4999869355931879,2.035279945209622,0.43,0.3477391319721937,1.4664768793433904,1.5001921835914254,2.03604611761868,0.0,0.0,0.00024375248700381213,0.00020524799823751216,0.0007661724090577415,50,100,0.96,0.040000000000000036,0.0,1.0,0.0,0.42,0.54,0.54,legacy_full,,1,1.0,0.0,coarse,final_step,53b293e160b25f50,1.6985914999968372,
0.29,1.2788516303803772,0.0006694131274707616,0.9790202285675332,0.1561838251585141,0.06034295063465834,16.548985914848746,0.4233552894555032,0.07793162834830582,0.0025,3.228844525438035e-07,3.228844525438035e-07,0.000145074725151062,-0.013282400965690612,-0.001423369199037552,-0.00035522546619176865,-0.09502941131591797,-0.0004280155897140503,-0.00037931263446807864,0.0,-6.245227268664166e-09,-6.245227268664166e-09,-0.002010539770126343,-0.00037059277296066286,0.0,0.0,0.0,-0.0018940203065586836,-0.0002668183855712414,-0.03093988387450736,0.0691755025088787,1.0,1.2787065556552262,0.9923026295332238,0.15760719435755163,0.060698176100850106,16.644015326164663,0.4237833050452173,0.0783109409827739,0.0025,3.2912967981246763e-07,3.2912967981246763e-07,0.29658995194360616,0.0691342040989548,0.005833333333333333,0.0,0.0,3.021418233079321,0.10492729440098629,5.292893602733859,0.0010868112253956497,0.00060945451608859,0.00015422880649566652,0.29457941217347977,0.06876361132599414,0.005833333333333333,5.0,5.3,0.0,0.0,3.0195242127727626,0.10466047601541505,5.261953718859352,0.02456194708123803,0.05,0.03130360870227378,0.5,0.5,1.0,0.43,0.3477391319721937,1.4662331268563866,1.4999869355931879,2.035279945209622,0.43,0.3477391319721937,1.4664287469163537,1.50015803668648,2.035845705345273,0.0,0.0,0.0001956200599670943,0.0001711010932921031,0.0005657601356507946,50,100,0.29,0.71,0.68,0.32,0.0,0.0,0.32,0.32,legacy_full,,1,1.0,0.1,coarse,final_step,a5362397fed37e80,1.172175799991237,
0.0,1.2787065556552262,0.0,0.9923026295332238,0.15760719435755163,0.060698176100850106,16.644015326164663,0.4237833050452173,0.0783109409827739,0.0025,3.2912967981246763e-07,3.2912967981246763e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06917550383135676,1.0,1.2787065556552262,0.9923026295332238,0.15760719435755163,0.060698176100850106,16.644015326164663,0.4237833050452173,0.0783109409827739,0.0025,3.2912967981246763e-07,3.2912967981246763e-07,0.29658995194360616,0.0691342040989548,0.005833333333333333,0.0,0.0,3.021418233079321,0.10492729440098629,5.292893602733859,0.0,0.0,0.0,0.29658995194360616,0.0691342040989548,0.005833333333333333,5.0,5.3,0.0,0.0,3.021418233079321,0.10492729440098629,5.292893602733859,0.02456194655969739,0.05,0.0,0.5,0.5,1.0,0.43,0.3477391319721937,1.4662331268563866,1.4999869355931879,2.035279945209622,0.43,0.3477391319721937,1.4662331268563866,1.4999869355931879,2.035279945209622,0.0,0.0,0.0,0.0,0.0,50,100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,legacy_full,,1,1.0,0.3,coarse,final_step,9cb1ae17f1b0ee64,1.2823129000025801,
0.96,1.2790361320786179,0.0018860231611324708,0.960307501751231,0.15538567366544156,0.059787326343357566,16.386850452860816,0.42085901414975524,0.0772580355964601,0.0025,3.1885621865512803e-07,3.1885621865512803e-07,0.0003295764233916998,-0.03199512778199278,-0.002221520692110062,-0.0009108497574925422,-0.2571648733038455,-0.002924290895462036,-0.001052905386313796,0.0,-1.0273461157339626e-08,-1.0273461157339626e-08,-0.003399868458509445,-0.001015165839344263,0.0,0.0,0.0,-0.003032510618734605,-0.0006934750592336059,-0.08083569059100228,0.0691755023598671,1.0,1.2787065556552262,0.9923026295332238,0.15760719435755163,0.060698176100850106,16.644015326164663,0.4237833050452173,0.0783109409827739,0.0025,3.2912967981246763e-07,3.2912967981246763e-07,0.29658995194360616,0.0691342040989548,0.005833333333333333,0.0,0.0,3.021418233079321,0.10492729440098629,5.292893602733859,0.0032417535546119323,0.0016894590640004026,0.00034694391302764416,0.2931900834850967,0.06811903825961053,0.005833333333333333,5.0,5.3,0.0,0.0,3.018385722460587,0.10423381934175267,5.212057912142857,0.024561946783214807,0.1,0.08133506149936692,0.5,0.5,1.0,0.43,0.3477391319721937,1.4662331268563866,1.4999869355931879,2.035279945209622,0.43,0.3477391319721937,1.4667216706462205,1.5003987237997354,2.036813064813614,0.0,0.0,0.0004885437898338729,0.00041178820654752535,0.0015331196039918282,50,100,0.96,0.040000000000000036,0.0,1.0,0.0,0.44,0.54,0.54,legacy_full,,1,0.5,0.0,coarse,final_step,9b5204224aae4004,1.7355360000074143,
0.29,1.2789976680185646,0.0013388302316889166,0.965844029369764,0.15570825430098922,0.0599900547042489,16.453971209190787,0.42263951992616056,0.07755213533528149,0.0025,3.1885621865512803e-07,3.1885621865512803e-07,0.0002911123633384705,-0.02645860016345978,-0.0018989400565624238,-0.0007081213966012002,-0.19004411697387696,-0.0011437851190567016,-0.0007588056474924087,0.0,-1.0273461157339626e-08,-1.0273461157339626e-08,-0.0028998684883117676,-0.0007413946837186813,0.0,0.0,0.0,-0.003032510618734605,-0.0005302597209811211,-0.060068283221726235,0.06917550278827549,1.0,1.2787065556552262,0.9923026295332238,0.15760719435755163,0.060698176100850106,16.644015326164663,0.4237833050452173,0.0783109409827739,0.0025,3.2912967981246763e-07,3.2912967981246763e-07,0.29658995194360616,0.0691342040989548,0.005833333333333333,0.0,0.0,3.021418233079321,0.10492729440098629,5.292893602733859,0.002173597039654851,0.0012189119309186935,0.0003094491362571716,0.29369008345529435,0.06839280941523612,0.005833333333333333,5.0,5.3,0.0,0.0,3.018385722460587,0.10439703468000516,5.232825319512133,0.024561946522444488,0.1,0.06136849417448502,0.5,0.5,1.0,0.43,0.3477391319721937,1.4662331268563866,1.4999869355931879,2.035279945209622,0.43,0.3477391319721937,1.466625106073916,1.5003299603238702,2.036412109211087,0.0,0.0,0.00039197921752931464,0.00034302473068237305,0.0011321640014649859,50,100,0.29,0.71,0.68,0.32,0.0,0.0,0.32,0.32,legacy_full,,1,0.5,0.1,coarse,final_step,2cf652f2e6706ae1,1.2140453000029083,
0.0,1.2787065556552262,0.0,0.9923026295332238,0.15760719435755163,0.060698176100850106,16.644015326164663,0.4237833050452173,0.0783109409827739,0.0025,3.2912967981246763e-07,3.2912967981246763e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06917550528421998,1.0,1.2787065556552262,0.9923026295332238,0.15760719435755163,0.060698176100850106,16.644015326164663,0.4237833050452173,0.0783109409827739,0.0025,3.2912967981246763e-07,3.2912967981246763e-07,0.29658995194360616,0.0691342040989548,0.005833333333333333,0.0,0.0,3.021418233079321,0.10492729440098629,5.292893602733859,0.0,0.0,0.0,0.29658995194360616,0.0691342040989548,0.005833333333333333,5.0,5.3,0.0,0.0,3.021418233079321,0.10492729440098629,5.292893602733859,0.0245619466714561,0.1,0.0,0.5,0.5,1.0,0.43,0.3477391319721937,1.4662331268563866,1.4999869355931879,2.035279945209622,0.43,0.3477391319721937,1.4662331268563866,1.4999869355931879,2.035279945209622,0.0,0.0,0.0,0.0,0.0,50,100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,legacy_full,,1,0.5,0.3,coarse,final_step,24a9e179bc2577c3,1.2584869999991497,
0.96,1.2790361320786179,0.0018860253394086613,0.9603074928105343,0.15538567366544156,0.05978732647374272,16.386850386699663,0.42085901414975524,0.07725803587585688,0.0025,3.188567825418431e-07,3.188567825418431e-07,0.0003295764233916998,-0.03199513672268949,-0.002221520692110062,-0.0009108496271073818,-0.25716493946500124,-0.002924290895462036,-0.0010529051069170237,0.0,-1.0272897270624526e-08,-1.0272897270624526e-08,-0.003399868458509445,-0.001015165951102972,0.0,0.0,0.0,-0.003032510618734605,-0.0006934743886813521,-0.0808357093659015,0.06917550399899483,1.0,1.2787065556552262,0.9923026295332238,0.15760719435755163,0.060698176100850106,16.644015326164663,0.4237833050452173,0.0783109409827739,0.0025,3.2912967981246763e-07,3.2912967981246763e-07,0.29658995194360616,0.0691342040989548,0.005833333333333333,0.0,0.0,3.021418233079321,0.10492729440098629,5.292893602733859,0.0032417528552468864,0.0016894607587164502,0.00034694391302764416,0.2931900834850967,0.06811903814785182,0.005833333333333333,5.0,5.3,0.0,0.0,3.018385722460587,0.10423382001230493,5.212057893367958,0.02456194644793868,0.1,0.08133508027426614,0.5,0.5,1.0,0.43,0.3477391319721937,1.4662331268563866,1.4999869355931879,2.035279945209622,0.43,0.3477391319721937,1.4667216706462205,1.5003987237997354,2.036813064813614,0.0,0.0,0.0004885437898338729,0.00041178820654752535,0.0015331196039918282,50,100,0.96,0.040000000000000036,0.0,1.0,0.0,0.44,0.54,0.54,legacy_full,,1,1.0,0.0,coarse,final_step,61bebee3c325889f,1.7158488999994006,
