damage_type,molecule_id,record_id,center_atom,involved_atoms,involves_ring_bond,ring_bond_count,bond_predictions,target_residuals,cartesian_contribution,bond_contribution,combined_contribution,input_value,v4_value,output_value,v4_excess,output_excess,confidence,uncertainty,accepted,comparison_mode,adjacent_same_direction,any_prediction_sign_wrong,ring_planarity_input,ring_planarity_v4,ring_planarity_output
angle,C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1,val::C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1__gen0000::cartesian_s1_u0.350,34,26;34;35,False,0,-0.004569619428366423;-0.006159115117043257,-0.006486415863037109;-0.0041162967681884766,0.0002620220184326172,0.001085519790649414,0.0012979507446289062,1.9957199096679688,1.9957199096679688,1.9970178604125977,0.01583397388458252,0.017131924629211426,0.20100827515125275,0.010256144683808088,True,v4_record_screen_upstream_local_reference,True,False,,,
angle,C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1,val::C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1__gen0000::cartesian_s1_u0.350,34,46;34;47,False,0,0.01010426227003336;0.010104631073772907,0.0031038522720336914;0.012279152870178223,-0.0006670951843261719,-0.002047896385192871,-0.0026082992553710938,1.826375961303711,1.826375961303711,1.8237676620483398,0.0,0.0006071329116821289,0.20936281979084015,0.004162580007687211,True,v4_record_screen_upstream_local_reference,True,False,,,
angle,C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1,val::C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1__gen0000::cartesian_s2_u0.350,2,58;2;59,False,0,0.01013188622891903;0.010134671814739704,0.030172348022460938;0.043095946311950684,-0.0024498701095581055,-0.0003731250762939453,-0.0026437044143676758,1.825383186340332,1.825383186340332,1.8227394819259644,0.0,0.0016353130340576172,0.20980017632246017,0.0041481947991997,True,v4_record_screen_upstream_local_reference,True,False,,,
angle,C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1,val::C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1__gen0000::cartesian_s2_u0.350,16,54;16;55,False,0,0.01063739974051714;0.010638645850121975,0.010149002075195312;0.01782083511352539,-0.0008600950241088867,-0.0002307891845703125,-0.0010225772857666016,1.809657096862793,1.809657096862793,1.8086345195770264,0.014717698097229004,0.015740275382995605,0.21887073665857315,0.0038829108234494925,True,v4_record_screen_upstream_local_reference,True,False,,,
angle,C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1,val::C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1__gen0000::cartesian_s2_u0.350,21,52;21;53,False,0,0.010244479402899742;0.010245027020573616,0.02697455883026123;0.02856433391571045,-0.00028717517852783203,-0.00036525726318359375,-0.0005667209625244141,1.8041213750839233,1.8041213750839233,1.803554654121399,0.020253419876098633,0.020820140838623047,0.21191079169511795,0.004150054883211851,True,v4_record_screen_upstream_local_reference,True,False,,,
angle,C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1,val::C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1__gen0000::cartesian_s2_u0.350,34,26;34;35,False,0,-0.004502585157752037;-0.006140901241451502,-0.037159085273742676;-0.026660561561584473,-0.0005555152893066406,0.0016937255859375,0.0010652542114257812,2.026916980743408,2.026916980743408,2.027982234954834,0.04703104496002197,0.048096299171447754,0.20075113326311111,0.010183809790760279,True,v4_record_screen_upstream_local_reference,True,False,,,
angle,C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1,val::C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1__gen0000::cartesian_s2_u0.350,34,46;34;47,False,0,0.010138260200619698;0.010138261131942272,0.03029155731201172;0.030602335929870605,-0.00024116039276123047,-0.0031163692474365234,-0.0032186508178710938,1.7934200763702393,1.7934200763702393,1.7902014255523682,0.030954718589782715,0.03417336940765381,0.20988361537456512,0.004128105007112026,True,v4_record_screen_upstream_local_reference,True,False,,,
angle,C=CCn1c(=N)c(S(=O)(=O)c2ccc(C)c(C)c2)cc2c(=O)n3ccccc3nc21,val::C=CCn1c(=N)c(S(=O)(=O)c2ccc(C)c(C)c2)cc2c(=O)n3ccccc3nc21__gen0001::cartesian_s2_u0.350,28,27;28;43,True,1,0.0026658070273697376;0.0019456169102340937,-0.0015363693237304688;0.002987980842590332,-0.0017428398132324219,0.00024080276489257812,-0.0014324188232421875,2.0142297744750977,2.0142297744750977,2.0127973556518555,0.006040334701538086,0.0074727535247802734,0.16315512359142303,0.011220794636756182,True,v4_record_screen_upstream_local_reference,True,True,,,
angle,C=CCn1c(=N)c(S(=O)(=O)c2ccc(C)c(C)c2)cc2c(=O)n3ccccc3nc21,val::C=CCn1c(=N)c(S(=O)(=O)c2ccc(C)c(C)c2)cc2c(=O)n3ccccc3nc21__gen0001::cartesian_s2_u0.350,39,40;39;42,False,0,0.012553349137306213;0.012553737498819828,0.0016978979110717773;0.0017453432083129883,0.0004889965057373047,-0.003910064697265625,-0.003271818161010742,1.8223016262054443,1.8223016262054443,1.8190298080444336,0.0020731687545776367,0.005344986915588379,0.2543071210384369,0.002707882784307003,True,v4_record_screen_upstream_local_reference,True,False,,,
angle,C=CCn1c(=N)c(S(=O)(=O)c2ccc(C)c(C)c2)cc2c(=O)n3ccccc3nc21,val::C=CCn1c(=N)c(S(=O)(=O)c2ccc(C)c(C)c2)cc2c(=O)n3ccccc3nc21__gen0001::cartesian_s2_u0.350,39,41;39;42,False,0,0.012553825974464417;0.012553737498819828,0.0028432607650756836;0.0017453432083129883,0.0006730556488037109,-0.003955483436584473,-0.003140568733215332,1.8253610134124756,1.8253610134124756,1.8222204446792603,0.0,0.0021543502807617188,0.2543102651834488,0.0027073437813669443,True,v4_record_screen_upstream_local_reference,True,False,,,
