group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement,p95_torsion_change,high_flex_p95_torsion_change
all,A_CARTESIAN_ONLY,500,700.0,7.732,1.3221538721844555,0.0003666396476328373,0.24576412979885937,1.084108782125637,0.030763916505500675,0.08650453725655098,0.15030464284867048,0.009466666666666667,2.503897121641785e-07,0.002,0.0,3.189461458325722,0.7329529360549564,0.0,0.0010546960531504794,0.0012926326877427527,0.018542430829256773,0.254,0.00041740852130169514,0.0009069581650546751,0.746,2.682,0.0576010502204299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016267748054116963,-0.16338016858510673,-0.00036681076139211653,0.000570749488942056,-0.0031990025863051414,-0.0005,2.7920978027395904e-09,0.0,0.0,0.0,-0.0008709052466723039,-0.061035913383757585,0.482,0.06877587428689003,1.3221538715846837,2.3763813241720197,0.010922120213508605,0.746,0.254,0.254,0.764,0.0,0.028,0.734,0.0039039518800564076,0.0016015615110518409,0.00466682323021814
all,B_BOND_ONLY,500,700.0,7.732,1.322402719784528,0.0006154872477054596,0.24434239957109094,1.0516525025060401,0.03121598070859909,0.08475185461108868,0.1478109789788723,0.009966666666666667,2.52142759563867e-07,0.002,0.0,3.188974546618037,0.7214373673472708,0.0,0.0012782561907394268,0.0015348254521511536,0.011115442495793104,0.232,0.00043519750044742977,0.000905744752031751,0.768,2.797,0.056834834007546305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017689478281885385,-0.19583644820470364,8.525344170629978e-05,-0.0011819331565202447,-0.005692666456103325,0.0,4.545145202428102e-09,0.0,0.0,0.0,-0.0013578169543572139,-0.07255148209144317,0.482,0.06877587428689003,1.3224027205854654,2.3767213734388353,0.010728462293744087,0.768,0.23199999999999998,0.232,0.768,0.0,0.004,0.764,0.004330441117053851,0.0017986900522373604,0.00527282655239105
all,C_ADDITIVE_DEPLOYED,500,700.0,7.732,1.3227112834900618,0.0009240509532392025,0.2298742851652205,0.9225819641402923,0.030830428120680153,0.0856046688092556,0.14830005706846713,0.009466666666666667,2.54917744314298e-07,0.002,0.0,3.18953155898771,0.6745183501761658,0.0,0.0019221187381429274,0.002410810801341569,0.03285651467740536,0.252,0.00042483397418845923,0.0009501670550671407,0.748,2.586,0.05324764230567962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03215759268775582,-0.3249069865704514,-0.00030029914621263745,-0.0003291189583533196,-0.005203588366508484,-0.0005,7.320129952859134e-09,0.0,0.0,0.0,-0.0008008045846848026,-0.11947049926254817,0.482,0.06870920760929584,1.3227112845033406,2.377071403980255,0.010378666404634715,0.748,0.252,0.252,0.762,0.0,0.01,0.752,0.007126554241403937,0.00156560261384584,0.004891508666332809
all,D_CARTESIAN_BOND_SUBSPACE_REMOVED,500,700.0,7.732,1.3224496639706194,0.0006624314337968826,0.24433989122882485,1.0516069216616453,0.030432271429337562,0.08414202890719572,0.1478109789788723,0.009466666666666667,2.5231415929738433e-07,0.002,0.0,3.189468384755454,0.7199872982600709,0.0,0.0013292803315918889,0.0016202697578193864,0.010619534645229578,0.235,0.0003539210761850882,0.0007245443210122176,0.765,2.797,0.05681296116672456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01769198662415147,-0.1958820290490985,-0.0006984558375552297,-0.0017917588604132106,-0.005692666456103325,-0.0005,4.716544935945421e-09,0.0,0.0,0.0,-0.000863978816940504,-0.07400155117864302,0.482,0.06877587428689003,1.3224496610462666,2.3767824815511704,0.010671419758349657,0.765,0.235,0.235,0.766,0.0,0.004,0.762,0.004598758067004383,0.0013290186470840115,0.0037575272377580403
all,E_ORACLE_RESIDUAL_LEARNED_CONFIDENCE,500,700.0,7.732,1.3222816391997039,0.0004944066628813743,0.24219128242507576,0.9979462080821395,0.030905027623288332,0.08540048324343297,0.14953719768673182,0.009466666666666667,2.505206211935729e-07,0.002,0.0,3.189552898713149,0.7069370977537769,0.0,0.0013302314623393557,0.0016037980552456475,0.024123040959239006,0.123,0.0005204966028341005,0.0010549200706300326,0.877,3.163,0.055297283192165196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019840595427900554,-0.24954274262860418,-0.00022569964360445738,-0.0005333045241759464,-0.003966447748243809,-0.0005,2.9230068321339787e-09,0.0,0.0,0.0,-0.0007794648592448054,-0.08705175168493702,0.482,0.06877587428689003,1.3222816411927343,2.3765355219841005,0.01074794540181756,0.877,0.123,0.123,0.892,0.0,0.022,0.864,0.005013226321898397,0.0017470394755946456,0.005248558521270751
all,F_LEARNED_RESIDUAL_ORACLE_MASK,500,700.0,7.732,1.3224416999071837,0.0006544673703610897,0.2371020275913179,0.9781084856521338,0.03096673287358135,0.08587547058616474,0.1496017729565501,0.009466666666666667,2.5158305652439593e-07,0.002,0.0,3.1895242022594625,0.6971334407307472,0.0,0.0015011335530005284,0.0018732385299376232,0.024033530615270138,0.239,0.00047896119864708454,0.001013143968360964,0.761,2.642,0.05476783405803144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02492985026165843,-0.26938046505860985,-0.00016399439331144094,-5.831718144418119e-05,-0.0039018724784255026,-0.0005,3.9854421629570424e-09,0.0,0.0,0.0,-0.0008081613129320755,-0.09685540870796672,0.482,0.06877587428689003,1.3224417001754045,2.376737966418266,0.010638708554208278,0.761,0.239,0.239,0.776,0.0,0.016,0.758,0.00617261487059295,0.001758720037469174,0.004532313277013599
all,G_LEARNED_RESIDUAL_ALL_CONFIDENCE_ONE,500,700.0,7.732,1.3247376866564156,0.002950454119592905,0.1732737945728004,0.6125130569450558,0.02913951682439074,0.07840357559827044,0.11879314097389579,0.009466666666666667,2.7068759663961825e-07,0.002,0.0,3.1907631841068684,0.5074025478611818,0.0,0.006350362819012332,0.0073405601881926545,0.0487490464001894,0.272,0.0018072247699783474,0.0037725166410673408,0.728,2.234,0.03725402476731688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08875808328017593,-0.634975893765688,-0.0019912104425020517,-0.007530212169338483,-0.03471050446107984,-0.0005,2.308998227817938e-08,0.0,0.0,0.0,0.0004308205344739209,-0.2865863015775321,0.482,0.06808891775459051,1.3247376878783106,2.3801162408590315,0.0076300431042909626,0.728,0.272,0.272,0.732,0.0,0.004,0.728,0.021568013867363334,0.007903107884339988,0.022118328511714934
all,H_NON_RING_BOND_HEAD_ONLY,500,700.0,7.732,1.3226053758747875,0.0008181433379650116,0.23132437542453407,0.9428413606896066,0.03133008504100144,0.08701770075161039,0.15064933982491494,0.009466666666666667,2.543014488765039e-07,0.002,0.0,3.1896564600288984,0.6842354866188702,0.0,0.001776562337647448,0.0022386328131831306,0.018027457408607006,0.247,0.00041440110159055623,0.0009307334261829964,0.753,2.561,0.0538851683633402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03070750242844224,-0.30464759002113717,0.0001993577741086483,0.0010839129840014721,-0.0028543056100606918,-0.0005,6.703834515064955e-09,0.0,0.0,0.0,-0.0006759035434959602,-0.10975336281984369,0.482,0.06870920760929584,1.3226053746268154,2.376861320734024,0.010612525299191475,0.753,0.247,0.247,0.77,0.0,0.012,0.756,0.006855003768578171,0.0014982277425588102,0.004601591749815269
all,I_RING_BOND_HEAD_ONLY,500,700.0,7.732,1.322253482978791,0.000466250441968441,0.24454208065196872,1.0677245604125782,0.03015798271726817,0.08512779052901896,0.14811244566738604,0.009466666666666667,2.5102673680521547e-07,0.002,0.0,3.1894201995649745,0.7244925144654257,0.0,0.001209172618756355,0.00145048227525632,0.035635702311992645,0.256,0.0003982473414471315,0.0008856584325549193,0.744,2.732,0.057121918329969046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017489797201007604,-0.17976439029816538,-0.0009727445496246219,-0.0008059972385899527,-0.005391199767589569,-0.0005,3.429122443776578e-09,0.0,0.0,0.0,-0.0009121640074199195,-0.06949633497328818,0.482,0.06877587428689003,1.3222534842938185,2.3765763964653015,0.010734653200954198,0.744,0.256,0.256,0.76,0.0,0.022,0.738,0.004151506644285517,0.0015775366991874758,0.004737019463209435
all,J_D1B_BOND_WITH_FROZEN_V4_CARTESIAN,500,700.0,7.732,1.3228093402683734,0.001022107731550932,0.2297442158088088,0.9168695489820093,0.030374537360854447,0.08299906327331882,0.14439761140197516,0.009966666666666667,2.558309206506237e-07,0.002,0.0,3.190038649409662,0.6684504401330578,0.0,0.002142872390498127,0.0025345664652691936,0.015277806669473648,0.263,0.0005238986283184204,0.0010866635169368237,0.737,2.628,0.053287306698039175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03228766204416752,-0.3306194017287344,-0.000756189906038344,-0.002934724494290094,-0.00910603403300047,0.0,8.233306289184839e-09,0.0,0.0,0.0,-0.00029371416273244887,-0.12553840930565616,0.482,0.06870920760929584,1.3228093390464783,2.3773922473192215,0.009922505274415017,0.737,0.263,0.263,0.738,0.0,0.004,0.734,0.007284711429383601,0.00202754983620252,0.006608760356903075
