group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement,p95_torsion_change,high_flex_p95_torsion_change
all,bond_oracle_accepted,500,700,7.732,1.3230375961512326,0.001250363614410162,0.09836384133342653,0.40469793726211717,0.029672171025536955,0.07039099792509979,0.0760821483284235,0.009466666666666667,2.491580162313767e-07,0.002,0.0,3.1897283991682923,0.33635731030887417,0.0,0.005527649174908391,0.007184130251531144,0.05264385603368282,0.044,0.0032967189453338504,0.007369227502029389,0.956,0.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16366803651954978,-0.8427910134486265,-0.0014585562413558363,-0.015542789842509137,-0.07742149710655212,-0.0005,1.5604018699377776e-09,0.0,0.0,0.0,-0.0006039644041017098,-0.4576315391298398,0.482,0.06877587428689003,1.3230375938862562,2.3774005930423736,0.010929703278467059,0.956,0.04400000000000004,0.044,0.988,0.0,0.248,0.74,0.019196150894276794,0.009229788102675218,0.027978399069979766
all,bond_oracle_raw,500,700,7.732,1.3230388232916594,0.0012515907548367978,0.09823050799313933,0.4034716791034334,0.029630504357628526,0.07037146062522834,0.0760821483284235,0.0098,2.491580162313767e-07,0.002,0.0,3.1897283991682923,0.336204194769373,0.0,0.005537146612442882,0.007196460341953156,0.05264385603368282,0.043,0.0033026947729085806,0.007392088267486542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.163801369859837,-0.8440172716073102,-0.0015002229092642666,-0.015562327142380582,-0.07742149710655212,-0.0001666666666666667,1.5604018699377776e-09,0.0,0.0,0.0,-0.0006039644041017098,-0.4577846546693409,0.482,0.06877587428689003,1.3230388212651014,2.3774005930423736,0.010926502155140043,1.0,0.0,0.043,0.988,0.0,0.248,0.74,0.019196150894276794,0.009229788102675218,0.027978399069979766
all,bond_oracle_trusted,500,700,7.732,1.3230388232916594,0.0012515907548367978,0.09823050799313933,0.4034716791034334,0.029630504357628526,0.07037146062522834,0.0760821483284235,0.0098,2.491580162313767e-07,0.002,0.0,3.1897283991682923,0.336204194769373,0.0,0.005537146612442882,0.007196460341953156,0.05264385603368282,0.043,0.0033026947729085806,0.007392088267486542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.163801369859837,-0.8440172716073102,-0.0015002229092642666,-0.015562327142380582,-0.07742149710655212,-0.0001666666666666667,1.5604018699377776e-09,0.0,0.0,0.0,-0.0006039644041017098,-0.4577846546693409,0.482,0.06877587428689003,1.3230388212651014,2.3774005930423736,0.010926502155140043,1.0,0.0,0.043,0.988,0.0,0.248,0.74,0.019196150894276794,0.009229788102675218,0.027978399069979766
all,minimal_target,500,700,7.732,1.3230312489494682,0.0012440164126455784,0.09938484401907771,0.40474240237219783,0.025619312334805727,0.057661590075773345,0.07607406754419208,0.007966666666666667,2.505436059436761e-07,0.002,0.0,3.1889801156077473,0.32864613922034097,0.0,0.006445827365119328,0.008490385357441795,0.06463588029146194,0.043,0.005720317491992318,0.011670536198536866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1626470338338986,-0.8427465483385458,-0.005511414932087064,-0.028272197691835574,-0.07742957789078354,-0.002,2.945991582237184e-09,0.0,0.0,0.0,-0.001352247964646852,-0.465342710218373,0.482,0.06877587428689003,1.3230312486216427,2.3773242040872575,0.011555736724287271,1.0,0.0,0.043,0.988,0.0,0.256,0.728,0.022515542153269046,0.018456719722598776,0.04746323088183993
all,upstream,500,700,7.732,1.3217872325368225,0.0,0.2620318778529763,1.2474889507107436,0.03113072726689279,0.08593378776760892,0.15350364543497563,0.009966666666666667,2.475976143614389e-07,0.002,0.0,3.1903323635723946,0.793988849438714,0.0,7.185659229378416e-07,7.91879917912297e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482,0.06884254094958306,1.3217872328907252,2.3759859224557878,0.011278490915894508,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3240843117046095e-06,0.0,0.0
ETFlow_normal,bond_oracle_accepted,300,300,7.59,1.302179134140412,8.935118714968364e-05,0.0072225083659092585,0.017385253583051964,0.012921526576392353,0.04628854152474863,0.005049808186789353,0.011777777777777778,0.0,0.0,0.0,3.183810748996819,0.05289006968381888,0.0,0.002811261626812893,0.004401481487552701,0.05228196084499359,0.013333333333333334,0.002025049401599972,0.005304213304383059,0.9866666666666667,0.9866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11232466507703066,-0.347825187935523,-0.002707510613836348,-0.01229594894865689,-0.03060492002715667,-0.0008333333333333334,0.0,0.0,0.0,0.0,0.000841015304313942,-0.236500713272402,0.49666666666666665,0.06925439111888408,1.302179134140412,2.3618383554617566,0.0,0.9866666666666667,0.013333333333333308,0.013333333333333334,0.9866666666666667,0.0,0.4066666666666667,0.58,0.009071455756202341,0.005872340127825737,0.01773874945938586
ETFlow_normal,bond_oracle_raw,300,300,7.59,1.302179134140412,8.935118714968364e-05,0.0072225083659092585,0.017385253583051964,0.012921526576392353,0.04628854152474863,0.005049808186789353,0.011777777777777778,0.0,0.0,0.0,3.183810748996819,0.05289006968381888,0.0,0.002811261626812893,0.004401481487552701,0.05228196084499359,0.013333333333333334,0.002025049401599972,0.005304213304383059,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11232466507703066,-0.347825187935523,-0.002707510613836348,-0.01229594894865689,-0.03060492002715667,-0.0008333333333333334,0.0,0.0,0.0,0.0,0.000841015304313942,-0.236500713272402,0.49666666666666665,0.06925439111888408,1.302179134140412,2.3618383554617566,0.0,1.0,0.0,0.013333333333333334,0.9866666666666667,0.0,0.4066666666666667,0.58,0.009071455756202341,0.005872340127825737,0.01773874945938586
ETFlow_normal,bond_oracle_trusted,300,300,7.59,1.302179134140412,8.935118714968364e-05,0.0072225083659092585,0.017385253583051964,0.012921526576392353,0.04628854152474863,0.005049808186789353,0.011777777777777778,0.0,0.0,0.0,3.183810748996819,0.05289006968381888,0.0,0.002811261626812893,0.004401481487552701,0.05228196084499359,0.013333333333333334,0.002025049401599972,0.005304213304383059,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11232466507703066,-0.347825187935523,-0.002707510613836348,-0.01229594894865689,-0.03060492002715667,-0.0008333333333333334,0.0,0.0,0.0,0.0,0.000841015304313942,-0.236500713272402,0.49666666666666665,0.06925439111888408,1.302179134140412,2.3618383554617566,0.0,1.0,0.0,0.013333333333333334,0.9866666666666667,0.0,0.4066666666666667,0.58,0.009071455756202341,0.005872340127825737,0.01773874945938586
ETFlow_normal,minimal_target,300,300,7.59,1.3021843938032787,9.461085001627604e-05,0.00676434800028801,0.017346345339513694,0.008340677598801752,0.03658932411337143,0.0046192526444792745,0.009833333333333333,0.0,0.0,0.0,3.1845847203190663,0.04304152894012365,0.0,0.003327495397668751,0.005386567717376541,0.06463588029146194,0.013333333333333334,0.0028847198608733986,0.007067234662439054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1127828254426519,-0.3478640961790613,-0.0072883595914269485,-0.02199516636003409,-0.03103547556946675,-0.0027777777777777775,0.0,0.0,0.0,0.0,0.001614986626560683,-0.2463492540160972,0.49666666666666665,0.06925439111888408,1.3021843938032787,2.3618334233760834,0.0,1.0,0.0,0.013333333333333334,0.9866666666666667,0.0,0.42333333333333334,0.5566666666666666,0.011913091409951448,0.008387562399730089,0.026950863376259803
ETFlow_normal,upstream,300,300,7.59,1.3020897829532623,0.0,0.11954717344293991,0.36521044151857496,0.0156290371902287,0.05858449047340552,0.035654728213946024,0.012611111111111111,0.0,0.0,0.0,3.182969733692505,0.28939078295622084,0.0,7.106439457989685e-07,7.830320992733656e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49666666666666665,0.06925439111888408,1.3020897829532623,2.361784588098526,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4048673563138438e-06,0.0,0.0
