step,checkpoint,checkpoint_sha256,accuracy_noninferior,safety_qualified,validity_delta,mean_displacement,identity_fraction,learning_rate,max_core_relative_improvement,chirality_delta,severe_clash_delta,torsion_gate_max,torsion_contribution_max,rmsd_delta,mat_p_delta,mat_r_delta,high_flex_validity_delta,high_flex_rmsd_delta,high_flex_torsion_change,unseen_validity_delta,unseen_rmsd_delta,method,selected
500,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_a_aux_only_seed42_5k\checkpoints\step000500.ckpt,0bde2859a6f242ee9b1d8cab22d4dc5d080a43ce4afa33ef292abdb91638b8c4,True,True,-0.0575150395443669,0.0016832569919677,1.0,0.0002,0.0828166974641406,0.0,0.0,0.0,0.0,0.0005530686974525,0.000553066201508,0.0004556659460067,-0.0578061109171575,0.0005885586648692,0.0016394587455579,-0.1134649658097259,0.0007547946833073,D1_A,False
1000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_a_aux_only_seed42_5k\checkpoints\step001000.ckpt,6ebaaabda40cbb0abd49645a444e449b3dc12337310865ecef9c4cbd3ed73e07,True,True,-0.0628868796118661,0.0015130412434974,1.0,0.0001945723358707,0.0754693662763985,0.0,0.0,0.0,0.0,0.0005708117857575,0.0005708102062344,0.0005881192684173,-0.064680262697313,0.0006024735554566,0.0011758128172874,-0.1305867851047926,0.0009495706111191,D1_A,False
1500,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_a_aux_only_seed42_5k\checkpoints\step001500.ckpt,627ffb0bff5f6e5f352febef8c424ab3df5452eb27b437ec25555add7d07891b,True,True,-0.1082860961362951,0.0022749286480395,1.0,0.0001789439998807,0.1072959217851751,0.0,0.0,0.0,0.0,0.0009152301624417,0.0009152309969067,0.0012083947658538,-0.1111909299971071,0.0009606705836788,0.0012444722911111,-0.2526662707307061,0.0019426348060369,D1_A,False
2000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_a_aux_only_seed42_5k\checkpoints\step002000.ckpt,8ca773d384e69532f496a9a862fbc9b1b6267cd538b5c9d6ebe25e9dadfea690,True,True,-0.1148263267084205,0.0022711032890068,1.0,0.000155,0.1219695972342542,0.0,0.0,0.0,0.0,0.0008445715010166,0.0008445710837841,0.0010847495794296,-0.1177391845817686,0.0008931908877971,0.0011584889397573,-0.2685711267722948,0.0018849824741482,D1_A,True
3000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_a_aux_only_seed42_5k\checkpoints\step003000.ckpt,43bc100055e44b3037e73f72a6857eac822176342cdc41985237ac6c1787500e,True,True,-0.0336319867267977,0.0015713026806499,1.0,9.437166400997628e-05,0.0368498674444323,0.0,0.0,0.0,0.0,6.363686919212341e-05,6.363487988710404e-05,2.9278993606567383e-06,-0.0337670280535861,8.182977731130414e-05,0.0025258311657323,-0.0707680325768704,0.0002233637683093,D1_A,False
5000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_a_aux_only_seed42_5k\checkpoints\step005000.ckpt,176dac9531ed6e950a9752180ff20589cf73436cae58bd1c96bd840ed6f64950,True,True,-0.0883513252602065,0.001724762026318,1.0,2e-05,0.084262850509314,0.0,0.0,0.0,0.0,0.00054377829656,0.0005437782667577,0.0006885292530059,-0.0887671041555376,0.0005640656758179,0.0012526727067502,-0.208574555619194,0.0012619557231663,D1_A,False
500,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_b_explicit_bond_seed42_5k\checkpoints\step000500.ckpt,2ce46a96da65b993af851d87eb9b4c34d47583e7fb2c86d49c30a99b39ad19ec,True,True,-0.0539432333992699,0.0016688913122613,1.0,0.0002,0.0833098207280607,0.0,0.0,0.0,0.0,0.0003871503099799,0.0003871504887938,0.0002249269485473,-0.0535278260697494,0.0004174922613182,0.0016665436680499,-0.1011306584676638,0.0004877083748577,D1_B,False
1000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_b_explicit_bond_seed42_5k\checkpoints\step001000.ckpt,19a23d00f90e51f36965bf233ebae4fbbc18a625a32a9c9a0ab2a4c845bc52ed,True,True,-0.0688862239680675,0.0016568160710636,1.0,0.0001945723358707,0.0750722853920919,0.0,0.0,0.0,0.0,0.000665465593338,0.0006654656007885,0.0007431448698043,-0.0710307468450389,0.0007071535649667,0.0011317547839059,-0.1537854582644378,0.0012067761830985,D1_B,False
1500,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_b_explicit_bond_seed42_5k\checkpoints\step001500.ckpt,a2857edb835549e29edce47118ed44bb73473ec86200787fe211fb6b1765799b,True,True,-0.1057135539050785,0.0022944876383365,1.0,0.0001789439998807,0.0965521915837098,0.0,0.0,0.0,0.0,0.0009252956435084,0.0009252940416336,0.0011681454181671,-0.1106533665717699,0.000980098205416,0.0014441922052276,-0.2482521719997488,0.0019808950088917,D1_B,False
2000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_b_explicit_bond_seed42_5k\checkpoints\step002000.ckpt,47189368db75c86f551a69cdbba5ef5f8c85a7e80929401aded309c246c5956d,True,True,-0.1194598021115029,0.0024104042637291,1.0,0.000155,0.1227239714161769,0.0,0.0,0.0,0.0,0.0009238753691315,0.0009238740578293,0.0010852476358413,-0.1234712073050489,0.0009762890049782,0.0012908633930435,-0.2811949883595788,0.0020140957459806,D1_B,True
3000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_b_explicit_bond_seed42_5k\checkpoints\step003000.ckpt,1fe49d26a0448c1ac1f1a87ae9c624f2617fb4cbca31adfe197a00c584626e08,True,True,-0.0400984440443156,0.0013899300536402,1.0,9.437166400997628e-05,0.0468101557590951,0.0,0.0,0.0,0.0,0.0001931585744023,0.0001931591182947,0.0001378608942031,-0.04132373896378,0.0002155797859733,0.0017880076130772,-0.0878846218830766,0.0004369329474864,D1_B,False
5000,E:\3dconformergenerationcode\4dadapter\logs_ecir_mvr\stage_d\d1_b_explicit_bond_seed42_5k\checkpoints\step005000.ckpt,0900b786bb9e7994085f0ff44ae5dbba4a25f490f890c7658c401ad735e20f35,True,True,-0.0994148138976909,0.0019112524348329,1.0,2e-05,0.0912445742076248,0.0,0.0,0.0,0.0,0.0006441328078508,0.000644130282104,0.0007807327508926,-0.1006809501954983,0.0006706452543805,0.0012341245613282,-0.2364964321182925,0.0014802672527729,D1_B,False
