step,learning_rate
50,3.767535070140281e-05
100,5.5711422845691386e-05
150,7.374749498997996e-05
200,9.178356713426854e-05
250,0.00010981963927855712
300,0.0001278557114228457
350,0.0001458917835671343
400,0.00016392785571142285
450,0.00018196392785571145
500,0.0002
550,0.00019994517443171865
600,0.00019978076452338418
650,0.0001995069705831446
700,0.00019912412618674135
750,0.00019863269777109873
800,0.00019803328406604252
850,0.00019732661536483968
900,0.00019651355263444872
950,0.00019559508646656385
1000,0.00019457233587073176
1050,0.00019344654691101087
1100,0.00019221909118783407
1150,0.00019089146416692506
1200,0.00018946528335730343
1250,0.0001879422863405995
1300,0.00018632432865407834
1350,0.00018461338152995376
1400,0.00018281152949374527
1450,0.00018092096782460496
1500,0.00017894399988070803
1550,0.0001768830342929655
1600,0.0001747405820304786
1650,0.00017251925334130976
1700,0.00017022175457229725
1750,0.00016785088487178854
1800,0.00016540953277930924
1850,0.0001629006727063226
1900,0.00016032736131236722
1950,0.00015769273378098844
2000,0.000155
2050,0.00015225244065073017
2100,0.00014945340321101698
2150,0.00014660629787682203
2200,0.0001437145934074321
2250,0.0001407818128993102
2300,0.0001378115294937453
2350,0.00013480736202352994
2400,0.0001317729706039701
2450,0.00012871205217359832
2500,0.00012562833599002375
2550,0.0001225255790864059
2600,0.00011940756169408883
2650,0.00011627808263697127
2700,0.0001131409547032251
2750,0.00011
2800,0.00010685904529677494
2850,0.00010372191736302873
2900,0.00010059243830591121
2950,9.747442091359414e-05
3000,9.437166400997627e-05
3050,9.128794782640168e-05
3100,8.822702939602992e-05
3150,8.519263797647008e-05
3200,8.218847050625475e-05
3250,7.921818710068983e-05
3300,7.628540659256792e-05
3350,7.339370212317799e-05
3400,7.054659678898303e-05
3450,6.774755934926985e-05
3500,6.500000000000002e-05
3550,6.230726621901157e-05
3600,5.9672638687632804e-05
3650,5.7099327293677434e-05
3700,5.4590467220690757e-05
3750,5.214911512821147e-05
3800,4.977824542770279e-05
3850,4.748074665869024e-05
3900,4.5259417969521415e-05
3950,4.3116965707034507e-05
4000,4.1056000119291995e-05
4050,3.9079032175395035e-05
4100,3.718847050625474e-05
4150,3.538661847004626e-05
4200,3.367567134592166e-05
4250,3.205771365940052e-05
4300,3.053471664269658e-05
4350,2.910853583307499e-05
4400,2.7780908812165912e-05
4450,2.6553453088989143e-05
4500,2.5427664129268255e-05
4550,2.4404913533436186e-05
4600,2.34864473655513e-05
4650,2.267338463516032e-05
4700,2.196671593395749e-05
4750,2.136730222890128e-05
4800,2.0875873813258668e-05
4850,2.0493029416855404e-05
4900,2.0219235476615824e-05
4950,2.0054825568281382e-05
5000,2e-05
