sample_id,bond_solver_failure_fraction,cartesian_bond_subspace_cosine,bond_cancellation_fraction,atom_clipping_fraction,graph_clip_scale_min
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,0.0,0.3299296274781227,0.0,0.0,1.0
val::Brc1cccc(-c2nnc3n2CCC3)c1__gen0001,0.0,0.5095611661672592,0.0,0.0,1.0
val::C#CCOCOCC#CCN(CC)CC__gen0001,0.0,0.75755974650383,0.0,0.0,1.0
val::C(=N_Nc1nc2ccccc2[nH]1)\c1ccccc1__gen0000::cartesian_s1_u0.350,0.0,0.3095688149333,0.0,0.0,1.0
val::C(=N_Nc1nc2ccccc2[nH]1)\c1ccccc1__gen0000::cartesian_s2_u0.350,0.0,0.37018078565597534,0.0,0.0,1.0
val::C=CC(=O)O__gen0001::cartesian_s1_u0.350,0.0,-0.35754526406526566,1.0,0.0,1.0
val::C=CC(=O)O__gen0001::cartesian_s2_u0.350,0.0,-0.6426559090614319,1.0,0.0,1.0
val::C=CCCCCCCCCc1nc(=S)[nH][nH]1__gen0001,0.0,0.7542013078927994,0.0,0.0,1.0
val::C=CCNC(=O)c1onc(CSc2cccc3ccccc23)c1C(=O)O__gen0001,0.0,0.3350301757454872,0.0,0.0,1.0
val::C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1__gen0000::cartesian_s1_u0.350,0.0,0.8272451758384705,0.0,0.0,1.0
val::C=CCc1ccc(OCC(O)C[NH+]2CCC(Cc3ccccc3)CC2)c(OC)c1__gen0000::cartesian_s2_u0.350,0.0,0.8288417011499405,0.0,0.0,1.0
val::C=CCc1cccc2cc(C(=O)N3CCN(C(=O)c4ccccc4)CC3)c(=O)oc12__gen0000,0.0,0.6847142279148102,0.0,0.0,1.0
val::C=CCc1ccccc1OCC(O)CN1CC[NH+](c2ccccc2F)CC1__gen0000,0.0,0.7052378058433533,0.0,0.0,1.0
val::C=CCn1c(=N)c(S(=O)(=O)c2ccc(C)c(C)c2)cc2c(=O)n3ccccc3nc21__gen0001::cartesian_s1_u0.350,0.0,0.7257091850042343,0.0,0.0,1.0
val::C=CCn1c(=N)c(S(=O)(=O)c2ccc(C)c(C)c2)cc2c(=O)n3ccccc3nc21__gen0001::cartesian_s2_u0.350,0.0,0.691744789481163,0.0,0.0,1.0
val::C=CCn1c(COc2ccc(CC)cc2)nnc1SC_C(O)=C(\C#N)c1nc2ccccc2[nH]1__gen0001::cartesian_s1_u0.350,0.0,0.44237472116947174,0.0,0.0,1.0
val::C=CCn1c(COc2ccc(CC)cc2)nnc1SC_C(O)=C(\C#N)c1nc2ccccc2[nH]1__gen0001::cartesian_s2_u0.350,0.0,0.4090682864189148,0.0,0.0,1.0
val::C=CCn1c(SCC(=O)NC(N)=O)nnc1-c1cc2c(s1)CCC(CC)C2__gen0000::cartesian_s1_u0.350,0.0,0.4386705234646797,0.0,0.0,1.0
val::C=CCn1c(SCC(=O)NC(N)=O)nnc1-c1cc2c(s1)CCC(CC)C2__gen0000::cartesian_s2_u0.350,0.0,0.5177882388234138,0.0,0.0,1.0
val::CC(=O)N(Cc1ccco1)c1nc(C(=O)Nc2ccc(Cl)cc2)c(C)s1__gen0000::cartesian_s1_u0.350,0.0,0.32321174442768097,0.0,0.0,1.0
val::CC(=O)N(Cc1ccco1)c1nc(C(=O)Nc2ccc(Cl)cc2)c(C)s1__gen0000::cartesian_s2_u0.350,0.0,0.27180808037519455,0.0,0.0,1.0
val::CC(=O)N1c2ccc(S(=O)(=O)N3CCCC3C(=O)Nc3cccc(F)c3)cc2CC1C__gen0000,0.0,0.7297748029232025,0.0,0.0,1.0
val::CC(=O)NC(CC(N)=O)C(=O)NCC#CBr__gen0000,0.0,0.7049455344676971,0.0,0.0,1.0
val::CC(=O)NC(Cc1ccc(F)cc1)C(=O)NC1CCN(C(=O)Nc2ccc(F)cc2)CC1__gen0000::cartesian_s1_u0.350,0.0,0.7955009937286377,0.0,0.0,1.0
val::CC(=O)NC(Cc1ccc(F)cc1)C(=O)NC1CCN(C(=O)Nc2ccc(F)cc2)CC1__gen0000::cartesian_s2_u0.350,0.0,0.8539458811283112,0.0,0.0,1.0
val::CC(=O)NC(N)=O__gen0000,0.0,0.9149518609046936,0.0,0.0,1.0
val::CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2cc(-c3ccc(C)c(C)c3)nc3ccccc23)cc1__gen0001::cartesian_s1_u0.350,0.0,0.800003245472908,0.0,0.0,1.0
val::CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2cc(-c3ccc(C)c(C)c3)nc3ccccc23)cc1__gen0001::cartesian_s2_u0.350,0.0,0.7806517779827118,0.0,0.0,1.0
val::CC(=O)Nc1ccc(NC(=O)C2CCCN2C(=O)NCc2ccccc2)cc1__gen0000,0.0,0.7184316068887711,0.0,0.0,1.0
val::CC(=O)Nc1ccc(NC(=O)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1__gen0000::cartesian_s1_u0.350,0.0,0.6746897399425507,0.0,0.0,1.0
val::CC(=O)Nc1ccc(NC(=O)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1__gen0000::cartesian_s2_u0.350,0.0,0.7536637187004089,0.0,0.0,1.0
val::CC(=O)Nc1ccc(NC(=O)CSc2ccc3nnc(CCNS(=O)(=O)c4ccc(C)cc4)n3n2)cc1__gen0001,0.0,0.61777263879776,0.0,0.0,1.0
val::CC(=O)c1ccc(OC(=O)C(CCS(C)(=O)=O)N2C(=O)c3ccccc3C2=O)cc1__gen0000,0.0,0.8213833719491959,0.0,0.0,1.0
val::CC(=O)c1ccc(OC(F)F)cc1__gen0001,0.0,0.8088442832231522,0.0,0.0,1.0
val::CC(=O)c1ccc(OCC(O)C[NH+]2CCN(c3ccccn3)CC2)cc1__gen0001,0.0,0.6935561746358871,0.0,0.0,1.0
val::CC(=O)c1cccc(NC(=O)COC(=O)COc2ccccc2C)c1__gen0000::cartesian_s1_u0.350,0.0,0.791776716709137,0.0,0.0,1.0
val::CC(=O)c1cccc(NC(=O)COC(=O)COc2ccccc2C)c1__gen0000::cartesian_s2_u0.350,0.0,0.8385327458381653,0.0,0.0,1.0
val::CC(=O)c1sc(-c2ccc(F)cc2)cc1NS(=O)(=O)c1ccc(C)cc1__gen0001,0.0,0.5721003860235214,0.0,0.0,1.0
val::CC(=O)c1sc(NCc2ccccc2)nc1C__gen0001,0.0,0.5510369390249252,0.0,0.0,1.0
val::CC(C)(C)C1CCc2c(sc(NC(=O)C3CCCO3)c2C(N)=O)C1__gen0000,0.0,0.6275030821561813,0.0,0.0,1.0
val::CC(C)(C)NC(=O)C(c1cccs1)N(Cc1ccc(F)cc1)C(=O)c1csnn1__gen0000,0.0,0.4779939651489258,0.0,0.0,1.0
val::CC(C)(C)[NH2+]C[C@H](O)COc1ccccc1C1CCCC1__gen0000::cartesian_s1_u0.350,0.0,0.8657838255167007,0.0,0.0,1.0
val::CC(C)(C)[NH2+]C[C@H](O)COc1ccccc1C1CCCC1__gen0000::cartesian_s2_u0.350,0.0,0.8910378366708755,0.0,0.0,1.0
val::CC(C)C(=O)Nc1cccc2nsnc12__gen0001::cartesian_s1_u0.350,0.0,0.5417973399162292,0.0,0.0,1.0
val::CC(C)C(=O)Nc1cccc2nsnc12__gen0001::cartesian_s2_u0.350,0.0,0.36624717712402344,0.0,0.0,1.0
val::CC(C)C(C(=O)NCc1ccco1)N(CC1CCCO1)C(=O)CNS(=O)(=O)c1ccccc1__gen0000,0.0,0.6524848937988281,0.0,0.0,1.0
