group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement,p95_torsion_change,high_flex_p95_torsion_change
all,d1_a_aux_only,500,700.0,7.732,1.322632104728371,0.0008448721915483475,0.2300719552487135,0.9333017384819686,0.030846087482757866,0.08584565362654394,0.149973545409739,0.009466666666666667,2.561555593274534e-07,0.002,0.0,3.189741402955955,0.6791453589905645,0.0,0.001827788975983168,0.002272030687075471,0.030729672871530056,0.282,0.0003634504948358881,0.0008527295117382891,0.718,2.464,0.05366658685263246,0.058211436143144966,0.3685911963842809,0.002320460418617586,0.0,0.0,0.0,0.0,0.0,0.0,-0.03195992260426283,-0.31418721222877505,-0.0002846397841349244,-8.813414106498385e-05,-0.0035301000252366066,-0.0005,8.557944966014474e-09,0.0,0.0,0.0,-0.0005909606164394412,-0.1148434904481494,0.482,0.06877587428689003,1.3226321064606308,2.3770708636045454,0.010226952597498893,0.718,0.28200000000000003,0.282,0.736,0.0,0.012,0.724,0.0068984780926257365,0.0013196114741731426,0.0043578549812082175
all,d1_b_accepted,500,700.0,7.732,1.3227112834900618,0.0009240509532392025,0.2298742851652205,0.9225819763592444,0.030830428120680153,0.08560466810424441,0.14830005706846713,0.009466666666666667,2.54917933489196e-07,0.002,0.0,3.18953155898771,0.6745183530548402,0.0,0.0019221186720772324,0.002410810923577657,0.032856508158147335,0.252,0.0004248336631630991,0.0009501669060555287,0.748,2.586,0.05324764357786626,0.0,0.30064362595044075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03215759268775582,-0.32490697435149923,-0.00030029914621263745,-0.0003291196633645086,-0.005203588366508484,-0.0005,7.320319127757102e-09,0.0,0.0,0.0,-0.0008008045846848026,-0.11947049638387375,0.482,0.06870920760929584,1.3227112845033406,2.3770714042186736,0.01037866636738181,0.748,0.252,0.252,0.762,0.0,0.01,0.752,0.00712655441602692,0.00156560261384584,0.004891508666332809
all,d1_b_clipped,500,700.0,7.732,1.3253513880744576,0.0035641555376350878,0.2797179207280278,1.0498195747807622,0.030676488375291227,0.08624644887982504,0.1474709729515016,0.0098,2.570048091001809e-07,0.002,0.0,3.1888381669511143,0.7556821449747765,0.0,0.007235224177129566,0.0091558657893911,0.040735892951488495,0.0,0.0016003294108268165,0.003713721112231724,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176860428750515,-0.19766937592998146,-0.0004542388916015625,0.00031266111221611937,-0.006032672483474016,-0.0001666666666666667,9.407194738741964e-09,0.0,0.0,0.0,-0.0014941966212799525,-0.03830670446393735,0.482,0.06864254094660283,1.3253513872399927,2.3792416446208953,0.010944005694240332,1.0,0.0,0.0,0.416,0.584,0.008,0.992,0.012046369398012756,0.0032975794165395196,0.011648655263707041
all,d1_b_raw,500,700.0,7.732,1.3253513880744576,0.0035641555376350878,0.2797179207280278,1.0498195747807622,0.030676488375291227,0.08624644887982504,0.1474709729515016,0.0098,2.570048091001809e-07,0.002,0.0,3.1888381669511143,0.7556821449747765,0.0,0.007235224177129566,0.0091558657893911,0.040735892951488495,0.0,0.0016003294108268165,0.003713721112231724,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176860428750515,-0.19766937592998146,-0.0004542388916015625,0.00031266111221611937,-0.006032672483474016,-0.0001666666666666667,9.407194738741964e-09,0.0,0.0,0.0,-0.0014941966212799525,-0.03830670446393735,0.482,0.06864254094660283,1.3253513872399927,2.3792416446208953,0.010944005694240332,1.0,0.0,0.0,0.416,0.584,0.008,0.992,0.012046369398012756,0.0032975794165395196,0.011648655263707041
all,d1_b_safety_gated,500,700.0,7.732,1.3229143873676659,0.0011271548308432102,0.23516167167574167,0.9088035010194871,0.03081077282782644,0.085622028324864,0.15034239173308014,0.0098,2.54917933489196e-07,0.002,0.0,3.18953155898771,0.6787214734906695,0.0,0.0023412799591314977,0.0029424661765806376,0.032856508158147335,0.0,0.000516386929406508,0.0011384409326710737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02687020617723465,-0.3386854496912565,-0.00031995443906635045,-0.00031175944274491484,-0.0031612537018954755,-0.0001666666666666667,7.320319127757102e-09,0.0,0.0,0.0,-0.0008008045846848026,-0.11526737594804437,0.482,0.06870920760929584,1.3229143878445029,2.3772647631168367,0.010285305734723806,1.0,0.0,0.0,0.692,0.308,0.008,0.992,0.007377655082382257,0.0016328206023899835,0.005177408456802364
all,minimal_target,500,700.0,7.732,1.3230312489494682,0.0012440164126455784,0.09938484401907771,0.40474240237219783,0.025619312334805727,0.057661590075773345,0.07607406754419208,0.007966666666666667,2.505436059436761e-07,0.002,0.0,3.1889801156077473,0.32864613922034097,0.0,0.006445827365119328,0.008490385357441795,0.06463588029146194,0.043,0.005720317491992318,0.011670536198536866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1626470338338986,-0.8427465483385458,-0.005511414932087064,-0.028272197691835574,-0.07742957789078354,-0.002,2.945991582237184e-09,0.0,0.0,0.0,-0.001352247964646852,-0.465342710218373,0.482,0.06877587428689003,1.3230312486216427,2.3773242040872575,0.011555736724287271,1.0,0.0,0.043,0.988,0.0,0.256,0.728,0.022515542153269046,0.018456719722598776,0.04746323088183993
all,run_a_stage2b,500,700.0,7.732,1.3227387609928847,0.0009515284560620785,0.22980618706345557,0.9353028628528118,0.03028286095149815,0.08370628599803695,0.14853665514290332,0.009966666666666667,2.540245113777928e-07,0.002,0.0,3.190256151997143,0.6773449110617473,0.0,0.002008796581224175,0.0024915536642997724,0.013776013627648354,0.306,0.0003293292811026731,0.0007512367728631943,0.694,2.483,0.060121395317371935,0.10630760017968714,0.33415979900117965,0.0023295968007441843,0.0,0.0,0.0,0.0,0.0,0.0,-0.03222569078952074,-0.31218608785793184,-0.00084786631539464,-0.0022275017695719723,-0.004966990292072296,0.0,6.4268970163539055e-09,0.0,0.0,0.0,-7.621157525102662e-05,-0.11664393837696661,0.482,0.06877587428689003,1.3227387612909078,2.3773829563856124,0.009930546831339598,0.694,0.30600000000000005,0.306,0.702,0.0,0.006,0.696,0.007379522756673395,0.001415854031802155,0.004235827474622055
all,upstream,500,700.0,7.732,1.3217872325368225,0.0,0.2620318778529763,1.2474889507107436,0.03113072726689279,0.08593378776760892,0.15350364543497563,0.009966666666666667,2.475976143614389e-07,0.002,0.0,3.1903323635723946,0.793988849438714,0.0,7.185659229378416e-07,7.91879917912297e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482,0.06884254094958306,1.3217872328907252,2.3759859224557878,0.011278490915894508,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3240843117046095e-06,0.0,0.0
all,v4_selected,500,700.0,7.732,1.3225326424874366,0.0007454099506139755,0.23587184931710362,1.0457354218438268,0.030008356023579836,0.08340991480365574,0.14720741479098798,0.009966666666666667,2.515770829631947e-07,0.002,0.0,3.1900071718645804,0.7093408725372917,0.0,0.00164981270699829,0.0019521114383275063,0.013264019740745425,0.285,0.0003078004256894928,0.0006734963154012803,0.715,2.348,0.05000286205857992,0.07541144781932235,0.898166981190443,0.002437430661491817,0.0,0.0,0.0,0.0,0.0,0.0,-0.0261600285358727,-0.2017535288669169,-0.001122371243312955,-0.002523872963953181,-0.006296230643987656,0.0,3.979468601755798e-09,0.0,0.0,0.0,-0.00032519170781378204,-0.08464797690142223,0.482,0.06877587428689003,1.3225326423346997,2.376936167001724,0.010782554060220719,0.715,0.28500000000000003,0.285,0.72,0.0,0.004,0.716,0.004464010812807827,0.001021387474611401,0.0027207492210436614
ETFlow_normal,d1_a_aux_only,300,300.0,7.59,1.302240795455873,0.00015101250261068344,0.11163706076641877,0.3559223493623237,0.01542049292474985,0.05817781557134973,0.034700446625550586,0.011777777777777778,0.0,0.0,0.0,3.182969733692505,0.2770608193279153,0.0,0.00035049159428515015,0.00041954711042800836,0.006836052518337965,0.44,9.572465173732781e-05,0.00022660486933697636,0.56,1.7366666666666666,0.016597831916684905,0.046945314103116594,0.20488299887627362,0.0008532831957563758,0.0,0.0,0.0,0.0,0.0,0.0,-0.007910112676521142,-0.009288092156251272,-0.00020854426547884942,-0.00040667490205578363,-0.0009542815883954366,-0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,-0.012329963628305525,0.49666666666666665,0.06925439111888408,1.302240795455873,2.3619126790761946,0.0,0.56,0.43999999999999995,0.44,0.56,0.0,0.013333333333333334,0.5466666666666666,0.0012139326659962536,0.0003304171201307327,0.001033496856689453
