group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement,p95_torsion_change,high_flex_p95_torsion_change
ring,confidence_all_one_DIAGNOSTIC_ORACLE_ONLY,488,685,7.694672131147541,1.3289916080758586,0.002933412824650524,0.17345118430656853,0.6032696866743328,0.028823149388133105,0.07800330998117778,0.12171428378472929,0.009699453551912566,2.773439384744976e-07,0.0020491803278688526,0.0,3.194587156764133,0.5081049581948972,0.0,0.006334966231123847,0.007329247510385301,0.04874902963638306,0.2766393442622951,0.001811383353510866,0.0037472154083948,0.7233606557377049,2.2151639344262297,0.03732955520190146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08863915191184668,-0.6375144461750007,-0.0019732488430921967,-0.007207177853205558,-0.035564041456024424,-0.0005122950819672131,2.365785818613806e-08,0.0,0.0,0.0,0.0004362581994140544,-0.2878691196421239,0.47950819672131145,0.06706878432210107,1.3289916095110115,2.392006741806132,0.007675165837233672,0.7233606557377049,0.2766393442622951,0.2766393442622951,0.7274590163934426,0.0,0.004098360655737705,0.7233606557377049,0.021379329776391384,0.00791789039503783,0.02208223193883896
ring,d1_b_deployed,488,685,7.694672131147541,1.3269774816533337,0.0009192864021255833,0.23009624364633174,0.9128759585251291,0.030556899797911832,0.08494545281956882,0.1519467797832655,0.009699453551912566,2.611864072635205e-07,0.0020491803278688526,0.0,3.1933619066439096,0.6758533514577411,0.0,0.0019141504211503083,0.0024053815343786896,0.032856522127985954,0.25614754098360654,0.00042578323066777557,0.0009530132862936789,0.7438524590163934,2.5665983606557377,0.05360333002306002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03199409257208348,-0.3279081743242043,-0.0002394984333134699,-0.000265035014814523,-0.005331545457488201,-0.0005122950819672131,7.500326975160965e-09,0.0,0.0,0.0,-0.0007889919208094331,-0.1201207263792801,0.47950819672131145,0.06770432720602047,1.3269774827525997,2.3889744618877033,0.01044708456783021,0.7438524590163934,0.2561475409836066,0.25614754098360654,0.7581967213114754,0.0,0.010245901639344262,0.7479508196721312,0.007118566823191941,0.0015561410516966127,0.004943263332825151
ring,minimal_target,488,685,7.694672131147541,1.3272810630485048,0.0012228677972967996,0.09957441816117889,0.41181875544636987,0.02573489334022046,0.057942016001746074,0.07794474133626238,0.008162568306010927,2.5670451428655334e-07,0.0020491803278688526,0.0,3.192570053905003,0.3329554313659537,0.0,0.006319963004638873,0.008318348099645958,0.06428283452987671,0.04405737704918033,0.005649957521475952,0.011427715171551233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16251591805723634,-0.8289653774029636,-0.005061504891004841,-0.027268471832637267,-0.07933358390449134,-0.0020491803278688526,3.018433998193836e-09,0.0,0.0,0.0,-0.001580844659716026,-0.4630186464710676,0.47950819672131145,0.06777263322814567,1.3272810627126181,2.3891819355184913,0.01170461097747454,1.0,0.0,0.04405737704918033,0.9877049180327869,0.0,0.26024590163934425,0.7233606557377049,0.022179436590522527,0.01817904731724411,0.04610942592844361
ring,stage_e0_calibrated,488,685,7.694672131147541,1.327446153292005,0.001387958040796831,0.21288015118219936,0.8017340915613487,0.029936233305441002,0.0829388285358499,0.1450673210678897,0.009699453551912566,2.6533073606351236e-07,0.0020491803278688526,0.0,3.1935457312918873,0.6228500151182159,0.0,0.0029076480264096554,0.00350695788890276,0.030093306675553322,0.2551229508196721,0.0006701465493784169,0.0014403200061604395,0.7448770491803278,2.4815573770491803,0.0498293502557809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04921018503621587,-0.43905004128798475,-0.0008601649257843001,-0.0022716592985334424,-0.01221100417286402,-0.0005122950819672131,1.164465577515285e-08,0.0,0.0,0.0,-0.0006051672728321511,-0.17312406271880518,0.47950819672131145,0.06763602119916287,1.3274461523110628,2.389679875041618,0.009771876598204502,0.7448770491803278,0.2551229508196722,0.2551229508196721,0.7561475409836066,0.0,0.006147540983606557,0.75,0.010357211472000924,0.002708350104512646,0.008391807973384856
ring,upstream,488,685,7.694672131147541,1.326058195251208,0.0,0.2620903362184152,1.2407841328493334,0.030796398231225302,0.08521048783438334,0.15727832524075372,0.01021174863387978,2.536860802883595e-07,0.0020491803278688526,0.0,3.194150898564719,0.7959740778370212,0.0,7.224510290405224e-07,7.962675346334203e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47950819672131145,0.06784093923500327,1.3260581956443485,2.3878893965824703,0.011362873155196181,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3255301013259667e-06,0.0,0.0
non_ring,confidence_all_one_DIAGNOSTIC_ORACLE_ONLY,12,15,9.25,1.1517448847492535,0.0036434692641099295,0.1660599453995625,0.9884098302572966,0.042005125898867846,0.09468105132691562,0.0,0.0,0.0,0.0,0.0,3.035254962711429,0.47883779169448343,0.0,0.006976412053973036,0.0078005059562684664,0.03858449123799801,0.08333333333333333,0.0016381204234979425,0.004801525404521574,0.9166666666666666,3.0,0.034182484106471143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09359462559223175,-0.5317417134841284,-0.0027216488185028234,-0.02066693372519997,0.0,0.0,0.0,0.0,0.0,0.0,0.0002096888269084903,-0.23441843621306666,0.5833333333333334,0.109574344009161,1.1517448897163074,1.8965691725413005,0.00579504140963157,0.9166666666666666,0.08333333333333337,0.08333333333333333,0.9166666666666666,0.0,0.0,0.9166666666666666,0.024815432587638495,0.006028745020739733,0.021397096023429173
non_ring,d1_b_deployed,12,15,9.25,1.1492192173997562,0.0011178019146124523,0.22084797360002995,1.3172932242353756,0.04195391324659189,0.11241280132283767,0.0,0.0,0.0,0.0,0.0,3.033764087635571,0.6202283932361752,0.0,0.0022461584668841774,0.002631602836833243,0.013338727876543999,0.08333333333333333,0.0003862279293874356,0.0008344153514675176,0.9166666666666666,3.375,0.03878300442981223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03880659739176432,-0.20285831950604916,-0.0027728614707787833,-0.0029351837292779237,0.0,0.0,0.0,0.0,0.0,0.0,-0.001281186248949832,-0.09302783467137488,0.5833333333333334,0.109574344009161,1.1492192124327023,1.8930137356122334,0.007596326991915703,0.9166666666666666,0.08333333333333337,0.08333333333333333,0.9166666666666666,0.0,0.0,0.9166666666666666,0.007321641698945312,0.0012461700302083037,0.003066846728324887
non_ring,minimal_target,12,15,9.25,1.1502054755886395,0.002104060103495916,0.09167549557362993,0.11697071068920195,0.02091901811460654,0.04625760241954898,0.0,0.0,0.0,0.0,0.0,3.0429892915193535,0.15340159196542422,0.0,0.01156431135799115,0.015486567174472535,0.06463588029146194,0.0,0.008581622959657883,0.021545257962619264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16797907541816434,-1.4031808330522229,-0.02380775660276413,-0.06909038263256662,0.0,0.0,0.0,0.0,0.0,0.0,0.007944017634832897,-0.5598546359421258,0.5833333333333334,0.109574344009161,1.1502054755886395,1.8951097925504048,0.005501517094671726,1.0,0.0,0.0,1.0,0.0,0.08333333333333333,0.9166666666666666,0.03637712299823761,0.021608544001355767,0.06127987653017041
non_ring,stage_e0_calibrated,12,15,9.25,1.1499062466124694,0.0018048311273256938,0.21378582653899988,1.1853885830690463,0.04084771887088815,0.10775648849084973,0.0,0.0,0.0,0.0,0.0,3.033764087635571,0.5779198132998621,0.0,0.0035221324483245553,0.004005913354788504,0.018096525222063065,0.08333333333333333,0.0007075940823900358,0.0016161451737085979,0.9166666666666666,3.4166666666666665,0.03680419991724193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045868744452794395,-0.33476296067237854,-0.0038790558464825153,-0.007591496561265861,0.0,0.0,0.0,0.0,0.0,0.0,-0.001281186248949832,-0.135336414607688,0.5833333333333334,0.109574344009161,1.1499062478542328,1.893909215927124,0.007256884748737018,0.9166666666666666,0.08333333333333337,0.08333333333333333,0.9166666666666666,0.0,0.0,0.9166666666666666,0.011524730431847272,0.002242397576628717,0.006600895524024956
non_ring,upstream,12,15,9.25,1.1481014154851437,0.0,0.2596545709917943,1.5201515437414248,0.04472677471737067,0.11534798505211559,0.0,0.0,0.0,0.0,0.0,3.0350452738845206,0.7132562279075501,0.0,5.605716080954911e-07,6.134501712532862e-07,1.7285346984863281e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.109574344009161,1.1481014142433803,1.8919113079706829,0.007846946517626444,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.135488284073289e-07,0.0,0.0
