group,method,molecules,records,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity,accepted_fraction,rejected_fraction,unchanged_fraction,validity_improved_fraction,validity_worsened_fraction,RMSD_improved_fraction,RMSD_worsened_fraction,p95_displacement,p95_torsion_change,high_flex_p95_torsion_change
ETFlow_normal,confidence_all_one_DIAGNOSTIC_ORACLE_ONLY,300,300,7.59,1.30255420965453,0.00046442670126756034,0.10828768277540803,0.3544664997793734,0.015475476079930862,0.058010420207078826,0.03297065495202939,0.012611111111111111,0.0,0.0,0.0,3.1832600510079905,0.27246415491509246,0.0,0.0009696851083144509,0.001135533969381489,0.013899636454880238,0.44666666666666666,0.00029300010748556816,0.0006816157201925913,0.5533333333333333,1.2933333333333332,0.01662896014439563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011259490667531888,-0.010743941739201545,-0.00015356111029783884,-0.0005740702663266954,-0.0026840732619166376,0.0,0.0,0.0,0.0,0.0,0.00029031731548494476,-0.016926628041128423,0.49666666666666665,0.06925439111888408,1.30255420965453,2.362236583828926,0.0,0.5533333333333333,0.44666666666666666,0.44666666666666666,0.5533333333333333,0.0,0.0,0.5533333333333333,0.0036805946845561276,0.0012152459181379537,0.00376967191696167
ETFlow_normal,d1_b_deployed,300,300,7.59,1.3022869149471323,0.00019713199386994044,0.11156705847010016,0.3560856706982789,0.015474256364007791,0.05822141498458374,0.035358285531401634,0.011777777777777778,0.0,0.0,0.0,3.182969733692505,0.277754149564003,0.0,0.0004006990250407701,0.0005034111026443118,0.016041850671172142,0.39666666666666667,8.750258595076351e-05,0.00020305470233627904,0.6033333333333334,1.8466666666666667,0.016620781185726324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007980114972839753,-0.00912477082029606,-0.00015478082622090976,-0.000363075488821778,-0.00029644268254439037,-0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,-0.011636633392217845,0.49666666666666665,0.06925439111888408,1.3022869149471323,2.3619510394334795,0.0,0.6033333333333334,0.3966666666666666,0.39666666666666667,0.6033333333333334,0.0,0.01,0.5933333333333334,0.001370570767903702,0.0003139511827612298,0.0010919094085693358
ETFlow_normal,minimal_target,300,300,7.59,1.3021843938032787,9.461085001627604e-05,0.00676434800028801,0.017346345339513694,0.008340677598801752,0.03658932411337143,0.0046192526444792745,0.009833333333333333,0.0,0.0,0.0,3.1845847203190663,0.04304152894012365,0.0,0.003327495397668751,0.005386567717376541,0.06463588029146194,0.013333333333333334,0.0028847198608733986,0.007067234662439054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1127828254426519,-0.3478640961790613,-0.0072883595914269485,-0.02199516636003409,-0.03103547556946675,-0.0027777777777777775,0.0,0.0,0.0,0.0,0.001614986626560683,-0.2463492540160972,0.49666666666666665,0.06925439111888408,1.3021843938032787,2.3618334233760834,0.0,1.0,0.0,0.013333333333333334,0.9866666666666667,0.0,0.42333333333333334,0.5566666666666666,0.011913091409951448,0.008387562399730089,0.026950863376259803
ETFlow_normal,stage_e0_calibrated,300,300,7.59,1.3023629780486226,0.0002731950953602791,0.11047273439044754,0.3549266118804614,0.015316462709258,0.05819701262914653,0.03534313403069973,0.011777777777777778,0.0,0.0,0.0,3.182725597628357,0.276191015035585,0.0,0.0005479765010317787,0.0006649306072600325,0.016067873686552048,0.4,0.0001268865444429442,0.0002923247356860278,0.6,1.6733333333333333,0.016642783178637426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00907443905249238,-0.010283829638113579,-0.0003125744809707006,-0.0003874778442589862,-0.00031159418324629466,-0.0008333333333333334,0.0,0.0,0.0,0.0,-0.000244136064148468,-0.01319976792063585,0.49666666666666665,0.06925439111888408,1.3023629780486226,2.3620351984103523,0.0,0.6,0.4,0.4,0.6,0.0,0.0033333333333333335,0.5966666666666667,0.001866469968808815,0.0004120332770980896,0.0014059782028198243
ETFlow_normal,upstream,300,300,7.59,1.3020897829532623,0.0,0.11954717344293991,0.36521044151857496,0.0156290371902287,0.05858449047340552,0.035654728213946024,0.012611111111111111,0.0,0.0,0.0,3.182969733692505,0.28939078295622084,0.0,7.106439457989685e-07,7.830320992733656e-07,5.723151843994856e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49666666666666665,0.06925439111888408,1.3020897829532623,2.361784588098526,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4048673563138438e-06,0.0,0.0
Cartesian_mild,confidence_all_one_DIAGNOSTIC_ORACLE_ONLY,128,134,7.71875,1.3563003031304106,0.007494533492717892,0.2952946504810825,1.1334790071705356,0.05680151522756205,0.1263584590242317,0.2586236488132272,0.006119791666666666,1.081199570762692e-06,0.0078125,0.0,3.173058181918397,0.947425053936801,0.0,0.01644186419453142,0.019016825523133996,0.05901122838258743,0.0078125,0.004652675320812705,0.008941579292695678,0.9921875,3.7265625,0.07373384406673722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21407475392334163,-1.9173036873107776,-0.0016465324697492179,-0.014864751833101764,-0.09184847920550965,0.0,6.72190481054713e-08,0.0,0.0,0.0,0.002731664938510436,-0.7906118081655222,0.484375,0.07412652726634406,1.356300303246826,2.361859515309334,0.000906346584088169,0.9921875,0.0078125,0.0078125,0.9921875,0.0,0.015625,0.9765625,0.02882362334057688,0.01330773718655108,0.03576712012290954
Cartesian_mild,d1_b_deployed,128,134,7.71875,1.3510034552309662,0.0021976855932734907,0.4357189544243738,2.130005739396438,0.0581733368744608,0.14129717658670415,0.33510301198111847,0.006119791666666666,1.0410121831228025e-06,0.0078125,0.0,3.1695925311963444,1.4185668649545884,0.0,0.004699975756172758,0.005907226291867573,0.0240265391767025,0.0546875,0.001126337554779866,0.0023432397297256102,0.9453125,3.6640625,0.12192663397581782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07365044998005033,-0.9207769550848752,-0.0002747108228504658,7.396572937068413e-05,-0.015369116037618369,0.0,2.7031660465581808e-08,0.0,0.0,0.0,-0.0007339857835415679,-0.31946999714773483,0.484375,0.07607965232455172,1.351003456278704,2.356094614136964,0.0011901293182745576,0.9453125,0.0546875,0.0546875,0.9453125,0.0,0.015625,0.9296875,0.009451695811003441,0.0030653373221866775,0.00798995494842529
Cartesian_mild,minimal_target,128,134,7.71875,1.351790238317335,0.0029844686796423048,0.292624570447515,1.2968000163605211,0.06221613233719836,0.11401502081889703,0.20971275013289414,0.006119791666666666,1.0369960818934487e-06,0.0078125,0.0,3.1711259288130726,0.9390030408752106,0.0,0.011363769548217828,0.013053494433454826,0.06989789009094238,0.11328125,0.009708351958352068,0.0177278886599197,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21674483395690913,-1.7539826781207921,0.0037680846398870926,-0.02720819003843644,-0.1407593778858427,0.0,2.3015559236228e-08,0.0,0.0,0.0,0.0007994118331864381,-0.7990338212271126,0.484375,0.076340069033904,1.3517902388994116,2.3566251867450774,0.0014281197363743559,1.0,0.0,0.11328125,0.890625,0.0,0.015625,0.875,0.032566517032682894,0.029764010570943335,0.07520109713077541
Cartesian_mild,stage_e0_calibrated,128,134,7.71875,1.352187893644441,0.0033821240067481995,0.3999609005404636,1.792673043673858,0.05766801814024802,0.13647159272659337,0.31529341032728553,0.006119791666666666,1.055191773957631e-06,0.0078125,0.0,3.170174006539195,1.2769543349665506,0.0,0.007264455795552571,0.00877268456847613,0.023763105273246765,0.0390625,0.0016559423135404927,0.0034125690544897225,0.9609375,3.7578125,0.11082773833186366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1094085038639605,-1.2581096508074552,-0.0007800295570632443,-0.004751618130740098,-0.03517871769145131,0.0,4.121125130041037e-08,0.0,0.0,0.0,-0.0001525104406913426,-0.4610825271357726,0.484375,0.07607965232455172,1.3521878942265175,2.3574485438875854,0.001119324631872587,0.9609375,0.0390625,0.0390625,0.9609375,0.0,0.015625,0.9453125,0.013718351768329735,0.004640941321849818,0.013362735183909529
Cartesian_mild,upstream,128,134,7.71875,1.3488057696376927,0.0,0.5093694044044241,3.0507826944813132,0.05844804769731127,0.14122321085733347,0.35047212801873684,0.006119791666666666,1.0139805226572207e-06,0.0078125,0.0,3.170326516979886,1.7380368621023234,0.0,7.594129285415363e-07,8.382630229952781e-07,4.79215395898791e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484375,0.076340069033904,1.3488057685899548,2.3540341616608202,0.0012697136407950893,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4334479487843053e-06,0.0,0.0
