split,molecule_id,sample_id,source_type,flexibility_group,rotatable_bond_count,input_to_target_aligned_RMSD,aligned_rms_displacement,mean_atom_displacement,max_atom_displacement,torsion_circular_change,max_rotatable_torsion_change,bond_validity_gain,angle_validity_gain,ring_validity_gain,clash_validity_gain,total_validity_gain,energy_drop,optimization_iterations,optimizer_status_code,convergence_status,acceptance_status,acceptance_reason,stop_reason,target_source,force_field_method,force_field_supported,small_gain_large_displacement
train,BrC1C(Br)C(Br)C(Br)C(Br)C1Br,train::BrC1C(Br)C(Br)C(Br)C(Br)C1Br__gen0001,upstream_etflow_formal,low,0,0.1311342716217041,0.1311342716217041,0.1076914370059967,0.28661468625068665,0.0,0.0,0.01682017184793949,0.05586571991443634,0.023068765178322792,0.0,0.09575465694069862,20.679746521599604,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,BrC1C(Br)C(Br)C(Br)C(Br)C1Br,train::BrC1C(Br)C(Br)C(Br)C(Br)C1Br__gen0000,upstream_etflow_formal,low,0,0.14297997951507568,0.14297997951507568,0.11855505406856537,0.36064615845680237,0.0,0.0,0.010930008254945278,0.041458796709775925,0.007996678352355957,0.0,0.06038548331707716,13.65964810119673,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1c(CSc2nncc3ccccc23)nc2ccccn12,train::Brc1c(CSc2nncc3ccccc23)nc2ccccn12__gen0001,upstream_etflow_formal,medium,3,0.14145837724208832,0.14145837724208832,0.12545359134674072,0.2682798504829407,0.12207987159490585,0.15502524375915527,0.018353406339883804,0.026662150397896767,0.021801069378852844,0.0,0.06681662611663342,13.100586942186894,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1c(CSc2nncc3ccccc23)nc2ccccn12,train::Brc1c(CSc2nncc3ccccc23)nc2ccccn12__gen0002,upstream_etflow_formal,medium,3,0.08902156352996826,0.08902156352996826,0.07229939103126526,0.26490893959999084,0.0929647907614708,0.15679782629013062,0.01829986460506916,0.031099537387490273,0.022361084818840027,0.0,0.07176048681139946,14.821777948082968,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1c(CSc2nncn2-c2ccccc2)nc2ncccn12,train::Brc1c(CSc2nncn2-c2ccccc2)nc2ncccn12__gen0002,upstream_etflow_formal,medium,4,0.17148275673389435,0.17148275673389435,0.15705974400043488,0.2793629467487335,0.13869407773017883,0.18287020921707153,0.016973750665783882,0.033518847078084946,0.02221449837088585,0.0,0.07270709611475468,19.216986352399545,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1c(CSc2nncn2-c2ccccc2)nc2ncccn12,train::Brc1c(CSc2nncn2-c2ccccc2)nc2ncccn12__gen0000,upstream_etflow_formal,medium,4,0.150409534573555,0.150409534573555,0.14224351942539215,0.2902919054031372,0.09349139034748077,0.11942612379789352,0.01912744715809822,0.031044555827975273,0.024489738047122955,0.0,0.07466174103319645,20.41410231703695,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1c(OCCOCCn2cncn2)ccc2ccccc12,train::Brc1c(OCCOCCn2cncn2)ccc2ccccc12__gen0001,upstream_etflow_formal,high,7,0.17998626828193665,0.17998626828193665,0.15532700717449188,0.3172440528869629,0.09119672328233719,0.18461382389068604,0.014993560500442982,0.02549825794994831,0.020834490656852722,0.0,0.061326309107244015,17.242353914800745,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1c(OCCOCCn2cncn2)ccc2ccccc12,train::Brc1c(OCCOCCn2cncn2)ccc2ccccc12__gen0002,upstream_etflow_formal,high,7,0.14756739139556885,0.14756739139556885,0.13064590096473694,0.28233468532562256,0.1500835418701172,0.34807491302490234,0.013507449999451637,0.023182306438684464,0.015487216413021088,0.0,0.05217697285115719,10.083923450394181,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1cc(_C=N_n2cnnc2)oc1Br,train::Brc1cc(_C=N_n2cnnc2)oc1Br__gen0000,upstream_etflow_formal,low,2,0.08566692471504211,0.08566692471504211,0.0722508430480957,0.19000521302223206,0.011600110679864883,0.017144177109003067,0.014062680304050446,0.023577434942126274,0.014451217837631702,0.0,0.05209133308380842,4.683869079364133,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1cc(_C=N_n2cnnc2)oc1Br,train::Brc1cc(_C=N_n2cnnc2)oc1Br__gen0001,upstream_etflow_formal,low,2,0.08133569359779358,0.08133569359779358,0.06792808324098587,0.1936476081609726,0.003738467115908861,0.005733252037316561,0.01571768894791603,0.023998836055397987,0.01565610244870186,0.0,0.05537262745201588,5.411059080659669,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1cc(Br)c2nc3c(cc2c1)CCC3,train::Brc1cc(Br)c2nc3c(cc2c1)CCC3__gen0000,upstream_etflow_formal,low,0,0.0627359002828598,0.0627359002828598,0.055691614747047424,0.15290679037570953,0.0,0.0,0.015823768451809883,0.02213001810014248,0.0202476903796196,0.0,0.05820147693157196,5.767818269626439,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1cc(Br)c2nc3c(cc2c1)CCC3,train::Brc1cc(Br)c2nc3c(cc2c1)CCC3__gen0002,upstream_etflow_formal,low,0,0.05536716431379318,0.05536716431379318,0.04934842512011528,0.14971022307872772,0.0,0.0,0.013508172705769539,0.02022276446223259,0.015495666302740574,0.0,0.0492266034707427,4.171431652188986,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1cc(Br)c2ncnc(N3CCCCC3)c2c1,train::Brc1cc(Br)c2ncnc(N3CCCCC3)c2c1__gen0001,upstream_etflow_formal,low,1,0.1714402288198471,0.1714402288198471,0.1509285420179367,0.3955676257610321,0.289722204208374,0.289722204208374,0.013465194962918758,0.02132038213312626,0.013445117510855198,0.0,0.048230694606900215,10.530898738459571,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1cc(Br)c2ncnc(N3CCCCC3)c2c1,train::Brc1cc(Br)c2ncnc(N3CCCCC3)c2c1__gen0002,upstream_etflow_formal,low,1,0.17215180397033691,0.17215180397033691,0.15122178196907043,0.4100930988788605,0.2930595874786377,0.2930595874786377,0.01346322987228632,0.0193194467574358,0.017409486696124077,0.0,0.050192163325846195,9.794115356304342,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc2c(c1)C(c1ccc(N3CCOCC3)cc1)=NNC(c1cccs1)=N2,train::Brc1ccc2c(c1)C(c1ccc(N3CCOCC3)cc1)=NNC(c1cccs1)=N2__gen0002,upstream_etflow_formal,medium,3,0.12862065434455872,0.12862065434455872,0.11148765683174133,0.28609851002693176,0.08563556522130966,0.0908968448638916,0.013911444693803787,0.021487530320882797,0.016389789059758186,0.0,0.05178876407444477,13.06357367074608,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc2c(c1)C(c1ccc(N3CCOCC3)cc1)=NNC(c1cccs1)=N2,train::Brc1ccc2c(c1)C(c1ccc(N3CCOCC3)cc1)=NNC(c1cccs1)=N2__gen0000,upstream_etflow_formal,medium,3,0.14550502598285675,0.14550502598285675,0.12967146933078766,0.2973119020462036,0.0846746563911438,0.14621421694755554,0.014627142809331417,0.023632792755961418,0.016282541677355766,0.0,0.0545424772426486,16.061694775022858,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc2c(c1)OCCOCCOCCOCCOCCOCCO2,train::Brc1ccc2c(c1)OCCOCCOCCOCCOCCOCCO2__gen0000,upstream_etflow_formal,low,0,0.18029770255088806,0.18029770255088806,0.16375809907913208,0.3084990680217743,0.0,0.0,0.01569903828203678,0.028773028403520584,0.02089758589863777,0.0,0.06536965258419514,25.43824637247033,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc2c(c1)OCCOCCOCCOCCOCCOCCO2,train::Brc1ccc2c(c1)OCCOCCOCCOCCOCCOCCO2__gen0001,upstream_etflow_formal,low,0,0.16912056505680084,0.16912056505680084,0.15668600797653198,0.29169875383377075,0.0,0.0,0.012386075221002102,0.029560605064034462,0.01838664337992668,0.0,0.060333323664963245,19.063707207829538,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc2nc(N3CCCC3)sc2c1,train::Brc1ccc2nc(N3CCCC3)sc2c1__gen0000,upstream_etflow_formal,low,1,0.06478388607501984,0.06478388607501984,0.059835441410541534,0.13525700569152832,0.025997161865234375,0.025997161865234375,0.014272685162723064,0.01685786247253418,0.016254322603344917,0.0,0.04738487023860216,4.651096851004771,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc2nc(N3CCCC3)sc2c1,train::Brc1ccc2nc(N3CCCC3)sc2c1__gen0002,upstream_etflow_formal,low,1,0.14156341552734375,0.14156341552734375,0.12172812968492508,0.26975876092910767,0.037049293518066406,0.037049293518066406,0.015589535236358643,0.017493709921836853,0.018957067281007767,0.0,0.05204031243920326,6.315988938576144,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc2ncc(Br)cc2c1,train::Brc1ccc2ncc(Br)cc2c1__gen0000,upstream_etflow_formal,low,0,0.028911681845784187,0.028911681845784187,0.02752266824245453,0.04709882289171219,0.0,0.0,0.019160177558660507,0.01897987350821495,0.02568138763308525,0.0,0.06382143869996071,4.436328908708319,50,0,converged,True,finite_within_drift_and_nonincreasing_energy,converged,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc2ncc(Br)cc2c1,train::Brc1ccc2ncc(Br)cc2c1__gen0001,upstream_etflow_formal,low,0,0.029681526124477386,0.029681526124477386,0.028079548850655556,0.04525965824723244,0.0,0.0,0.02077707275748253,0.020891888067126274,0.025683056563138962,0.0,0.06735201738774776,4.762214008761006,50,0,converged,True,finite_within_drift_and_nonincreasing_energy,converged,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1,train::Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1__gen0001,upstream_etflow_formal,low,2,0.14853070676326752,0.14853070676326752,0.13729524612426758,0.25690773129463196,0.14063063263893127,0.20369982719421387,0.016195133328437805,0.020475449040532112,0.020546359941363335,0.0,0.05721694231033325,10.554369003258152,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1,train::Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1__gen0002,upstream_etflow_formal,low,2,0.1406869739294052,0.1406869739294052,0.12339644134044647,0.2823547124862671,0.08591984957456589,0.12112592160701752,0.01613660156726837,0.019207678735256195,0.01928918994963169,0.0,0.05463347025215626,10.926656059921932,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
train,Brc1ccc(-c2ccc(_C=N_Nc3nc(N4CCOCC4)nc(N4CCOCC4)n3)o2)cc1,train::Brc1ccc(-c2ccc(_C=N_Nc3nc(N4CCOCC4)nc(N4CCOCC4)n3)o2)cc1__gen0000,upstream_etflow_formal,high,6,0.13481315970420837,0.13481315970420837,0.12084897607564926,0.26638323068618774,0.08787098526954651,0.11794924736022949,0.014109228737652302,0.025257352739572525,0.015742244198918343,0.0,0.05510882567614317,15.244851497927662,50,1,accepted_but_not_converged,True,finite_within_drift_and_nonincreasing_energy,iteration_limit,restrained_relaxation,MMFF94s,True,False
