reason_left,reason_right,count
atom_trust_radius,atom_trust_radius,70
atom_trust_radius,chirality_changed,6
atom_trust_radius,molecule_trust_radius,70
atom_trust_radius,new_angle_violation,26
atom_trust_radius,new_bond_violation,17
atom_trust_radius,new_clash,12
atom_trust_radius,new_ring_violation,17
atom_trust_radius,no_bac_gain,19
chirality_changed,chirality_changed,6
chirality_changed,molecule_trust_radius,6
molecule_trust_radius,molecule_trust_radius,70
molecule_trust_radius,new_angle_violation,26
molecule_trust_radius,new_bond_violation,17
molecule_trust_radius,new_clash,12
molecule_trust_radius,new_ring_violation,17
molecule_trust_radius,no_bac_gain,19
new_angle_violation,new_angle_violation,26
new_angle_violation,new_bond_violation,16
new_angle_violation,new_clash,12
new_angle_violation,new_ring_violation,12
new_angle_violation,no_bac_gain,18
new_bond_violation,new_bond_violation,18
new_bond_violation,new_clash,11
new_bond_violation,new_ring_violation,11
new_bond_violation,no_bac_gain,18
new_clash,new_clash,12
new_clash,new_ring_violation,7
new_clash,no_bac_gain,12
new_ring_violation,new_ring_violation,17
new_ring_violation,no_bac_gain,12
no_bac_gain,no_bac_gain,65
