method,molecule_id,sample_id,source,severity,update_scale,rotatable_bond_count,has_ring,clean_valid,groups,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,reject_reasons,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,torsion_gate_mean,torsion_gate_active_fraction,torsion_velocity_norm,torsion_velocity_fraction,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score
upstream,C=C(C)COc1ccc(-c2[nH]ncc2Oc2ccccc2OCC)c(O)c1,val::C=C(C)COc1ccc(-c2[nH]ncc2Oc2ccccc2OCC)c(O)c1__gen0000,ETFlow_formal_upstream,normal,0.0,11,True,False,all;ETFlow_normal;rotatable_ge_6;ring,2.1313483715057373,0.0,0.1568627506494522,0.539790153503418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1721840704194992,0.2918102890253067,0.0,5.784085033155861e-07,6.492379611700017e-07,1.2672121556533966e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C=C(C)COc1ccc(-c2[nH]ncc2Oc2ccccc2OCC)c(O)c1,val::C=C(C)COc1ccc(-c2[nH]ncc2Oc2ccccc2OCC)c(O)c1__gen0001,ETFlow_formal_upstream,normal,0.0,11,True,False,all;ETFlow_normal;rotatable_ge_6;ring,1.649246096611023,0.0,0.0980392172932624,0.3275408148765564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1403328863626907,0.1799244210124015,0.0,5.363582999962091e-07,5.796526920676115e-07,9.200185218105617e-07,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C=C(C)COc1ccc(-c2nc(N)ncc2-c2ccc(OC)cc2)c(O)c1,val::C=C(C)COc1ccc(-c2nc(N)ncc2-c2ccc(OC)cc2)c(O)c1__gen0000,ETFlow_formal_upstream,normal,0.0,10,True,False,all;ETFlow_normal;rotatable_ge_6;ring,1.1722548007965088,0.0,0.0799999982118606,0.2402306944131851,0.0125000001862645,0.0108771501109004,0.0,0.0,0.0,0.0,0.0,3.312944572450056,0.1552769595291465,0.0,6.969335686335398e-07,7.772001140438078e-07,1.4793483842368005e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C=C(C)COc1ccc(-c2nc(N)ncc2-c2ccc(OC)cc2)c(O)c1,val::C=C(C)COc1ccc(-c2nc(N)ncc2-c2ccc(OC)cc2)c(O)c1__gen0001,ETFlow_formal_upstream,normal,0.0,10,True,False,all;ETFlow_normal;rotatable_ge_6;ring,1.244809627532959,0.0,0.1599999964237213,0.4058769941329956,0.0125000001862645,0.0265313647687435,0.0,0.0,0.0,0.0,0.0,2.8622545759945277,0.2806020863354206,0.0,1.7215503476109006e-06,1.91511776392872e-06,3.4405875339871272e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C=C(Cl)COc1cc(C)cc2oc(=O)cc(CC)c12,val::C=C(Cl)COc1cc(C)cc2oc(=O)cc(CC)c12__gen0000,ETFlow_formal_upstream,normal,0.0,6,True,False,all;ETFlow_normal;rotatable_ge_6;ring,1.1629220247268677,0.0,0.1714285761117935,0.5272752046585083,0.0338983051478862,0.0439214408397674,0.1818181872367859,0.0,0.0,0.0,0.0,3.203451076179608,0.5299442298710346,0.0,6.673694770142902e-07,7.374532629000896e-07,1.5090690794750117e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C=C(Cl)COc1cc(C)cc2oc(=O)cc(CC)c12,val::C=C(Cl)COc1cc(C)cc2oc(=O)cc(CC)c12__gen0001,ETFlow_formal_upstream,normal,0.0,6,True,False,all;ETFlow_normal;rotatable_ge_6;ring,0.9641290307044984,0.0,0.1142857149243354,0.0852312073111534,0.0169491525739431,0.0278264097869396,0.2727272808551788,0.0,0.0,0.0,0.0,2.9359136522235585,0.4322265526279807,0.0,7.405732276311028e-07,7.910053341220191e-07,1.28392332499061e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C=CCN1C(=O)_C(=N_n2cnnc2)c2ccccc21,val::C=CCN1C(=O)_C(=N_n2cnnc2)c2ccccc21__gen0000,ETFlow_formal_upstream,normal,0.0,3,True,False,all;ETFlow_normal;rotatable_3_5;ring,1.3751853704452517,0.0,0.15625,0.5898104906082153,0.0196078438311815,0.0473992340266704,0.0666666701436042,0.0,0.0,0.0,0.0,4.495732089997204,0.4018269451335072,0.0,4.977894150215434e-07,5.764811135122727e-07,1.1449678822827991e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C=CCN1C(=O)_C(=N_n2cnnc2)c2ccccc21,val::C=CCN1C(=O)_C(=N_n2cnnc2)c2ccccc21__gen0001,ETFlow_formal_upstream,normal,0.0,3,True,False,all;ETFlow_normal;rotatable_3_5;ring,1.257497787475586,0.0,0.15625,0.8378434777259827,0.0196078438311815,0.0488699749112129,0.0666666701436042,0.0,0.0,0.0,0.0,3.399981049226225,0.4642028771340847,0.0,1.058579755408573e-06,1.1380290061424605e-06,1.972870904864976e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C=CCn1c(O)c(C(C)=Nc2ccc(N(CC)CC)cc2)c(=O)[nH]c1=O,val::C=CCn1c(O)c(C(C)=Nc2ccc(N(CC)CC)cc2)c(=O)[nH]c1=O__gen0000,ETFlow_formal_upstream,normal,0.0,10,True,False,all;ETFlow_normal;rotatable_ge_6;ring,1.5219967365264893,0.0,0.1764705926179886,0.7069048881530762,0.0,0.0,0.1666666716337204,0.5,0.0,0.0,0.0,3.3321624483167427,1.019863486289978,0.0,4.887389764007821e-07,5.516997703125526e-07,9.098254167838604e-07,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upstream,C=CCn1c(O)c(C(C)=Nc2ccc(N(CC)CC)cc2)c(=O)[nH]c1=O,val::C=CCn1c(O)c(C(C)=Nc2ccc(N(CC)CC)cc2)c(=O)[nH]c1=O__gen0001,ETFlow_formal_upstream,normal,0.0,10,True,False,all;ETFlow_normal;rotatable_ge_6;ring,1.1886816024780271,0.0,0.1568627506494522,0.6355552077293396,0.0114942528307437,0.0195062477141618,0.0,0.5,0.0,0.0,0.0,3.292634378496941,0.8321223673410714,0.0,1.0995472621289082e-06,1.1781261264331988e-06,2.105655767081771e-06,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
