epoch,grad_norm,learning_rate,step,train/cartesian/corr_norm_epoch,train/cartesian/corr_norm_step,train/cartesian/corr_to_target_ratio_epoch,train/cartesian/corr_to_target_ratio_step,train/cartesian_loss_epoch,train/cartesian_loss_step,train/final_loss_epoch,train/final_loss_step,train/flexbond/corr_norm_epoch,train/flexbond/corr_norm_step,train/flexbond/corr_reg_loss_epoch,train/flexbond/corr_reg_loss_step,train/flexbond/corr_to_residual_ratio_epoch,train/flexbond/corr_to_residual_ratio_step,train/flexbond/num_skipped_by_cap_epoch,train/flexbond/num_skipped_by_cap_step,train/flexbond/num_skipped_rank_deficient_epoch,train/flexbond/num_skipped_rank_deficient_step,train/flexbond/num_skipped_too_small_epoch,train/flexbond/num_skipped_too_small_step,train/flexbond/num_valid_bonds_epoch,train/flexbond/num_valid_bonds_step,train/flexbond/q_loss_epoch,train/flexbond/q_loss_step,train/flexbond/q_star_nan_count_epoch,train/flexbond/q_star_nan_count_step,train/flow_matching_loss_epoch,train/flow_matching_loss_step,train/loss_epoch,train/loss_step,train/target_velocity_norm_epoch,train/target_velocity_norm_step
0,,,7,0.08481691777706146,,0.04990691691637039,,1.3221487998962402,,1.3221487998962402,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,37.733333587646484,,0.0,,0.0,,1.3221487998962402,,1.3221487998962402,,1.6969937086105347,
1,0.02087848260998726,0.00019999999494757503,9,,0.18546554446220398,,0.11802691221237183,,1.0911685228347778,,1.0911685228347778,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,36.0,,0.0,,0.0,,1.0911685228347778,,1.0911685228347778,,1.5713834762573242
1,,,15,0.15128087997436523,,0.08999907225370407,,1.3398810625076294,,1.3398810625076294,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,37.733333587646484,,0.0,,0.0,,1.3398810625076294,,1.3398810625076294,,1.7003074884414673,
2,0.042247772216796875,0.00019999999494757503,19,,0.03331441432237625,,0.021450225263834,,1.1368072032928467,,1.1368072032928467,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,41.0,,0.0,,0.0,,1.1368072032928467,,1.1368072032928467,,1.5531032085418701
2,,,23,0.03180864825844765,,0.01895037293434143,,1.324002742767334,,1.324002742767334,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,37.733333587646484,,0.0,,0.0,,1.324002742767334,,1.324002742767334,,1.6980115175247192,
3,0.031062092632055283,0.00019999999494757503,29,,0.04219692945480347,,0.027520233765244484,,1.0975468158721924,,1.0975468158721924,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,22.0,,0.0,,0.0,,1.0975468158721924,,1.0975468158721924,,1.5333056449890137
3,,,31,0.027872681617736816,,0.016833676025271416,,1.3154597282409668,,1.3154597282409668,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,37.733333587646484,,0.0,,0.0,,1.3154597282409668,,1.3154597282409668,,1.6946200132369995,
4,0.021446192637085915,0.00019999999494757503,39,,0.04265778139233589,,0.020869046449661255,,1.8593963384628296,,1.8593963384628296,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,46.0,,0.0,,0.0,,1.8593963384628296,,1.8593963384628296,,2.044069528579712
4,,,39,0.042385540902614594,,0.025418775156140327,,1.315511703491211,,1.315511703491211,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,37.733333587646484,,0.0,,0.0,,1.315511703491211,,1.315511703491211,,1.6950352191925049,
5,,,47,0.09848250448703766,,0.059001579880714417,,1.29964017868042,,1.29964017868042,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,37.733333587646484,,0.0,,0.0,,1.29964017868042,,1.29964017868042,,1.6986042261123657,
