epoch,grad_norm,learning_rate,step,train/cartesian/corr_norm_epoch,train/cartesian/corr_norm_step,train/cartesian/corr_to_target_ratio_epoch,train/cartesian/corr_to_target_ratio_step,train/cartesian_loss_epoch,train/cartesian_loss_step,train/final_loss_epoch,train/final_loss_step,train/flexbond/corr_norm_epoch,train/flexbond/corr_norm_step,train/flexbond/corr_reg_loss_epoch,train/flexbond/corr_reg_loss_step,train/flexbond/corr_to_residual_ratio_epoch,train/flexbond/corr_to_residual_ratio_step,train/flexbond/num_skipped_by_cap_epoch,train/flexbond/num_skipped_by_cap_step,train/flexbond/num_skipped_rank_deficient_epoch,train/flexbond/num_skipped_rank_deficient_step,train/flexbond/num_skipped_too_small_epoch,train/flexbond/num_skipped_too_small_step,train/flexbond/num_valid_bonds_epoch,train/flexbond/num_valid_bonds_step,train/flexbond/q_loss_epoch,train/flexbond/q_loss_step,train/flexbond/q_star_nan_count_epoch,train/flexbond/q_star_nan_count_step,train/flow_matching_loss_epoch,train/flow_matching_loss_step,train/loss_epoch,train/loss_step,train/target_velocity_norm_epoch,train/target_velocity_norm_step
0,,,7,0.0810537114739418,,0.04768640547990799,,1.3222976922988892,,1.3216971158981323,,0.7960729002952576,,0.3300882577896118,,0.46946829557418823,,0.0,,0.06666667014360428,,0.0,,37.66666793823242,,0.610366702079773,,0.0,,1.3216971158981323,,1.322340488433838,,1.6969937086105347,
1,0.02370443567633629,0.00019999999494757503,9,,0.18085575103759766,,0.11509332805871964,,1.091139316558838,,1.0886214971542358,,1.6608803272247314,,1.3151675462722778,,1.0578255653381348,,0.0,,0.0,,0.0,,36.0,,0.5872620344161987,,0.0,,1.0886214971542358,,1.0893402099609375,,1.5713834762573242
1,,,15,0.14840012788772583,,0.088275246322155,,1.3396731615066528,,1.3377811908721924,,2.3486905097961426,,2.5960347652435303,,1.3822193145751953,,0.0,,0.0,,0.0,,37.733333587646484,,0.9277978539466858,,0.0,,1.3377811908721924,,1.3389683961868286,,1.7003074884414673,
2,0.05009124055504799,0.00019999999494757503,19,,0.03387734293937683,,0.021812679246068,,1.1367310285568237,,1.1372586488723755,,3.442258834838867,,5.084100723266602,,2.223348379135132,,0.0,,0.0,,0.0,,41.0,,0.9369794726371765,,0.0,,1.1372586488723755,,1.1387040615081787,,1.5531032085418701
2,,,23,0.03173453360795975,,0.018888749182224274,,1.3240739107131958,,1.3215241432189941,,2.9396615028381348,,4.057251453399658,,1.7625044584274292,,0.0,,0.13333334028720856,,0.0,,37.599998474121094,,1.2694594860076904,,0.0,,1.3215241432189941,,1.3231996297836304,,1.6980115175247192,
3,0.048563405871391296,0.00019999999494757503,29,,0.041173987090587616,,0.026853084564208984,,1.098022699356079,,1.0930111408233643,,2.350041151046753,,3.4219298362731934,,1.5430108308792114,,0.0,,0.0,,0.0,,22.0,,1.0273088216781616,,0.0,,1.0930111408233643,,1.0943807363510132,,1.5333056449890137
3,,,31,0.027142168954014778,,0.01638772338628769,,1.3156657218933105,,1.3120983839035034,,3.221484661102295,,4.835136413574219,,1.9235260486602783,,0.0,,0.2666666805744171,,0.0,,37.46666717529297,,1.4507086277008057,,0.0,,1.3120983839035034,,1.3140326738357544,,1.6946200132369995,
4,0.02375669963657856,0.00019999999494757503,39,,0.04023119434714317,,0.019681910052895546,,1.86020827293396,,1.8584214448928833,,3.421485424041748,,5.032814979553223,,1.681313395500183,,0.0,,0.0,,0.0,,46.0,,1.658660888671875,,0.0,,1.8584214448928833,,1.8605834245681763,,2.044069528579712
4,,,39,0.04098202660679817,,0.024581851437687874,,1.315948486328125,,1.3127795457839966,,3.195950746536255,,4.790780544281006,,1.9230358600616455,,0.0,,0.06666667014360428,,0.0,,37.66666793823242,,1.5013006925582886,,0.0,,1.3127795457839966,,1.3147599697113037,,1.6950352191925049,
5,,,47,0.08989957720041275,,0.05384252965450287,,1.3022594451904297,,1.2991104125976562,,3.0460352897644043,,4.298086166381836,,1.8347203731536865,,0.0,,0.06666667014360428,,0.0,,37.66666793823242,,1.5367883443832397,,0.0,,1.2991104125976562,,1.301076889038086,,1.6986042261123657,
6,0.1386716067790985,0.00019999999494757503,49,,0.19865268468856812,,0.12568709254264832,,1.045079231262207,,1.0362228155136108,,2.64457368850708,,3.2894299030303955,,1.7065260410308838,,0.0,,0.0,,0.0,,38.0,,1.0220842361450195,,0.0,,1.0362228155136108,,1.0375738143920898,,1.580533742904663
6,,,55,0.2329576462507248,,0.1404929757118225,,1.279598355293274,,1.2762197256088257,,2.6600687503814697,,3.2775797843933105,,1.6067553758621216,,0.0,,0.20000000298023224,,0.0,,37.53333282470703,,1.4165027141571045,,0.0,,1.2762197256088257,,1.2779638767242432,,1.696055293083191,
7,0.5833548307418823,0.00019999999494757503,59,,0.4190186858177185,,0.255195289850235,,1.1049386262893677,,1.1017547845840454,,1.6991236209869385,,1.5127626657485962,,1.0550215244293213,,0.0,,0.0,,0.0,,30.0,,1.036271572113037,,0.0,,1.1017547845840454,,1.1029423475265503,,1.6419529914855957
7,,,63,0.4129953384399414,,0.25024527311325073,,1.2668535709381104,,1.2637192010879517,,2.3207592964172363,,2.5775368213653564,,1.3908346891403198,,0.0,,0.13333334028720856,,0.0,,37.599998474121094,,1.0669763088226318,,0.0,,1.2637192010879517,,1.26504385471344,,1.6932060718536377,
8,0.5689510703086853,0.00019999999494757503,69,,0.5006897449493408,,0.29309311509132385,,1.2685798406600952,,1.2751398086547852,,2.741461753845215,,3.68794846534729,,1.617266297340393,,0.0,,0.0,,0.0,,44.0,,1.1946982145309448,,0.0,,1.2751398086547852,,1.2767033576965332,,1.7082958221435547
8,,,71,0.4369874894618988,,0.2589072585105896,,1.257968544960022,,1.2550448179244995,,2.6090245246887207,,3.356659412384033,,1.5670775175094604,,0.0,,0.0,,0.0,,37.733333587646484,,1.1739670038223267,,0.0,,1.2550448179244995,,1.2565544843673706,,1.6995872259140015,
9,0.037950754165649414,0.00019999999494757503,79,,0.31407344341278076,,0.21237985789775848,,0.961985170841217,,0.9648621082305908,,2.342561960220337,,2.8192086219787598,,1.6047093868255615,,0.0,,0.0,,0.0,,30.0,,1.4256829023361206,,0.0,,0.9648621082305908,,0.966569721698761,,1.47882878780365
9,,,79,0.33129680156707764,,0.1989707499742508,,1.262978434562683,,1.260684609413147,,2.857959270477295,,3.889836311340332,,1.7154861688613892,,0.0,,0.13333334028720856,,0.0,,37.599998474121094,,1.2655844688415527,,0.0,,1.260684609413147,,1.2623392343521118,,1.6977516412734985,
10,,,87,0.3777618408203125,,0.2248011976480484,,1.2485978603363037,,1.2451131343841553,,2.7214677333831787,,3.359308958053589,,1.6458731889724731,,0.0,,0.20000000298023224,,0.0,,37.53333282470703,,1.2347677946090698,,0.0,,1.2451131343841553,,1.2466838359832764,,1.6980741024017334,
11,0.12273744493722916,0.00019999999494757503,89,,0.518950343132019,,0.32708996534347534,,1.0970739126205444,,1.0953378677368164,,2.2703914642333984,,2.318906784057617,,1.4743200540542603,,0.0,,0.0,,0.0,,36.0,,1.2011209726333618,,0.0,,1.0953378677368164,,1.0967708826065063,,1.5865676403045654
11,,,95,0.3712926208972931,,0.22146055102348328,,1.264115571975708,,1.2603833675384521,,2.8464572429656982,,3.757377862930298,,1.7066482305526733,,0.0,,0.06666667014360428,,0.0,,37.66666793823242,,1.4143580198287964,,0.0,,1.2603833675384521,,1.2621734142303467,,1.698190689086914,
12,0.5363092422485352,0.00019999999494757503,99,,0.32573145627975464,,0.15952110290527344,,1.6959220170974731,,1.6851824522018433,,2.892827272415161,,3.5485074520111084,,1.4444552659988403,,0.0,,0.0,,0.0,,43.0,,1.7213232517242432,,0.0,,1.6851824522018433,,1.6872587203979492,,2.041933298110962
12,,,99,0.3656507730484009,,0.2057291865348816,,1.4477611780166626,,1.4429410696029663,,2.7177786827087402,,3.323026180267334,,1.5252076387405396,,0.0,,0.125,,0.0,,39.625,,1.4636743068695068,,0.0,,1.4429410696029663,,1.4447369575500488,,1.8399680852890015,
