run,step,internal_mse,zero_mse,cosine,positive_gain_fraction,negative_gain_fraction,q_norm,raw_gain_mean,phase_a_pass
bs8_fair,250,0.500299,0.506037,-0.063566,0.383333,0.616667,0.044659,1.556719,false
bs8_fair,500,0.505389,0.506037,-0.013468,0.433333,0.566667,0.018239,0.096664,false
bs8_fair,750,0.502604,0.506037,0.128596,0.400000,0.600000,0.054599,0.769754,false
bs8_fair,1000,0.504280,0.506037,0.016157,0.400000,0.600000,0.031250,0.552186,false
bs8_fair,1250,0.499839,0.506037,0.016855,0.383333,0.616667,0.051914,1.583292,false
bs8_fair,1500,0.500247,0.506037,0.040623,0.450000,0.550000,0.056457,1.211906,false
bs8_fair,1750,0.503870,0.506037,0.097489,0.533333,0.466667,0.044878,0.429594,true
bs8_fair,2000,0.504829,0.506037,0.035351,0.383333,0.616667,0.053773,0.352000,false
bs_auto96,250,0.500345,0.506037,0.059303,0.533333,0.466667,0.046538,1.153875,true
bs_auto96,500,0.499591,0.506037,0.073861,0.450000,0.550000,0.071920,1.435677,false
bs_auto96,750,0.502745,0.506037,0.134514,0.583333,0.416667,0.045696,0.669873,true
bs_auto96,1000,0.497123,0.506037,0.054275,0.450000,0.550000,0.052392,1.939988,false
bs_auto96,1250,0.494269,0.506037,-0.007813,0.433333,0.566667,0.075642,3.006967,false
bs_auto96,1500,0.501709,0.506037,0.109482,0.600000,0.400000,0.030111,0.984270,true
bs_auto96,1750,0.498097,0.506037,0.111199,0.433333,0.566667,0.072538,2.060891,false
bs_auto96,2000,0.499578,0.506037,0.010307,0.483333,0.516667,0.039210,1.605117,false
