metric,component,formulation,seed,split,n_molecules,n_records,value,unit,status,evidence_type
V3D,overall,Restricted,307,DEV,2500,5000,0.564,fraction,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
V3D,bond_geometry_valid,Restricted,307,DEV,2500,5000,0.6844,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
V3D,angle_geometry_valid,Restricted,307,DEV,2500,5000,0.8316,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
V3D,aromatic_ring_valid,Restricted,307,DEV,2500,5000,0.9986,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
V3D,intramolecular_steric_clash_valid,Restricted,307,DEV,2500,5000,0.9792,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
V3D,overall,Unrestricted,307,DEV,2500,5000,0.567,fraction,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
V3D,bond_geometry_valid,Unrestricted,307,DEV,2500,5000,0.6884,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
V3D,angle_geometry_valid,Unrestricted,307,DEV,2500,5000,0.8336,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
V3D,aromatic_ring_valid,Unrestricted,307,DEV,2500,5000,0.9986,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
V3D,intramolecular_steric_clash_valid,Unrestricted,307,DEV,2500,5000,0.9792,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
PoseBusters,overall,Restricted,307,DEV,2500,5000,0.9324,fraction,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
PoseBusters,mol_pred_loaded,Restricted,307,DEV,2500,5000,1.0,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
PoseBusters,sanitization,Restricted,307,DEV,2500,5000,1.0,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
PoseBusters,inchi_convertible,Restricted,307,DEV,2500,5000,0.9996,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
PoseBusters,bond_lengths,Restricted,307,DEV,2500,5000,0.9996,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
PoseBusters,bond_angles,Restricted,307,DEV,2500,5000,0.999,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
PoseBusters,internal_steric_clash,Restricted,307,DEV,2500,5000,0.943,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
PoseBusters,aromatic_ring_flatness,Restricted,307,DEV,2500,5000,1.0,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
PoseBusters,non_aromatic_ring_non_flatness,Restricted,307,DEV,2500,5000,0.9926,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
PoseBusters,double_bond_flatness,Restricted,307,DEV,2500,5000,0.9956,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
PoseBusters,overall,Unrestricted,307,DEV,2500,5000,0.9324,fraction,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
PoseBusters,bond_lengths,Unrestricted,307,DEV,2500,5000,1.0,fraction,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
Bond raw MAE,overall,Restricted,307,DEV,2500,5000,0.003665109946813742,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
Angle raw MAE,cosine,Restricted,307,DEV,2500,5000,0.014244872325334536,dimensionless,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
internal post,common sigma_stat,Restricted,307,DEV,2500,5000,0.6378734638351682,standardized_squared_error,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
direction improvement,common source minus post,Restricted,307,DEV,2500,5000,0.3990024505842399,standardized_squared_error,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
Bond raw MAE,overall,Unrestricted,307,DEV,2500,5000,0.0036413158082347465,angstrom,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
Angle raw MAE,cosine,Unrestricted,307,DEV,2500,5000,0.014077388926891211,dimensionless,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
internal post,common sigma_stat,Unrestricted,307,DEV,2500,5000,0.6215373866374303,standardized_squared_error,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
direction improvement,common source minus post,Unrestricted,307,DEV,2500,5000,0.4153385277819778,standardized_squared_error,CURRENT_AUTHORITATIVE,DERIVED_STATISTIC
Source RMSD,raw proposal displacement,Restricted,307,DEV,2500,5000,0.005525257775222693,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
Source RMSD,Kabsch proposal-to-source,Restricted,307,DEV,2500,5000,0.005525526390972038,angstrom,ALTERNATE_PROTOCOL_VALUE,DERIVED_STATISTIC
Source RMSD,raw proposal displacement,Unrestricted,307,DEV,2500,5000,0.006060002949321642,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
Reference RMSD,fixed-order Kabsch nearest ensemble,Restricted,307,DEV,2500,5000,1.3196411439015718,angstrom,CURRENT_AUTHORITATIVE,ARTIFACT_FACT
