applicable_record_count,bootstrap_ci95_high,bootstrap_ci95_low,cohort,comparison,draws,loss_count,median_difference,metric,paired_mean_difference,standardized_mean_effect,statistical_status,tie_count,win_count
1000,-0.007,-0.022,natural,V8_FULL_12P5K-minus-RAW,10000,14,0.0,accepted,-0.014,-0.11909905196305716,SIGNIFICANT_V8_FULL_12P5K_WORSE,986,0
1000,-0.1953664052055046,-0.21093297192960964,natural,V8_FULL_12P5K-minus-RAW,10000,0,-0.18089616298675537,weighted_bac_delta,-0.2031182614471072,-1.607264829020758,SIGNIFICANT_V8_FULL_12P5K_BETTER,14,986
1000,-0.09090192770082503,-0.09734875159133226,natural,V8_FULL_12P5K-minus-RAW,10000,0,-0.09259258955717087,bond_delta,-0.09413631867151707,-1.7800696023877332,SIGNIFICANT_V8_FULL_12P5K_BETTER,60,940
1000,-0.0038378221323713663,-0.004828409952658695,natural,V8_FULL_12P5K-minus-RAW,10000,0,0.0,angle_delta,-0.004325892422348261,-0.5432657042126807,SIGNIFICANT_V8_FULL_12P5K_BETTER,720,280
584,-0.006659490302442701,-0.008178336077592213,natural,V8_FULL_12P5K-minus-RAW,10000,0,0.0,active_angle_delta,-0.00740735003826757,-0.7997604246103764,SIGNIFICANT_V8_FULL_12P5K_BETTER,304,280
381,-0.04874245367890463,-0.058719867479857885,natural,V8_FULL_12P5K-minus-RAW,10000,1,-0.05263155698776245,ring_delta,-0.05370310624557843,-1.0653747672515348,SIGNIFICANT_V8_FULL_12P5K_BETTER,116,264
3,8.573028026148677e-06,0.0,natural,V8_FULL_12P5K-minus-RAW,10000,2,3.6763667594641447e-06,clash_delta,4.083131595204274e-06,0.9493525458448633,NOT_SIGNIFICANT,1,0
358,0.0,0.0,natural,V8_FULL_12P5K-minus-RAW,10000,0,0.0,chirality_preserved,0.0,0.0,NOT_SIGNIFICANT,358,0
1000,0.003570737009173899,0.0032669574580781045,natural,V8_FULL_12P5K-minus-RAW,10000,986,0.002706328174099326,mean_displacement,0.00341549196181586,1.3725632533605778,SIGNIFICANT_V8_FULL_12P5K_WORSE,14,0
1000,0.020715560447750612,0.01855247356473701,natural,V8_FULL_12P5K-minus-RAW,10000,986,0.013531798031181097,max_atom_displacement,0.019608888812945223,1.113831317488863,SIGNIFICANT_V8_FULL_12P5K_WORSE,14,0
1000,0.00022038788720965384,0.00013753116191364827,natural,V8_FULL_12P5K-minus-RAW,10000,665,0.0001469254493713379,rmsd,0.00017789838835597038,0.26916019852689516,SIGNIFICANT_V8_FULL_12P5K_WORSE,14,321
1000,6.327529989797574e-07,-6.911965351925175e-07,natural,V8_FULL_12P5K-minus-RAW,10000,377,-2.642190111146192e-07,target_loss,-4.602600151670799e-08,-0.004282755719482665,NOT_SIGNIFICANT,14,609
584,-0.003424657534246575,-0.02226027397260274,active_angle,V8_FULL_12P5K-minus-RAW,10000,7,0.0,accepted,-0.011986301369863013,-0.11004972642092693,SIGNIFICANT_V8_FULL_12P5K_WORSE,577,0
584,-0.2017805270496822,-0.22216994282849267,active_angle,V8_FULL_12P5K-minus-RAW,10000,0,-0.18922792887315154,weighted_bac_delta,-0.2119884225862869,-1.6843684890173105,SIGNIFICANT_V8_FULL_12P5K_BETTER,7,577
584,-0.08556330653843598,-0.09444965621367199,active_angle,V8_FULL_12P5K-minus-RAW,10000,0,-0.08771929889917374,bond_delta,-0.09003725400264694,-1.6572721305246618,SIGNIFICANT_V8_FULL_12P5K_BETTER,44,540
584,-0.006659490302442701,-0.008178336077592213,active_angle,V8_FULL_12P5K-minus-RAW,10000,0,0.0,angle_delta,-0.00740735003826757,-0.7997604246103764,SIGNIFICANT_V8_FULL_12P5K_BETTER,304,280
584,-0.006659490302442701,-0.008178336077592213,active_angle,V8_FULL_12P5K-minus-RAW,10000,0,0.0,active_angle_delta,-0.00740735003826757,-0.7997604246103764,SIGNIFICANT_V8_FULL_12P5K_BETTER,304,280
265,-0.04417529372428105,-0.056418392614654776,active_angle,V8_FULL_12P5K-minus-RAW,10000,1,-0.0476190485060215,ring_delta,-0.050284274048962685,-1.0102752456570963,SIGNIFICANT_V8_FULL_12P5K_BETTER,95,169
3,8.573028026148677e-06,0.0,active_angle,V8_FULL_12P5K-minus-RAW,10000,2,3.6763667594641447e-06,clash_delta,4.083131595204274e-06,0.9493525458448633,NOT_SIGNIFICANT,1,0
234,0.0,0.0,active_angle,V8_FULL_12P5K-minus-RAW,10000,0,0.0,chirality_preserved,0.0,0.0,NOT_SIGNIFICANT,234,0
584,0.0043856087565311026,0.0039283942501977635,active_angle,V8_FULL_12P5K-minus-RAW,10000,577,0.003434753278270364,mean_displacement,0.004149621243214662,1.4971566928445967,SIGNIFICANT_V8_FULL_12P5K_WORSE,7,0
584,0.027093972725740295,0.024002729396316643,active_angle,V8_FULL_12P5K-minus-RAW,10000,577,0.02012199256569147,max_atom_displacement,0.025555730775821545,1.3537699680220459,SIGNIFICANT_V8_FULL_12P5K_WORSE,7,0
584,0.00024265332039037383,0.00011567861002818873,active_angle,V8_FULL_12P5K-minus-RAW,10000,383,0.00014349818229675293,rmsd,0.00017708802136452232,0.2250450493435831,SIGNIFICANT_V8_FULL_12P5K_WORSE,7,194
