applicable_record_count,bootstrap_ci95_high,bootstrap_ci95_low,cohort,comparison,draws,loss_count,median_difference,metric,paired_mean_difference,standardized_mean_effect,statistical_status,tie_count,win_count
10000,-0.0116,-0.0162,natural,V8_FULL_12P5K-minus-RAW,10000,138,0.0,accepted,-0.0138,-0.11828653996293219,SIGNIFICANT_V8_FULL_12P5K_WORSE,9862,0
10000,-0.19890302646242985,-0.20388054984831833,natural,V8_FULL_12P5K-minus-RAW,10000,0,-0.18196724820882082,weighted_bac_delta,-0.20140864992004492,-1.5810044969716421,SIGNIFICANT_V8_FULL_12P5K_BETTER,138,9862
10000,-0.09208181692863115,-0.09417470648164163,natural,V8_FULL_12P5K-minus-RAW,10000,0,-0.09090909361839294,bond_delta,-0.09312129611130804,-1.7541036961720398,SIGNIFICANT_V8_FULL_12P5K_BETTER,608,9392
10000,-0.004253391088921344,-0.00460584303527372,natural,V8_FULL_12P5K-minus-RAW,10000,0,0.0,angle_delta,-0.004431081375433132,-0.49952537951915177,SIGNIFICANT_V8_FULL_12P5K_BETTER,7376,2624
5724,-0.007467096477137552,-0.008014086407087733,natural,V8_FULL_12P5K-minus-RAW,10000,0,0.0,active_angle_delta,-0.00774123231207745,-0.73196760673316,SIGNIFICANT_V8_FULL_12P5K_BETTER,3100,2624
3761,-0.05091327383261936,-0.05443680420154159,natural,V8_FULL_12P5K-minus-RAW,10000,7,-0.0476190485060215,ring_delta,-0.05266541102294417,-0.9771640596478747,SIGNIFICANT_V8_FULL_12P5K_BETTER,1235,2519
20,2.030699761235155e-07,-4.130390946102125e-06,natural,V8_FULL_12P5K-minus-RAW,10000,2,0.0,clash_delta,-1.8957983229483944e-06,-0.3806254148011019,NOT_SIGNIFICANT,10,8
3456,0.0,0.0,natural,V8_FULL_12P5K-minus-RAW,10000,0,0.0,chirality_preserved,0.0,0.0,NOT_SIGNIFICANT,3456,0
10000,0.0035242532764474892,0.00342521165219674,natural,V8_FULL_12P5K-minus-RAW,10000,9862,0.00279452174436301,mean_displacement,0.003474440205088467,1.3962007878983482,SIGNIFICANT_V8_FULL_12P5K_WORSE,138,0
10000,0.020664388070021522,0.01995454178148968,natural,V8_FULL_12P5K-minus-RAW,10000,9862,0.013704914133995771,max_atom_displacement,0.020309386284917127,1.1298787619792352,SIGNIFICANT_V8_FULL_12P5K_WORSE,138,0
10000,0.00018757014848524704,0.0001618388262251392,natural,V8_FULL_12P5K-minus-RAW,10000,6561,0.00013878941535949707,rmsd,0.0001747146795503795,0.26434467387665084,SIGNIFICANT_V8_FULL_12P5K_WORSE,139,3300
10000,8.121553652413732e-08,-3.624453272006711e-07,natural,V8_FULL_12P5K-minus-RAW,10000,3899,-2.875925702028326e-07,target_loss,-1.4396729401404684e-07,-0.01262235968007078,NOT_SIGNIFICANT,138,5963
5724,-0.011705101327742837,-0.01781970649895178,active_angle,V8_FULL_12P5K-minus-RAW,10000,84,0.0,accepted,-0.014675052410901468,-0.12202874686576633,SIGNIFICANT_V8_FULL_12P5K_WORSE,5640,0
5724,-0.20719398933744645,-0.21412540807190328,active_angle,V8_FULL_12P5K-minus-RAW,10000,0,-0.1903622479749174,weighted_bac_delta,-0.2106383273297166,-1.5723912432359184,SIGNIFICANT_V8_FULL_12P5K_BETTER,84,5640
5724,-0.08745508157007657,-0.09031133573121736,active_angle,V8_FULL_12P5K-minus-RAW,10000,0,-0.08571428805589676,bond_delta,-0.08888052188863575,-1.6101886502907898,SIGNIFICANT_V8_FULL_12P5K_BETTER,468,5256
5724,-0.007467096477137552,-0.008014086407087733,active_angle,V8_FULL_12P5K-minus-RAW,10000,0,0.0,angle_delta,-0.00774123231207745,-0.73196760673316,SIGNIFICANT_V8_FULL_12P5K_BETTER,3100,2624
5724,-0.007467096477137552,-0.008014086407087733,active_angle,V8_FULL_12P5K-minus-RAW,10000,0,0.0,active_angle_delta,-0.00774123231207745,-0.73196760673316,SIGNIFICANT_V8_FULL_12P5K_BETTER,3100,2624
2502,-0.046186734521337196,-0.05047152785976663,active_angle,V8_FULL_12P5K-minus-RAW,10000,7,-0.04545454680919647,ring_delta,-0.04830708953706052,-0.8773217289371751,SIGNIFICANT_V8_FULL_12P5K_BETTER,979,1516
17,4.0360819184570533e-07,-4.526328134221223e-06,active_angle,V8_FULL_12P5K-minus-RAW,10000,2,0.0,clash_delta,-1.9901842332568347e-06,-0.3714839312155611,NOT_SIGNIFICANT,8,7
2241,0.0,0.0,active_angle,V8_FULL_12P5K-minus-RAW,10000,0,0.0,chirality_preserved,0.0,0.0,NOT_SIGNIFICANT,2241,0
5724,0.004334194711515241,0.0041884740211911645,active_angle,V8_FULL_12P5K-minus-RAW,10000,5640,0.0035507415886968374,mean_displacement,0.004261183294785594,1.5212625170112504,SIGNIFICANT_V8_FULL_12P5K_WORSE,84,0
5724,0.027470903710081443,0.02645706050250885,active_angle,V8_FULL_12P5K-minus-RAW,10000,5640,0.021935071796178818,max_atom_displacement,0.02696821915812642,1.389285767015761,SIGNIFICANT_V8_FULL_12P5K_WORSE,84,0
5724,0.00020861958447553525,0.0001684531689719782,active_angle,V8_FULL_12P5K-minus-RAW,10000,3750,0.00015106797218322754,rmsd,0.0001884902636100786,0.23975072190273755,SIGNIFICANT_V8_FULL_12P5K_WORSE,85,1889
5724,8.466580529473867e-07,8.388035226825246e-08,active_angle,V8_FULL_12P5K-minus-RAW,10000,1904,-9.951451147571788e-07,target_loss,4.5548469750752546e-07,0.0313060293705583,SIGNIFICANT_V8_FULL_12P5K_WORSE,84,3736
20,-0.3,-0.7,active_clash,V8_FULL_12P5K-minus-RAW,10000,10,-0.5,accepted,-0.5,-0.9746794344808966,SIGNIFICANT_V8_FULL_12P5K_WORSE,10,0
20,-0.055126667450697386,-0.15140959783570454,active_clash,V8_FULL_12P5K-minus-RAW,10000,0,-0.05721916611219058,weighted_bac_delta,-0.10195739253458669,-0.9086913202316527,SIGNIFICANT_V8_FULL_12P5K_BETTER,10,10
20,-0.013439873908646408,-0.047205271311104295,active_clash,V8_FULL_12P5K-minus-RAW,10000,0,0.0,bond_delta,-0.029110495932400227,-0.7364117570806827,SIGNIFICANT_V8_FULL_12P5K_BETTER,11,9
20,-0.0004201680887490511,-0.004002958629280328,active_clash,V8_FULL_12P5K-minus-RAW,10000,0,0.0,angle_delta,-0.0019477352965623141,-0.4506721460657412,SIGNIFICANT_V8_FULL_12P5K_BETTER,15,5
17,-0.0004943153985282954,-0.004650197343846016,active_clash,V8_FULL_12P5K-minus-RAW,10000,0,0.0,active_angle_delta,-0.0022914532900733106,-0.49599372590959984,SIGNIFICANT_V8_FULL_12P5K_BETTER,12,5
15,-0.003921568393707275,-0.0323427255731076,active_clash,V8_FULL_12P5K-minus-RAW,10000,0,0.0,ring_delta,-0.016570442045728367,-0.5565867938647276,SIGNIFICANT_V8_FULL_12P5K_BETTER,10,5
20,2.030699761235155e-07,-4.130390946102125e-06,active_clash,V8_FULL_12P5K-minus-RAW,10000,2,0.0,clash_delta,-1.8957983229483944e-06,-0.3806254148011019,NOT_SIGNIFICANT,10,8
18,0.0,0.0,active_clash,V8_FULL_12P5K-minus-RAW,10000,0,0.0,chirality_preserved,0.0,0.0,NOT_SIGNIFICANT,18,0
20,0.009703998084878549,0.0030988233370590024,active_clash,V8_FULL_12P5K-minus-RAW,10000,10,0.0014933334896340966,mean_displacement,0.006245718605350703,0.7907196255163144,SIGNIFICANT_V8_FULL_12P5K_WORSE,10,0
20,0.03161938187666237,0.011128830742090942,active_clash,V8_FULL_12P5K-minus-RAW,10000,10,0.009264174848794937,max_atom_displacement,0.021210129372775555,0.8814780233958581,SIGNIFICANT_V8_FULL_12P5K_WORSE,10,0
20,-0.00024895057082176226,-0.0023076771199703216,active_clash,V8_FULL_12P5K-minus-RAW,10000,3,0.0,rmsd,-0.001176077127456665,-0.4776506993309057,SIGNIFICANT_V8_FULL_12P5K_BETTER,10,7
20,3.458696861343924e-05,5.540395709999757e-06,active_clash,V8_FULL_12P5K-minus-RAW,10000,9,0.0,target_loss,1.7595186885444037e-05,0.5017132254670502,SIGNIFICANT_V8_FULL_12P5K_WORSE,10,1
3761,-0.012230789683594789,-0.020207391651156606,ring_risk,V8_FULL_12P5K-minus-RAW,10000,61,0.0,accepted,-0.0162190906673757,-0.12838264270713654,SIGNIFICANT_V8_FULL_12P5K_WORSE,3700,0
3761,-0.2593412075407752,-0.26916886633334103,ring_risk,V8_FULL_12P5K-minus-RAW,10000,0,-0.2504069022834301,weighted_bac_delta,-0.26420051901935987,-1.7512318988818079,SIGNIFICANT_V8_FULL_12P5K_BETTER,61,3700
3761,-0.10069789254070428,-0.10432646797664862,ring_risk,V8_FULL_12P5K-minus-RAW,10000,0,-0.10204081796109676,bond_delta,-0.10248693830648878,-1.8157963532089534,SIGNIFICANT_V8_FULL_12P5K_BETTER,191,3570
3761,-0.0044657718309840675,-0.005056360950726298,ring_risk,V8_FULL_12P5K-minus-RAW,10000,0,0.0,angle_delta,-0.004760800713732169,-0.5164730499566089,SIGNIFICANT_V8_FULL_12P5K_BETTER,2681,1080
2502,-0.006748803971931979,-0.0075758001371928905,ring_risk,V8_FULL_12P5K-minus-RAW,10000,0,0.0,active_angle_delta,-0.007156423454974695,-0.6805077502191267,SIGNIFICANT_V8_FULL_12P5K_BETTER,1422,1080
3761,-0.05091327383261936,-0.05443680420154159,ring_risk,V8_FULL_12P5K-minus-RAW,10000,7,-0.0476190485060215,ring_delta,-0.05266541102294417,-0.9771640596478747,SIGNIFICANT_V8_FULL_12P5K_BETTER,1235,2519
15,4.3983406309659284e-07,-5.114244025511046e-06,ring_risk,V8_FULL_12P5K-minus-RAW,10000,2,0.0,clash_delta,-2.2555421310244126e-06,-0.3977306005549142,NOT_SIGNIFICANT,6,7
1613,0.0,0.0,ring_risk,V8_FULL_12P5K-minus-RAW,10000,0,0.0,chirality_preserved,0.0,0.0,NOT_SIGNIFICANT,1613,0
3761,0.004550019210805734,0.004360878975126052,ring_risk,V8_FULL_12P5K-minus-RAW,10000,3700,0.003654504893347621,mean_displacement,0.004454057611120437,1.5089730673556951,SIGNIFICANT_V8_FULL_12P5K_WORSE,61,0
3761,0.025838134170169575,0.024576621642135827,ring_risk,V8_FULL_12P5K-minus-RAW,10000,3700,0.01877998188138008,max_atom_displacement,0.025200152409109923,1.2762452492305458,SIGNIFICANT_V8_FULL_12P5K_WORSE,61,0
3761,0.00023900815955571467,0.0001867673312452773,ring_risk,V8_FULL_12P5K-minus-RAW,10000,2487,0.00017154216766357422,rmsd,0.00021244142287725527,0.2619566545195265,SIGNIFICANT_V8_FULL_12P5K_WORSE,61,1213
3761,5.800571580640919e-07,-3.507522615396124e-07,ring_risk,V8_FULL_12P5K-minus-RAW,10000,1334,-7.680350790906232e-07,target_loss,1.213235476708914e-07,0.008265821298631635,NOT_SIGNIFICANT,61,2366
7366,-0.010996470268802606,-0.01629106706489275,high_flexibility,V8_FULL_12P5K-minus-RAW,10000,100,0.0,accepted,-0.013575889220743959,-0.11730670105619022,SIGNIFICANT_V8_FULL_12P5K_WORSE,7266,0
7366,-0.19593593485114205,-0.20141430626562926,high_flexibility,V8_FULL_12P5K-minus-RAW,10000,0,-0.18129062601474288,weighted_bac_delta,-0.19863317570355962,-1.6521090571186952,SIGNIFICANT_V8_FULL_12P5K_BETTER,100,7266
7366,-0.09296724217546651,-0.0953048489848645,high_flexibility,V8_FULL_12P5K-minus-RAW,10000,0,-0.09302325546741486,bond_delta,-0.09411291391751848,-1.8319158485422669,SIGNIFICANT_V8_FULL_12P5K_BETTER,377,6989
7366,-0.004172523441181314,-0.004548772564922777,high_flexibility,V8_FULL_12P5K-minus-RAW,10000,0,0.0,angle_delta,-0.00435843779165586,-0.527753296299988,SIGNIFICANT_V8_FULL_12P5K_BETTER,5328,2038
4289,-0.007197775406553198,-0.007777752736447096,high_flexibility,V8_FULL_12P5K-minus-RAW,10000,0,0.0,active_angle_delta,-0.007485253619337157,-0.7731441131487576,SIGNIFICANT_V8_FULL_12P5K_BETTER,2251,2038
2622,-0.05084938452347139,-0.05487215580489035,high_flexibility,V8_FULL_12P5K-minus-RAW,10000,3,-0.0476190485060215,ring_delta,-0.052855949038334196,-1.0003928074281754,SIGNIFICANT_V8_FULL_12P5K_BETTER,841,1778
20,2.030699761235155e-07,-4.130390946102125e-06,high_flexibility,V8_FULL_12P5K-minus-RAW,10000,2,0.0,clash_delta,-1.8957983229483944e-06,-0.3806254148011019,NOT_SIGNIFICANT,10,8
2820,0.0,0.0,high_flexibility,V8_FULL_12P5K-minus-RAW,10000,0,0.0,chirality_preserved,0.0,0.0,NOT_SIGNIFICANT,2820,0
7366,0.003423732465175332,0.003319341785589503,high_flexibility,V8_FULL_12P5K-minus-RAW,10000,7266,0.0027720389189198613,mean_displacement,0.003370926190363514,1.470216237963579,SIGNIFICANT_V8_FULL_12P5K_WORSE,100,0
7366,0.020435076022307205,0.019627877018254213,high_flexibility,V8_FULL_12P5K-minus-RAW,10000,7266,0.013645509257912636,max_atom_displacement,0.02002777543005276,1.1316983141806336,SIGNIFICANT_V8_FULL_12P5K_WORSE,100,0
7366,0.00016430258936016835,0.00014045688275884035,high_flexibility,V8_FULL_12P5K-minus-RAW,10000,4855,0.00013720989227294922,rmsd,0.00015251851328852188,0.289086425386002,SIGNIFICANT_V8_FULL_12P5K_WORSE,101,2410
7366,1.400095219148597e-07,-3.1514797265941633e-07,high_flexibility,V8_FULL_12P5K-minus-RAW,10000,2856,-2.8818922714890505e-07,target_loss,-9.337057015028479e-08,-0.009186678810488472,NOT_SIGNIFICANT,100,4410
4521,-0.013050210130502102,-0.0203494802034948,low_error_minimal_movement,V8_FULL_12P5K-minus-RAW,10000,75,0.0,accepted,-0.0165892501658925,-0.1298667183735821,SIGNIFICANT_V8_FULL_12P5K_WORSE,4446,0
4521,-0.1478280150057146,-0.15263035943863812,low_error_minimal_movement,V8_FULL_12P5K-minus-RAW,10000,0,-0.14381419369260584,weighted_bac_delta,-0.15020752541790003,-1.8447583493356978,SIGNIFICANT_V8_FULL_12P5K_BETTER,75,4446
4521,-0.0800801956355751,-0.082542767913,low_error_minimal_movement,V8_FULL_12P5K-minus-RAW,10000,0,-0.0810810774564743,bond_delta,-0.08130006046499748,-1.9278820703024422,SIGNIFICANT_V8_FULL_12P5K_BETTER,237,4284
4521,-0.0021725426586871165,-0.002531598058090008,low_error_minimal_movement,V8_FULL_12P5K-minus-RAW,10000,0,0.0,angle_delta,-0.002347628144331868,-0.38236331428727566,SIGNIFICANT_V8_FULL_12P5K_BETTER,3818,703
1461,-0.006806841963063224,-0.007729732274784771,low_error_minimal_movement,V8_FULL_12P5K-minus-RAW,10000,0,0.0,active_angle_delta,-0.007264631649914015,-0.8073760260268408,SIGNIFICANT_V8_FULL_12P5K_BETTER,758,703
1064,-0.04773287582451905,-0.05256203466731375,low_error_minimal_movement,V8_FULL_12P5K-minus-RAW,10000,2,-0.0555555559694767,ring_delta,-0.05015442957506424,-1.2345957338648692,SIGNIFICANT_V8_FULL_12P5K_BETTER,271,791
5,1.674485974945128e-06,-4.963518586009741e-06,low_error_minimal_movement,V8_FULL_12P5K-minus-RAW,10000,1,0.0,clash_delta,-1.4505669241771102e-06,-0.3274667386671732,NOT_SIGNIFICANT,2,2
1377,0.0,0.0,low_error_minimal_movement,V8_FULL_12P5K-minus-RAW,10000,0,0.0,chirality_preserved,0.0,0.0,NOT_SIGNIFICANT,1377,0
4521,0.002243944965104863,0.0021618335198669626,low_error_minimal_movement,V8_FULL_12P5K-minus-RAW,10000,4446,0.001948020071722567,mean_displacement,0.0022026728837587803,1.5558789861273454,SIGNIFICANT_V8_FULL_12P5K_WORSE,75,0
4521,0.011092786970228518,0.010440985552342907,low_error_minimal_movement,V8_FULL_12P5K-minus-RAW,10000,4446,0.00781041057780385,max_atom_displacement,0.010769897052523607,0.959476474121661,SIGNIFICANT_V8_FULL_12P5K_WORSE,75,0
4521,0.00015918806345020542,0.00013505909304029282,low_error_minimal_movement,V8_FULL_12P5K-minus-RAW,10000,3067,0.00012958049774169922,rmsd,0.00014715762555539885,0.3524165467991793,SIGNIFICANT_V8_FULL_12P5K_WORSE,75,1379
4521,1.846109841230807e-06,1.3695954725576148e-06,low_error_minimal_movement,V8_FULL_12P5K-minus-RAW,10000,2721,9.714665338833584e-08,target_loss,1.6008289842161678e-06,0.19636150222867355,SIGNIFICANT_V8_FULL_12P5K_WORSE,75,1725
9998,-0.011602320464092819,-0.016103220644128825,mmff_supported,V8_FULL_12P5K-minus-RAW,10000,138,0.0,accepted,-0.013802760552110422,-0.11829853477779347,SIGNIFICANT_V8_FULL_12P5K_WORSE,9860,0
9998,-0.1988492310087193,-0.20389936852145926,mmff_supported,V8_FULL_12P5K-minus-RAW,10000,0,-0.18191204499453306,weighted_bac_delta,-0.2013946667436522,-1.5808029050182955,SIGNIFICANT_V8_FULL_12P5K_BETTER,138,9860
9998,-0.09208110862817323,-0.09414490608833657,mmff_supported,V8_FULL_12P5K-minus-RAW,10000,0,-0.09090909361839294,bond_delta,-0.09311344821168514,-1.7539974223225308,SIGNIFICANT_V8_FULL_12P5K_BETTER,608,9390
9998,-0.004258323502456948,-0.004604185898451067,mmff_supported,V8_FULL_12P5K-minus-RAW,10000,0,0.0,angle_delta,-0.004431967768986929,-0.4995878044451833,SIGNIFICANT_V8_FULL_12P5K_BETTER,7374,2624
