applicable_record_count,bootstrap_ci95_high,bootstrap_ci95_low,cohort,comparison,draws,loss_count,median_difference,metric,paired_mean_difference,standardized_mean_effect,statistical_status,tie_count,win_count
100,0.0,-0.05,natural,V8_FULL_12P5K-minus-RAW,1000,2,0.0,accepted,-0.02,-0.1421410624438029,NOT_SIGNIFICANT,98,0
100,-0.179699746159347,-0.22326967315744856,natural,V8_FULL_12P5K-minus-RAW,1000,0,-0.19073238759301603,weighted_bac_delta,-0.20110390776880593,-1.8399148877078355,SIGNIFICANT_V8_FULL_12P5K_BETTER,2,98
100,-0.07959061178169213,-0.0995188108261209,natural,V8_FULL_12P5K-minus-RAW,1000,0,-0.09335512295365334,bond_delta,-0.08899804952554405,-1.7199031818106294,SIGNIFICANT_V8_FULL_12P5K_BETTER,6,94
100,-0.0028599208332598207,-0.0057721816557459536,natural,V8_FULL_12P5K-minus-RAW,1000,0,0.0,angle_delta,-0.0042096478212624786,-0.5506050977110158,SIGNIFICANT_V8_FULL_12P5K_BETTER,71,29
70,-0.004062332763403123,-0.008210963765491864,natural,V8_FULL_12P5K-minus-RAW,1000,0,0.0,active_angle_delta,-0.0060137826018035415,-0.7045298493940376,SIGNIFICANT_V8_FULL_12P5K_BETTER,41,29
52,-0.02642482803740467,-0.0473463847534731,natural,V8_FULL_12P5K-minus-RAW,1000,0,-0.0444664042443037,ring_delta,-0.036262717384558454,-0.9117796895578254,SIGNIFICANT_V8_FULL_12P5K_BETTER,24,28
3,0.0,-8.272530976682901e-06,natural,V8_FULL_12P5K-minus-RAW,1000,0,-2.4297769414260983e-06,clash_delta,-3.567435972703e-06,-0.8390044449531426,NOT_SIGNIFICANT,1,2
36,0.0,0.0,natural,V8_FULL_12P5K-minus-RAW,1000,0,0.0,chirality_preserved,0.0,0.0,NOT_SIGNIFICANT,36,0
100,0.004126920806695125,0.003187464409551467,natural,V8_FULL_12P5K-minus-RAW,1000,98,0.0031673229532316327,mean_displacement,0.003652611040743068,1.512216055441585,SIGNIFICANT_V8_FULL_12P5K_WORSE,2,0
100,0.026677562602155376,0.019449666355387307,natural,V8_FULL_12P5K-minus-RAW,1000,98,0.017131944186985493,max_atom_displacement,0.022998108316678555,1.2415375106065962,SIGNIFICANT_V8_FULL_12P5K_WORSE,2,0
100,0.00021516333520412443,-1.546906679868698e-05,natural,V8_FULL_12P5K-minus-RAW,1000,66,0.0001423358917236328,rmsd,0.00011270374059677124,0.18077250209563517,NOT_SIGNIFICANT,2,32
100,1.1322586214888016e-06,-2.985899420636429e-06,natural,V8_FULL_12P5K-minus-RAW,1000,33,-4.4592968606593786e-07,target_loss,-1.0225720257039939e-06,-0.09248598670816144,NOT_SIGNIFICANT,2,65
70,0.0,-0.07142857142857142,active_angle,V8_FULL_12P5K-minus-RAW,1000,2,0.0,accepted,-0.02857142857142857,-0.17026918875314892,NOT_SIGNIFICANT,68,0
70,-0.17010305460245956,-0.2193824079453267,active_angle,V8_FULL_12P5K-minus-RAW,1000,0,-0.1879653243231587,weighted_bac_delta,-0.19474283245268761,-1.7976100171966782,SIGNIFICANT_V8_FULL_12P5K_BETTER,2,68
70,-0.06785730317268254,-0.09060519702333425,active_angle,V8_FULL_12P5K-minus-RAW,1000,0,-0.08220720663666725,bond_delta,-0.07909397446949568,-1.6459558583118659,SIGNIFICANT_V8_FULL_12P5K_BETTER,6,64
70,-0.004062332763403123,-0.008210963765491864,active_angle,V8_FULL_12P5K-minus-RAW,1000,0,0.0,angle_delta,-0.0060137826018035415,-0.7045298493940376,SIGNIFICANT_V8_FULL_12P5K_BETTER,41,29
70,-0.004062332763403123,-0.008210963765491864,active_angle,V8_FULL_12P5K-minus-RAW,1000,0,0.0,active_angle_delta,-0.0060137826018035415,-0.7045298493940376,SIGNIFICANT_V8_FULL_12P5K_BETTER,41,29
40,-0.01895845165476203,-0.040961018342059105,active_angle,V8_FULL_12P5K-minus-RAW,1000,0,0.0,ring_delta,-0.029666799027472733,-0.8040490957000912,SIGNIFICANT_V8_FULL_12P5K_BETTER,22,18
3,0.0,-8.272530976682901e-06,active_angle,V8_FULL_12P5K-minus-RAW,1000,0,-2.4297769414260983e-06,clash_delta,-3.567435972703e-06,-0.8390044449531426,NOT_SIGNIFICANT,1,2
28,0.0,0.0,active_angle,V8_FULL_12P5K-minus-RAW,1000,0,0.0,chirality_preserved,0.0,0.0,NOT_SIGNIFICANT,28,0
70,0.004715134076291828,0.0035616230136033015,active_angle,V8_FULL_12P5K-minus-RAW,1000,68,0.0036290555726736784,mean_displacement,0.004093493535349678,1.5941290721609558,SIGNIFICANT_V8_FULL_12P5K_WORSE,2,0
70,0.03224789594133784,0.02340695595767881,active_angle,V8_FULL_12P5K-minus-RAW,1000,68,0.023953165858983994,max_atom_displacement,0.027709198011351483,1.4679496430550054,SIGNIFICANT_V8_FULL_12P5K_WORSE,2,0
70,0.00025162930999483385,-6.616973451205661e-05,active_angle,V8_FULL_12P5K-minus-RAW,1000,45,0.00013011693954467773,rmsd,0.00010606646537780762,0.14880556637316023,NOT_SIGNIFICANT,2,23
70,1.8873209203361181e-06,-3.687899616490345e-06,active_angle,V8_FULL_12P5K-minus-RAW,1000,18,-1.0979310900438577e-06,target_loss,-9.328828602812272e-07,-0.07203824758855161,NOT_SIGNIFICANT,2,50
3,0.0,-1.0,active_clash,V8_FULL_12P5K-minus-RAW,1000,1,0.0,accepted,-0.3333333333333333,-0.5773502691896256,NOT_SIGNIFICANT,2,0
3,0.0,-0.19247884216019884,active_clash,V8_FULL_12P5K-minus-RAW,1000,0,-0.15664899903640617,weighted_bac_delta,-0.116375947065535,-1.1368793822606755,NOT_SIGNIFICANT,1,2
3,0.0,-0.07499999925494194,active_clash,V8_FULL_12P5K-minus-RAW,1000,0,0.0,bond_delta,-0.024999999751647312,-0.5773502691896257,NOT_SIGNIFICANT,2,1
3,0.0,0.0,active_clash,V8_FULL_12P5K-minus-RAW,1000,0,0.0,angle_delta,0.0,0.0,NOT_SIGNIFICANT,3,0
3,0.0,0.0,active_clash,V8_FULL_12P5K-minus-RAW,1000,0,0.0,active_angle_delta,0.0,0.0,NOT_SIGNIFICANT,3,0
3,0.0,-0.10000000894069672,active_clash,V8_FULL_12P5K-minus-RAW,1000,0,0.0,ring_delta,-0.033333336313565574,-0.5773502691896258,NOT_SIGNIFICANT,2,1
3,0.0,-8.272530976682901e-06,active_clash,V8_FULL_12P5K-minus-RAW,1000,0,-2.4297769414260983e-06,clash_delta,-3.567435972703e-06,-0.8390044449531426,NOT_SIGNIFICANT,1,2
3,0.0,0.0,active_clash,V8_FULL_12P5K-minus-RAW,1000,0,0.0,chirality_preserved,0.0,0.0,NOT_SIGNIFICANT,3,0
3,0.012674299068748951,0.0,active_clash,V8_FULL_12P5K-minus-RAW,1000,2,0.01152733713388443,mean_displacement,0.00806721206754446,1.1508299122140053,NOT_SIGNIFICANT,1,0
3,0.060000140219926834,0.0,active_clash,V8_FULL_12P5K-minus-RAW,1000,2,0.04946192726492882,max_atom_displacement,0.03648735582828522,1.138974333811728,NOT_SIGNIFICANT,1,0
3,0.0010138750076293945,-0.00440669059753418,active_clash,V8_FULL_12P5K-minus-RAW,1000,1,0.0,rmsd,-0.0011309385299682617,-0.39243868688167016,NOT_SIGNIFICANT,1,1
3,5.496030644280836e-05,0.0,active_clash,V8_FULL_12P5K-minus-RAW,1000,2,3.02695220852911e-05,target_loss,2.840994284269982e-05,1.0320642028299465,NOT_SIGNIFICANT,1,0
52,0.0,-0.09615384615384616,ring_risk,V8_FULL_12P5K-minus-RAW,1000,2,0.0,accepted,-0.038461538461538464,-0.19806758753205744,NOT_SIGNIFICANT,50,0
52,-0.21081946034631296,-0.2710926740280926,ring_risk,V8_FULL_12P5K-minus-RAW,1000,0,-0.24681610523464315,weighted_bac_delta,-0.24062780830038613,-2.145140606941307,SIGNIFICANT_V8_FULL_12P5K_BETTER,2,50
52,-0.07906157412082673,-0.1085455094558151,ring_risk,V8_FULL_12P5K-minus-RAW,1000,0,-0.10274454578757286,bond_delta,-0.09397428004572597,-1.7065756847034006,SIGNIFICANT_V8_FULL_12P5K_BETTER,5,47
52,-0.0021043024715394357,-0.005823181326895093,ring_risk,V8_FULL_12P5K-minus-RAW,1000,0,0.0,angle_delta,-0.003857259566967304,-0.5310408396977625,SIGNIFICANT_V8_FULL_12P5K_BETTER,37,15
40,-0.0028486875002272432,-0.007658782004145905,ring_risk,V8_FULL_12P5K-minus-RAW,1000,0,0.0,active_angle_delta,-0.005014437437057495,-0.6315492291008825,SIGNIFICANT_V8_FULL_12P5K_BETTER,25,15
52,-0.02642482803740467,-0.0473463847534731,ring_risk,V8_FULL_12P5K-minus-RAW,1000,0,-0.0444664042443037,ring_delta,-0.036262717384558454,-0.9117796895578254,SIGNIFICANT_V8_FULL_12P5K_BETTER,24,28
3,0.0,-8.272530976682901e-06,ring_risk,V8_FULL_12P5K-minus-RAW,1000,0,-2.4297769414260983e-06,clash_delta,-3.567435972703e-06,-0.8390044449531426,NOT_SIGNIFICANT,1,2
25,0.0,0.0,ring_risk,V8_FULL_12P5K-minus-RAW,1000,0,0.0,chirality_preserved,0.0,0.0,NOT_SIGNIFICANT,25,0
52,0.005573277309080228,0.0041326753813056985,ring_risk,V8_FULL_12P5K-minus-RAW,1000,50,0.003923879121430218,mean_displacement,0.004812919510116514,1.8080628714026534,SIGNIFICANT_V8_FULL_12P5K_WORSE,2,0
52,0.03542317345183199,0.02509802300975515,ring_risk,V8_FULL_12P5K-minus-RAW,1000,50,0.028493004851043224,max_atom_displacement,0.030136267582957562,1.6130873932521024,SIGNIFICANT_V8_FULL_12P5K_WORSE,2,0
52,0.00029867520699134234,-0.00011176498463520637,ring_risk,V8_FULL_12P5K-minus-RAW,1000,35,0.00016134977340698242,rmsd,0.00010928970116835374,0.13605367575894,NOT_SIGNIFICANT,2,15
52,3.563166003044232e-06,-5.108857183426625e-06,ring_risk,V8_FULL_12P5K-minus-RAW,1000,18,-8.091715244518127e-07,target_loss,-9.886049099350203e-07,-0.06510305004322538,NOT_SIGNIFICANT,2,32
