artifact_type,path,role,sha256,tracked_by_git,git_commit,status
core_source,etflow/ecir/learned_geometry.py,shared backbone and geometry primitives,1787fd0b1de47453b6e1959b3ebc27c173a481e883707dc79424d2896158f7a1,YES,refs/tags/final-development-freeze-step1,ACTIVE
core_source,etflow/ecir/musigma_reliability.py,J1 sigma Reliability and first-order primitive action,058e3da07308a7178e267230e85acd774ce95d9007eec3d05764b64f4ba7cb7d,YES,refs/tags/final-development-freeze-step1,ACTIVE
core_source,etflow/ecir/j1r1_full_joint.py,Restricted Adaptive BA and joint action,5e20d34ef6a8b92f40a22da02148d7451b2476fd0dfb9b06f864081c6d968765,YES,refs/tags/final-development-freeze-step1,ACTIVE
core_source,etflow/ecir/j1r1_full_joint_unrestricted.py,Unrestricted magnitude and proposal action,22044fc13f7d54074c179b7029f44a4f7d533a6f8cb64cda61e1a4e25c3d0b77,YES,refs/tags/final-development-freeze-step1,ACTIVE
core_source,etflow/ecir/lsgoba_v2_joint_magnitude.py,Restricted bounded magnitude and atom cap,58d7f97bc1b45bdce42178329b0eef1ff4f1053ed92e5fb6031469126f24efb3,YES,refs/tags/final-development-freeze-step1,ACTIVE
core_source,etflow/commons/kabsch_utils.py,proper-rotation Kabsch implementation,ff7e0f3011dd40bd449e974004a7d8cc85f5402cbb3db3ef44e77b74d653840f,YES,refs/tags/final-development-freeze-step1,ACTIVE
config,configs/sixs_j1r1_full_joint_adaptive_ba_movement.json,Restricted seed307 root config,3cf2db029de8acd78980022450804830faab073622f07e20df7e4e06baecbf51,YES,refs/tags/final-development-freeze-step1,ACTIVE
config,configs/sixs_j1r1_full_joint_unrestricted_movement.json,Unrestricted seed307 root config,7c5c8ad066b3dc6e6c75285093e05e7fa7f29a261a16e398cddff0f90801b796,YES,refs/tags/final-development-freeze-step1,ACTIVE
config,reports/ecir_mvr/sixs_final_restricted_vs_unrestricted_multiseed/restricted_seed331/FROZEN_CONFIG.json,Restricted seed331 executed frozen config,38d1f3f0acf3bfbb6ead8a5623b7c52012bf4bb5709044808b021508446e51d5,YES,refs/tags/final-development-freeze-step1,ACTIVE
config,reports/ecir_mvr/sixs_final_restricted_vs_unrestricted_multiseed/restricted_seed353/FROZEN_CONFIG.json,Restricted seed353 executed frozen config,612bc0114ce042517b8163a6629211c6df2781d12a0b706a5298d44f800746b4,YES,refs/tags/final-development-freeze-step1,ACTIVE
config,reports/ecir_mvr/sixs_final_restricted_vs_unrestricted_multiseed/unrestricted_seed331/FROZEN_CONFIG.json,Unrestricted seed331 executed frozen config,10f022e376c6255b160c4a729064cc416392b4056245fd20b608718baba273f8,YES,refs/tags/final-development-freeze-step1,ACTIVE
config,reports/ecir_mvr/sixs_final_restricted_vs_unrestricted_multiseed/unrestricted_seed353/FROZEN_CONFIG.json,Unrestricted seed353 executed frozen config,3f3a47fa432d7486bf7fe11ad99a551ed3d6e357dc89664b698eda0379eed6e8,YES,refs/tags/final-development-freeze-step1,ACTIVE
runner,scripts/run_sixs_j1r1_full_joint_adaptive_ba_movement.py,Restricted authoritative forward training and DEV evaluator runner,81bb200a7118ea27c3fe1b80f11bf14e3245d30514cfdbeeb750b16f9f0796dc,YES,refs/tags/final-development-freeze-step1,ACTIVE_FORWARD
runner,scripts/run_sixs_j1r1_full_joint_unrestricted_movement.py,Unrestricted authoritative forward training and DEV evaluator runner,37f932565651e159ffc4047446b2d3d14d5397785ba365ce9797ff039352eff1,YES,refs/tags/final-development-freeze-step1,ACTIVE_FORWARD
runner,scripts/run_sixs_musigma_reliability_factorial.py,shared frozen sampler data binding and evaluator orchestration,ad51bf75adab8180fe456a658a4e7ec78ad5017d04a681811faef0355c1352f5,YES,refs/tags/final-development-freeze-step1,ACTIVE_DEPENDENCY
support_source,scripts/run_mcvr_lsgo.py,graph collation imported by the active Restricted runner,63aa4de62f20ce8623da24803f16ef282e44f385d55a4b55266075733fa70fbd,YES,refs/tags/final-development-freeze-step1,ACTIVE_DEPENDENCY
support_source,scripts/_bootstrap.py,repository-root bootstrap imported by active runners,7b87ccb63fadff7d4d3a37224c1764e219465d190537d88bb8e751c38b02dee5,YES,refs/tags/final-development-freeze-step1,ACTIVE_DEPENDENCY
evaluator,scripts/evaluate_sixs_musigma_external.py,frozen V3D and PoseBusters external worker,648ed6f9e2122010ef23d9642077b001063584fafa84fef345bdd6ef7a33a4ef,YES,refs/tags/final-development-freeze-step1,ACTIVE
evaluator,scripts/run_sixs_current_final_evidence_completion.py,correspondence and fixed-order RMSD evaluator,2daf1071898b170aa92b2e3b0d0d3cf23ae106fa4fd0ccaf6d6916d78cdd87ca,YES,refs/tags/final-development-freeze-step1,ACTIVE
evaluator,scripts/run_sixs_j1r1_full_joint_xtb_dev.py,xTB 6.7.1 GFN2 single-point evaluator and failure accounting,169e38d99c56199e5f9f09fd91938c07de45778b00bcfadb4857b3fa63a024f9,YES,refs/tags/final-development-freeze-step1,ACTIVE_PROTOCOL_SOURCE
runner,scripts/run_sixs_final_multiseed_replication.py,matched-seed supervisor and recovery identity,699b1b17c8a0115f2c5a98b8ccc83114b2198c4bfdeb567e12d2586baaa19baf,YES,refs/tags/final-development-freeze-step1,ACTIVE_EVIDENCE_PROVENANCE
