comparison,metric,effect_definition,higher_is_better,finite_records,finite_molecules,mean_paired_effect,ci95_low,ci95_high,median_molecule_effect,effect_p05,effect_p25,effect_p50,effect_p75,effect_p95,wins,ties,losses,cluster_unit,records_per_primary_molecule,bootstrap_resamples
source_to_unrestricted_seed307,validity3d,candidate_minus_baseline,True,5000,2500,0.281,0.2658,0.2964,0.0,0.0,0.0,0.0,0.5,1.0,1134,1282,84,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed307,validity3d,candidate_minus_baseline,True,5000,2500,0.0224,0.015,0.0298,0.0,0.0,0.0,0.0,0.0,0.5,205,2196,99,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed307,PB,candidate_minus_baseline,True,5000,2500,0.0004,-0.0006,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,4,2494,2,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed307,PB,candidate_minus_baseline,True,5000,2500,0.0,-0.0008,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,2,2496,2,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed307,reference_rmsd,candidate_minus_baseline,False,5000,2500,0.0005953456855294078,0.0005747487567933656,0.000617084650413195,0.0005431608047308245,-7.796102340232313e-06,0.0003168337264832788,0.0005431608047308245,0.0008137025981669321,0.0012893812590775064,131,0,2369,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed307,reference_rmsd,candidate_minus_baseline,False,5000,2500,0.00022421351462035774,0.00021086039478411113,0.0002396928039239966,0.00018674575530475135,-4.588907017182286e-05,9.045521516592991e-05,0.00018674575530475135,0.0003078193173042254,0.0005539023889993164,228,0,2272,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed307,bond_raw_mae,candidate_minus_baseline,False,5000,2500,-0.0035588715107303707,-0.003629941801434545,-0.0034890993187180358,-0.003454863310675825,-0.00630746119105875,-0.004423504968190745,-0.003454863310675825,-0.0024847107358823193,-0.0011983157893342249,2478,0,22,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed307,bond_raw_mae,candidate_minus_baseline,False,5000,2500,-0.0004997965002834917,-0.0005323965950221799,-0.000464696253730932,-0.00044875334455083803,-0.0014177133968013836,-0.000777445734511638,-0.00044875334455083803,-0.00013012555648561023,0.0003158720315978336,2078,0,422,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed307,angle_cosine_raw_mae,candidate_minus_baseline,False,5000,2500,-0.0013451651705646028,-0.0013986445339199576,-0.0012902950232111898,-0.0013394989781980293,-0.003461660629465015,-0.002204246384702701,-0.0013394989781980293,-0.0005180303362697231,0.0007827510060964995,2134,0,366,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed307,angle_cosine_raw_mae,candidate_minus_baseline,False,5000,2500,-7.989774113329362e-05,-0.00010215480732740706,-5.430568796419785e-05,-8.943123690891702e-05,-0.0007053691471075393,-0.00031734556140785956,-8.943123690891702e-05,0.00013676218015948663,0.0005111023486814443,1514,0,986,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed307,kabsch_source_rmsd,candidate_minus_baseline,False,5000,2500,0.00945590578838995,0.009322456102232004,0.009607144478452815,0.008842441719023444,0.00698162069311282,0.007954113185403545,0.008842441719023444,0.010083404951727496,0.013068046187980544,0,0,2500,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
