comparison,metric,effect_definition,higher_is_better,finite_records,finite_molecules,mean_paired_effect,ci95_low,ci95_high,median_molecule_effect,effect_p05,effect_p25,effect_p50,effect_p75,effect_p95,wins,ties,losses,cluster_unit,records_per_primary_molecule,bootstrap_resamples
avgflow_raw_to_sixs_u_seed307,validity3d,candidate_minus_baseline,True,7908,3486,0.02495697074010327,0.016829221648498753,0.0328934786766112,0.0,-0.3333333333333333,0.0,0.0,0.0,0.5,363,2921,202,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
avgflow_raw_to_sixs_u_seed307,PB,candidate_minus_baseline,True,7908,3486,0.0001912411550965768,-0.00019124115509657678,0.000717154331612163,0.0,0.0,0.0,0.0,0.0,0.0,2,3483,1,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
avgflow_raw_to_sixs_u_seed307,reference_rmsd_angstrom,candidate_minus_baseline,False,7908,3486,6.190495680599704e-05,5.189093283058296e-05,7.23948904989613e-05,3.8178557160390564e-05,-0.00034567968129387006,-0.00010661030500625467,3.8178557160390564e-05,0.00020432901684451846,0.0005522534744580113,1503,0,1983,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
avgflow_raw_to_sixs_u_seed307,delta_e_kcal_mol,candidate_minus_baseline,False,7908,3486,-1.2259919713625531,-3.716188454949523,0.1927586617658135,0.27448980332915374,0.11162509222066015,0.20456066838147438,0.27448980332915374,0.3671527664435468,0.5361358881764572,34,0,3452,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
avgflow_raw_to_sixs_u_seed331,validity3d,candidate_minus_baseline,True,7908,3486,0.029116465863453816,0.021179957926945877,0.03724421495505832,0.0,-0.3333333333333333,0.0,0.0,0.0,0.5,381,2899,206,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
avgflow_raw_to_sixs_u_seed331,PB,candidate_minus_baseline,True,7908,3486,0.00028686173264486515,-0.00014343086632243257,0.0008127749091604513,0.0,0.0,0.0,0.0,0.0,0.0,3,3482,1,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
avgflow_raw_to_sixs_u_seed331,reference_rmsd_angstrom,candidate_minus_baseline,False,7908,3486,4.980775769894426e-05,3.949296831728184e-05,6.0392032237421913e-05,2.1715216147050187e-05,-0.0003846034753455848,-0.0001317378318185375,2.1715216147050187e-05,0.00019813020407751653,0.0005608469044721502,1607,0,1879,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
avgflow_raw_to_sixs_u_seed331,delta_e_kcal_mol,candidate_minus_baseline,False,7908,3486,-0.8370265160493007,-2.6491574714113613,0.22019891601961292,0.2916238304474529,0.13210538846698897,0.22483033299182748,0.2916238304474529,0.38196164192323906,0.5530938002587877,36,0,3450,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
avgflow_raw_to_sixs_u_seed353,validity3d,candidate_minus_baseline,True,7908,3486,0.034471218206157964,0.026725951424746604,0.04264677758653662,0.0,0.0,0.0,0.0,0.0,0.5,379,2934,173,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
avgflow_raw_to_sixs_u_seed353,PB,candidate_minus_baseline,True,7908,3486,0.00028686173264486515,-0.00014343086632243257,0.0008127749091604514,0.0,0.0,0.0,0.0,0.0,0.0,3,3482,1,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
avgflow_raw_to_sixs_u_seed353,reference_rmsd_angstrom,candidate_minus_baseline,False,7908,3486,6.593230269580469e-05,5.5019666275851565e-05,7.66500304713304e-05,3.6761908259764595e-05,-0.0003612712180945249,-0.00010633689924749445,3.6761908259764595e-05,0.00020422691572270432,0.0005695607839987567,1488,0,1998,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
