comparison,metric,effect_definition,molecules,mean_paired_effect,ci95_low,ci95_high,median_molecule_effect,wins,ties,losses,cluster_unit,bootstrap_resamples
AVGFLOW_SIXS_U_SEED307_minus_AVGFLOW_RAW,REFERENCE_RMSD,candidate_minus_raw,3486,6.190495680599748e-05,5.168807629890626e-05,7.201672035087029e-05,3.8178557160387094e-05,1503,0,1983,molecule,10000
AVGFLOW_SIXS_U_SEED307_minus_AVGFLOW_RAW,COV_P,candidate_minus_raw,3431,9.71534052268532e-05,0.0,0.0002914602156805596,0.0,1,3430,0,molecule,10000
AVGFLOW_SIXS_U_SEED307_minus_AVGFLOW_RAW,COV_R,candidate_minus_raw,3431,-5.560991203407535e-05,-0.00015605985724977524,3.777433098330798e-05,0.0,4,3418,9,molecule,10000
AVGFLOW_SIXS_U_SEED307_minus_AVGFLOW_RAW,AMR_P,candidate_minus_raw,3431,5.5646784100490864e-05,4.5841701101525364e-05,6.544226360735723e-05,3.519070887730846e-05,1495,0,1936,molecule,10000
AVGFLOW_SIXS_U_SEED307_minus_AVGFLOW_RAW,AMR_R,candidate_minus_raw,3431,2.674522323684752e-06,-5.785942594203009e-06,1.1376791924066487e-05,-5.7195742997340204e-06,1760,0,1671,molecule,10000
AVGFLOW_SIXS_U_SEED331_minus_AVGFLOW_RAW,REFERENCE_RMSD,candidate_minus_raw,3486,4.980775769894596e-05,3.94131211060017e-05,6.052193499152416e-05,2.171521614702243e-05,1607,0,1879,molecule,10000
AVGFLOW_SIXS_U_SEED331_minus_AVGFLOW_RAW,COV_P,candidate_minus_raw,3431,9.71534052268532e-05,0.0,0.0002914602156805596,0.0,1,3430,0,molecule,10000
AVGFLOW_SIXS_U_SEED331_minus_AVGFLOW_RAW,COV_R,candidate_minus_raw,3431,-3.61792309887047e-05,-0.00013099101465403594,5.3468342596876626e-05,0.0,4,3420,7,molecule,10000
AVGFLOW_SIXS_U_SEED331_minus_AVGFLOW_RAW,AMR_P,candidate_minus_raw,3431,4.2742615071006224e-05,3.2428763560786215e-05,5.311252598630178e-05,1.8839445887430806e-05,1601,0,1830,molecule,10000
AVGFLOW_SIXS_U_SEED331_minus_AVGFLOW_RAW,AMR_R,candidate_minus_raw,3431,-2.294413187268017e-05,-3.232038983505389e-05,-1.326277281811024e-05,-3.241971297440749e-05,1901,0,1530,molecule,10000
AVGFLOW_SIXS_U_SEED353_minus_AVGFLOW_RAW,REFERENCE_RMSD,candidate_minus_raw,3486,6.593230269580473e-05,5.5360884625113104e-05,7.66826636620652e-05,3.676190825974146e-05,1488,0,1998,molecule,10000
AVGFLOW_SIXS_U_SEED353_minus_AVGFLOW_RAW,COV_P,candidate_minus_raw,3431,0.000242883513067133,0.0,0.0006314971339745457,0.0,2,3429,0,molecule,10000
AVGFLOW_SIXS_U_SEED353_minus_AVGFLOW_RAW,COV_R,candidate_minus_raw,3431,1.1690901404890242e-05,-5.829204313611192e-05,8.863379892234458e-05,0.0,5,3421,5,molecule,10000
AVGFLOW_SIXS_U_SEED353_minus_AVGFLOW_RAW,AMR_P,candidate_minus_raw,3431,5.843006775357162e-05,4.8130166257428975e-05,6.889171117185384e-05,3.5129570693404055e-05,1481,0,1950,molecule,10000
AVGFLOW_SIXS_U_SEED353_minus_AVGFLOW_RAW,AMR_R,candidate_minus_raw,3431,1.0491809806463274e-05,1.048713619840232e-06,2.0220466769454908e-05,-1.3885371004107583e-06,1726,0,1705,molecule,10000
