method,role,records,molecules,v3d_overall,posebusters_overall,bond_raw_mae,angle_cosine_raw_mae,kabsch_source_rmsd,reference_rmsd,xtb_delta_median,xtb_delta_lower_fraction,finite_coordinate_rate,mmff_optimization_success_rate,cov_p,cov_r,amr_p,amr_r,cov_amr_status,authoritative_source,v3d_overall_seed_sd,posebusters_overall_seed_sd,bond_raw_mae_seed_sd,angle_cosine_raw_mae_seed_sd,kabsch_source_rmsd_seed_sd,reference_rmsd_seed_sd,xtb_delta_median_seed_sd,xtb_delta_lower_fraction_seed_sd,finite_coordinate_rate_seed_sd,gfn2_xtb_optimized_current_final
source,SOURCE,5000,2500,0.2226,0.9314,0.0268122347641244,0.0480026646318544,1.8840420015446218e-15,1.4232389687961942,0.0,0.0,1.0,,,,,,NOT_APPLICABLE__NO_FROZEN_PRIMARY_THRESHOLD_OR_INDEPENDENT_REFERENCE_SPLIT,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv,,,,,,,,,,NOT_AVAILABLE__NOT_RUN_BY_FROZEN_CLOSURE
restricted_seed307,CONSTRAINED_OPERATING_POINT,5000,2500,0.4812,0.9318,0.0237531597536775,0.0467373972024231,0.0082476267023968,1.4236101009671032,-3.4744973286072662,0.9988,1.0,,,,,,NOT_APPLICABLE__NO_FROZEN_PRIMARY_THRESHOLD_OR_INDEPENDENT_REFERENCE_SPLIT,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv,,,,,,,,,,NOT_AVAILABLE__NOT_RUN_BY_FROZEN_CLOSURE
restricted_seed331,CONSTRAINED_OPERATING_POINT,5000,2500,0.4802,0.9318,0.023768849177308,0.0466207707470931,0.008096973190945,1.4235881612536605,-3.5062714619024007,0.999,1.0,,,,,,NOT_APPLICABLE__NO_FROZEN_PRIMARY_THRESHOLD_OR_INDEPENDENT_REFERENCE_SPLIT,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv,,,,,,,,,,NOT_AVAILABLE__NOT_RUN_BY_FROZEN_CLOSURE
restricted_seed353,CONSTRAINED_OPERATING_POINT,5000,2500,0.4856,0.9318,0.0236428586718876,0.046620265435573,0.0080410054101367,1.4235931960771162,-3.499168258278494,0.999,1.0,,,,,,NOT_APPLICABLE__NO_FROZEN_PRIMARY_THRESHOLD_OR_INDEPENDENT_REFERENCE_SPLIT,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv,,,,,,,,,,NOT_AVAILABLE__NOT_RUN_BY_FROZEN_CLOSURE
unrestricted_seed307,QUALITY_ORIENTED_PRIMARY,5000,2500,0.5036,0.9318,0.023253363253394,0.0466574994612898,0.0094559057883918,1.4238343144817236,-3.568300896401512,0.9988,1.0,,,,,,NOT_APPLICABLE__NO_FROZEN_PRIMARY_THRESHOLD_OR_INDEPENDENT_REFERENCE_SPLIT,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv,,,,,,,,,,NOT_AVAILABLE__NOT_RUN_BY_FROZEN_CLOSURE
unrestricted_seed331,QUALITY_ORIENTED_PRIMARY,5000,2500,0.5002,0.9324,0.0232414691240598,0.0465332113668444,0.0099615075867623,1.4237909677373073,-3.6027888948972286,0.999,1.0,,,,,,NOT_APPLICABLE__NO_FROZEN_PRIMARY_THRESHOLD_OR_INDEPENDENT_REFERENCE_SPLIT,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv,,,,,,,,,,NOT_AVAILABLE__NOT_RUN_BY_FROZEN_CLOSURE
unrestricted_seed353,QUALITY_ORIENTED_PRIMARY,5000,2500,0.5058,0.9322,0.0235789685859347,0.0464028572546748,0.0097858248868957,1.423564719834739,-3.6193323773954,0.9988,1.0,,,,,,NOT_APPLICABLE__NO_FROZEN_PRIMARY_THRESHOLD_OR_INDEPENDENT_REFERENCE_SPLIT,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv,,,,,,,,,,NOT_AVAILABLE__NOT_RUN_BY_FROZEN_CLOSURE
restricted_three_seed_mean_sd,CONSTRAINED_OPERATING_POINT_THREE_SEED_MEAN,5000,2500,0.48233333333333334,0.9318,0.023721622534291036,0.046659477795029734,0.008128535101159498,1.42359715276596,-3.4933123495960534,0.9989333333333333,1.0,,,,,,NOT_APPLICABLE__NO_FROZEN_PRIMARY_THRESHOLD_OR_INDEPENDENT_REFERENCE_SPLIT,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv,0.0028728615235220096,0.0,6.866111722798037e-05,6.748065923902158e-05,0.00010686536031895259,1.1492575709615821e-05,0.016676859312743948,0.00011547005383791244,0.0,NOT_AVAILABLE__NOT_RUN_BY_FROZEN_CLOSURE
unrestricted_three_seed_mean_sd,QUALITY_ORIENTED_PRIMARY_THREE_SEED_MEAN,5000,2500,0.5032,0.9321333333333333,0.023357933654462832,0.04653118936093634,0.009734412754016599,1.42373000068459,-3.5968073895647135,0.9988666666666667,1.0,,,,,,NOT_APPLICABLE__NO_FROZEN_PRIMARY_THRESHOLD_OR_INDEPENDENT_REFERENCE_SPLIT,reports/ecir_mvr/final_evidence_closure/18_FINAL_MAIN_TABLE.csv,0.0028213471959332046,0.00030550504633041625,0.0001915142247360073,0.00012733314465746364,0.0002566918389514058,0.0001447689695980072,0.026036259670689368,0.00011547005383791244,0.0,NOT_AVAILABLE__NOT_RUN_BY_FROZEN_CLOSURE
MMFF94s,PHYSICS_BASELINE,5000,2500,0.609,0.9546,0.0229690384641255,0.0457456607286448,0.8624400291009988,1.450865842991124,2.242690448645303,0.2754,1.0,0.9954,,,,,NOT_APPLICABLE__NO_FROZEN_PRIMARY_THRESHOLD_OR_INDEPENDENT_REFERENCE_SPLIT,reports/ecir_mvr/final_evidence_closure/03_MMFF_FINAL_RESULTS.csv,,,,,,,,,,NOT_AVAILABLE__NOT_RUN_BY_FROZEN_CLOSURE
