method,records,v3d,pb,source_rmsd,reference_rmsd,bond_raw_mae,angle_cosine_raw_mae,cov_p,cov_r,amr_p,amr_r,cov_amr_status,row_type,comparison,metric,mean_paired_effect,ci95_low,ci95_high,median_molecule_effect,wins,ties,losses,authoritative_source,effect_definition,higher_is_better,finite_records,finite_molecules,effect_p05,effect_p25,effect_p50,effect_p75,effect_p95,cluster_unit,records_per_primary_molecule,bootstrap_resamples
source,5000,0.2226,0.9314,1.8840420015446218e-15,1.4232389687961942,0.0268122347641244,0.0480026646318544,,,,,NOT_APPLICABLE__NO_FROZEN_PRIMARY_THRESHOLD_OR_INDEPENDENT_REFERENCE_SELF_SPLIT,METHOD_SUMMARY,,,,,,,,,,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv,,,,,,,,,,,,
unrestricted_seed307,5000,0.5036,0.9318,0.0094559057883918,1.4238343144817236,0.023253363253394,0.0466574994612898,,,,,NOT_APPLICABLE__NO_FROZEN_PRIMARY_THRESHOLD_OR_INDEPENDENT_REFERENCE_SELF_SPLIT,METHOD_SUMMARY,,,,,,,,,,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv,,,,,,,,,,,,
unrestricted_seed331,5000,0.5002,0.9324,0.0099615075867623,1.4237909677373073,0.0232414691240598,0.0465332113668444,,,,,NOT_APPLICABLE__NO_FROZEN_PRIMARY_THRESHOLD_OR_INDEPENDENT_REFERENCE_SELF_SPLIT,METHOD_SUMMARY,,,,,,,,,,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv,,,,,,,,,,,,
unrestricted_seed353,5000,0.5058,0.9322,0.0097858248868957,1.423564719834739,0.0235789685859347,0.0464028572546748,,,,,NOT_APPLICABLE__NO_FROZEN_PRIMARY_THRESHOLD_OR_INDEPENDENT_REFERENCE_SELF_SPLIT,METHOD_SUMMARY,,,,,,,,,,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv,,,,,,,,,,,,
mmff94s,5000,0.609,0.9546,0.8624400291009988,1.450865842991124,0.0229690384641255,0.0457456607286448,,,,,NOT_APPLICABLE__NO_FROZEN_PRIMARY_THRESHOLD_OR_INDEPENDENT_REFERENCE_SELF_SPLIT,METHOD_SUMMARY,,,,,,,,,,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv,,,,,,,,,,,,
reference_context,5000,0.0156,0.8876,2.3803525008960773,1.5977511601760601e-15,0.0,0.0,,,,,NOT_APPLICABLE__NO_FROZEN_PRIMARY_THRESHOLD_OR_INDEPENDENT_REFERENCE_SELF_SPLIT,CONTEXTUAL_SUMMARY,,,,,,,,,,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv,,,,,,,,,,,,
,5000,,,,,,,,,,,NOT_APPLICABLE,PAIRED_MOLECULE_CLUSTER_EFFECT,source_to_unrestricted_seed307,reference_rmsd,0.0005953456855294,0.0005753453556507,0.0006175858121227,0.0005431608047308,131.0,0.0,2369.0,reports/ecir_mvr/final_evidence_closure/11_REFERENCE_PAIRED_STATS.csv,candidate_minus_baseline,0.0,5000.0,2500.0,-7.796102340232313e-06,0.0003168337264832,0.0005431608047308,0.0008137025981669,0.0012893812590775,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000.0
,5000,,,,,,,,,,,NOT_APPLICABLE,PAIRED_MOLECULE_CLUSTER_EFFECT,source_to_unrestricted_seed307,bond_raw_mae,-0.0035588715107303,-0.0036277217536847,-0.0034896783215608,-0.0034548633106758,2478.0,0.0,22.0,reports/ecir_mvr/final_evidence_closure/11_REFERENCE_PAIRED_STATS.csv,candidate_minus_baseline,0.0,5000.0,2500.0,-0.0063074611910587,-0.0044235049681907,-0.0034548633106758,-0.0024847107358823,-0.0011983157893342,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000.0
,5000,,,,,,,,,,,NOT_APPLICABLE,PAIRED_MOLECULE_CLUSTER_EFFECT,source_to_unrestricted_seed307,angle_cosine_raw_mae,-0.0013451651705646,-0.0014002992521423,-0.0012917632406809,-0.001339498978198,2134.0,0.0,366.0,reports/ecir_mvr/final_evidence_closure/11_REFERENCE_PAIRED_STATS.csv,candidate_minus_baseline,0.0,5000.0,2500.0,-0.003461660629465,-0.0022042463847027,-0.001339498978198,-0.0005180303362697,0.0007827510060964,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000.0
,5000,,,,,,,,,,,NOT_APPLICABLE,PAIRED_MOLECULE_CLUSTER_EFFECT,source_to_unrestricted_seed331,reference_rmsd,0.0005519989411129,0.0005313630308864,0.0005752698395923,0.0005022913814207,150.0,0.0,2350.0,reports/ecir_mvr/final_evidence_closure/11_REFERENCE_PAIRED_STATS.csv,candidate_minus_baseline,0.0,5000.0,2500.0,-2.931297139450797e-05,0.0002751602043203,0.0005022913814207,0.0007684679986847,0.0012247316310635,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000.0
