variant,seed,partition,molecule_id,reference_objective,reference_bond_objective,reference_angle_objective,reference_gradient_rms,reference_projected_movement,reference_projected_objective,source_objective,source_bond_objective,source_angle_objective,source_gradient_rms,source_projected_movement,source_projected_objective,source_minus_reference_objective
B,173,dev_a,CCN1CCN(c2cc3c(cc2F)c(=O)c(S(=O)(=O)c2ccccc2)cn3C)CC1,-2.6263095215096888,-3.3690354900626738,-1.8835835529567035,0.8330851007747873,0.0010000000000000325,-2.6665502240114294,-2.354808801840046,-2.98808116098413,-1.7215364426959627,1.499878885640922,0.0009999999999999714,-2.430166235955651,0.2715007196696426
B,173,dev_a,O=C1CCC(_C=C_c2ccccc2)=NN1Cc1ccc(Cl)c(Cl)c1,-2.903444417582146,-3.4836215860648454,-2.323267249099447,0.8166650917434508,0.0009999999999999905,-2.931281893509208,-2.743925402439002,-3.2259132524743865,-2.261937552403618,1.6345290321689028,0.0010000000000000005,-2.803844941097795,0.15951901514314404
B,173,dev_a,CCc1nnc(NC(=O)CSc2nnc(Cc3cccn3C)n2CCOC)s1,-2.579384236031161,-3.0515123522460765,-2.107256119816245,0.4540606039319218,0.0009999999999999974,-2.600158786991891,-2.380785251110727,-2.759787230492056,-2.0017832717293977,1.291271084783191,0.0009999999999999892,-2.441218988117069,0.19859898492043415
B,173,dev_a,Fc1ccc(CN2CCCCCCC2)c(F)c1,-2.725058100766226,-3.5465626784219895,-1.903553523110462,0.6972472201887582,0.0010000000000000256,-2.7463699815673763,-2.283904159358751,-3.046769246934492,-1.52103907178301,2.4006144452300657,0.0010000000000000122,-2.3641986871736114,0.441153941407475
B,173,dev_a,O=C(O)CCc1ccc(-c2ccc(Br)cc2)n1NC(=O)c1ccc([N+](=O)[O-])cc1,-2.8125661778881463,-3.3806848285063205,-2.2444475272699718,0.5706652042240583,0.0009999999999999597,-2.8332332296337803,-2.633469052493076,-3.0653135782665806,-2.2016245267195713,1.5808944768786861,0.0010000000000000013,-2.6985186368553844,0.1790971253950704
B,173,dev_a,Cc1ccc2oc(=O)c3cc(C(=O)NCCN4CCc5ccccc5C4)sc3c2c1,-2.6781501178937814,-3.342284827101634,-2.0140154086859288,0.8874805486259213,0.0009999999999999953,-2.7186701638328667,-2.2352363912607602,-2.754814791085478,-1.7156579914360421,1.773739397628623,0.0009999999999999755,-2.3220476165213624,0.4429137266330212
B,173,dev_a,CC(C)(C)NC(=O)C(c1ccccn1)N(C(=O)c1csnn1)C1CCCC1,-2.6973654181679216,-3.232816401842937,-2.1619144344929064,0.6202106623354972,0.001000000000000016,-2.7252402134512623,-2.52306168211338,-2.9668595151097668,-2.079263849116994,1.2288378210290987,0.0010000000000000074,-2.581264235581606,0.1743037360545414
B,173,dev_a,CCCN(CCC)c1nc(N)nc(-c2cc(Cl)ccc2OC)n1,-2.814517787895051,-3.1726344688085724,-2.456401106981529,0.39962252207158944,0.001000000000000008,-2.8299368830306237,-2.5119895963971257,-2.809826379530095,-2.2141528132641564,1.7567162143524966,0.0010000000000000078,-2.5850411796390818,0.3025281914979252
B,173,dev_a,CSc1nc2ccc(NC(=O)CSc3nnc(N)s3)cc2s1,-2.593560628816758,-2.999585577571879,-2.1875356800616372,0.8717225203713133,0.0009999999999999961,-2.6186261594572713,-2.3508522975838604,-2.696636024808161,-2.0050685703595597,2.2445610823726656,0.0009999999999999918,-2.4188445525283315,0.24270833123289748
B,173,dev_a,COc1cc(_C=C_C(=O)OCC(=O)N2CCCCCC2)ccc1OCC#N,-2.4949054697013797,-3.371758946563785,-1.6180519928389747,0.7459971397495931,0.0010000000000000109,-2.528718283106773,-2.266649039931293,-2.9887464012527185,-1.544551678609868,1.6046993741246114,0.000999999999999989,-2.3425856878101494,0.22825642977008664
