partition,variant,seed,joint_nll,bond_nll,angle_nll,bond_mu_mae_angstrom,angle_mu_mae_cosine
dev_a,A,,61.05697487249564,122.22251156392572,-0.1085618189344433,0.018639582538549773,0.02802081122643425
dev_b,A,,-2.0969815118015314,-2.600452166032307,-1.5935108575707555,0.012491095990831301,0.026634438720587926
dev_a,B,173.0,60.48336632409617,121.473331066115,-0.5065984179226537,0.009956933171445935,0.022067347206556516
dev_b,B,173.0,-2.2536168298909387,-3.284318864570883,-1.2229147952109944,0.00410288862090511,0.02151947948078362
dev_a,B,181.0,60.47232202432122,121.48604395710531,-0.5413999084628579,0.009863113872413256,0.021699276465713603
dev_b,B,181.0,-2.2767989055101854,-3.2864502131358533,-1.2671475978845177,0.004001630342465783,0.021131746651916763
dev_a,B,193.0,60.50193173283345,121.49480436732021,-0.49094090165331317,0.009953849327684818,0.02248474902975698
dev_b,B,193.0,-2.2488082805716196,-3.2867274669825846,-1.2108890941606545,0.004057496828091241,0.021959150885583777
dev_a,C,173.0,-0.6938850792987276,-0.33812643588380403,-1.049643722713651,0.016022049400670986,0.03108560440553776
dev_b,C,173.0,-1.2538869799814922,-0.6869181983293141,-1.8208557616336705,0.009858187177664122,0.030346099020649164
dev_a,C,181.0,-0.8132308808205746,-0.3379196146734625,-1.2885421469676868,0.0189913429208998,0.03370837113075672
dev_b,C,181.0,-1.207309078846202,-0.6861000189749779,-1.7285181387174262,0.012832031910452962,0.032653633864225345
dev_a,C,193.0,-0.6717107189814574,-0.33784514978285207,-1.0055762881800627,0.017970115246591593,0.032111268213033624
dev_b,C,193.0,-1.2445016412167167,-0.6857049320757825,-1.8032983503576507,0.01186185279859398,0.03160943523981893
