method,family,seed,records,overall,mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,no_radicals,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness
Source,Source,,600,0.9183333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,0.9316666666666666,1.0,0.9916666666666667,0.995
B_seed173,B,173.0,600,0.9183333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,0.9316666666666666,1.0,0.9916666666666667,0.9933333333333333
A_seed173,A,173.0,600,0.9183333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,0.9316666666666666,1.0,0.9916666666666667,0.995
BA_seed173,BA,173.0,600,0.9183333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,0.9316666666666666,1.0,0.9916666666666667,0.9933333333333333
B_seed181,B,181.0,600,0.9183333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,0.9316666666666666,1.0,0.9916666666666667,0.9933333333333333
A_seed181,A,181.0,600,0.9183333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,0.9316666666666666,1.0,0.9916666666666667,0.995
BA_seed181,BA,181.0,600,0.9183333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,0.9316666666666666,1.0,0.9916666666666667,0.995
B_seed193,B,193.0,600,0.9183333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,0.9316666666666666,1.0,0.9916666666666667,0.9933333333333333
A_seed193,A,193.0,600,0.9183333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,0.9316666666666666,1.0,0.9916666666666667,0.995
BA_seed193,BA,193.0,600,0.9183333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,0.9316666666666666,1.0,0.9916666666666667,0.9933333333333333
