condition,stage,molecule_id,sample_id,flex_bin,rotatable_bond_count,force_norm_hartree_per_bohr,B_fraction,A_fraction,T_fraction,BA_union_fraction,BAT_union_fraction,BAT_incremental_fraction,B_projection_norm,A_projection_norm,T_projection_norm,BA_projection_norm,BAT_projection_norm,B_rank,A_rank,T_rank,BA_rank,BAT_rank,B_dropped_rows,A_dropped_rows,T_dropped_rows
Source,before,O=C(Nc1ccc2c(c1)OCO2)c1ccc(=O)[nH]n1,train::O=C(Nc1ccc2c(c1)OCO2)c1ccc(=O)[nH]n1__gen0000,low_0_2,2,0.07097328489672747,0.9891838652456416,0.7824590328790845,0.021152656920681422,0.9999932601708039,0.9999992396252839,5.9794544800157295e-06,0.070205628283325,0.055533687860545106,0.0015012735459542564,0.07097280654890978,0.07097323093043612,30,47,2,75,77,0,0,0
Source,before,O=C(NC1=NC2CCCCC2N1)c1ccccc1,train::O=C(NC1=NC2CCCCC2N1)c1ccccc1__gen0000,low_0_2,2,0.07087409669920607,0.9667971731773483,0.8454950743400013,0.060659991873753344,0.9999840181031291,0.99999865250401,1.463440088090958e-05,0.06852087634029046,0.05992369965747567,0.004299222129833449,0.0708729639967018,0.07087400119664497,37,61,2,96,98,0,0,0
Source,before,O=C(Cn1nnc2ccccc2c1=O)N1CCOCC1,train::O=C(Cn1nnc2ccccc2c1=O)N1CCOCC1__gen0000,low_0_2,2,0.06491895676419727,0.9755501061120653,0.7168162036665562,0.06611719272924253,0.9999912463560253,0.9999922773752922,1.03101926682006e-06,0.06333169515999723,0.046534960133705186,0.004292259176159795,0.06491838848676255,0.06491845541945776,36,58,2,93,95,0,0,0
Source,before,Nc1c2c(nc3ccn(-c4ccccc4)c(=O)c13)CCCCC2,train::Nc1c2c(nc3ccn(-c4ccccc4)c(=O)c13)CCCCC2__gen0000,low_0_2,2,0.08330195195713933,0.9820271816870382,0.8375263790505928,0.039909094173729544,0.9998092493751276,1.0000000000000004,0.00019075062487274085,0.08180478110949858,0.06976758219050934,0.0033245054455129674,0.08328606205775041,0.08330195195713935,45,74,2,118,120,0,0,0
Source,before,O=C(c1cnn2cccnc12)N1CCN(c2ccccc2)CC1,train::O=C(c1cnn2cccnc12)N1CCN(c2ccccc2)CC1__gen0000,low_0_2,2,0.09113242826222057,0.9765248008545395,0.8289688240579868,0.08990403984294007,0.9999971022497546,0.9999978507995477,7.48549793132496e-07,0.08899307636015555,0.07554594189008182,0.008193173461470556,0.0911321641832042,0.09113223240036453,43,70,2,111,113,0,0,0
Source,before,O=C(c1ccc2c(c1)OCO2)N1CCCc2ccccc21,train::O=C(c1ccc2c(c1)OCO2)N1CCCc2ccccc21__gen0000,low_0_2,1,0.04662649491610105,0.9653494977412057,0.8514031539121376,0.014574265886853338,0.9999985407980725,0.9999985820522239,4.1254151450459485e-08,0.04501086344869103,0.03969794482743668,0.0006795469342792721,0.04662642687862979,0.046626428802166275,39,64,1,100,101,0,0,0
Source,before,O=C(c1ccc(F)cc1)N1CCN(c2cnn(-c3ccccc3)c(=O)c2Cl)CC1,train::O=C(c1ccc(F)cc1)N1CCN(c2cnn(-c3ccccc3)c(=O)c2Cl)CC1__gen0000,medium_3_4,3,0.07104100782627283,0.9786355216514294,0.8291980539317337,0.05964583851805775,0.9999805098078354,0.999999290103552,1.8780295716657656e-05,0.06952325375270779,0.0589070654388945,0.004237300480965946,0.07103962322337873,0.07104095739451372,50,81,3,131,134,0,0,0
Source,before,O=C(NCc1ccccn1)c1cnc2sccn2c1=O,train::O=C(NCc1ccccn1)c1cnc2sccn2c1=O__gen0000,medium_3_4,3,0.057206620279681576,0.9555686561838501,0.7776179630088107,0.1909389894645123,0.999996603823465,0.9999997643332498,3.1605097847316103e-06,0.054664853265475113,0.04448489553250451,0.010922974266882476,0.05720642599590014,0.057206606797983284,32,50,3,80,83,0,0,0
Source,before,Cc1ccc(NC(=O)N2CCCC2c2cccs2)cc1,train::Cc1ccc(NC(=O)N2CCCC2c2cccs2)cc1__gen0000,medium_3_4,3,0.046041678308495544,0.9671389621546167,0.8331021959897538,0.056325043666838145,0.9999833153565614,0.9999932209084504,9.905551889113154e-06,0.04452870097513511,0.03835742330586145,0.002593299541220526,0.04604091011950965,0.046041366187743196,40,65,3,103,106,0,0,0
Source,before,O=C(NCc1ccco1)c1sc2cc(F)ccc2c1Cl,train::O=C(NCc1ccco1)c1sc2cc(F)ccc2c1Cl__gen0000,medium_3_4,3,0.05656747051607061,0.9746268518711001,0.8396486700962353,0.0897078749270159,0.9999950779599942,0.9999991949800222,4.117020028021834e-06,0.055132175707389174,0.047496801389526694,0.005074547569993322,0.0565671920887177,0.05656742497812675,31,49,3,77,80,0,0,0
Source,before,COc1cccc(_C=C2\SC(=S)N(N3C(=O)CCCC3=O)C2=O)c1,train::COc1cccc(_C=C2\SC(=S)N(N3C(=O)CCCC3=O)C2=O)c1__gen0000,medium_3_4,4,0.055912788566415156,0.9721464250242468,0.823606219247004,0.14796413294481137,0.9999989771704677,0.9999996124969776,6.353265098107557e-07,0.054355417517977074,0.046050120398742296,0.00827308728075618,0.05591273137716378,0.05591276690004059,40,64,4,103,107,0,0,0
Source,before,CCN1CCN(c2nnc(-c3ccccc3)c3ccccc23)CC1,train::CCN1CCN(c2nnc(-c3ccccc3)c3ccccc23)CC1__gen0000,medium_3_4,4,0.06295289123261785,0.9606751044437178,0.8163936826132607,0.10496926285025833,0.9999974497195547,0.9999999999999998,2.5502804450016137e-06,0.06047727535992917,0.05139434270454894,0.006608118586980387,0.06295273068509037,0.06295289123261784,49,80,4,128,132,0,0,0
Source,before,CCOC(=O)C1=C(N)Oc2ccc(Br)cc2C1C(C#N)C(=O)OCC,train::CCOC(=O)C1=C(N)Oc2ccc(Br)cc2C1C(C#N)C(=O)OCC__gen0000,high_ge_5,10,0.061134608182859235,0.9689785041443931,0.8231009643885124,0.37993635042764046,0.9998096502980769,0.9999993112071579,0.00018966090908105682,0.059238121188480514,0.05031995495282528,0.023227259917819303,0.06112297122841444,0.061134566073778714,43,67,10,109,119,0,0,0
Source,before,CCc1c(C(=O)N_N=C_c2cn[nH]c2-c2ccc(F)cc2)csc1C,train::CCc1c(C(=O)N_N=C_c2cn[nH]c2-c2ccc(F)cc2)csc1C__gen0000,high_ge_5,7,0.05843546702255774,0.9568068811985699,0.7543277659840079,0.23398037725765355,0.999793649058023,0.9999982918767079,0.0002046428186848649,0.05591145695323535,0.04407949529335814,0.013672752619165233,0.05842340880889277,0.05843536720757543,44,69,7,111,118,0,0,0
Source,before,O=C(NC1CCCCC1)C(c1cccnc1)N(C(=O)c1csnn1)c1ccccc1,train::O=C(NC1CCCCC1)C(c1cccnc1)N(C(=O)c1csnn1)c1ccccc1__gen0000,high_ge_5,6,0.09347449603799401,0.9836904077304378,0.8162922106548047,0.13352990835121675,0.9999693746687586,0.9999997970478726,3.042237911397741e-05,0.09194996512001152,0.07630250301069792,0.012481640889129514,0.09347163335059022,0.09347447706714618,56,90,6,145,151,0,0,0
