molecule_id,family,max_abs_error
O=C(Nc1ccc2c(c1)OCO2)c1ccc(=O)[nH]n1,B,1.508848601616819e-11
O=C(Nc1ccc2c(c1)OCO2)c1ccc(=O)[nH]n1,A,4.977673828676643e-11
O=C(Nc1ccc2c(c1)OCO2)c1ccc(=O)[nH]n1,T,6.869549373789141e-11
O=C(NC1=NC2CCCCC2N1)c1ccccc1,B,1.722311182561498e-11
O=C(NC1=NC2CCCCC2N1)c1ccccc1,A,7.592726447569476e-11
O=C(NC1=NC2CCCCC2N1)c1ccccc1,T,8.800982165269033e-11
O=C(Cn1nnc2ccccc2c1=O)N1CCOCC1,B,1.1106893182954991e-11
O=C(Cn1nnc2ccccc2c1=O)N1CCOCC1,A,7.221867548423688e-11
O=C(Cn1nnc2ccccc2c1=O)N1CCOCC1,T,4.6842973944194455e-11
Nc1c2c(nc3ccn(-c4ccccc4)c(=O)c13)CCCCC2,B,5.246136858261252e-12
Nc1c2c(nc3ccn(-c4ccccc4)c(=O)c13)CCCCC2,A,7.565326143321727e-11
Nc1c2c(nc3ccn(-c4ccccc4)c(=O)c13)CCCCC2,T,9.510703335990911e-11
O=C(c1cnn2cccnc12)N1CCN(c2ccccc2)CC1,B,1.268241067720055e-11
O=C(c1cnn2cccnc12)N1CCN(c2ccccc2)CC1,A,7.008438274169748e-11
O=C(c1cnn2cccnc12)N1CCN(c2ccccc2)CC1,T,7.227396459086322e-11
O=C(c1ccc2c(c1)OCO2)N1CCCc2ccccc21,B,1.5303203149130695e-11
O=C(c1ccc2c(c1)OCO2)N1CCCc2ccccc21,A,3.0007218931871193e-11
O=C(c1ccc2c(c1)OCO2)N1CCCc2ccccc21,T,5.057210206160789e-11
O=C(c1ccc(F)cc1)N1CCN(c2cnn(-c3ccccc3)c(=O)c2Cl)CC1,B,4.139244502709971e-11
O=C(c1ccc(F)cc1)N1CCN(c2cnn(-c3ccccc3)c(=O)c2Cl)CC1,A,7.950151648117298e-11
O=C(c1ccc(F)cc1)N1CCN(c2cnn(-c3ccccc3)c(=O)c2Cl)CC1,T,7.468625717876876e-11
O=C(NCc1ccccn1)c1cnc2sccn2c1=O,B,1.2228967838368021e-11
O=C(NCc1ccccn1)c1cnc2sccn2c1=O,A,7.153067027587667e-11
O=C(NCc1ccccn1)c1cnc2sccn2c1=O,T,7.409250990519922e-11
Cc1ccc(NC(=O)N2CCCC2c2cccs2)cc1,B,8.794076578055865e-12
Cc1ccc(NC(=O)N2CCCC2c2cccs2)cc1,A,5.0525805761481024e-11
Cc1ccc(NC(=O)N2CCCC2c2cccs2)cc1,T,5.885081311163276e-11
O=C(NCc1ccco1)c1sc2cc(F)ccc2c1Cl,B,2.992706082949326e-11
O=C(NCc1ccco1)c1sc2cc(F)ccc2c1Cl,A,9.783840404509192e-11
O=C(NCc1ccco1)c1sc2cc(F)ccc2c1Cl,T,5.443701045493299e-11
COc1cccc(_C=C2\SC(=S)N(N3C(=O)CCCC3=O)C2=O)c1,B,4.71804817436805e-11
COc1cccc(_C=C2\SC(=S)N(N3C(=O)CCCC3=O)C2=O)c1,A,4.1230130420899513e-11
COc1cccc(_C=C2\SC(=S)N(N3C(=O)CCCC3=O)C2=O)c1,T,9.436229575499055e-11
CCN1CCN(c2nnc(-c3ccccc3)c3ccccc23)CC1,B,2.046829372659431e-11
CCN1CCN(c2nnc(-c3ccccc3)c3ccccc23)CC1,A,1.297394414123687e-10
CCN1CCN(c2nnc(-c3ccccc3)c3ccccc23)CC1,T,6.021183551752074e-11
CCOC(=O)C1=C(N)Oc2ccc(Br)cc2C1C(C#N)C(=O)OCC,B,2.0648205367734818e-11
CCOC(=O)C1=C(N)Oc2ccc(Br)cc2C1C(C#N)C(=O)OCC,A,4.604933101504116e-11
CCOC(=O)C1=C(N)Oc2ccc(Br)cc2C1C(C#N)C(=O)OCC,T,8.971112741562592e-11
CCc1c(C(=O)N_N=C_c2cn[nH]c2-c2ccc(F)cc2)csc1C,B,4.792666263853107e-11
CCc1c(C(=O)N_N=C_c2cn[nH]c2-c2ccc(F)cc2)csc1C,A,8.159584119482588e-11
CCc1c(C(=O)N_N=C_c2cn[nH]c2-c2ccc(F)cc2)csc1C,T,1.1022738277688404e-10
O=C(NC1CCCCC1)C(c1cccnc1)N(C(=O)c1csnn1)c1ccccc1,B,2.0414669954504916e-11
O=C(NC1CCCCC1)C(c1cccnc1)N(C(=O)c1csnn1)c1ccccc1,A,7.349898467623461e-11
O=C(NC1CCCCC1)C(c1cccnc1)N(C(=O)c1csnn1)c1ccccc1,T,7.351608211081384e-11
COc1cccc(C(C(=O)NC2CCCC2)N(CC2CCCO2)C(=O)Cc2cccs2)c1,B,3.2414293471560995e-11
COc1cccc(C(C(=O)NC2CCCC2)N(CC2CCCO2)C(=O)Cc2cccs2)c1,A,4.771072426024148e-11
COc1cccc(C(C(=O)NC2CCCC2)N(CC2CCCO2)C(=O)Cc2cccs2)c1,T,8.0307094307841e-11
COc1ccc(C(=O)N_C(=C\c2ccccc2)C(=O)NCc2cccnc2)cc1,B,4.28905799765289e-11
COc1ccc(C(=O)N_C(=C\c2ccccc2)C(=O)NCc2cccnc2)cc1,A,5.647016187992904e-11
COc1ccc(C(=O)N_C(=C\c2ccccc2)C(=O)NCc2cccnc2)cc1,T,5.692357696318595e-11
Cc1ccc(CNC(=O)CSc2nc3ccsc3c(=O)n2Cc2ccc(C(=O)O)cc2)cc1,B,1.2510659175291039e-11
Cc1ccc(CNC(=O)CSc2nc3ccsc3c(=O)n2Cc2ccc(C(=O)O)cc2)cc1,A,7.168510229860203e-11
Cc1ccc(CNC(=O)CSc2nc3ccsc3c(=O)n2Cc2ccc(C(=O)O)cc2)cc1,T,9.119849320171625e-11
