step,L_prior,L_post,L_move,L_total,tau_mean,tau_median,tau_p10,tau_p25,tau_p75,tau_p90,tau_p95,tau_lt001,tau_le003,tau_003_005,tau_gt005,tau_ge009,graph_rms_proposal_mean,atom_cap_activation_rate,training_safety_rollback_rate,gradient_norm,backbone_lr,head_lr,step_time_seconds
1,-2.666839361190796,1.0645245327908786,0.09000000357627869,-1.5656007476787774,0.0030000002589076757,0.003000000026077032,0.003000000026077032,0.003000000026077032,0.003000000026077032,0.003000000026077032,0.003000000026077032,0.0,1.0,0.0,0.0,0.0,0.0024070442901523797,0.0,,2.3553764820098877,0.00014999999763129496,0.0002999999952625899,0.502434492111206
25,-2.8485827445983887,0.7274189835819338,0.09503041207790375,-2.082397604134407,0.0030826861038804054,0.003082564566284418,0.0030700387433171272,0.003076260327361524,0.003086926764808595,0.0030947490828111767,0.003098085254896432,0.0,0.0,1.0,0.0,0.0,0.002485111979291225,0.0,,3.8063955307006836,0.0001499985195642102,0.0002999970391284204,0.41797900199890137
50,-2.841287612915039,0.6836120157884966,0.13734126091003418,-2.1016493954313384,0.003704405389726162,0.003712398000061512,0.003562540770508349,0.003633241751231253,0.0037679470842704177,0.003868330107070506,0.0038932611350901425,0.0,0.0,1.0,0.0,0.0,0.002985056236764379,0.0,,2.5252556800842285,0.00014999407831528614,0.0002999881566305723,0.4284543991088867
75,-2.834529399871826,0.5649383308238703,0.2076248675584793,-2.1848937777929587,0.004549979232251644,0.0045616584829986095,0.0042798581533133985,0.004377090488560498,0.004701481084339321,0.0048558637499809265,0.004940732102841139,0.0,0.0,0.96875,0.03125,0.0,0.003663812454602711,0.0,,3.9059524536132812,0.00014998667642856055,0.0002999733528571211,0.4683709144592285
100,-2.8238468170166016,1.530451593800095,0.19361475110054016,-1.2144131382269587,0.0043602604418993,0.004292085766792297,0.003871927550062537,0.004053517943248153,0.004501786199398339,0.004816894745454193,0.004994298983365297,0.0,0.0,0.9375,0.0625,0.0,0.0036200518836909724,0.015625,0.09375,4.940713405609131,0.0001499763141962474,0.0002999526283924948,3.103978157043457
125,-2.83577299118042,0.708782015244426,0.18377134203910828,-2.0520243590074165,0.004247477278113365,0.004212915897369385,0.0036886738147586585,0.0038633092772215605,0.004538376466371119,0.004807065846398473,0.005002429359592497,0.0,0.0,0.9375,0.0625,0.0,0.0035247715492294843,0.0,,3.988457679748535,0.00014996299202742975,0.0002999259840548595,0.45096278190612793
150,-2.8127965927124023,0.6879691706983652,0.19506202638149261,-2.0452549455674087,0.004370788112282753,0.004333933349698782,0.003624150319956243,0.003841287922114134,0.004669152898713946,0.005206796526908875,0.005607375781983137,0.0,0.0,0.84375,0.15625,0.0,0.0036216802384339596,0.0,,8.856236457824707,0.000149946710448044,0.000299893420896088,0.4698615074157715
175,-2.8447561264038086,0.5584877650436019,0.1923481523990631,-2.207802966684475,0.004336528480052948,0.004220690578222275,0.0034855130361393094,0.0038355655851773918,0.004812922095879912,0.0052203049417585135,0.005352920410223305,0.0,0.0,0.828125,0.171875,0.0,0.0035492600821938006,0.0,,5.5424933433532715,0.00014992747010085923,0.00029985494020171846,0.36873459815979004
200,-2.850975513458252,0.6809469149381491,0.20389646291732788,-2.0868522538870007,0.004432559013366699,0.00440686009824276,0.003367568668909371,0.00392784783616662,0.0047661938006058335,0.005557831702753902,0.005788535042665899,0.0,0.03125,0.796875,0.171875,0.0,0.003672362247954095,0.0,0.0625,2.055509328842163,0.00014990527174545124,0.0002998105434909025,3.092329502105713
225,-2.805853843688965,0.7010662263550517,0.20405197143554688,-2.0215478384576087,0.004445004276931286,0.0043414379470050335,0.0034159684786573053,0.003957097535021603,0.004880163935013115,0.005577997863292695,0.005802508909255266,0.0,0.015625,0.75,0.234375,0.0,0.0036881332003999407,0.0,,5.543384552001953,0.00014988011625817314,0.0002997602325163463,0.37081122398376465
