id,variant,formulation,seed,step,checkpoint
reliability_off_seed307,reliability_off,Unrestricted,307,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_final_matched_ablation\reliability_off_seed307\FINAL_CHECKPOINT.pt
reliability_off_seed331,reliability_off,Unrestricted,331,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_final_matched_ablation\reliability_off_seed331\FINAL_CHECKPOINT.pt
reliability_off_seed353,reliability_off,Unrestricted,353,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_final_matched_ablation\reliability_off_seed353\FINAL_CHECKPOINT.pt
equal_ba_seed307,equal_ba,Unrestricted,307,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_final_matched_ablation\equal_ba_seed307\FINAL_CHECKPOINT.pt
equal_ba_seed331,equal_ba,Unrestricted,331,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_final_matched_ablation\equal_ba_seed331\FINAL_CHECKPOINT.pt
equal_ba_seed353,equal_ba,Unrestricted,353,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_final_matched_ablation\equal_ba_seed353\FINAL_CHECKPOINT.pt
fixed_sigma_action_seed307,fixed_sigma_action,Unrestricted,307,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_reference_xtb_and_unrestricted_movement_seed307\02_UNRESTRICTED_MOVEMENT\FINAL_CHECKPOINT.pt
fixed_sigma_action_seed331,fixed_sigma_action,Unrestricted,331,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_final_restricted_vs_unrestricted_multiseed\unrestricted_seed331\FINAL_CHECKPOINT.pt
fixed_sigma_action_seed353,fixed_sigma_action,Unrestricted,353,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_final_restricted_vs_unrestricted_multiseed\unrestricted_seed353\FINAL_CHECKPOINT.pt
bond_only_seed307,bond_only,Unrestricted,307,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_reference_xtb_and_unrestricted_movement_seed307\02_UNRESTRICTED_MOVEMENT\FINAL_CHECKPOINT.pt
bond_only_seed331,bond_only,Unrestricted,331,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_final_restricted_vs_unrestricted_multiseed\unrestricted_seed331\FINAL_CHECKPOINT.pt
bond_only_seed353,bond_only,Unrestricted,353,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_final_restricted_vs_unrestricted_multiseed\unrestricted_seed353\FINAL_CHECKPOINT.pt
angle_only_seed307,angle_only,Unrestricted,307,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_reference_xtb_and_unrestricted_movement_seed307\02_UNRESTRICTED_MOVEMENT\FINAL_CHECKPOINT.pt
angle_only_seed331,angle_only,Unrestricted,331,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_final_restricted_vs_unrestricted_multiseed\unrestricted_seed331\FINAL_CHECKPOINT.pt
angle_only_seed353,angle_only,Unrestricted,353,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_final_restricted_vs_unrestricted_multiseed\unrestricted_seed353\FINAL_CHECKPOINT.pt
fixed_tau_seed307,fixed_tau,Unrestricted,307,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_reference_xtb_and_unrestricted_movement_seed307\02_UNRESTRICTED_MOVEMENT\FINAL_CHECKPOINT.pt
fixed_tau_seed331,fixed_tau,Unrestricted,331,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_final_restricted_vs_unrestricted_multiseed\unrestricted_seed331\FINAL_CHECKPOINT.pt
fixed_tau_seed353,fixed_tau,Unrestricted,353,17500,E:\3dconformergenerationcode\4dadapter-lsgoba-musigma-reliability-factorial\reports\ecir_mvr\sixs_final_restricted_vs_unrestricted_multiseed\unrestricted_seed353\FINAL_CHECKPOINT.pt
