method,variant,seed,molecules,records,v3d_overall,posebusters_overall,finite_coordinate_rate,internal_post_objective,direction_improvement,bond_raw_mae,angle_cosine_raw_mae,raw_source_displacement_rms,reference_rmsd
reliability_off_seed307,reliability_off,307,2500,5000,0.3434,0.9316,1.0,6.528706471227329,0.9340037570515335,0.024058889652330405,0.04704342824881487,0.006660660480847582,1.423581722078787
reliability_off_seed331,reliability_off,331,2500,5000,0.3596,0.9318,1.0,6.415199964113424,1.0475102641654384,0.0237849415070819,0.047008276792936204,0.007016076513472944,1.4237410152793337
reliability_off_seed353,reliability_off,353,2500,5000,0.3958,0.932,1.0,6.580374881325102,0.8823353469537604,0.024444119965408094,0.04699548839595841,0.006870985991600901,1.4235133758574408
equal_ba_seed307,equal_ba,307,2500,5000,0.497,0.932,1.0,6.198360362702132,1.2643498655767307,0.023525194398632612,0.04655526038687959,0.009181917468458414,1.4236820389241325
equal_ba_seed331,equal_ba,331,2500,5000,0.4936,0.9322,1.0,6.173552538812142,1.2891576894667207,0.02347509984341894,0.046496526621642394,0.009536409350391477,1.4235328586334368
equal_ba_seed353,equal_ba,353,2500,5000,0.4956,0.9324,1.0,6.077327151488737,1.3853830767901258,0.023312509704761935,0.04644000699767793,0.010085795124061405,1.4237439627002317
fixed_sigma_action_seed307,fixed_sigma_action,307,2500,5000,0.3658,0.932,1.0,6.469254147417359,0.9934560808615046,0.024437205069253405,0.04700279702165985,0.005161564350919798,1.423532642588067
fixed_sigma_action_seed331,fixed_sigma_action,331,2500,5000,0.3766,0.932,1.0,6.39948776425922,1.063222464019643,0.02427459910621494,0.04688070825864314,0.005424868407053873,1.4235361549090062
fixed_sigma_action_seed353,fixed_sigma_action,353,2500,5000,0.381,0.9318,1.0,6.372781782701869,1.089928445576994,0.024253562090160538,0.04669934115486799,0.006070145735796541,1.4234414795003723
bond_only_seed307,bond_only,307,2500,5000,0.49,0.932,1.0,6.259083902220118,1.2036263260587454,0.02315619888587378,0.04735414233447626,0.009432568183541297,1.4239510639033888
bond_only_seed331,bond_only,331,2500,5000,0.4906,0.9322,1.0,6.165526978200081,1.2971832500787832,0.022977274506985675,0.04734102052396303,0.009931561442371457,1.4239208412107742
bond_only_seed353,bond_only,353,2500,5000,0.4942,0.9322,1.0,6.243748946372139,1.2189612819067241,0.023380872306541095,0.047332793019769205,0.009750993793737143,1.4236811277962016
angle_only_seed307,angle_only,307,2500,5000,0.2938,0.9312,1.0,7.041991694032637,0.4207185342462273,0.02596947123034935,0.04624265741072187,0.009368435254041105,1.4232269366620793
angle_only_seed331,angle_only,331,2500,5000,0.302,0.9322,1.0,7.019881182424698,0.44282904585416527,0.026119006562166855,0.04611612816283103,0.009871316562220454,1.423240637246233
angle_only_seed353,angle_only,353,2500,5000,0.2924,0.9316,1.0,6.976009188357492,0.48670103992137104,0.025961777185783238,0.04598558354465063,0.009702682014741004,1.423205791034756
fixed_tau_seed307,fixed_tau,307,2500,5000,0.3918,0.9318,1.0,6.65331171646037,0.8093985118184933,0.024650315835205036,0.04710896173192726,0.00432154256850481,1.4234984950714031
fixed_tau_seed331,fixed_tau,331,2500,5000,0.3892,0.9318,1.0,6.6571805732121225,0.8055296550667417,0.024680048484186316,0.04705276181949296,0.00432154256850481,1.4234619588983741
fixed_tau_seed353,fixed_tau,353,2500,5000,0.396,0.9318,1.0,6.698951615556259,0.7637586127226026,0.024845350738267227,0.046981313441586986,0.00432154256850481,1.4233656585132006
