method,baseline,metric,effect_candidate_minus_baseline,ci95_low,ci95_high,molecule_win,molecule_tie,molecule_loss,resampling_unit,records_per_cluster
reliability_off_seed307,unrestricted_seed307,validity3d,-0.1602,-0.173,-0.1472,756,1645,99,molecule,2
reliability_off_seed307,unrestricted_seed307,PB,-0.0002,-0.001,0.0004,2,2497,1,molecule,2
reliability_off_seed307,unrestricted_seed307,internal_post_objective,0.35612784985734297,0.2606265273689004,0.417283628132729,298,0,2202,molecule,2
reliability_off_seed307,unrestricted_seed307,direction_improvement,-0.35612784985734297,-0.4185302080940435,-0.25737993864480324,2202,0,298,molecule,2
reliability_off_seed307,unrestricted_seed307,bond_raw_mae,0.0008055263989363172,0.0007592250312097262,0.0008513070593343317,510,0,1990,molecule,2
reliability_off_seed307,unrestricted_seed307,angle_cosine_raw_mae,0.00038592878752506687,0.00034919362259064584,0.00041968563592234727,732,0,1768,molecule,2
reliability_off_seed307,unrestricted_seed307,raw_source_displacement_rms,-0.002795245307544247,-0.00291486773632234,-0.0026933133390103477,2485,0,15,molecule,2
reliability_off_seed307,unrestricted_seed307,reference_rmsd,-0.0002525924029364665,-0.0002676854820771436,-0.0002387381680786387,2124,0,376,molecule,2
reliability_off_seed331,unrestricted_seed331,validity3d,-0.1406,-0.153005,-0.128,681,1720,99,molecule,2
reliability_off_seed331,unrestricted_seed331,PB,-0.0006,-0.0014,0.0,3,2497,0,molecule,2
reliability_off_seed331,unrestricted_seed331,internal_post_objective,0.3088610577051644,0.27853776307031275,0.34687847649538156,475,0,2025,molecule,2
reliability_off_seed331,unrestricted_seed331,direction_improvement,-0.3088610577051644,-0.3470210893574774,-0.27886903330674334,2025,0,475,molecule,2
reliability_off_seed331,unrestricted_seed331,bond_raw_mae,0.0005434723830220315,0.0004970834611783366,0.0005901384741759373,736,0,1764,molecule,2
reliability_off_seed331,unrestricted_seed331,angle_cosine_raw_mae,0.0004750654260917128,0.0004431599116269178,0.000508273027987972,649,0,1851,molecule,2
reliability_off_seed331,unrestricted_seed331,raw_source_displacement_rms,-0.002945431073289365,-0.00302402726563858,-0.002871017579663313,2497,0,3,molecule,2
reliability_off_seed331,unrestricted_seed331,reference_rmsd,-4.9952457973474525e-05,-6.51368931849669e-05,-3.705701569421758e-05,1466,0,1034,molecule,2
reliability_off_seed353,unrestricted_seed353,validity3d,-0.11,-0.1218,-0.0982,577,1806,117,molecule,2
reliability_off_seed353,unrestricted_seed353,PB,-0.0002,-0.0006,0.0,1,2499,0,molecule,2
reliability_off_seed353,unrestricted_seed353,internal_post_objective,0.3907656359743641,0.36592990997511493,0.4195121931587554,303,0,2197,molecule,2
reliability_off_seed353,unrestricted_seed353,direction_improvement,-0.3907656359743641,-0.42004998879300337,-0.3665523747696679,2197,0,303,molecule,2
reliability_off_seed353,unrestricted_seed353,bond_raw_mae,0.0008651513794733332,0.0008220214987893734,0.0009098848667036382,471,0,2029,molecule,2
reliability_off_seed353,unrestricted_seed353,angle_cosine_raw_mae,0.0005926311412835769,0.0005582482416494093,0.0006284028997843781,576,0,1924,molecule,2
reliability_off_seed353,unrestricted_seed353,raw_source_displacement_rms,-0.002914838895294815,-0.0029761189835565164,-0.0028532687814859675,2491,0,9,molecule,2
reliability_off_seed353,unrestricted_seed353,reference_rmsd,-5.134397729801941e-05,-6.32974480621671e-05,-3.972946286865731e-05,1509,0,991,molecule,2
equal_ba_seed307,unrestricted_seed307,validity3d,-0.0066,-0.0128,-0.0002,126,2276,98,molecule,2
equal_ba_seed307,unrestricted_seed307,PB,0.0002,0.0,0.0006,0,2499,1,molecule,2
equal_ba_seed307,unrestricted_seed307,internal_post_objective,0.025781741332145783,-0.01732390038890479,0.05432543533441263,750,0,1750,molecule,2
equal_ba_seed307,unrestricted_seed307,direction_improvement,-0.025781741332145794,-0.05450032930736941,0.017845852968554295,1750,0,750,molecule,2
equal_ba_seed307,unrestricted_seed307,bond_raw_mae,0.0002718311452385265,0.0002513488710342113,0.00029086712191805827,594,0,1906,molecule,2
equal_ba_seed307,unrestricted_seed307,angle_cosine_raw_mae,-0.00010223907441022029,-0.0001188874051210845,-8.669870262001931e-05,1545,0,955,molecule,2
equal_ba_seed307,unrestricted_seed307,raw_source_displacement_rms,-0.0002739883199334146,-0.00032959812103537867,-0.0002268685315921902,1615,0,885,molecule,2
equal_ba_seed307,unrestricted_seed307,reference_rmsd,-0.00015227555759133986,-0.00016197353261356893,-0.0001437064942148333,2142,0,358,molecule,2
equal_ba_seed331,unrestricted_seed331,validity3d,-0.0066,-0.0132,0.0,145,2245,110,molecule,2
equal_ba_seed331,unrestricted_seed331,PB,-0.0002,-0.0006,0.0,1,2499,0,molecule,2
equal_ba_seed331,unrestricted_seed331,internal_post_objective,0.0672136324038819,0.057593270606241344,0.07928402836156227,674,0,1826,molecule,2
equal_ba_seed331,unrestricted_seed331,direction_improvement,-0.06721363240388191,-0.07907111273336753,-0.05744025930880067,1826,0,674,molecule,2
equal_ba_seed331,unrestricted_seed331,bond_raw_mae,0.0002336307193590704,0.00021756653967146912,0.0002507246605471952,677,0,1823,molecule,2
equal_ba_seed331,unrestricted_seed331,angle_cosine_raw_mae,-3.6684745202095225e-05,-4.9867366923064315e-05,-2.3025079979013217e-05,1389,0,1111,molecule,2
equal_ba_seed331,unrestricted_seed331,raw_source_displacement_rms,-0.0004250982363708317,-0.00045613087080651876,-0.00039421299762791,2067,0,433,molecule,2
equal_ba_seed331,unrestricted_seed331,reference_rmsd,-0.00025810910387042877,-0.00026508825437677357,-0.00025166523252493066,2436,0,64,molecule,2
equal_ba_seed353,unrestricted_seed353,validity3d,-0.0102,-0.0178,-0.0026,176,2191,133,molecule,2
equal_ba_seed353,unrestricted_seed353,PB,0.0002,0.0,0.0006,0,2499,1,molecule,2
equal_ba_seed353,unrestricted_seed353,internal_post_objective,-0.11228209386200133,-0.12284593215722235,-0.10294704667122218,1972,0,528,molecule,2
equal_ba_seed353,unrestricted_seed353,direction_improvement,0.11228209386200136,0.10304142732456732,0.12263512802814523,528,0,1972,molecule,2
equal_ba_seed353,unrestricted_seed353,bond_raw_mae,-0.0002664588811728218,-0.0002868219393480381,-0.00024634559605770664,1794,0,706,molecule,2
equal_ba_seed353,unrestricted_seed353,angle_cosine_raw_mae,3.714974300310285e-05,2.102461322212476e-05,5.330232150862518e-05,1153,0,1347,molecule,2
equal_ba_seed353,unrestricted_seed353,raw_source_displacement_rms,0.0002999702371656902,0.00027041888603009296,0.0003311434904206545,617,0,1883,molecule,2
