method,variant,seed,component,pass_rate
reliability_off_seed307,reliability_off,307,bond_geometry_valid,0.419
reliability_off_seed307,reliability_off,307,angle_geometry_valid,0.7818
reliability_off_seed307,reliability_off,307,aromatic_ring_valid,0.9996
reliability_off_seed307,reliability_off,307,intramolecular_steric_clash_valid,0.9742
reliability_off_seed331,reliability_off,331,bond_geometry_valid,0.4404
reliability_off_seed331,reliability_off,331,angle_geometry_valid,0.7836
reliability_off_seed331,reliability_off,331,aromatic_ring_valid,0.9996
reliability_off_seed331,reliability_off,331,intramolecular_steric_clash_valid,0.974
reliability_off_seed353,reliability_off,353,bond_geometry_valid,0.4838
reliability_off_seed353,reliability_off,353,angle_geometry_valid,0.7876
reliability_off_seed353,reliability_off,353,aromatic_ring_valid,0.9996
reliability_off_seed353,reliability_off,353,intramolecular_steric_clash_valid,0.9738
equal_ba_seed307,equal_ba,307,bond_geometry_valid,0.607
equal_ba_seed307,equal_ba,307,angle_geometry_valid,0.8062
equal_ba_seed307,equal_ba,307,aromatic_ring_valid,0.9996
equal_ba_seed307,equal_ba,307,intramolecular_steric_clash_valid,0.974
equal_ba_seed331,equal_ba,331,bond_geometry_valid,0.6018
equal_ba_seed331,equal_ba,331,angle_geometry_valid,0.8108
equal_ba_seed331,equal_ba,331,aromatic_ring_valid,0.9996
equal_ba_seed331,equal_ba,331,intramolecular_steric_clash_valid,0.9738
equal_ba_seed353,equal_ba,353,bond_geometry_valid,0.6022
equal_ba_seed353,equal_ba,353,angle_geometry_valid,0.8112
equal_ba_seed353,equal_ba,353,aromatic_ring_valid,0.9996
equal_ba_seed353,equal_ba,353,intramolecular_steric_clash_valid,0.974
fixed_sigma_action_seed307,fixed_sigma_action,307,bond_geometry_valid,0.4452
fixed_sigma_action_seed307,fixed_sigma_action,307,angle_geometry_valid,0.7992
fixed_sigma_action_seed307,fixed_sigma_action,307,aromatic_ring_valid,0.9996
fixed_sigma_action_seed307,fixed_sigma_action,307,intramolecular_steric_clash_valid,0.9738
fixed_sigma_action_seed331,fixed_sigma_action,331,bond_geometry_valid,0.4576
fixed_sigma_action_seed331,fixed_sigma_action,331,angle_geometry_valid,0.8054
fixed_sigma_action_seed331,fixed_sigma_action,331,aromatic_ring_valid,0.9996
fixed_sigma_action_seed331,fixed_sigma_action,331,intramolecular_steric_clash_valid,0.9736
fixed_sigma_action_seed353,fixed_sigma_action,353,bond_geometry_valid,0.4604
fixed_sigma_action_seed353,fixed_sigma_action,353,angle_geometry_valid,0.8074
fixed_sigma_action_seed353,fixed_sigma_action,353,aromatic_ring_valid,0.9996
fixed_sigma_action_seed353,fixed_sigma_action,353,intramolecular_steric_clash_valid,0.974
bond_only_seed307,bond_only,307,bond_geometry_valid,0.6138
bond_only_seed307,bond_only,307,angle_geometry_valid,0.7902
bond_only_seed307,bond_only,307,aromatic_ring_valid,0.9996
bond_only_seed307,bond_only,307,intramolecular_steric_clash_valid,0.974
bond_only_seed331,bond_only,331,bond_geometry_valid,0.6144
bond_only_seed331,bond_only,331,angle_geometry_valid,0.7908
bond_only_seed331,bond_only,331,aromatic_ring_valid,0.9996
bond_only_seed331,bond_only,331,intramolecular_steric_clash_valid,0.974
bond_only_seed353,bond_only,353,bond_geometry_valid,0.6166
bond_only_seed353,bond_only,353,angle_geometry_valid,0.7872
bond_only_seed353,bond_only,353,aromatic_ring_valid,0.9996
bond_only_seed353,bond_only,353,intramolecular_steric_clash_valid,0.9738
angle_only_seed307,angle_only,307,bond_geometry_valid,0.352
angle_only_seed307,angle_only,307,angle_geometry_valid,0.8142
angle_only_seed307,angle_only,307,aromatic_ring_valid,0.9996
angle_only_seed307,angle_only,307,intramolecular_steric_clash_valid,0.9744
angle_only_seed331,angle_only,331,bond_geometry_valid,0.36
angle_only_seed331,angle_only,331,angle_geometry_valid,0.821
angle_only_seed331,angle_only,331,aromatic_ring_valid,0.9996
angle_only_seed331,angle_only,331,intramolecular_steric_clash_valid,0.9746
angle_only_seed353,angle_only,353,bond_geometry_valid,0.3496
angle_only_seed353,angle_only,353,angle_geometry_valid,0.816
angle_only_seed353,angle_only,353,aromatic_ring_valid,0.9998
angle_only_seed353,angle_only,353,intramolecular_steric_clash_valid,0.9746
fixed_tau_seed307,fixed_tau,307,bond_geometry_valid,0.4784
fixed_tau_seed307,fixed_tau,307,angle_geometry_valid,0.7922
fixed_tau_seed307,fixed_tau,307,aromatic_ring_valid,0.9996
fixed_tau_seed307,fixed_tau,307,intramolecular_steric_clash_valid,0.9738
fixed_tau_seed331,fixed_tau,331,bond_geometry_valid,0.4738
fixed_tau_seed331,fixed_tau,331,angle_geometry_valid,0.7942
fixed_tau_seed331,fixed_tau,331,aromatic_ring_valid,0.9996
fixed_tau_seed331,fixed_tau,331,intramolecular_steric_clash_valid,0.9738
fixed_tau_seed353,fixed_tau,353,bond_geometry_valid,0.4818
fixed_tau_seed353,fixed_tau,353,angle_geometry_valid,0.7918
fixed_tau_seed353,fixed_tau,353,aromatic_ring_valid,0.9996
fixed_tau_seed353,fixed_tau,353,intramolecular_steric_clash_valid,0.9738
