method,variant,seed,tau_mean,tau_median,tau_p95,tau_p99,tau_max,w_B_mean,w_B_p05,w_B_p50,w_B_p95,w_A_mean,w_A_p05,w_A_p50,w_A_p95,ba_collapse_fraction
reliability_off_seed307,reliability_off,307,0.006660660480847582,0.006465280661359429,0.008599400287494063,0.011155057754367597,0.04131033271551132,0.4869752268075943,0.3070653364062309,0.5114466547966003,0.5853313952684402,0.5130247732818126,0.41466854959726335,0.48855333030223846,0.692934662103653,0.0
reliability_off_seed331,reliability_off,331,0.007016076513472944,0.006799710216000676,0.009243487473577266,0.012579371705651292,0.041853759437799454,0.5115179113715888,0.3845316156744957,0.5245873332023621,0.5896037429571152,0.488482087880373,0.41039625704288485,0.47541268169879913,0.6154684126377106,0.0
reliability_off_seed353,reliability_off,353,0.006870985991600901,0.00653861602768302,0.009167430875822903,0.01260511033236984,0.05984507128596306,0.5053550282269716,0.2868911653757095,0.5314153432846069,0.6431509464979172,0.4946449712574482,0.3568489983677864,0.46858465671539307,0.7131087779998779,0.0
equal_ba_seed307,equal_ba,307,0.009181917468458414,0.008637549821287394,0.012744452990591527,0.019365338645875536,0.1753195971250534,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
equal_ba_seed331,equal_ba,331,0.009536409350391477,0.00895103719085455,0.013638939801603557,0.02035191623494029,0.09915119409561157,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
equal_ba_seed353,equal_ba,353,0.010085795124061405,0.009572453796863556,0.013950328109785916,0.01975504424422983,0.0753871351480484,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
fixed_sigma_action_seed307,fixed_sigma_action,307,0.005161564350919798,0.004943818552419543,0.006746466318145394,0.009868552032858136,0.04237038269639015,0.49198541362285614,0.47962657660245894,0.49124202132225037,0.5064100325107574,0.5080145856916904,0.4935899391770363,0.5087579786777496,0.5203734517097474,0.0
fixed_sigma_action_seed331,fixed_sigma_action,331,0.005424868407053873,0.0051439867820590734,0.007265881821513176,0.011134626502171159,0.05110970139503479,0.4820171872496605,0.4685675337910652,0.4814798831939697,0.4966003954410553,0.5179828127622604,0.5033995777368545,0.5185201466083527,0.531432494521141,0.0
fixed_sigma_action_seed353,fixed_sigma_action,353,0.006070145735796541,0.005814203526824713,0.008033205522224307,0.011973267076537017,0.046019092202186584,0.4673424569308758,0.4550598904490471,0.4661789834499359,0.4832466721534729,0.5326575429320335,0.516753327846527,0.5338210165500641,0.5449401378631592,0.0
bond_only_seed307,bond_only,307,0.009432568183541297,0.008806231431663036,0.013292133156210187,0.02054827114567169,0.21616896986961365,0.4919854137182236,0.47962657660245894,0.49124202132225037,0.5064100325107574,0.0,0.0,0.0,0.0,0.0
bond_only_seed331,bond_only,331,0.009931561442371457,0.009348385035991669,0.014090853882953525,0.020307951401919152,0.1345265656709671,0.4820171872794628,0.4685675337910652,0.4814798831939697,0.4966003954410553,0.0,0.0,0.0,0.0,0.0
bond_only_seed353,bond_only,353,0.009750993793737143,0.00916721811518073,0.013873390480875972,0.020326018016785394,0.0652497336268425,0.46734245695471766,0.4550598904490471,0.4661789834499359,0.4832466721534729,0.0,0.0,0.0,0.0,0.0
angle_only_seed307,angle_only,307,0.009368435254041105,0.00873322831466794,0.013205314567312599,0.020442744977772317,0.22108149528503418,0.0,0.0,0.0,0.0,0.508014585584402,0.4935899391770363,0.5087579786777496,0.5203734517097474,1.0
angle_only_seed331,angle_only,331,0.009871316562220454,0.009288889821618795,0.013954752031713724,0.020125371031463172,0.13527865707874298,0.0,0.0,0.0,0.0,0.5179828127026558,0.5033995777368545,0.5185201466083527,0.531432494521141,1.0
angle_only_seed353,angle_only,353,0.009702682014741004,0.009123058058321476,0.013782182568684227,0.02015063740313055,0.06454422324895859,0.0,0.0,0.0,0.0,0.532657542848587,0.516753327846527,0.5338210165500641,0.5449401378631592,1.0
fixed_tau_seed307,fixed_tau,307,0.00432154256850481,0.00432154256850481,0.00432154256850481,0.00432154256850481,0.00432154256850481,0.4919854136943817,0.47962657660245894,0.49124202132225037,0.5064100325107574,0.5080145857095718,0.4935899391770363,0.5087579786777496,0.5203734517097474,0.0
fixed_tau_seed331,fixed_tau,331,0.00432154256850481,0.00432154256850481,0.00432154256850481,0.00432154256850481,0.00432154256850481,0.4820171872794628,0.4685675337910652,0.4814798831939697,0.4966003954410553,0.5179828126072884,0.5033995777368545,0.5185201466083527,0.531432494521141,0.0
fixed_tau_seed353,fixed_tau,353,0.00432154256850481,0.00432154256850481,0.00432154256850481,0.00432154256850481,0.00432154256850481,0.46734245699048044,0.4550598904490471,0.4661789834499359,0.4832466721534729,0.5326575430870056,0.516753327846527,0.5338210463523865,0.5449401378631592,0.0
