formulation,seed,component,rate
restricted,307,bond_geometry_valid,0.6844
restricted,307,angle_geometry_valid,0.8316
restricted,307,aromatic_ring_valid,0.9986
restricted,307,intramolecular_steric_clash_valid,0.9792
restricted,307,validity3d,0.564
restricted,331,bond_geometry_valid,0.6872
restricted,331,angle_geometry_valid,0.8298
restricted,331,aromatic_ring_valid,0.9986
restricted,331,intramolecular_steric_clash_valid,0.9794
restricted,331,validity3d,0.5632
restricted,353,bond_geometry_valid,0.687
restricted,353,angle_geometry_valid,0.8322
restricted,353,aromatic_ring_valid,0.9986
restricted,353,intramolecular_steric_clash_valid,0.9792
restricted,353,validity3d,0.5664
unrestricted,307,bond_geometry_valid,0.6884
unrestricted,307,angle_geometry_valid,0.8336
unrestricted,307,aromatic_ring_valid,0.9986
unrestricted,307,intramolecular_steric_clash_valid,0.9792
unrestricted,307,validity3d,0.567
unrestricted,331,bond_geometry_valid,0.6884
unrestricted,331,angle_geometry_valid,0.8358
unrestricted,331,aromatic_ring_valid,0.9986
unrestricted,331,intramolecular_steric_clash_valid,0.9792
unrestricted,331,validity3d,0.568
unrestricted,353,bond_geometry_valid,0.6916
unrestricted,353,angle_geometry_valid,0.8344
unrestricted,353,aromatic_ring_valid,0.9986
unrestricted,353,intramolecular_steric_clash_valid,0.979
unrestricted,353,validity3d,0.5692
