formulation,seed,component,rate
restricted,307,mol_pred_loaded,1.0
restricted,307,sanitization,1.0
restricted,307,inchi_convertible,0.9996
restricted,307,all_atoms_connected,1.0
restricted,307,no_radicals,1.0
restricted,307,bond_lengths,0.9996
restricted,307,bond_angles,0.999
restricted,307,internal_steric_clash,0.943
restricted,307,aromatic_ring_flatness,1.0
restricted,307,non-aromatic_ring_non-flatness,0.9926
restricted,307,double_bond_flatness,0.9956
restricted,307,PB,0.9324
restricted,331,mol_pred_loaded,1.0
restricted,331,sanitization,1.0
restricted,331,inchi_convertible,0.9996
restricted,331,all_atoms_connected,1.0
restricted,331,no_radicals,1.0
restricted,331,bond_lengths,0.9996
restricted,331,bond_angles,0.9988
restricted,331,internal_steric_clash,0.9428
restricted,331,aromatic_ring_flatness,1.0
restricted,331,non-aromatic_ring_non-flatness,0.9926
restricted,331,double_bond_flatness,0.9956
restricted,331,PB,0.9322
restricted,353,mol_pred_loaded,1.0
restricted,353,sanitization,1.0
restricted,353,inchi_convertible,0.9996
restricted,353,all_atoms_connected,1.0
restricted,353,no_radicals,1.0
restricted,353,bond_lengths,0.9996
restricted,353,bond_angles,0.9988
restricted,353,internal_steric_clash,0.943
restricted,353,aromatic_ring_flatness,1.0
restricted,353,non-aromatic_ring_non-flatness,0.9926
restricted,353,double_bond_flatness,0.9956
restricted,353,PB,0.9324
unrestricted,307,mol_pred_loaded,1.0
unrestricted,307,sanitization,1.0
unrestricted,307,inchi_convertible,0.9996
unrestricted,307,all_atoms_connected,1.0
unrestricted,307,no_radicals,1.0
unrestricted,307,bond_lengths,1.0
unrestricted,307,bond_angles,0.999
unrestricted,307,internal_steric_clash,0.943
unrestricted,307,aromatic_ring_flatness,1.0
unrestricted,307,non-aromatic_ring_non-flatness,0.9926
unrestricted,307,double_bond_flatness,0.9956
unrestricted,307,PB,0.9324
unrestricted,331,mol_pred_loaded,1.0
unrestricted,331,sanitization,1.0
unrestricted,331,inchi_convertible,0.9996
unrestricted,331,all_atoms_connected,1.0
unrestricted,331,no_radicals,1.0
unrestricted,331,bond_lengths,1.0
unrestricted,331,bond_angles,0.999
unrestricted,331,internal_steric_clash,0.943
unrestricted,331,aromatic_ring_flatness,1.0
unrestricted,331,non-aromatic_ring_non-flatness,0.9926
unrestricted,331,double_bond_flatness,0.9956
unrestricted,331,PB,0.9324
unrestricted,353,mol_pred_loaded,1.0
unrestricted,353,sanitization,1.0
unrestricted,353,inchi_convertible,0.9996
unrestricted,353,all_atoms_connected,1.0
unrestricted,353,no_radicals,1.0
unrestricted,353,bond_lengths,0.9998
unrestricted,353,bond_angles,0.999
unrestricted,353,internal_steric_clash,0.943
unrestricted,353,aromatic_ring_flatness,1.0
unrestricted,353,non-aromatic_ring_non-flatness,0.9926
unrestricted,353,double_bond_flatness,0.9956
unrestricted,353,PB,0.9324
