formulation,seed,metric,estimate,ci95_low,ci95_high,clusters,resamples
restricted,307,validity3d,0.564,0.5462,0.5818,2500,10000
restricted,307,PB,0.9324,0.9234,0.941,2500,10000
restricted,307,reference_rmsd,1.3196411439015718,1.2993256193841722,1.340244770880203,2500,10000
restricted,307,source_rmsd,0.005525257775222693,0.005496686420549795,0.00555547377494949,2500,10000
restricted,307,deltaE_kcal_mol,-1.5818520888372816,-1.6736707183253838,-1.5090074927427788,2500,10000
restricted,331,validity3d,0.5632,0.5454,0.5804,2500,10000
restricted,331,PB,0.9322,0.9232,0.9408,2500,10000
restricted,331,reference_rmsd,1.3196380859096508,1.2992912723674697,1.3401269989420523,2500,10000
restricted,331,source_rmsd,0.005538826137941897,0.0055097618764079976,0.005568046204027462,2500,10000
restricted,331,deltaE_kcal_mol,-1.5502833929644926,-1.641920453167514,-1.4707926439798484,2500,10000
restricted,353,validity3d,0.5664,0.549,0.584,2500,10000
restricted,353,PB,0.9324,0.9236,0.9408049999999999,2500,10000
restricted,353,reference_rmsd,1.3196444063128803,1.2994855570761408,1.3398106575421123,2500,10000
restricted,353,source_rmsd,0.005585559145039124,0.005555685097421527,0.005615852108062574,2500,10000
restricted,353,deltaE_kcal_mol,-1.5746403579593948,-1.6706527713038186,-1.5036188287136947,2500,10000
unrestricted,307,validity3d,0.567,0.5492,0.5848,2500,10000
unrestricted,307,PB,0.9324,0.9234,0.941,2500,10000
unrestricted,307,reference_rmsd,1.3196261427763398,1.2993097243658245,1.3402303477906892,2500,10000
unrestricted,307,source_rmsd,0.006060002949321642,0.006017556835123105,0.006104729356507305,2500,10000
unrestricted,307,deltaE_kcal_mol,-1.570312882795349,-1.7780307803622402,-1.3042062750006966,2500,10000
unrestricted,331,validity3d,0.568,0.5502,0.5856,2500,10000
unrestricted,331,PB,0.9324,0.9236,0.9410049999999999,2500,10000
unrestricted,331,reference_rmsd,1.3196459018631452,1.2992987899719446,1.3401357607226867,2500,10000
unrestricted,331,source_rmsd,0.006177730882493779,0.006134372495061252,0.006224574645160464,2500,10000
unrestricted,331,deltaE_kcal_mol,-1.627441927758717,-1.7715513819470772,-1.500103781057102,2500,10000
unrestricted,353,validity3d,0.5692,0.552,0.5864,2500,10000
unrestricted,353,PB,0.9324,0.9236,0.9408049999999999,2500,10000
unrestricted,353,reference_rmsd,1.3196450106722732,1.2994882683253275,1.3398112518831413,2500,10000
unrestricted,353,source_rmsd,0.006255360764404759,0.006212166034750408,0.006301840121310669,2500,10000
unrestricted,353,deltaE_kcal_mol,-1.5116092381691908,-1.7129751185559006,-1.2275891111288884,2500,10000
