method,component,pass_rate
source,bond_geometry_valid,0.2718
source,angle_geometry_valid,0.7606
source,aromatic_ring_valid,0.9996
source,intramolecular_steric_clash_valid,0.9744
source,mol_pred_loaded,1.0
source,sanitization,1.0
source,inchi_convertible,1.0
source,all_atoms_connected,1.0
source,no_radicals,1.0
source,bond_lengths,0.999
source,bond_angles,0.999
source,internal_steric_clash,0.936
source,aromatic_ring_flatness,1.0
source,non-aromatic_ring_non-flatness,0.9966
source,double_bond_flatness,0.999
restricted_seed307,bond_geometry_valid,0.5838
restricted_seed307,angle_geometry_valid,0.804
restricted_seed307,aromatic_ring_valid,0.9996
restricted_seed307,intramolecular_steric_clash_valid,0.974
restricted_seed307,mol_pred_loaded,1.0
restricted_seed307,sanitization,1.0
restricted_seed307,inchi_convertible,1.0
restricted_seed307,all_atoms_connected,1.0
restricted_seed307,no_radicals,1.0
restricted_seed307,bond_lengths,0.999
restricted_seed307,bond_angles,0.999
restricted_seed307,internal_steric_clash,0.9364
restricted_seed307,aromatic_ring_flatness,1.0
restricted_seed307,non-aromatic_ring_non-flatness,0.9966
restricted_seed307,double_bond_flatness,0.999
restricted_seed331,bond_geometry_valid,0.5854
restricted_seed331,angle_geometry_valid,0.8022
restricted_seed331,aromatic_ring_valid,0.9996
restricted_seed331,intramolecular_steric_clash_valid,0.974
restricted_seed331,mol_pred_loaded,1.0
restricted_seed331,sanitization,1.0
restricted_seed331,inchi_convertible,1.0
restricted_seed331,all_atoms_connected,1.0
restricted_seed331,no_radicals,1.0
restricted_seed331,bond_lengths,0.999
restricted_seed331,bond_angles,0.999
restricted_seed331,internal_steric_clash,0.9364
restricted_seed331,aromatic_ring_flatness,1.0
restricted_seed331,non-aromatic_ring_non-flatness,0.9966
restricted_seed331,double_bond_flatness,0.999
restricted_seed353,bond_geometry_valid,0.5888
restricted_seed353,angle_geometry_valid,0.8028
restricted_seed353,aromatic_ring_valid,0.9996
restricted_seed353,intramolecular_steric_clash_valid,0.974
restricted_seed353,mol_pred_loaded,1.0
restricted_seed353,sanitization,1.0
restricted_seed353,inchi_convertible,1.0
restricted_seed353,all_atoms_connected,1.0
restricted_seed353,no_radicals,1.0
restricted_seed353,bond_lengths,0.999
restricted_seed353,bond_angles,0.999
restricted_seed353,internal_steric_clash,0.9364
restricted_seed353,aromatic_ring_flatness,1.0
restricted_seed353,non-aromatic_ring_non-flatness,0.9966
restricted_seed353,double_bond_flatness,0.999
unrestricted_seed307,bond_geometry_valid,0.6148
unrestricted_seed307,angle_geometry_valid,0.8066
unrestricted_seed307,aromatic_ring_valid,0.9996
unrestricted_seed307,intramolecular_steric_clash_valid,0.9738
unrestricted_seed307,mol_pred_loaded,1.0
unrestricted_seed307,sanitization,1.0
unrestricted_seed307,inchi_convertible,1.0
unrestricted_seed307,all_atoms_connected,1.0
unrestricted_seed307,no_radicals,1.0
unrestricted_seed307,bond_lengths,0.9996
unrestricted_seed307,bond_angles,0.999
unrestricted_seed307,internal_steric_clash,0.9362
unrestricted_seed307,aromatic_ring_flatness,1.0
unrestricted_seed307,non-aromatic_ring_non-flatness,0.9966
unrestricted_seed307,double_bond_flatness,0.999
unrestricted_seed331,bond_geometry_valid,0.6098
unrestricted_seed331,angle_geometry_valid,0.8112
unrestricted_seed331,aromatic_ring_valid,0.9996
unrestricted_seed331,intramolecular_steric_clash_valid,0.9738
unrestricted_seed331,mol_pred_loaded,1.0
unrestricted_seed331,sanitization,1.0
unrestricted_seed331,inchi_convertible,1.0
unrestricted_seed331,all_atoms_connected,1.0
unrestricted_seed331,no_radicals,1.0
unrestricted_seed331,bond_lengths,0.9998
unrestricted_seed331,bond_angles,0.9992
unrestricted_seed331,internal_steric_clash,0.9366
unrestricted_seed331,aromatic_ring_flatness,1.0
unrestricted_seed331,non-aromatic_ring_non-flatness,0.9966
unrestricted_seed331,double_bond_flatness,0.999
unrestricted_seed353,bond_geometry_valid,0.6152
unrestricted_seed353,angle_geometry_valid,0.8066
unrestricted_seed353,aromatic_ring_valid,0.9996
unrestricted_seed353,intramolecular_steric_clash_valid,0.9738
unrestricted_seed353,mol_pred_loaded,1.0
unrestricted_seed353,sanitization,1.0
unrestricted_seed353,inchi_convertible,1.0
unrestricted_seed353,all_atoms_connected,1.0
unrestricted_seed353,no_radicals,1.0
unrestricted_seed353,bond_lengths,1.0
unrestricted_seed353,bond_angles,0.9992
unrestricted_seed353,internal_steric_clash,0.9364
unrestricted_seed353,aromatic_ring_flatness,1.0
unrestricted_seed353,non-aromatic_ring_non-flatness,0.9966
unrestricted_seed353,double_bond_flatness,0.999
mmff94s,bond_geometry_valid,0.2718
mmff94s,angle_geometry_valid,0.7606
mmff94s,aromatic_ring_valid,0.9996
mmff94s,intramolecular_steric_clash_valid,0.9744
mmff94s,mol_pred_loaded,1.0
mmff94s,sanitization,1.0
mmff94s,inchi_convertible,1.0
mmff94s,all_atoms_connected,1.0
mmff94s,no_radicals,1.0
mmff94s,bond_lengths,0.999
mmff94s,bond_angles,0.999
mmff94s,internal_steric_clash,0.936
mmff94s,aromatic_ring_flatness,1.0
mmff94s,non-aromatic_ring_non-flatness,0.9966
mmff94s,double_bond_flatness,0.999
