method,baseline,metric,effect_candidate_minus_baseline,ci95_low,ci95_high,resampling_unit
restricted_seed307,source,validity3d,0.2586,0.243,0.2734,molecule
restricted_seed307,source,PB,0.0004,-0.0004,0.0012,molecule
restricted_seed307,source,bond_raw_mae,-0.003059075010446879,-0.0031131145432880068,-0.0030050339980862983,molecule
restricted_seed307,source,angle_cosine_raw_mae,-0.0012652674294313091,-0.0013103432381146851,-0.0012211841834209166,molecule
restricted_seed307,source,reference_rmsd,0.00037113217090905105,0.00035849735864206954,0.00038379246968862105,molecule
restricted_seed307,source,raw_source_displacement_rms,0.008247687723301275,0.008213747578722308,0.008280803491746171,molecule
restricted_seed307,source,xtb_median_delta_e,-3.4744973286072662,-3.5584341125014154,-3.3892589739693686,molecule
restricted_seed331,source,validity3d,0.2576,0.24279499999999998,0.2722,molecule
restricted_seed331,source,PB,0.0004,0.0,0.001,molecule
restricted_seed331,source,bond_raw_mae,-0.003043385586816403,-0.0030968235123892173,-0.0029911174891990395,molecule
restricted_seed331,source,angle_cosine_raw_mae,-0.0013818938847612113,-0.001427398296248292,-0.0013365831024617744,molecule
restricted_seed331,source,reference_rmsd,0.0003491924574659631,0.00033754027630422955,0.0003611844964794932,molecule
restricted_seed331,source,raw_source_displacement_rms,0.008097077820541603,0.008062842328537349,0.008130722136257835,molecule
restricted_seed331,source,xtb_median_delta_e,-3.5062714619024007,-3.5882814305520245,-3.4159131181599856,molecule
restricted_seed353,source,validity3d,0.263,0.248,0.278,molecule
restricted_seed353,source,PB,0.0004,-0.0004,0.0012,molecule
restricted_seed353,source,bond_raw_mae,-0.0031693760922368347,-0.003220938133015224,-0.00311768876813545,molecule
restricted_seed353,source,angle_cosine_raw_mae,-0.0013823991962813684,-0.0014295496841078479,-0.001337269666766796,molecule
restricted_seed353,source,reference_rmsd,0.0003542272809221153,0.00034285535614470166,0.00036576701010921015,molecule
restricted_seed353,source,raw_source_displacement_rms,0.008041098153112458,0.00800650059879785,0.008074954120523042,molecule
restricted_seed353,source,xtb_median_delta_e,-3.4991682582784946,-3.576170945456067,-3.434228064920983,molecule
unrestricted_seed307,source,validity3d,0.281,0.2658,0.29620499999999994,molecule
unrestricted_seed307,source,PB,0.0004,-0.0006,0.0014,molecule
unrestricted_seed307,source,bond_raw_mae,-0.003558871510730371,-0.0036278023914484542,-0.003489977966824297,molecule
unrestricted_seed307,source,angle_cosine_raw_mae,-0.001345165170564603,-0.0013984960096670518,-0.0012913857548595526,molecule
unrestricted_seed307,source,reference_rmsd,0.000595345685529407,0.0005748695376621163,0.0006176240813810066,molecule
unrestricted_seed307,source,raw_source_displacement_rms,0.009455905788391828,0.009322836923405993,0.009603002977101132,molecule
unrestricted_seed307,source,xtb_median_delta_e,-3.568300896401512,-3.65672298780209,-3.4898984109714064,molecule
unrestricted_seed331,source,validity3d,0.2776,0.2624,0.2934,molecule
unrestricted_seed331,source,PB,0.001,0.0002,0.002,molecule
unrestricted_seed331,source,bond_raw_mae,-0.0035707656400645873,-0.003642735148557727,-0.0034990124380608026,molecule
unrestricted_seed331,source,angle_cosine_raw_mae,-0.0014694532650099197,-0.001525256076731384,-0.0014131198395278875,molecule
unrestricted_seed331,source,reference_rmsd,0.0005519989411129926,0.000531039678393619,0.0005752911667889298,molecule
unrestricted_seed331,source,raw_source_displacement_rms,0.009961507586762309,0.009852088374826125,0.010081097473481205,molecule
unrestricted_seed331,source,xtb_median_delta_e,-3.6027888948972286,-3.686415405121656,-3.5288789974382793,molecule
unrestricted_seed353,source,validity3d,0.2832,0.2678,0.2988,molecule
unrestricted_seed353,source,PB,0.0008,0.0002,0.0016,molecule
unrestricted_seed353,source,bond_raw_mae,-0.0032332661781897002,-0.0033038075321129953,-0.0031636183854047064,molecule
unrestricted_seed353,source,angle_cosine_raw_mae,-0.0015998073771795827,-0.0016542886697408338,-0.0015440026411076048,molecule
unrestricted_seed353,source,reference_rmsd,0.00032575103854464755,0.00030860588104984115,0.00034479851799157785,molecule
unrestricted_seed353,source,raw_source_displacement_rms,0.009785824886895717,0.009680051034982316,0.009895952270876151,molecule
unrestricted_seed353,source,xtb_median_delta_e,-3.6193323773953985,-3.696396859508474,-3.542410879750092,molecule
mmff94s,source,validity3d,0.0,0.0,0.0,molecule
mmff94s,source,PB,0.0,0.0,0.0,molecule
mmff94s,source,bond_raw_mae,0.0,0.0,0.0,molecule
mmff94s,source,angle_cosine_raw_mae,0.0,0.0,0.0,molecule
mmff94s,source,reference_rmsd,0.0,0.0,0.0,molecule
mmff94s,source,raw_source_displacement_rms,0.0,0.0,0.0,molecule
mmff94s,source,xtb_median_delta_e,0.0,0.0,0.0,molecule
