formulation,metric,mean_across_seeds,seed_sd_ddof1,seed_values
Restricted,v3d_overall,0.48233333333333334,0.0028728615235220096,0.4812;0.4802;0.4856
Restricted,posebusters_overall,0.9318,0.0,0.9318;0.9318;0.9318
Restricted,reference_rmsd,1.4235971527659599,1.1492575709702683e-05,1.42361010097;1.42358816125;1.42359319608
Restricted,raw_source_displacement_rms,0.008128621232318445,0.00010684592995333309,0.0082476877233;0.00809707782054;0.00804109815311
Restricted,xtb_delta_median,-3.4933123495960543,0.016676859312744024,-3.47449732861;-3.5062714619;-3.49916825828
Restricted,xtb_delta_lower_fraction,0.9989333333333333,0.00011547005383791244,0.9988;0.999;0.999
Unrestricted,v3d_overall,0.5032,0.0028213471959332046,0.5036;0.5002;0.5058
Unrestricted,posebusters_overall,0.9321333333333333,0.00030550504633041625,0.9318;0.9324;0.9322
Unrestricted,reference_rmsd,1.42373000068459,0.0001447689695980072,1.42383431448;1.42379096774;1.42356471983
Unrestricted,raw_source_displacement_rms,0.009734412754016618,0.00025669183895139634,0.00945590578839;0.00996150758676;0.0097858248869
Unrestricted,xtb_delta_median,-3.596807389564713,0.026036259670688792,-3.5683008964;-3.6027888949;-3.6193323774
Unrestricted,xtb_delta_lower_fraction,0.9988666666666667,0.00011547005383791244,0.9988;0.999;0.9988
