COHORT_NAME,ROLE,IDENTITY_SOURCE,N_IDENTITIES,RECOVERY_STATUS,PROVENANCE
CURRENT_REFINER_TRAIN,TRAIN,reports/ecir_mvr/prospective_final_cohort_freeze/13_HISTORICAL_EXCLUSION_PROVENANCE.csv,49964,RECOVERED_CANONICAL_UNIQUE,"formal_large real_sources/train.parquet; base exclusion reason CURRENT_REFINER_TRAIN"
V2_VAL,DEVELOPMENT,reports/ecir_mvr/final_cohort_identity_freeze/13_HISTORICAL_DEVELOPMENT_IDENTITY_UNION.md,2500,PARTIAL__DOCUMENTED_HALF_BUT_SEPARATE_CANONICAL_MEMBER_LIST_NOT_FROZEN,"One documented half of materialized VAL; combined V2 union is recovered"
V2_DEV_TEST,DEVELOPMENT,reports/ecir_mvr/final_cohort_identity_freeze/13_HISTORICAL_DEVELOPMENT_IDENTITY_UNION.md,2500,PARTIAL__DOCUMENTED_HALF_BUT_SEPARATE_CANONICAL_MEMBER_LIST_NOT_FROZEN,"Other documented half of materialized VAL; combined V2 union is recovered"
V2_VAL_AND_V2_DEV_TEST_FULL_VAL_UNION,DEVELOPMENT,reports/ecir_mvr/prospective_final_cohort_freeze/13_HISTORICAL_EXCLUSION_PROVENANCE.csv,4999,RECOVERED_CANONICAL_UNIQUE,"formal_large real_sources/val.parquet; base exclusion reason HISTORICAL_DEVELOPMENT_VAL"
FORMAL100,OUTCOME_EXPOSED_DEVELOPMENT,reports/ecir_mvr/prospective_final_cohort_freeze/13_HISTORICAL_EXCLUSION_PROVENANCE.csv,100,RECOVERED_CANONICAL_UNIQUE,"manifests/formal_large_test.json; all 100 excluded; 7 overlap TRAIN"
CURRENT_DEV,DEVELOPMENT_AND_MODEL_SELECTION,reports/ecir_mvr/sixs_musigma_reliability_factorial_cuda/DEV_MANIFEST.json,2500,RECOVERED_EXACT,"frozen DEV manifest SHA256 15db864fe34975a15e2319e1112eaa003f0d8f5e6a7c174be9b79e816c133a0b"
FACTORIAL,DEVELOPMENT_AND_MODEL_SELECTION,reports/ecir_mvr/sixs_musigma_reliability_factorial_cuda/DEV_MANIFEST.json,2500,RECOVERED_BY_EXACT_COHORT_REUSE,"Reuses CURRENT_DEV"
ABLATIONS,DEVELOPMENT_AND_MODEL_SELECTION,reports/ecir_mvr/sixs_musigma_reliability_factorial_cuda/DEV_MANIFEST.json,2500,RECOVERED_BY_EXACT_COHORT_REUSE,"Reuses CURRENT_DEV"
FULL_JOINT_AND_CAPACITY,DEVELOPMENT_AND_MODEL_SELECTION,reports/ecir_mvr/sixs_musigma_reliability_factorial_cuda/DEV_MANIFEST.json,2500,RECOVERED_BY_EXACT_COHORT_REUSE,"Reuses CURRENT_DEV"
MULTISEED_DEV,DEVELOPMENT_AND_MODEL_SELECTION,reports/ecir_mvr/sixs_musigma_reliability_factorial_cuda/DEV_MANIFEST.json,2500,RECOVERED_BY_EXACT_COHORT_REUSE,"Seeds 307/331/353 reuse CURRENT_DEV"
DITMC_LARGE_HOLDOUT_V1,OUTCOME_EXPOSED_SECONDARY,reports/ecir_mvr/prospective_final_cohort_freeze/13_HISTORICAL_EXCLUSION_PROVENANCE.csv,783,RECOVERED_CANONICAL_UNIQUE,"LARGE_HOLDOUT_SELECTION.json; excluded despite cross-upstream role"
LEGACY_LSGO,LEGACY_DEVELOPMENT,legacy surviving identity manifests,UNKNOWN__PART_OF_COMBINED_EXPLICIT_448,PARTIAL,"Explicit surviving identities are contained in CURRENT_REFINER_TRAIN; broader exact member list absent"
LEGACY_LEARNED_GEOMETRY,LEGACY_DEVELOPMENT,legacy surviving identity manifests,UNKNOWN__PART_OF_COMBINED_EXPLICIT_448,PARTIAL,"Explicit surviving identities are contained in CURRENT_REFINER_TRAIN; broader exact member list absent"
LEGACY_BAT_REFINEMENT,LEGACY_DEVELOPMENT,legacy surviving identity manifests,UNKNOWN__PART_OF_COMBINED_EXPLICIT_448,PARTIAL,"Explicit surviving identities are contained in CURRENT_REFINER_TRAIN; broader exact member list absent"
LEGACY_LSGO_LEARNED_GEOMETRY_BAT_EXPLICIT_UNION,LEGACY_DEVELOPMENT,reports/ecir_mvr/final_cohort_identity_freeze/13_HISTORICAL_DEVELOPMENT_IDENTITY_UNION.md,448,RECOVERED_EXPLICIT_SUBSET,"All 448 occur in CURRENT_REFINER_TRAIN; broader cohort identities remain unavailable"
