applicable_record_count,bootstrap_ci95_high,bootstrap_ci95_low,bootstrap_draws,cohort,effect_direction,loss_count,median_difference,method,metric,paired_mean_difference,row_type,significance_status,tie_count,win_count
10000,-0.0116,-0.0162,10000,natural,V8_12P5K_worse,138,0.0,V8 Full 12.5K minus Source,accepted,-0.0138,paired_comparison,SIGNIFICANT_V8_12P5K_worse,9862,0
10000,-0.19890302646242983,-0.20388054984831827,10000,natural,V8_12P5K_better,0,-0.18196724820882082,V8 Full 12.5K minus Source,weighted_bac_delta,-0.20140864992004492,paired_comparison,SIGNIFICANT_V8_12P5K_better,138,9862
10000,-0.09208181692863115,-0.09417470648164163,10000,natural,V8_12P5K_better,0,-0.09090909361839294,V8 Full 12.5K minus Source,bond_delta,-0.09312129611130804,paired_comparison,SIGNIFICANT_V8_12P5K_better,608,9392
5724,-0.007467096477137552,-0.008014086407087733,10000,natural,V8_12P5K_better,0,0.0,V8 Full 12.5K minus Source,angle_delta,-0.00774123231207745,paired_comparison,SIGNIFICANT_V8_12P5K_better,3100,2624
5724,-0.007467096477137552,-0.008014086407087733,10000,natural,V8_12P5K_better,0,0.0,V8 Full 12.5K minus Source,active_angle_delta,-0.00774123231207745,paired_comparison,SIGNIFICANT_V8_12P5K_better,3100,2624
20,2.030699761235155e-07,-4.130390946102125e-06,10000,natural,V8_12P5K_better,2,0.0,V8 Full 12.5K minus Source,clash_delta,-1.8957983229483944e-06,paired_comparison,NOT_SIGNIFICANT,10,8
3761,-0.05091327383261936,-0.05443680420154159,10000,natural,V8_12P5K_better,7,-0.0476190485060215,V8 Full 12.5K minus Source,ring_delta,-0.05266541102294417,paired_comparison,SIGNIFICANT_V8_12P5K_better,1235,2519
3456,0.0,0.0,10000,natural,tie,0,0.0,V8 Full 12.5K minus Source,chirality_preserved,0.0,paired_comparison,NOT_SIGNIFICANT,3456,0
10000,0.0035242532764474892,0.00342521165219674,10000,natural,V8_12P5K_worse,9862,0.00279452174436301,V8 Full 12.5K minus Source,mean_displacement,0.003474440205088467,paired_comparison,SIGNIFICANT_V8_12P5K_worse,138,0
10000,0.020664388070021522,0.01995454178148968,10000,natural,V8_12P5K_worse,9862,0.013704914133995771,V8 Full 12.5K minus Source,max_atom_displacement,0.020309386284917127,paired_comparison,SIGNIFICANT_V8_12P5K_worse,138,0
10000,0.0,0.0,10000,natural,tie,0,0.0,V8 Full 12.5K minus Source,solver_failure_count,0.0,paired_comparison,NOT_SIGNIFICANT,10000,0
10000,0.00018757014848524704,0.0001618388262251392,10000,natural,V8_12P5K_worse,6561,0.00013878941535949707,V8 Full 12.5K minus Source,rmsd,0.0001747146795503795,paired_comparison,SIGNIFICANT_V8_12P5K_worse,139,3300
10000,8.121553652413732e-08,-3.624453272006711e-07,10000,natural,V8_12P5K_better,3899,-2.875925702028326e-07,V8 Full 12.5K minus Source,target_loss,-1.4396729401404684e-07,paired_comparison,NOT_SIGNIFICANT,138,5963
5724,-0.011705101327742837,-0.01781970649895178,10000,active_angle,V8_12P5K_worse,84,0.0,V8 Full 12.5K minus Source,accepted,-0.014675052410901468,paired_comparison,SIGNIFICANT_V8_12P5K_worse,5640,0
5724,-0.20719398933744645,-0.21412540807190328,10000,active_angle,V8_12P5K_better,0,-0.1903622479749174,V8 Full 12.5K minus Source,weighted_bac_delta,-0.2106383273297166,paired_comparison,SIGNIFICANT_V8_12P5K_better,84,5640
5724,-0.08745508157007657,-0.09031133573121736,10000,active_angle,V8_12P5K_better,0,-0.08571428805589676,V8 Full 12.5K minus Source,bond_delta,-0.08888052188863575,paired_comparison,SIGNIFICANT_V8_12P5K_better,468,5256
5724,-0.007467096477137552,-0.008014086407087733,10000,active_angle,V8_12P5K_better,0,0.0,V8 Full 12.5K minus Source,angle_delta,-0.00774123231207745,paired_comparison,SIGNIFICANT_V8_12P5K_better,3100,2624
5724,-0.007467096477137552,-0.008014086407087733,10000,active_angle,V8_12P5K_better,0,0.0,V8 Full 12.5K minus Source,active_angle_delta,-0.00774123231207745,paired_comparison,SIGNIFICANT_V8_12P5K_better,3100,2624
17,4.0360819184570533e-07,-4.526328134221223e-06,10000,active_angle,V8_12P5K_better,2,0.0,V8 Full 12.5K minus Source,clash_delta,-1.9901842332568347e-06,paired_comparison,NOT_SIGNIFICANT,8,7
2502,-0.046186734521337196,-0.05047152785976663,10000,active_angle,V8_12P5K_better,7,-0.04545454680919647,V8 Full 12.5K minus Source,ring_delta,-0.04830708953706052,paired_comparison,SIGNIFICANT_V8_12P5K_better,979,1516
2241,0.0,0.0,10000,active_angle,tie,0,0.0,V8 Full 12.5K minus Source,chirality_preserved,0.0,paired_comparison,NOT_SIGNIFICANT,2241,0
5724,0.004334194711515241,0.0041884740211911645,10000,active_angle,V8_12P5K_worse,5640,0.0035507415886968374,V8 Full 12.5K minus Source,mean_displacement,0.004261183294785594,paired_comparison,SIGNIFICANT_V8_12P5K_worse,84,0
5724,0.027470903710081443,0.02645706050250885,10000,active_angle,V8_12P5K_worse,5640,0.021935071796178818,V8 Full 12.5K minus Source,max_atom_displacement,0.02696821915812642,paired_comparison,SIGNIFICANT_V8_12P5K_worse,84,0
5724,0.0,0.0,10000,active_angle,tie,0,0.0,V8 Full 12.5K minus Source,solver_failure_count,0.0,paired_comparison,NOT_SIGNIFICANT,5724,0
5724,0.00020861958447553525,0.0001684531689719782,10000,active_angle,V8_12P5K_worse,3750,0.00015106797218322754,V8 Full 12.5K minus Source,rmsd,0.0001884902636100786,paired_comparison,SIGNIFICANT_V8_12P5K_worse,85,1889
5724,8.466580529473867e-07,8.388035226825246e-08,10000,active_angle,V8_12P5K_worse,1904,-9.951451147571788e-07,V8 Full 12.5K minus Source,target_loss,4.5548469750752546e-07,paired_comparison,SIGNIFICANT_V8_12P5K_worse,84,3736
20,-0.3,-0.7,10000,active_clash,V8_12P5K_worse,10,-0.5,V8 Full 12.5K minus Source,accepted,-0.5,paired_comparison,SIGNIFICANT_V8_12P5K_worse,10,0
