attempted_backends,condition_number,effective_rank,graph,jacobian_columns,jacobian_rows,num_atoms,num_joints,rollout_step,sample_id,solver_backend,solver_fallback_count,timing_cartesian_projection_time,timing_cholesky_time,timing_gram_matrix_time,timing_lstsq_time,timing_solve_time,timing_svd_time
"rank_check,svd",30.975488662719727,11,0,12,93,31,3,0,004544e7b6cdbf4fa2bfe313aadfcd39__gen0000,svd_fallback,1,0.00011340000492054969,0.0,4.239998816046864e-05,0.0,0.0,0.00021290000586304814
"rank_check,svd",31.04254913330078,11,0,12,93,31,3,1,004544e7b6cdbf4fa2bfe313aadfcd39__gen0000,svd_fallback,1,8.669999078847468e-05,0.0,2.1200001356191933e-05,0.0,0.0,5.4199990699999034e-05
"rank_check,svd",31.105403900146484,11,0,12,93,31,3,2,004544e7b6cdbf4fa2bfe313aadfcd39__gen0000,svd_fallback,1,8.730000990908593e-05,0.0,2.1900006686337292e-05,0.0,0.0,5.370000144466758e-05
"rank_check,svd",31.16476821899414,11,0,12,93,31,3,3,004544e7b6cdbf4fa2bfe313aadfcd39__gen0000,svd_fallback,1,9.14999982342124e-05,0.0,2.710000262595713e-05,0.0,0.0,5.840000812895596e-05
"rank_check,svd",31.22219467163086,11,0,12,93,31,3,4,004544e7b6cdbf4fa2bfe313aadfcd39__gen0000,svd_fallback,1,0.00012190001143608242,0.0,2.7299989596940577e-05,0.0,0.0,7.680000271648169e-05
"rank_check,svd",31.279491424560547,11,0,12,93,31,3,5,004544e7b6cdbf4fa2bfe313aadfcd39__gen0000,svd_fallback,1,0.0001134999911300838,0.0,2.5599991204217076e-05,0.0,0.0,6.229999416973442e-05
"rank_check,svd",31.33823013305664,11,0,12,93,31,3,6,004544e7b6cdbf4fa2bfe313aadfcd39__gen0000,svd_fallback,1,0.0001120000088121742,0.0,2.540000423323363e-05,0.0,0.0,6.299999949987978e-05
"rank_check,svd",31.399309158325195,11,0,12,93,31,3,7,004544e7b6cdbf4fa2bfe313aadfcd39__gen0000,svd_fallback,1,9.329999738838524e-05,0.0,2.200000744778663e-05,0.0,0.0,5.889999738428742e-05
"rank_check,svd",31.4627685546875,11,0,12,93,31,3,8,004544e7b6cdbf4fa2bfe313aadfcd39__gen0000,svd_fallback,1,8.779999916441739e-05,0.0,2.0399995264597237e-05,0.0,0.0,5.18000015290454e-05
"rank_check,svd",31.528059005737305,11,0,12,93,31,3,9,004544e7b6cdbf4fa2bfe313aadfcd39__gen0000,svd_fallback,1,9.109999518841505e-05,0.0,2.2599997464567423e-05,0.0,0.0,5.750000127591193e-05
"rank_check,svd",30.885969161987305,11,0,12,93,31,3,0,004544e7b6cdbf4fa2bfe313aadfcd39__gen0001,svd_fallback,1,9.679999493528157e-05,0.0,2.1100000594742596e-05,0.0,0.0,6.140000186860561e-05
"rank_check,svd",30.95105743408203,11,0,12,93,31,3,1,004544e7b6cdbf4fa2bfe313aadfcd39__gen0001,svd_fallback,1,9.810000483412296e-05,0.0,2.4599998141638935e-05,0.0,0.0,5.60000044060871e-05
"rank_check,svd",31.012380599975586,11,0,12,93,31,3,2,004544e7b6cdbf4fa2bfe313aadfcd39__gen0001,svd_fallback,1,8.579999848734587e-05,0.0,2.0099992980249226e-05,0.0,0.0,4.909999552182853e-05
"rank_check,svd",31.07053565979004,11,0,12,93,31,3,3,004544e7b6cdbf4fa2bfe313aadfcd39__gen0001,svd_fallback,1,8.600000001024455e-05,0.0,2.0499996026046574e-05,0.0,0.0,5.200000305194408e-05
"rank_check,svd",31.126853942871094,11,0,12,93,31,3,4,004544e7b6cdbf4fa2bfe313aadfcd39__gen0001,svd_fallback,1,8.489999163430184e-05,0.0,1.990000600926578e-05,0.0,0.0,4.7299996367655694e-05
"rank_check,svd",31.183176040649414,11,0,12,93,31,3,5,004544e7b6cdbf4fa2bfe313aadfcd39__gen0001,svd_fallback,1,0.00011100000119768083,0.0,2.649999805726111e-05,0.0,0.0,5.7999990531243384e-05
"rank_check,svd",31.240951538085938,11,0,12,93,31,3,6,004544e7b6cdbf4fa2bfe313aadfcd39__gen0001,svd_fallback,1,8.849998994264752e-05,0.0,2.2599997464567423e-05,0.0,0.0,5.5199998314492404e-05
"rank_check,svd",31.30108070373535,11,0,12,93,31,3,7,004544e7b6cdbf4fa2bfe313aadfcd39__gen0001,svd_fallback,1,8.990000060293823e-05,0.0,2.3499989765696228e-05,0.0,0.0,5.399998917710036e-05
"rank_check,svd",31.36372184753418,11,0,12,93,31,3,8,004544e7b6cdbf4fa2bfe313aadfcd39__gen0001,svd_fallback,1,8.679999154992402e-05,0.0,2.0799998310394585e-05,0.0,0.0,5.160000000614673e-05
"rank_check,svd",31.428407669067383,11,0,12,93,31,3,9,004544e7b6cdbf4fa2bfe313aadfcd39__gen0001,svd_fallback,1,8.540000999346375e-05,0.0,2.0000006770715117e-05,0.0,0.0,4.75000124424696e-05
"rank_check,svd",30.85544776916504,11,0,12,93,31,3,0,004544e7b6cdbf4fa2bfe313aadfcd39__gen0002,svd_fallback,1,8.650000381749123e-05,0.0,2.1100000594742596e-05,0.0,0.0,5.050000618211925e-05
"rank_check,svd",30.920175552368164,11,0,12,93,31,3,1,004544e7b6cdbf4fa2bfe313aadfcd39__gen0002,svd_fallback,1,9.869999485090375e-05,0.0,2.1200001356191933e-05,0.0,0.0,5.250000685919076e-05
"rank_check,svd",30.981050491333008,11,0,12,93,31,3,2,004544e7b6cdbf4fa2bfe313aadfcd39__gen0002,svd_fallback,1,8.800000068731606e-05,0.0,2.0800012862309813e-05,0.0,0.0,5.360000068321824e-05
"rank_check,svd",31.038719177246094,11,0,12,93,31,3,3,004544e7b6cdbf4fa2bfe313aadfcd39__gen0002,svd_fallback,1,8.789999992586672e-05,0.0,2.0699997548945248e-05,0.0,0.0,5.509999755304307e-05
"rank_check,svd",31.094690322875977,11,0,12,93,31,3,4,004544e7b6cdbf4fa2bfe313aadfcd39__gen0002,svd_fallback,1,8.879999222699553e-05,0.0,2.1799991372972727e-05,0.0,0.0,5.360000068321824e-05
"rank_check,svd",31.150745391845703,11,0,12,93,31,3,5,004544e7b6cdbf4fa2bfe313aadfcd39__gen0002,svd_fallback,1,0.00012560001050587744,0.0,2.239999594166875e-05,0.0,0.0,8.290000550914556e-05
"rank_check,svd",31.208293914794922,11,0,12,93,31,3,6,004544e7b6cdbf4fa2bfe313aadfcd39__gen0002,svd_fallback,1,8.569999772589654e-05,0.0,2.0699997548945248e-05,0.0,0.0,5.1399998483248055e-05
"rank_check,svd",31.268165588378906,11,0,12,93,31,3,7,004544e7b6cdbf4fa2bfe313aadfcd39__gen0002,svd_fallback,1,8.530000923201442e-05,0.0,2.059999678749591e-05,0.0,0.0,4.809998790733516e-05
"rank_check,svd",31.33052635192871,11,0,12,93,31,3,8,004544e7b6cdbf4fa2bfe313aadfcd39__gen0002,svd_fallback,1,0.00015730000450275838,0.0,2.030000905506313e-05,0.0,0.0,4.9000009312294424e-05
"rank_check,svd",31.394975662231445,11,0,12,93,31,3,9,004544e7b6cdbf4fa2bfe313aadfcd39__gen0002,svd_fallback,1,0.00015300000086426735,0.0,2.6699999580159783e-05,0.0,0.0,0.00010060000931844115
"rank_check,svd",30.732189178466797,11,0,12,93,31,3,0,004544e7b6cdbf4fa2bfe313aadfcd39__gen0003,svd_fallback,1,0.0001016000023810193,0.0,3.160000778734684e-05,0.0,0.0,6.089999806135893e-05
"rank_check,svd",30.796627044677734,11,0,12,93,31,3,1,004544e7b6cdbf4fa2bfe313aadfcd39__gen0003,svd_fallback,1,0.00013840000610798597,0.0,2.9399991035461426e-05,0.0,0.0,6.95999915478751e-05
"rank_check,svd",30.85671615600586,11,0,12,93,31,3,2,004544e7b6cdbf4fa2bfe313aadfcd39__gen0003,svd_fallback,1,8.939999679569155e-05,0.0,2.160000440198928e-05,0.0,0.0,5.630000669043511e-05
"rank_check,svd",30.913116455078125,11,0,12,93,31,3,3,004544e7b6cdbf4fa2bfe313aadfcd39__gen0003,svd_fallback,1,8.570001227781177e-05,0.0,2.0199993741698563e-05,0.0,0.0,4.959999932907522e-05
"rank_check,svd",30.96742057800293,11,0,12,93,31,3,4,004544e7b6cdbf4fa2bfe313aadfcd39__gen0003,svd_fallback,1,0.00015110000094864517,0.0,2.649999805726111e-05,0.0,0.0,8.579999848734587e-05
"rank_check,svd",31.021526336669922,11,0,12,93,31,3,5,004544e7b6cdbf4fa2bfe313aadfcd39__gen0003,svd_fallback,1,9.31999966269359e-05,0.0,2.1500003640539944e-05,0.0,0.0,6.580000626854599e-05
"rank_check,svd",31.077016830444336,11,0,12,93,31,3,6,004544e7b6cdbf4fa2bfe313aadfcd39__gen0003,svd_fallback,1,8.670000534038991e-05,0.0,2.1200001356191933e-05,0.0,0.0,4.9300011596642435e-05
"rank_check,svd",31.134824752807617,11,0,12,93,31,3,7,004544e7b6cdbf4fa2bfe313aadfcd39__gen0003,svd_fallback,1,0.00010540000221226364,0.0,2.239999594166875e-05,0.0,0.0,5.389998841565102e-05
"rank_check,svd",31.195077896118164,11,0,12,93,31,3,8,004544e7b6cdbf4fa2bfe313aadfcd39__gen0003,svd_fallback,1,0.00010350000229664147,0.0,2.0699997548945248e-05,0.0,0.0,4.919999628327787e-05
"rank_check,svd",31.257184982299805,11,0,12,93,31,3,9,004544e7b6cdbf4fa2bfe313aadfcd39__gen0003,svd_fallback,1,8.889999298844486e-05,0.0,2.510000194888562e-05,0.0,0.0,5.5199998314492404e-05
"rank_check,svd",186.1201934814453,41,0,44,141,47,11,0,0ac69a5bdff27a87ef3ace32f19b1d2d__gen0000,svd_fallback,1,0.00012709999282378703,0.0,3.940000897273421e-05,0.0,0.0,0.0004931000003125519
"rank_check,svd",186.72317504882812,41,0,44,141,47,11,1,0ac69a5bdff27a87ef3ace32f19b1d2d__gen0000,svd_fallback,1,0.00010010000551119447,0.0,2.3299988242797554e-05,0.0,0.0,0.00024380000832024962
"rank_check,svd",187.2772979736328,41,0,44,141,47,11,2,0ac69a5bdff27a87ef3ace32f19b1d2d__gen0000,svd_fallback,1,0.00012969999806955457,0.0,2.61999957729131e-05,0.0,0.0,0.00033910000638570637
"rank_check,svd",187.78369140625,41,0,44,141,47,11,3,0ac69a5bdff27a87ef3ace32f19b1d2d__gen0000,svd_fallback,1,9.90999978967011e-05,0.0,2.3300002794712782e-05,0.0,0.0,0.00023830001009628177
"rank_check,svd",188.2542266845703,41,0,44,141,47,11,4,0ac69a5bdff27a87ef3ace32f19b1d2d__gen0000,svd_fallback,1,0.00010259999544359744,0.0,2.400000812485814e-05,0.0,0.0,0.0002477999951224774
"rank_check,svd",188.7066192626953,41,0,44,141,47,11,5,0ac69a5bdff27a87ef3ace32f19b1d2d__gen0000,svd_fallback,1,0.00013250000483822078,0.0,3.579999611247331e-05,0.0,0.0,0.0002960999991046265
"rank_check,svd",189.1595458984375,41,0,44,141,47,11,6,0ac69a5bdff27a87ef3ace32f19b1d2d__gen0000,svd_fallback,1,0.0001297999988310039,0.0,3.15000070258975e-05,0.0,0.0,0.00028670000028796494
